Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
246511218867585,Danas,Danas,3485,84
246944101993258,CRTA,CRTA,2282,46
102921657972863,Nova.rs,Nova.rs,1885,30
106722111386667,Vojvodina Uživo,Vojvodina uživo,1284,137
100923032707648,Wine Vision by Open Balkan,Open Balkan,1250,13
235273483632649,Покрет обнове Краљевине Србије - ПОКС,Покрет обнове Краљевине Србије,1113,5
215439965995258,Stranka slobode i pravde,Stranka slobode i pravde,1064,57
293271104377513,N1 Srbija,N1 Srbija,1019,16
210065145672911,EU u Srbiji,EU u Srbiji,900,4
101082364645477,Двери - Dveri,Двери,821,7
345800998930745,Ne davimo Beograd,Ne davimo Beograd,784,21
104830385644206,Srbija uživo,Srbija uživo,767,15
107082327552063,Nova.rs showbiz,Nova.rs,727,8
107823704142670,Nova.rs sport,Nova.rs sport,667,12
183252701187,Istinomer.rs,Istinomer.rs,620,22
110740498648303,Вучићу оставка,За Краљевину Србију,604,2
102267682034717,Градске инфо,Gradske Info,601,35
156860654437020,Otvoreni parlament,Otvoreni parlament,498,17
212784378797050,POKS Novi Sad - Покрет обнове Краљевине Србије Нови Сад,POKS Novi Sad - Покрет обнове Краљевине Србије Нови Сад,412,1
1469729383308853,EU info point Novi Sad,EU info point Novi Sad,401,15
140578452656879,Direktno.rs,Direktno.rs,385,39
511144218927666,Zajedno,Zajedno Moramo,351,21
1973160299611530,Dr. Pásztor Bálint,Dr. Pásztor Bálint,323,13
110780056089231,Pokret slobodnih građana,Pokret slobodnih građana,297,12
204276009718,Beogradska otvorena škola,Beogradska otvorena škola,290,15
112607976971986,Istina,Stranka Istina,277,6
1704843222876910,Горан Весић,Goran Vesic,276,17
1527870447492963,Cenzolovka,Cenzolovka,255,14
104914372529380,Milan Djurić,Milan Djurić,249,5
216096575131486,Novinska agencija BETA,Novinska agencija Beta,226,14
1771333296460672,Demostat,Demostat,222,34
100504564868806,Kovács Elvira,Kovács Elvira,217,8
245282178877178,Telegraf,Telegraf,201,2
1834120283540997,Милош Јовановић,Милош Јовановић,200,4
169221713112355,Бошко Обрадовић - нова страница,Двери,200,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,181,3
152767948661281,Raskrikavanje,RasKRIKavanje,178,25
1434392600181268,Zajedno za Šabac - Nebojša Zelenović,Zajedno za Šabac,165,14
324754587355,Liga socijaldemokrata Vojvodine,Liga socijaldemokrata Vojvodine,162,8
294080787380634,Братислав Гашић,Homepage doo,160,8
107500191773104,Нова - Да се струка пита,Нова - Да се струка пита,158,8
121761709667742,Novi dan Srbija,N1 Srbija,150,2
1616815218590191,KRIK - Mreža za istraživanje kriminala i korupcije,KRIK - Mreža za istraživanje kriminala i korupcije,142,12
2039702679637751,RERI,RERI - Regulatorni institut za obnovljivu energiju i životnu sredinu,140,4
237101165054,Medija centar,Medija centar,133,8
153043894903253,CINS - Centar za istraživačko novinarstvo Srbije,CINS,117,4
158568884740785,Narodna stranka - Niš,Nova generacija,106,9
102590064995876,Alo.rs,Alo.rs,105,1
194756143901555,Beldocs - Меđunarodni festival dokumentarnog filma,Beldocs - Меđunarodni festival dokumentarnog filma,≤100,5
656981807824682,Novi treći put,Novi treći put,≤100,2
103518083049370,NajboljaMamaNaSvetu.com,NajboljaMamaNaSvetu.com,≤100,28
403186229703823,СНС Београд,Српска напредна странка,≤100,6
166173570250626,Град Зрењанин,Grad Zrenjanin,≤100,9
270765959686602,Ministarstvo prostora,Ministarstvo prostora,≤100,4
103035054850803,FoNet,FoNet,≤100,20
736583270091163,Покрет обнове Краљевине Србије Бечеј - POKS BEČEJ,Jasmin Hamzić,≤100,4
330746030297694,European Policy Centre/Centar za evropske politike - CEP,European Policy Centre/Centar za evropske politike - CEP,≤100,4
136088969880141,AirHelp,These ads ran without a disclaimer,≤100,7
258658760917748,Magyar Nemzeti Tanács,Magyar Nemzeti Tanács,≤100,1
100983904748751,Vladan Zagradjanin,Vladan Zagradjanin,≤100,4
108268188512494,Evernow,These ads ran without a disclaimer,≤100,1
102862762310818,Institut za medijaciju,"Institut za medijaciju, pregovaranje i javne politike",≤100,2
1670174393236727,Boban Janković,Boban Janković,≤100,12
284800891931235,Biznis na štiklama,These ads ran without a disclaimer,≤100,1
315784918613108,ДВЕРИ Пријепоље,Двери,≤100,2
1436113986674689,Српска странка Заветници,Српска странка Заветници,≤100,3
266849984266462,Most solidarnosti,Most solidarnosti,≤100,3
116110645099483,Propulsion,Propulsion,≤100,10
638786616192162,Šta Srbija misli?,Šta Srbija misli?,≤100,1
111191715276813,Shqiprim Arifi Videos,Shqiprim Arifi,≤100,3
111637221909120,Man know,These ads ran without a disclaimer,≤100,1
111669550732402,Gradonačelnik Šapca dr Aleksandar Pajić,Aleksandar Pajić,≤100,2
580175052655889,Двери Нови Сад - Dveri Novi Sad,Двери,≤100,1
696438240523220,Антонио Ратковић,Антонио Ратковић,≤100,2
113093061374614,Stranka slobode i pravde GrO Požarevac,Stranka slobode i pravde GrO Požarevac,≤100,5
102038928230620,Politička platforma - Solidarnost,Politička platforma Solidarnost,≤100,4
101079362428793,Danas - Novi Sad,Danas,≤100,2
100356108924284,Pridruži se - Paraćin,Dragan Ristic,≤100,5
1550722181845313,TEN - Think for Europe Network,European Policy Centre/Centar za evropske politike - CEP,≤100,2
110533101581618,Zajedno za Novi Sad,Zajedno Moramo,≤100,2
611727522278818,PRess Serbia,PRessSerbia,≤100,1
1696223647259442,НСС Чукарица,НСС Чукарица,≤100,23
1916765925064880,Kvaka23,FoNet,≤100,7
849168121871060,Принцип,Princip,≤100,1
106293961914359,Green Future Conference,These ads ran without a disclaimer,≤100,1
108530607239058,Двери Чачак_Dveri Čačak,Двери Чачак,≤100,3
2217218958304316,Grupa za konceptualnu politiku,gkp.org.rs,≤100,1
890760520966537,ДВЕРИ Крагујевац,Двери,≤100,1
100604815074570,JTI Srbija,JTI Srbija,≤100,2
107870867370960,Otvorena vrata pravosuđa,YUCOM Komitet pravnika za ljudska prava/Lawyers' Committee for Human Rights,≤100,2
757465131025338,Obuća AKI,These ads ran without a disclaimer,≤100,1
115643645121323,Deuter,These ads ran without a disclaimer,≤100,1
104324881319058,Milos Ivanovic,Milos Ivanovic,≤100,3
106743098853844,Zajedno za Niš,Zajedno Moramo,≤100,1
102123055654743,Danas - Kragujevac,Danas,≤100,2
1135825589785524,AmCham Serbia,AmCham Serbia,≤100,2
111427980362336,Opre Roma Srbija,Opre Roma Srbija,≤100,1
486895824709789,Zajedno Beograd,Zajedno Moramo,≤100,4
110037208302044,Djordjo Djordjić,Djordjo Djordjić,≤100,1
105702781697983,Akcija progresivne Vojvodine,Akcija progresivne Vojvodine,≤100,3
242025549274555,Libergraf,Libergraf,≤100,3
344525012422428,Нови ДСС Зрењанин,Zoran Sandić,≤100,2
1523677971276225,Podrinski Antikorupcijski Tim,Podrinjski Anti Korupcijski Tim,≤100,3
905058673216988,Pravo na vodu,Polekol,≤100,2
808518665931164,Media i reform centar Niš,Media i reform centar Niš,≤100,2
101781454703956,Nebojša Zelenović,ZZS,≤100,1
100986921508526,Монархистички фронт кабинета ЊКВ Принца Владимира Карађорђевића,Вук Дамњановић,≤100,3
102224898933734,MindDig,These ads ran without a disclaimer,≤100,4
265916643909858,Storyteller,Storyteller,≤100,1
104135239013716,Aleksandar Krstić,Aleksandar Krstic,≤100,1
135856563960,Južne vesti,Južne vesti,≤100,2
109310977640388,Ekologika.rs,Ekologika.rs,≤100,1
139641886086839,Saša Paunović,Saša Paunović,≤100,4
108582602051935,Velike priče,These ads ran without a disclaimer,≤100,3
111119294771677,Предраг Стевовић - Predrag Stevović,Predrag Stevovic,≤100,6
636993866355106,NSS,These ads ran without a disclaimer,≤100,1
177762839019525,Gamax Laboratory Solutions,These ads ran without a disclaimer,≤100,6
100892564820275,"Српски културни центар ""Свети Сава""","Српски културни центар ""Свети Сава""",≤100,2
1876417009336904,Glas Šumadije,These ads ran without a disclaimer,≤100,1
693286697409998,Sremske Vesti,Sremske Vesti,≤100,1
104857438401147,Apatinske srednje škole,Apatinske srednje škole,≤100,2
105647545202833,The Schuman Show,These ads ran without a disclaimer,≤100,1
1796190960617455,Res Publica Kragujevac,Res Publika,≤100,3
100773621466954,Stranka slobode i pravde GrO Niš,Stranka slobode i pravde GrO Niš,≤100,2
1083456171670154,AgroKlub.rs,Agroklub doo Novi Sad,≤100,2
2370378899645516,Vakcine.ba,These ads ran without a disclaimer,≤100,1
102072599470181,Advanced Trading,These ads ran without a disclaimer,≤100,7
210065145672911,EU u Srbiji,These ads ran without a disclaimer,≤100,1
104092069268284,Possesso nekretnine,These ads ran without a disclaimer,≤100,2
108685955015651,Stefan Dedić,Stefan Dedić,≤100,4
1077480312390223,House of Win,House of Win,≤100,1
107801608421189,Narodna stranka Vlasotince,Dragan Stamenkovic,≤100,1
111119294771677,Предраг Стевовић - Predrag Stevović,Предраг Стевовић - Predrag Stevović,≤100,2
119405895873,Huawei,These ads ran without a disclaimer,≤100,1
272816246245425,Novi Plamen - časopis,Novi Plamen,≤100,1
289999635129858,Савез Срба Словеније - Zveza Srbov Slovenije,These ads ran without a disclaimer,≤100,1
899012453512935,Nikad nije kasno,These ads ran without a disclaimer,≤100,1
146381645481724,Pokret za slobodu,These ads ran without a disclaimer,≤100,1
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
333293986861604,Jean Richard MusiK,These ads ran without a disclaimer,≤100,2
103532005615532,Stranka slobode i pravde Veliko Gradište,Stranka slobode i pravde Veliko Gradište,≤100,1
2056588734647947,Fenomena - Moć promene,These ads ran without a disclaimer,≤100,1
1497155300581781,Pokret za PREOKRET,These ads ran without a disclaimer,≤100,1
179769572035470,Milan Nikolić,These ads ran without a disclaimer,≤100,1
113388621278432,Freedom for Norway,These ads ran without a disclaimer,≤100,1
852370551453606,GARP,These ads ran without a disclaimer,≤100,1
102952309457793,History in Number,These ads ran without a disclaimer,≤100,2
102727121816068,Святлана Ціханоўская,These ads ran without a disclaimer,≤100,1
101653285444113,SK텔레콤 뉴스룸,These ads ran without a disclaimer,≤100,1
1083456171670154,AgroKlub.rs,These ads ran without a disclaimer,≤100,1
1609943602654593,Нова снага Србије,Нова снага Србије,≤100,3
103772184933,Strategy International,These ads ran without a disclaimer,≤100,2
101186798539441,Слободан Миловановић,Slobodan Milovanović,≤100,2
286608628091446,Marko Burazor,These ads ran without a disclaimer,≤100,1
103086188984197,Romski KUTAK,These ads ran without a disclaimer,≤100,1
107134341801432,"New European Bauhaus: beautiful, sustainable, together",These ads ran without a disclaimer,≤100,1
371764683018,Bezbednost.org,Bezbednost.org,≤100,1
194756143901555,Beldocs - Меđunarodni festival dokumentarnog filma,These ads ran without a disclaimer,≤100,1
357444017777047,Bronson.men,These ads ran without a disclaimer,≤100,3
878962292160625,Србија eвропска Краљевина,These ads ran without a disclaimer,≤100,1
107237888124833,Vy Oanh Authentic - Túi xách cao cấp uy tín,These ads ran without a disclaimer,≤100,2
102524799835429,Digitalk Conference,These ads ran without a disclaimer,≤100,5
104405159011073,Sheba Tel HaShomer Global Division,These ads ran without a disclaimer,≤100,1
101953493337841,MEBO International,These ads ran without a disclaimer,≤100,1
100230246295261,Mr New Life,These ads ran without a disclaimer,≤100,4
473082076201151,Maxima,These ads ran without a disclaimer,≤100,1
102500518635499,ENTR en,These ads ran without a disclaimer,≤100,2
246422585907712,Wekeo,These ads ran without a disclaimer,≤100,2
126166480762310,SelectScience,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,2
241865326873926,lamonabooks,These ads ran without a disclaimer,≤100,1
112050726812018,Левица - Levica,Левица,≤100,1
195728538050,Netokracija,These ads ran without a disclaimer,≤100,1
1914522068608165,Autolidersv,These ads ran without a disclaimer,≤100,1
171163390480055,Samson Rope Technologies,These ads ran without a disclaimer,≤100,2
111506014006552,QA for beginers,These ads ran without a disclaimer,≤100,1
344837679783300,Euronews Serbia,These ads ran without a disclaimer,≤100,1
1249630708423717,MUNER Motorvehicle University of Emilia-Romagna,These ads ran without a disclaimer,≤100,1
107810565458048,Aleksandar Markovic,These ads ran without a disclaimer,≤100,1
1660942834191781,"Nauka govori - UG ""Nauka i svijet""",These ads ran without a disclaimer,≤100,1
371764683018,Bezbednost.org,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,2
267729123927662,We4All,These ads ran without a disclaimer,≤100,1
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,3
125290077920962,Institut za savremenu umjetnost,These ads ran without a disclaimer,≤100,1
395401643992178,TIP Used,These ads ran without a disclaimer,≤100,1
1457915704536726,Advokatfirmaet Magnus Legal,These ads ran without a disclaimer,≤100,1
106892895068657,Reykjavik Science City,These ads ran without a disclaimer,≤100,1
1183996195056831,Sentient,These ads ran without a disclaimer,≤100,1
1777952132237071,Slované v obrazech a poezii / Slavs in pictures and poetry,These ads ran without a disclaimer,≤100,2
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,2
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,45
114162855308118,KAS Media Programme South East Europe,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,6
109157008010513,Alveda,These ads ran without a disclaimer,≤100,2
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
125598777190201,tateinvicible,These ads ran without a disclaimer,≤100,1
112069987360502,Channel F9,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,2
133969887250137,BeWanted Colombia,These ads ran without a disclaimer,≤100,23
1407800559480010,Hirmer Verlag,These ads ran without a disclaimer,≤100,1
102998939765184,Persian bms,These ads ran without a disclaimer,≤100,4
609131619115590,O čem se mluví,These ads ran without a disclaimer,≤100,1
123170564098404,prtbrt,These ads ran without a disclaimer,≤100,1
150830641743673,Tomplay,These ads ran without a disclaimer,≤100,5
101204252940474,Metin Durmaz,These ads ran without a disclaimer,≤100,1
576164005783400,LIGS University,These ads ran without a disclaimer,≤100,2
102912091863686,Volvo Penta on Land,These ads ran without a disclaimer,≤100,1
118818871156611,clubwudan,These ads ran without a disclaimer,≤100,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,1
1573569742675365,Voltalia,These ads ran without a disclaimer,≤100,1
102252525898596,Lương Y Phạm Văn Thanh,These ads ran without a disclaimer,≤100,1
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,1
101289218907718,Web News,These ads ran without a disclaimer,≤100,1
405379246524515,DHL Express,These ads ran without a disclaimer,≤100,2
108607351041275,FAB Group,These ads ran without a disclaimer,≤100,1
110145528531965,Rein Colombia,These ads ran without a disclaimer,≤100,1
210703559399438,Wiren Serbia,These ads ran without a disclaimer,≤100,1
187766727949541,Deportivo Alavés,These ads ran without a disclaimer,≤100,1
216550520609,CLAE,These ads ran without a disclaimer,≤100,1
102528805596358,Unlock Rab,These ads ran without a disclaimer,≤100,1
580547819086043,Hirata Sakura - ICCRC,These ads ran without a disclaimer,≤100,1
545875115498387,Anexas Consultancy,These ads ran without a disclaimer,≤100,1
761528047280425,Medvoice.,These ads ran without a disclaimer,≤100,1
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,1
333141140132864,China.org.cn,These ads ran without a disclaimer,≤100,1
104099512361482,Funnies Now - Magazine,These ads ran without a disclaimer,≤100,2
116679401363112,Kelce Jam,These ads ran without a disclaimer,≤100,1
142329112477770,البنك الدولي,These ads ran without a disclaimer,≤100,1
886617328031302,African History,These ads ran without a disclaimer,≤100,1
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100,2
134331253305084,ITI International Team for Implantology,These ads ran without a disclaimer,≤100,1
1422513341405155,TAY,These ads ran without a disclaimer,≤100,1
19740928752,World Animal Protection,These ads ran without a disclaimer,≤100,2
106315305777404,Rafa Alatorre,These ads ran without a disclaimer,≤100,1
120223804387904,dailypositivityboost,These ads ran without a disclaimer,≤100,3
115138161487991,Surf Proxy,These ads ran without a disclaimer,≤100,1
107672048688554,Aproudtee,These ads ran without a disclaimer,≤100,1
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,1
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,1
114589821232581,Clean Energist,These ads ran without a disclaimer,≤100,1
149290745229517,Online Antisemitism Task Force,These ads ran without a disclaimer,≤100,1
1490336211217327,AudioPhix,These ads ran without a disclaimer,≤100,1
106837661915369,Hatzopoulos S.A.,These ads ran without a disclaimer,≤100,1
156279764411149,Times Higher Education,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,1
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100,1
105039417804164,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,1
100970059574672,Bisexual.org en Español,These ads ran without a disclaimer,≤100,1
104593458269168,Your Daily Fun Break,These ads ran without a disclaimer,≤100,5
107706102295108,Wire Tool,These ads ran without a disclaimer,≤100,2
722256984867966,Raytheon Missiles & Defense,These ads ran without a disclaimer,≤100,1
100146858886646,Sol Reyna Girouard,These ads ran without a disclaimer,≤100,1
520171088019503,Liforme,These ads ran without a disclaimer,≤100,1
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,1
2200139000274127,Top Speeder 2022,These ads ran without a disclaimer,≤100,2
561401207312234,StartUs,These ads ran without a disclaimer,≤100,1
124275457632741,ElectronicSpecifier,These ads ran without a disclaimer,≤100,2
102207552798601,Youth clicks,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
983135718420987,Visit Jiangsu,These ads ran without a disclaimer,≤100,1
316496640057,7iber,These ads ran without a disclaimer,≤100,1
130136833750497,IELTS Official,These ads ran without a disclaimer,≤100,1
100335168129927,The Walnut Fund,These ads ran without a disclaimer,≤100,1
100818661526701,Fondacija Alija Izetbegović,These ads ran without a disclaimer,≤100,1
137775936298821,HoneyTrek,These ads ran without a disclaimer,≤100,1
95775573753,Frontiers,These ads ran without a disclaimer,≤100,2
106784722385032,multiculturalnews,These ads ran without a disclaimer,≤100,1
116355337718182,Moli lulu,These ads ran without a disclaimer,≤100,6
138756620064262,Fanack.com of the Middle East and North Africa,These ads ran without a disclaimer,≤100,1
142914269087072,Cornell Lab of Ornithology,These ads ran without a disclaimer,≤100,1
35335786143,Cat Electric Power,These ads ran without a disclaimer,≤100,1
278728843932649,Vidin Was Taken,These ads ran without a disclaimer,≤100,1
109036555449915,Slenergy,These ads ran without a disclaimer,≤100,1
108061471650955,SoluTec,These ads ran without a disclaimer,≤100,1
122125810793113,Gam Speeder,These ads ran without a disclaimer,≤100,1
14957887077,Freedom House,These ads ran without a disclaimer,≤100,1
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,4
100427526341454,Active active,These ads ran without a disclaimer,≤100,1
111315691692431,João Pedro,These ads ran without a disclaimer,≤100,1
102211979093712,EdHeroes,These ads ran without a disclaimer,≤100,1
315543515306,Jing Daily,These ads ran without a disclaimer,≤100,1
113067177682259,PMD - Dogs is my  world,These ads ran without a disclaimer,≤100,3
105639025839199,Aiko Energy,These ads ran without a disclaimer,≤100,1
343786409509707,The East Gate,These ads ran without a disclaimer,≤100,2
101849728551147,Fun Break Central,These ads ran without a disclaimer,≤100,3
79511407410,Mercedes-AMG Petronas F1 Team,These ads ran without a disclaimer,≤100,1
109926928389181,Gabriel Nunes,These ads ran without a disclaimer,≤100,2
354397697217,IEEE Xplore,These ads ran without a disclaimer,≤100,1
418775708189870,Social Movement Technologies,These ads ran without a disclaimer,≤100,1
320948257943554,Бостонский Кругозор,These ads ran without a disclaimer,≤100,1
112272231777715,T O P O N I C A  -  zaplanjska,These ads ran without a disclaimer,≤100,1
430258463820053,International School of Ministry with Pastor Chris,These ads ran without a disclaimer,≤100,1
109355431916263,Ken Bediako - This life of Sports,These ads ran without a disclaimer,≤100,1
100200532855012,Pyrpose,These ads ran without a disclaimer,≤100,1
421320345307555,SORP - Платформа для бизнеса,These ads ran without a disclaimer,≤100,3
192434641302087,RoshdInsights,These ads ran without a disclaimer,≤100,1
110818941452003,Morehackz Stories,These ads ran without a disclaimer,≤100,3
161666143844859,Sandvik,These ads ran without a disclaimer,≤100,1
307682176615916,ACT2gether,These ads ran without a disclaimer,≤100,1
1673669186277733,Freeda,These ads ran without a disclaimer,≤100,1
108318715562829,Abi Espin,These ads ran without a disclaimer,≤100,1
109478375283558,Бесплатный женский Бьюти-практикум,These ads ran without a disclaimer,≤100,1
141271779363886,Christian Harfouche,These ads ran without a disclaimer,≤100,1
172348652806226,DEKRA,These ads ran without a disclaimer,≤100,1
110980888642151,Twibbon April,These ads ran without a disclaimer,≤100,4
269625093608402,"Pinar Yoldas,MA,MS,MFA,Ph.D.��",These ads ran without a disclaimer,≤100,1
150498365045300,Gruppo Colle S.r.l.,These ads ran without a disclaimer,≤100,1
