Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,1164808,87
608975645850217,Vattenfall,Vattenfall Sverige,975173,112
126567104406,Hyresgästföreningen,Hyresgästföreningen,691922,54
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,563887,64
151159271594797,Systembolaget,Systembolaget,384139,15
111630258867610,Röda Korset,Röda Korset,311647,50
643137272398136,Sverige för UNHCR,Sverige för UNHCR,294049,89
161213770567846,Operation Smile Sverige,Operation Smile Sverige,248984,17
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),201838,81
382243262003,Plan International Sverige,Plan International Sverige,184190,37
59324455950,UNICEF Sverige,UNICEF Sverige,182406,82
369582590803,Dagens ETC,ETC-tidningarna,164557,429
95735961890,Greenpeace Sverige,Greenpeace Sverige,160770,307
114262485262083,Konsumentverket,Konsumentverket,133509,8
72659261793,Rädda Barnen,Rädda Barnen,117648,125
162985227114132,Skellefteå Kraft,Skellefteå Kraft,115923,15
130927360876045,Tidningen Näringslivet,Tidningen Näringslivet,107245,71
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,99990,66
109886133732943,RESCUE - Sverige,RESCUE - Sverige,93473,6
186513678039755,Fortum,Fortum Sverige,92599,31
101341883359561,Matsmart Sverige,Matsmart,87640,12
150057951690751,OKQ8,OKQ8,78044,12
162372193827491,Yubico,These ads ran without a disclaimer,71441,13
18880778360,ActionAid Sweden,ActionAid Sweden,69383,13
239177706143268,Mobility Sweden,Mobility Sweden,67786,8
42676805259,Diakonia,Diakonia,66655,57
19746853632,Djurens Rätt,Djurens Rätt,63995,21
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,61675,55
130040890394815,Skånetrafiken,Skånetrafiken (Region Skåne),60613,4
576845979156129,Techarenan,Techarenan,55304,33
314872662206,Ekonomifakta,Ekonomifakta,47632,155
299065246064,"Seko, Service- och kommunikationsfacket","Seko, Service- och kommunikationsfacket",47104,35
133867976608,Naturskyddsföreningen,Naturskyddsföreningen,45666,21
153028052500,Kvinna till Kvinna,Stiftelsen Kvinna till Kvinna,45489,11
578953655567499,Jörgen Astonson,ETC Media AB,45000,3
153270724787,Amnesty International Sverige,Amnesty International Sverige,41184,75
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,39571,8
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,37745,21
293678655099,Europaparlamentets kontor i Sverige,Europaparlamentets kontor i Sverige,36434,11
237146235237,Timbro,Tankesmedjan Timbro,35778,79
194584990588253,Vattenfall,Vattenfall,35149,1
276108117859,Svenska Afghanistankommittén,Svenska Afghanistankommittén,31679,89
200480966638039,Supremacy 1914,These ads ran without a disclaimer,31190,4
195379633820701,Svenskt Kött,Svenskt Kött,28629,29
185459445735,Umeå universitet,Umeå universitet,28177,19
175656912484553,Unionen,Unionen,27926,51
72832167834,Skattebetalarnas Förening,Skattebetalarnas Förening,26830,57
111699453757094,Soft Towel Games,These ads ran without a disclaimer,26673,3
309283471958,Hyresgästföreningen Region Sydost,Hyresgästföreningen Region Sydost,26432,37
117109165023455,Nordnet,Nordnet Bank AB,25252,3
107898832590939,European Commission,European Commission,24458,14
100941935326134,RekonstruktionsGruppen,Rekonstruktionsgruppen Sverige AB,23456,18
128452220525979,CIVIL RIGHTS DEFENDERS,CIVIL RIGHTS DEFENDERS,23413,14
104760926229060,Uppsala kommun,Uppsala kommun,23068,23
103296115466644,Skattenytta,Kommissionen för Skattenytta,22879,14
266170183550491,Nya Kompisbyrån,Nya Kompisbyrån,22262,36
165168156799,Göteborgs-Posten,Göteborgs-Posten,21326,21
203547006337155,Göteborgs Stadsmission,Göteborgs Stadsmission,21004,10
234172635050,Forum för levande historia,Forum för levande historia,20955,12
440459709390224,Hitachi Energy,KSMG,20287,3
369122343101775,e.on,E.ON Sverige AB,19923,1
115212521895994,Vattenfall Eldistribution AB,Vattenfall Eldistribution AB,19684,4
440345132668081,UL,UL,19000,2
181590825305317,COWI Sverige,COWI Sverige,18490,27
118090278221826,Erikshjälpen,Erikshjälpen,17925,8
166406746310,Resumé,Resumé,17150,4
212604496324,Fackförbundet ST,Fackförbundet ST,17009,103
24574889995,Charlie Weimers MEP,Charlie Weimers,17000,1
239855722130,Nyhetsmagasinet Fokus,Fokus,16932,44
614939535271869,Tobias Baudin,Socialdemokraterna,16880,6
328754490337,Vårdförbundet,Vårdförbundet,16485,30
8040892957,Socialdemokraterna,Socialdemokraterna,16415,22
24574889995,Charlie Weimers MEP,Charlie Weimers MEP,15542,4
387421644643053,Hyresgästföreningen BohusÄlvsborg-Skaraborg,Hyresgästföreningen BohusÄlvsborg-Skaraborg,15122,18
506685746198996,DebattNytt,Bror Carl Jakobsson,15000,3
343591900666,Gröna Lund,The Amazing Society,15000,3
1089666701084947,Timbro förlag,Timbro Förlag,14839,6
230255653832332,Al-Ayn for Social Care Sweden,Al Ayn For Social Care Sweden,13842,6
193309030695120,UR,UR,13801,34
61602439009,NCC,NCC,13436,11
653072158104424,Emma Wiesner,Emma Wiesner,13375,4
1402657726653154,Hallå konsument,Konsumentverket,13350,5
1005361066218702,Norrtåg,Norrtåg,13168,1
114736451897793,Socialdemokraterna i Södertälje,Socialdemokraterna i Södertälje,13092,7
167036616661188,Sverigedemokraterna Malmö,Sverigedemokraterna Malmö,13073,11
106579105171694,ETC nyhetsmagasin,ETC Media AB,13004,10
117109165023455,Nordnet,These ads ran without a disclaimer,12786,2
296423575695,Afrikagrupperna,Afrikagrupperna,12526,17
155824787799,EU-kommissionen i Sverige,EU-kommissionen i Sverige,12347,9
261455205686,LRF,LRF,12297,13
356032977210,Vi-skogen,Vi-skogen,12290,11
312084019369,Dagens Medicin,Dagens Medicin,12214,1
132008873631170,Skatteverket,Skatteverket,12000,2
