Page ID,Page name,Disclaimer,Amount spent (SGD),Number of ads in Library
219541704832846,National Reading Movement,National Reading Movement,7596,15
200480966638039,Supremacy 1914,These ads ran without a disclaimer,5271,2
108973843175,WWF-Singapore,WWF – World Wide Fund for Nature (Singapore),3435,32
1431290720462304,The Best of You - Julie's,Julie’s Manufacturing Sdn. Bhd.,2820,30
115161084044,World Vision Singapore,World Vision Singapore,2629,35
262901137100137,Caritas Singapore,Caritas Singapore,2415,10
349837171746401,Ministry of Trade & Industry,"Ministry of Trade and Industry, Singapore",1947,12
699812100045380,SG Enable,SG Enable,1816,12
425106448078044,"Ministry of Law, Singapore","Ministry of Law, Singapore",1636,4
176678252464215,OCBC Bank,OCBC Bank,1514,1
425106448078044,"Ministry of Law, Singapore",These ads ran without a disclaimer,1293,3
176560205832891,Our SG – Home of Forward SG,Our SG – Home of Forward SG,1113,10
219808688070361,Ministry of Sustainability and the Environment,Ministry of Sustainability and the Environment,826,7
160823460655497,Lianhe Zaobao 联合早报,Lianhe Zaobao 联合早报,822,9
129011692114,The Straits Times,The Straits Times,813,10
1531909430459040,Schneider Electric,Schneider Electric,767,4
403165229849291,Smart Nation Singapore,Smart Nation and Digital Government Office (SNDGO),710,4
1666198156933823,The Malayan Council,These ads ran without a disclaimer,646,1
136982159795537,Institute of Policy Studies - IPS,Institute of Policy Studies,609,3
453961014813944,UOB,UOB,600,1
106569972063835,吳宗憲減肥線上專門店,These ads ran without a disclaimer,596,1
467260466759436,Global Ehsan Relief,Global Ehsan Relief,486,10
166565800052060,ConnexionSG,Nexus,442,15
1468082613467781,Nee Soon Town Council,Nee Soon Town Council,434,21
836689413097228,Our Grandfather Story,Our Grandfather Story,395,2
477009055671222,Austral Migration Consultancy - Immigration Law Professionals,These ads ran without a disclaimer,386,1
699812100045380,SG Enable,These ads ran without a disclaimer,376,1
152818334765026,Saxo Markets Singapore,These ads ran without a disclaimer,314,7
125279958350,Give.Asia,These ads ran without a disclaimer,308,8
123698491019029,Lombard Odier Group,These ads ran without a disclaimer,306,2
147322899276238,Schroders Singapore,Schroder Investment Management (S) Ltd,300,1
147858757571,TODAY,These ads ran without a disclaimer,296,1
256953359544240,ExxonMobil Singapore,ExxonMobil,263,6
106517704482191,Youthopia SG,National Youth Council,241,6
343347583411734,歡樂大東家,These ads ran without a disclaimer,189,7
93889432933,CNA,These ads ran without a disclaimer,181,1
