Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
114597496654474,necenzurirano.si,Necenzurirano.si,746,66
108722132119686,"Ministrstvo za okolje, podnebje in energijo","MINISTRSTVO ZA OKOLJE, PODNEBJE IN ENERGIJO",306,10
98358327274,Pirati,Piratska stranka Slovenije,262,8
178362315106,European Parliament,European Parliament,224,32
111314452327761,NSi,NSi,200,1
355936791572292,Mabat Int,Mabat Int d.o.o.,190,8
195508530477478,Greenpeace Slovenija,Greenpeace v Sloveniji,172,6
152400648234312,Novice Svet24,Novice Svet24,149,26
548680265650348,Resni.ca,Državljansko gibanje Resni.ca,133,3
106096415500645,Vladimir Prebilič,Vladimir Prebilič,130,7
147547541961576,Council of the European Union,Council of the European Union,110,11
285304408294792,Levica,Levica,101,2
705411846195424,PIC - Pravni center za varstvo človekovih pravic in okolja,PIC - Pravni center za varstvo človekovih pravic in okolja,≤100,6
387199461316883,Radgonske gorice,Radgonske gorice,≤100,8
21735922731,FDV - Fakulteta za družbene vede,"Fakulteta za družbene vede, Univerza v Ljubljani",≤100,2
118732408240516,Mirovni inštitut,Mirovni inštitut,≤100,3
12312811394,Časnik Finance,Časnik Finance d.o.o.,≤100,1
27886062979,Rachel Bay Jones,These ads ran without a disclaimer,≤100,1
103298842400990,Portal24.si,Portal 24 (Agencija Rudolf d.o.o.),≤100,3
108972684964539,Vesna zelena stranka,VESNA - zelena stranka,≤100,2
1783104185252620,Metropolitan Slovenija,"Adria Media Ljubljana, založništvo in trženje, d.o.o.",≤100,3
109866595057614,Business LF,These ads ran without a disclaimer,≤100,11
148742975257004,Evropska sredstva,Evropska sredstva,≤100,2
109817598817549,Ava Fulton,These ads ran without a disclaimer,≤100,5
107898832590939,European Commission,European Commission,≤100,6
108803279164840,Amnesty Slovenije,Amnesty Slovenije,≤100,2
1667141306866206,Epijače,Epijače,≤100,3
157689954242062,BMW Slovenija,These ads ran without a disclaimer,≤100,1
330419613491907,New page 846,These ads ran without a disclaimer,≤100,1
114195248290569,Cinema CentralSuccess StoriesCreative Concepts,These ads ran without a disclaimer,≤100,1
1665270940433796,ZA Slovenijo - Glas za otroke in družine,Za Slovenijo - Glas za otroke in družine,≤100,2
191834367350890,JEK2,These ads ran without a disclaimer,≤100,1
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100,18
1390665271173768,SLS Zagorje ob Savi,SLS Zagorje ob Savi,≤100,1
199408453438851,Tax-Fin-Lex,Tax-Fin-Lex d.o.o.,≤100,1
788219851322552,Štartaj Slovenija,These ads ran without a disclaimer,≤100,1
637794580183857,Hiyang by Yumi,These ads ran without a disclaimer,≤100,1
105074178776648,Jedrska.si,Eposavje Media d.o.o.,≤100,1
109730291660435,2.5 million de vu,These ads ran without a disclaimer,≤100,1
182328488816688,Balkan River Defence,Balkan River Defence,≤100,1
623668101010260,HOFER Slovenija,These ads ran without a disclaimer,≤100,2
125574307313590,Zapustimo NATO,Zapustimo NATO,≤100,2
2838762196141544,Oštro,These ads ran without a disclaimer,≤100,1
101837288924546,Muslimi,These ads ran without a disclaimer,≤100,14
0,Instagram User 5854098913,These ads ran without a disclaimer,≤100,1
113445905388170,Universität Graz,These ads ran without a disclaimer,≤100,1
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100,5
111060145171988,florjanmaribor,These ads ran without a disclaimer,≤100,1
314190925119936,Sladka Kavarna Lük,These ads ran without a disclaimer,≤100,1
1081397941902565,Zlati Časi,These ads ran without a disclaimer,≤100,1
422286081891720,Razkrinkavanje,"Oštro, center za preiskovalno novinarstvo v jadranski regiji",≤100,1
105753827466257,Association for Developing Voluntary Work Novo mesto,These ads ran without a disclaimer,≤100,1
165296970292378,Poskočni muzikanti,These ads ran without a disclaimer,≤100,1
269727732900277,Reto,These ads ran without a disclaimer,≤100,1
222383834299042,Zbornica davčnih svetovalcev Slovenije - ZDSS,These ads ran without a disclaimer,≤100,1
1290610167737080,Triglav Skladi,These ads ran without a disclaimer,≤100,1
107117445556367,Dragons Tell Tales,These ads ran without a disclaimer,≤100,1
367465280120665,Arrebatos,These ads ran without a disclaimer,≤100,2
107491711419874,Kohezija za vse,Kulturno izobraževalno društvo PiNA,≤100,1
100142138926838,Florjan - kavarna na Grajskem trgu,These ads ran without a disclaimer,≤100,1
610696639428997,VEOCEL,These ads ran without a disclaimer,≤100,1
495238213863551,Pivo in cvetje Laško,These ads ran without a disclaimer,≤100,1
138278482866502,The Wrestling Game,These ads ran without a disclaimer,≤100,1
103073362874458,Business Brilliance,These ads ran without a disclaimer,≤100,1
101869252545585,House of Power: The Game,These ads ran without a disclaimer,≤100,18
104104864572746,See Check,These ads ran without a disclaimer,≤100,3
108941249155931,Science and Nonduality Conference,These ads ran without a disclaimer,≤100,1
105394405894896,Helpster Charity,These ads ran without a disclaimer,≤100,2
170578859467775,Harainbow,These ads ran without a disclaimer,≤100,12
95775573753,Frontiers,These ads ran without a disclaimer,≤100,3
0,Instagram User 5223431883,These ads ran without a disclaimer,≤100,1
1314636791961346,Lovecraftians,These ads ran without a disclaimer,≤100,1
107015004441446,Undeniable Clothing,These ads ran without a disclaimer,≤100,1
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,7
120911604434578,Deen Wear,These ads ran without a disclaimer,≤100,1
272782365921087,Elizabeth Williams,These ads ran without a disclaimer,≤100,4
408076219324347,Schär,These ads ran without a disclaimer,≤100,1
251360678068375,Newblacks,These ads ran without a disclaimer,≤100,11
131189377574,MDPI,These ads ran without a disclaimer,≤100,3
313770098478441,Home SafeHaven,These ads ran without a disclaimer,≤100,1
387199461316883,Radgonske gorice,These ads ran without a disclaimer,≤100,2
103924012521001,Consigliere_Lubiana,These ads ran without a disclaimer,≤100,1
331965446932156,HORIZON: the EU Research & Innovation magazine,These ads ran without a disclaimer,≤100,2
322001340991936,Achicms,These ads ran without a disclaimer,≤100,6
211928638679961,Palestinelivesmatter,These ads ran without a disclaimer,≤100,2
215376148334616,EeyeOpener,These ads ran without a disclaimer,≤100,1
1798435720478073,新華香港,These ads ran without a disclaimer,≤100,3
108245017766966,Madinah US,These ads ran without a disclaimer,≤100,2
102571019110150,EU Youth Cinema: Green Deal,These ads ran without a disclaimer,≤100,4
154805874557786,Ivan Zimbitskiy,These ads ran without a disclaimer,≤100,1
380946205092448,Фонд Европейцев,These ads ran without a disclaimer,≤100,4
1896993947201599,Basso.official,These ads ran without a disclaimer,≤100,1
105074178776648,Jedrska.si,These ads ran without a disclaimer,≤100,1
1562489730733029,Internationale Büros,These ads ran without a disclaimer,≤100,1
101889798421306,GrowthCoop,These ads ran without a disclaimer,≤100,1
1087491177963859,EU vs Disinformation,These ads ran without a disclaimer,≤100,1
41649181570,Ensemble Lucidarium,These ads ran without a disclaimer,≤100,1
389129157610264,Funwardrobe,These ads ran without a disclaimer,≤100,2
100304352958623,prahlhans.at,These ads ran without a disclaimer,≤100,1
108582602051935,Velike priče,These ads ran without a disclaimer,≤100,2
238675626001486,Alestiklal English,These ads ran without a disclaimer,≤100,3
110038557114533,Imagine5,These ads ran without a disclaimer,≤100,1
118356801554598,EU Food & Farming,These ads ran without a disclaimer,≤100,2
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,1
122508937603355,Cyberpolice news,These ads ran without a disclaimer,≤100,1
108070493931655,Zürcher Presse,These ads ran without a disclaimer,≤100,3
468038140636181,SALTO European Solidarity Corps,These ads ran without a disclaimer,≤100,1
103133561429911,Narvalo,These ads ran without a disclaimer,≤100,1
113949954993614,MENA Research Center,These ads ran without a disclaimer,≤100,1
385703234618940,LibertyPrint,These ads ran without a disclaimer,≤100,1
753347444715991,Berlin International University of Applied Sciences,These ads ran without a disclaimer,≤100,1
188789377812793,Kongsberg Gruppen,These ads ran without a disclaimer,≤100,1
229087490286658,USA Today 2X,These ads ran without a disclaimer,≤100,2
108957242065834,Notionnovel,These ads ran without a disclaimer,≤100,1
