Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,24527,113
163449818290,KDH,KDH,9070,158
309315359104222,Milan Majerský,KDH,8488,135
600235073447674,Sme rodina,Sme rodina,7767,54
71030757230,Sloboda a Solidarita,Sloboda a Solidarita,6099,140
184760561603680,Richard Sulik,Sloboda a Solidarita,4228,109
194278021265803,Michal Šimečka • Progresívne Slovensko,Michal Šimečka • Progresívne Slovensko,3436,34
403027089864701,Peter Pellegrini,HLAS - sociálna demokracia,3386,68
101069575386725,Slovensko Zálohuje,‍Správca zálohového systému n.o.,3159,88
117195501273420,Mali ešte žiť,OZ Pozostalí za spravodlivosť,3039,52
194278021265803,Michal Šimečka • Progresívne Slovensko,Progresívne Slovensko,2518,31
111165370750,Amnesty International Slovakia,Amnesty International Slovakia,2442,8
53247283454,Hospodárske noviny,Mafra Slovakia a.s.,2381,136
116961031326577,Demokrati,Demokrati,2092,14
1928247723902365,Humánny pokrok,Humánny pokrok,2051,11
396331590493376,Miroslav Žiak,Sloboda a Solidarita,1875,4
139025019440898,Inštitút ľudských práv - Human Rights Institute,Inštitút ľudských práv - Human Rights Institute,1732,29
557862947737785,Progresívne Slovensko,Progresívne Slovensko,1667,26
231177683632352,Branislav Gröhling - Vzdelanie je budúcnosť krajiny,Sloboda a Solidarita,1648,21
732167026967322,Robert Fico,Robert Fico,1634,40
409652449379928,"Ministerstvo investícií, regionálneho rozvoja a informatizácie SR","Ministerstvo investícií, regionálneho rozvoja a informatizácie Slovenskej republiky",1604,10
113775847050590,HLAS - sociálna demokracia,HLAS - sociálna demokracia,1569,47
107264447436170,Marián Viskupič,Sloboda a Solidarita,1531,6
403027089864701,Peter Pellegrini,Peter Pellegrini,1436,22
178362315106,European Parliament,European Parliament,1349,71
1501859650125625,Vladimír Bilčík,Vladimír Bilčík,1237,15
105131888394144,Team Bratislava,Team BA,1219,10
147166706140048,Martin Hojsík,Martin Hojsík,1206,31
109669047774695,Brainee.sk,Mafra Slovakia a.s.,1099,188
100171861388723,Branislav Becík,Branislav Becik,974,5
2322076957827734,Ladislav Kamenický,Ladislav Kamenický,898,65
186953775142661,ESET,"ESET, spol. s r.o.",891,10
102200698451761,Gyimesi György,Gyimesi György - NRSR,891,10
2308492039426614,Úrad vlády Slovenskej republiky,Úrad vlády Slovenskej republiky,887,11
367397770311396,Penta - Zlepšujeme zdravotníctvo,These ads ran without a disclaimer,882,8
223625988108197,ACN – Pomoc trpiacej Cirkvi,These ads ran without a disclaimer,879,1
239469252869008,Kino Film Europe,Kino Film Europe,800,33
1075981519276261,Mária Kolíková,Sloboda a Solidarita,775,16
100743749983196,SlovakAid,SlovakAid,700,10
