Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
115610190354167,Maguette Sène Officiel,Maguette Sène Officiel,449,1
1617675735213228,Barthelemy DIAS l'Officiel,Barthelémy Toye Dias,253,4
105708120879544,Déthié FALL Officiel,Djibril Beye,166,12
101576436228266,Ndongo2024,Ndongo Ndiaye,136,9
641572929530326,Actu221.net,Mamadou Moustapha Ndiongue,≤100,7
110986297266758,Mamadou Saliou Sow,Raissa Bindia,≤100,1
1495287077369181,"Killé Sakho, Maire de Diawara",Sakho Killé,≤100,6
2334575323454794,Direction de l'Etat civil - DEC,These ads ran without a disclaimer,≤100,4
104189875729285,Meleye Seck l'officiel,Meleye Seck,≤100,8
526951861141088,OFBD Marketing - Communication,Abdoulaye Niass,≤100,2
102810121156083,Oumar Sow l'officiel,These ads ran without a disclaimer,≤100,1
310748626276060,RFI Fulfulde,These ads ran without a disclaimer,≤100,1
109233938648556,impressionplus221,These ads ran without a disclaimer,≤100,1
103155314421653,Abdourahim Kebe,These ads ran without a disclaimer,≤100,1
163629387105042,APS (Agence de Presse Sénégalaise),APS (Agence de Presse Sénégalaise),≤100,1
1477737555772930,Sope Macky,These ads ran without a disclaimer,≤100,1
1477737555772930,Sope Macky,These ads ran without a disclaimer,≤100,1
371227786709544,Refund Express LLC,These ads ran without a disclaimer,≤100,1
110865364818823,Codou Thiam_L’officiel,Codou Thiam_L’officiel,≤100,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
102502621977163,UAE Africa Connect,These ads ran without a disclaimer,≤100,2
106503408867112,KVN santé bio,These ads ran without a disclaimer,≤100,5
103499856001323,LE Kaolackois,These ads ran without a disclaimer,≤100,5
109971654204811,Bouna Kanté l'Officiel,These ads ran without a disclaimer,≤100,2
104342455946650,Maycafrica,These ads ran without a disclaimer,≤100,2
1967460566917027,Maïmouna Dieye l'officiel,These ads ran without a disclaimer,≤100,1
233882819958560,Le Quotidien,These ads ran without a disclaimer,≤100,2
635754339866216,Ministère de l'Eau et de l'Assainissement,Ministère de l'Eau et de l'Assainissement,≤100,2
1997586607004744,Bio & Beauty,These ads ran without a disclaimer,≤100,1
106246622477363,Mr le Maire Babacar Diop,These ads ran without a disclaimer,≤100,1
881675718576355,VIP Diffusion Presse,These ads ran without a disclaimer,≤100,3
1500622100171461,Bolivar FM 99.4 MAMOU,These ads ran without a disclaimer,≤100,1
109435718154347,Cheikh Baye Hady Ibrahima Niass,These ads ran without a disclaimer,≤100,1
105985367535605,Pape Mamadou DIOP,These ads ran without a disclaimer,≤100,1
104550862632912,Grande Mosquée de Dakar - Officiel,These ads ran without a disclaimer,≤100,2
105053308746686,Cheikh baye ibrahima niass,These ads ran without a disclaimer,≤100,1
106875275519862,Morocco AM 2023,These ads ran without a disclaimer,≤100,1
418775708189870,Social Movement Technologies,These ads ran without a disclaimer,≤100,1
102498712811379,Africa Technology Conference,These ads ran without a disclaimer,≤100,3
107967534815674,Vahid immigration Canadian,These ads ran without a disclaimer,≤100,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,1
398303717610007,Sawa Organisation,These ads ran without a disclaimer,≤100,2
1840617676028308,MC Max 大力,These ads ran without a disclaimer,≤100,1
109346518678480,Présidence de Len-sénégal,These ads ran without a disclaimer,≤100,1
108048218871996,Média Afrique News,These ads ran without a disclaimer,≤100,1
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,3
565225540184937,CGTN,These ads ran without a disclaimer,≤100,6
668701066598159,مجلس حكماء المسلمين,These ads ran without a disclaimer,≤100,4
105025002375182,PMF Store,These ads ran without a disclaimer,≤100,1
106758665575543,Amis de la Palastine,These ads ran without a disclaimer,≤100,1
100696586305964,Fine Art Photography Prints by Rico X.,These ads ran without a disclaimer,≤100,1
100172476278127,Easy Study,These ads ran without a disclaimer,≤100,1
1336018219830381,Salon International des Transports - Sitrans 2022,These ads ran without a disclaimer,≤100,1
354397697217,IEEE Xplore,These ads ran without a disclaimer,≤100,1
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,4
101054365776547,Charming Changzhou,These ads ran without a disclaimer,≤100,1
229673247503143,Ministère d'Etat de l'intégration Régionale RDC,These ads ran without a disclaimer,≤100,1
1655478897929127,Ladies Social Network,These ads ran without a disclaimer,≤100,1
315543515306,Jing Daily,These ads ran without a disclaimer,≤100,1
1469752156670918,Youth China,These ads ran without a disclaimer,≤100,1
427648547297783,Hasan Ismaik - حسن إسميك,These ads ran without a disclaimer,≤100,4
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,6
423158101608033,Serigne Baye Niasse tandiang  l'officiel,These ads ran without a disclaimer,≤100,1
425468610983737,Culture Creators,These ads ran without a disclaimer,≤100,1
142329112477770,البنك الدولي,These ads ran without a disclaimer,≤100,6
115225196522482,Camarade Jeff Roméo Apanga,These ads ran without a disclaimer,≤100,1
983135718420987,Visit Jiangsu,These ads ran without a disclaimer,≤100,1
125540182400469,The Daily Resource,These ads ran without a disclaimer,≤100,4
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,2
126475860739425,United Nations Research Institute for Social Development (UNRISD),These ads ran without a disclaimer,≤100,1
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,3
131664893560695,Origins OSU,These ads ran without a disclaimer,≤100,1
114026108279517,FADA L’Espoir,These ads ran without a disclaimer,≤100,1
181206425370207,Vivien Patrice Lloyd Amos Makaga Péa,These ads ran without a disclaimer,≤100,1
115575820139019,Af Fhyf,These ads ran without a disclaimer,≤100,1
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
457161944345756,Sawa Organization مؤسسة سوا,These ads ran without a disclaimer,≤100,1
152125264826246,Wilo Group,These ads ran without a disclaimer,≤100,1
430258463820053,International School of Ministry with Pastor Chris,These ads ran without a disclaimer,≤100,1
102998939765184,Persian bms,These ads ran without a disclaimer,≤100,3
100501176355250,Mouhamadou Dieng,These ads ran without a disclaimer,≤100,1
107889775480625,Honorable Député Astou Ndiaye,These ads ran without a disclaimer,≤100,1
1673669186277733,Freeda,These ads ran without a disclaimer,≤100,1
104021815480085,Mian Media,These ads ran without a disclaimer,≤100,2
100110713080001,Les Pros Sonko TV,These ads ran without a disclaimer,≤100,1
102747082347132,Papadiouf.com,These ads ran without a disclaimer,≤100,1
108061471650955,SoluTec,These ads ran without a disclaimer,≤100,5
562471887119419,DHL Africa,These ads ran without a disclaimer,≤100,1
606117676714191,Yoyoasema,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,2
116679401363112,Kelce Jam,These ads ran without a disclaimer,≤100,2
154680184946903,Superplastic,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,9
918318338180165,CHINT GROUP,These ads ran without a disclaimer,≤100,1
101179095098420,Zone Optimum Health,These ads ran without a disclaimer,≤100,1
576690225840098,Contending Modernities,These ads ran without a disclaimer,≤100,2
100912541413695,Más Impulso,These ads ran without a disclaimer,≤100,3
722256984867966,Raytheon Missiles & Defense,These ads ran without a disclaimer,≤100,1
429957570419097,Professor Israel,These ads ran without a disclaimer,≤100,1
104099512361482,Funnies Now - Magazine,These ads ran without a disclaimer,≤100,1
333141140132864,China.org.cn,These ads ran without a disclaimer,≤100,1
105154078214139,The Betts Firm,These ads ran without a disclaimer,≤100,1
345840486219924,Energy China,These ads ran without a disclaimer,≤100,1
110993941170214,ChidoBook,These ads ran without a disclaimer,≤100,1
107706102295108,Wire Tool,These ads ran without a disclaimer,≤100,2
101335125357095,Czapp,These ads ran without a disclaimer,≤100,1
107954162096392,Institute of Public Policy & Diplomacy Research,These ads ran without a disclaimer,≤100,1
500259383489171,Guidable,These ads ran without a disclaimer,≤100,1
108807418502504,White Windmills on the Aegean Coast,These ads ran without a disclaimer,≤100,1
111132794348779,That Happened,These ads ran without a disclaimer,≤100,2
