Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
100524251686344,Gustavo Acevedo,Gustavo Jose Acevedo Berganza,4718,9
162379173778716,Alcaldía de San Salvador,Alcaldía de San Salvador,2250,7
348470785241655,Ministerio de Agricultura y Ganadería de El Salvador,Ministerio de Agricultura y Ganadería de El Salvador,1200,9
110921815217530,Óscar Domínguez,Ministerio de Agricultura y Ganadería,600,6
100810802129737,Eduardo Amaya,Eduardo Amaya,296,9
102681318100638,Juan Carlos Zepeda Marroquín,Juan Carlos Zepeda Marroquin,189,17
112965936735413,Suni Cedillos,Suni Cedillos,160,11
211001456327934,Walter Alemán,Erick Rico,146,11
890916994384759,Rafael Arévalo,Rafael Edgardo Arévalo González,137,8
108213030904997,Ricardo Rivas,Ricardo Rivas,130,13
147858435252169,Embajada de los Estados Unidos en El Salvador,Embajada de Estados Unidos en El Salvador,115,8
113741760488368,Ángel Lobos,Hepsy Alvarado,101,7
111971561872636,Oilprofit,These ads ran without a disclaimer,≤100,1
795975680543466,Mario Durán,Mario Edgardo Duran Gavidia,≤100,1
421104621589691,Cristian Flores,Presidencia de la República de El Salvador,≤100,1
108916810739597,Douglas Najarro,Douglas Najarro,≤100,23
1375812332671028,EUDE Business School Escuela Europea de Dirección y Empresa,These ads ran without a disclaimer,≤100,2
407043903115102,Marcela Pineda,Marcela Pineda,≤100,3
643513979193133,Justicia para Beatriz,Neuma,≤100,2
101492829412289,Caleb Navarro,Caleb Navarro,≤100,3
893012964073549,Francisco Villatoro,Francisco Josue Garcia Villatoro,≤100,5
107593641052290,Juan Rodriguez,Juan Alberto Rodriguez Escobar,≤100,3
1935947973198237,Alcaldía El Paraíso Chalatenango,Alexi Antonio Escalante Galdamez,≤100,4
100456328373090,Samuel Martínez,Erick Erazo,≤100,3
856012741442139,Ipas LAC,Neuma,≤100,3
107660984785868,LPT Noticias,Rodrigo Alejandro,≤100,3
111684638235538,Soyapango UNIDO,Jacob Josafat Benitez Carrillo,≤100,8
100568368335023,Fatima Esmeralda Ascencio,Esmeralda Asencio,≤100,32
100639204881840,José Urbina,These ads ran without a disclaimer,≤100,5
120737174300396,Julio Marroquín,Julio Marroquín,≤100,3
1531989613708185,Sindicato de los Trabajadores de la Corte de Cuentas de la República,These ads ran without a disclaimer,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
124389362289333,Sinai Hernandez,Sinai Hernandez,≤100,4
105576964393420,Rebeca Santos,Rebeca Santos,≤100,3
269601400112823,Raúl Chamagua,Jose Raúl Chamagua Noyola,≤100,4
108741434881155,Seguros Sura Latam,These ads ran without a disclaimer,≤100,1
113359081680741,Edwin Serpas,Edwin Serpas,≤100,3
116789931372582,Fuerza Solidaria Sonzacate,These ads ran without a disclaimer,≤100,1
102488864666696,Lorena Fuentes,Lorena Fuentes,≤100,1
915334128602551,Reynaldo Carballo,These ads ran without a disclaimer,≤100,1
1478313882490785,Iglesia Del Camino Central,These ads ran without a disclaimer,≤100,1
701253336579808,Revista GatoEncerrado,These ads ran without a disclaimer,≤100,1
890916994384759,Rafael Arévalo,These ads ran without a disclaimer,≤100,2
112309875494277,Cámara de Comercio e Industria de El Salvador,These ads ran without a disclaimer,≤100,1
107990917616047,Saúl Mancía,Saúl Mancía,≤100,1
111068584084206,Enrique Guzmán,These ads ran without a disclaimer,≤100,1
327288267677323,"Renta de mesas, sillas e inflables La Familia",These ads ran without a disclaimer,≤100,1
329121923899942,Rufina Zumbafitness&GX,These ads ran without a disclaimer,≤100,1
191014414284574,Alcaldía de Sonsonate,Rafael Edgardo Arévalo González,≤100,1
104444729065513,Victoria Segovia,These ads ran without a disclaimer,≤100,12
100490729492964,Sebastian Bello,These ads ran without a disclaimer,≤100,40
108754911905293,Senator Casino El Salvador,These ads ran without a disclaimer,≤100,2
109687710537971,Graciela Guerra,These ads ran without a disclaimer,≤100,1
100340001612148,Haciendo Historia,Haciendo Historia,≤100,1
224011722197507,Doctor Luis Armando Figueroa,Doctor Luis Armando Figueroa,≤100,1
687377971693082,Mundo Digital,Mundo Digital,≤100,3
101710084928516,Dr. Bryan Orellana,Dr. Bryan Orellana,≤100,1
102488864666696,Lorena Fuentes,These ads ran without a disclaimer,≤100,1
110407973960094,Esteban urbina,These ads ran without a disclaimer,≤100,2
100600851726897,Marta Pineda de Navas,Marta Pineda de Navas,≤100,1
105634634448246,Vision Integral Comunitaria,These ads ran without a disclaimer,≤100,1
101373438174718,Integra International Services,These ads ran without a disclaimer,≤100,1
110078982004455,Iván Villatoro,Iván Villatoro,≤100,2
108318715562829,Abi Espin,These ads ran without a disclaimer,≤100,16
101807358967959,Alerta GT,Alerta GT,≤100,2
106691041080484,Fernando Monge,These ads ran without a disclaimer,≤100,1
82928774489,Panda Security,These ads ran without a disclaimer,≤100,4
113067177682259,PMD - Dogs is my  world,These ads ran without a disclaimer,≤100,3
1575300589428722,Tony Flores Oficial,These ads ran without a disclaimer,≤100,1
152914224736727,Banco Mundial,These ads ran without a disclaimer,≤100,3
102257292713372,Alejandra Morales,These ads ran without a disclaimer,≤100,30
100750964783297,Michel Pérez,These ads ran without a disclaimer,≤100,3
2092990554258548,Cardiólogo. Dr. Samuel Merino Barrera,These ads ran without a disclaimer,≤100,1
420916501408724,Smart City Expo Latam Congress,These ads ran without a disclaimer,≤100,2
337885242898386,Alianza Francesa San Salvador,These ads ran without a disclaimer,≤100,1
1899604426783345,Arena Gotera,These ads ran without a disclaimer,≤100,1
107341240841296,Efraín Guatemala,Rikrdo Lopez,≤100,1
100979089555293,Jose Bedoya,These ads ran without a disclaimer,≤100,12
100913359211007,El Informativo SV,These ads ran without a disclaimer,≤100,1
1021243551274316,ONU Mujeres El Salvador,These ads ran without a disclaimer,≤100,1
2279264422124393,Vibra Latina Houston,These ads ran without a disclaimer,≤100,3
100198289547739,Elias Rosas,These ads ran without a disclaimer,≤100,1
102223416201772,Albertillo Sandoval,These ads ran without a disclaimer,≤100,2
101492829412289,Caleb Navarro,These ads ran without a disclaimer,≤100,1
109234018766722,Arkad-03,These ads ran without a disclaimer,≤100,1
114715478551564,AFP CONFIA,These ads ran without a disclaimer,≤100,1
108824531264476,BLESS Foundation,These ads ran without a disclaimer,≤100,1
249247042460122,Nelson Martinez,Nelson Martinez,≤100,1
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,4
104363059137564,innovo_pro,These ads ran without a disclaimer,≤100,1
105900552270698,Sofia Adara,These ads ran without a disclaimer,≤100,9
2119731394779355,Cocido Chapin,Cocido Chapin,≤100,1
1465646276779035,Los Secretos Judíos,These ads ran without a disclaimer,≤100,5
150242128346693,SURA Latam,These ads ran without a disclaimer,≤100,1
1803279899993382,"Ni Una Palmadita, Fernanda Restrepo",These ads ran without a disclaimer,≤100,3
119374147792667,ARENA Renovacion San Martin,These ads ran without a disclaimer,≤100,1
168784053795347,Fondo Monetario Internacional,These ads ran without a disclaimer,≤100,1
106240645130800,Hebras Hair & Nails Salon,These ads ran without a disclaimer,≤100,1
112554578302502,Exclusive Salón,These ads ran without a disclaimer,≤100,1
103172549436914,Noticias del mundo todos los días,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,2
1521809394800382,Angel Madrid,These ads ran without a disclaimer,≤100,1
103905255212065,Gomez Productions,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,20
1359136157453700,Bere Ramos,These ads ran without a disclaimer,≤100,6
