Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
1436299010025854,Актуальные Новости 24/7,These ads ran without a disclaimer,≤100,3
382593271595605,News KRG,These ads ran without a disclaimer,≤100,3
180880281784600,Bachok23,These ads ran without a disclaimer,≤100,5
339693305887509,Bobileva Ulyana,These ads ran without a disclaimer,≤100,2
101837288924546,Muslimi,These ads ran without a disclaimer,≤100,15
236922746175578,Taranets Christina,These ads ran without a disclaimer,≤100,2
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,3
144776752025,Голос Америки,These ads ran without a disclaimer,≤100,2
341477442384687,Jodie page 2,These ads ran without a disclaimer,≤100,1
102241316165270,Una finestra aperta,These ads ran without a disclaimer,≤100,5
503569446649440,التحالف الدولي,These ads ran without a disclaimer,≤100,6
1399933563560497,"Romanian Service, China Radio International",These ads ran without a disclaimer,≤100,1
1493551577321676,Chery International,These ads ran without a disclaimer,≤100,3
108245017766966,Madinah US,These ads ran without a disclaimer,≤100,2
366941060700822,Sinopec in Saudi Arabia,These ads ran without a disclaimer,≤100,3
339932985874704,Flux VPN,These ads ran without a disclaimer,≤100,1
282460974942156,YurtOnline,These ads ran without a disclaimer,≤100,1
243399489359373,Kun.KZ,These ads ran without a disclaimer,≤100,1
367926196402485,Saveiran,These ads ran without a disclaimer,≤100,1
116261421370057,Weifang Moment,These ads ran without a disclaimer,≤100,1
295545446986602,teotemurrr._.fan,These ads ran without a disclaimer,≤100,1
342526129176907,World Maritime University - headquarters,These ads ran without a disclaimer,≤100,1
165421103319259,Attix Simon Brandy,These ads ran without a disclaimer,≤100,2
138278482866502,The Wrestling Game,These ads ran without a disclaimer,≤100,1
251360678068375,Newblacks,These ads ran without a disclaimer,≤100,3
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,2
223495844457800,China Plus Culture,These ads ran without a disclaimer,≤100,1
1183197131713150,에쓰-오일,These ads ran without a disclaimer,≤100,2
114025938452734,FactFusion,These ads ran without a disclaimer,≤100,1
187429968296722,Harvard Online,These ads ran without a disclaimer,≤100,1
351244834736685,Conquer Countries,These ads ran without a disclaimer,≤100,1
110000435086529,Лі Сянь розмовляє українською,These ads ran without a disclaimer,≤100,1
340577086006224,CRI German,These ads ran without a disclaimer,≤100,1
107443581752203,Get In Gear,These ads ran without a disclaimer,≤100,1
1061420730573798,Sinopec,These ads ran without a disclaimer,≤100,1
101512779421553,Global Yo.,These ads ran without a disclaimer,≤100,1
178355362032581,Daily fun magazine,These ads ran without a disclaimer,≤100,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,5
1481813438714083,CMG FM93,These ads ran without a disclaimer,≤100,1
437241682996744,Radio Ejani,These ads ran without a disclaimer,≤100,1
238044912896496,HISTORY,These ads ran without a disclaimer,≤100,1
100720062883109,Minbar Al Aqsa International Foundation,These ads ran without a disclaimer,≤100,1
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,1
1740668682893317,BastilleGlobal,These ads ran without a disclaimer,≤100,2
113205131621824,WorldOrder.News,These ads ran without a disclaimer,≤100,4
821430017924241,Sungrow,These ads ran without a disclaimer,≤100,2
565225540184937,CGTN,These ads ran without a disclaimer,≤100,3
229087490286658,USA Today 2X,These ads ran without a disclaimer,≤100,4
394213003764633,PLM,These ads ran without a disclaimer,≤100,1
108645754989425,MATW Project UK,These ads ran without a disclaimer,≤100,4
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,1
