Page ID,Page name,Disclaimer,Amount spent (TND),Number of ads in Library
103527437988087,فالصو Falso,فالصو Falso,343,4
1988645351417649,BNA - Banque Nationale Agricole,BNA - Banque Nationale Agricole,314,1
464041416970667,مونت كارلو الدولية / Monte Carlo Doualiya,These ads ran without a disclaimer,292,7
695492003874695,Lotfi M'Raihi لطفي المرايحي,Lotfi M'Raihi لطفي المرايحي,157,1
108317900906805,الاستاذ حبيب بمدينة الدندانpage officiel,These ads ran without a disclaimer,109,1
517098898323855,Jeunes Leaders de Tunis - القيادات الشّابّة بتــونس,Jeunes Leaders de Tunis - القيادات الشّابّة بتــونس,≤100,1
590568420991516,Centre International des Etudes Stratégiques Sécuritaires et Militaires,Centre International des Etudes Stratégiques Sécuritaires et Militaires,≤100,4
431672620250052,Doug Batchelor,These ads ran without a disclaimer,≤100,1
101416266129939,ياسين مامي - Yassine Mami,Hammamet Informatique Services,≤100,6
165403306822146,Give Palestine Organization جمعية عطاء فلسطين,These ads ran without a disclaimer,≤100,1
190126634445277,Africa Defense Forum ADF Magazine,These ads ran without a disclaimer,≤100,2
320516877813131,الدكتور عمار الفتيتي,These ads ran without a disclaimer,≤100,1
177913805412305,Tarek Dali Dali الصفحه الرسميه,These ads ran without a disclaimer,≤100,1
375430382312182,منير,These ads ran without a disclaimer,≤100,1
1322028774590822,انحياز - inhiyez.com,انحياز - inhiyez.com,≤100,1
106776981769231,حركة النضال الوطني- الموقع الرسمي,حركة النضال الوطني- الموقع الرسمي,≤100,2
153632746935,FRANCE 24,These ads ran without a disclaimer,≤100,1
199755716798643,TRT Français,These ads ran without a disclaimer,≤100,1
125386784000995,الصفحة الرسمية نزار الوسلاتى داكس nizar oueslati DAX,These ads ran without a disclaimer,≤100,3
131965804932078,السياسة بالفلاّقي,These ads ran without a disclaimer,≤100,2
102570761484258,Asharq Business اقتصاد الشرق,These ads ran without a disclaimer,≤100,5
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,3
104485445160924,الشرق للأخبار - فلسطين,These ads ran without a disclaimer,≤100,1
356835354184493,Adel Daou - محمد عادل الدَّو,Adel Daou - حزب صف الدّفاع عن تونس,≤100,1
248547585333443,قناة الغد Alghad TV,These ads ran without a disclaimer,≤100,2
379123691949195,بلادي امانة لاولادي,These ads ran without a disclaimer,≤100,3
334532693085268,الأميرال كمال العكروت رئيسا للجمهورية,These ads ran without a disclaimer,≤100,1
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,3
497761530287743,Festival International de Béja مهرجان باجة الدولي,These ads ran without a disclaimer,≤100,1
102043622712704,lou.elamrani,These ads ran without a disclaimer,≤100,1
470744229661695,Mabrouk Korchid المبروك كرشيد,These ads ran without a disclaimer,≤100,1
123444144446173,Raffi Boghosian,These ads ran without a disclaimer,≤100,1
158088970729446,Politiket - بوليتيكات,These ads ran without a disclaimer,≤100,3
105728695286283,الشرق للأخبار - السودان,These ads ran without a disclaimer,≤100,1
192819970766328,Université Mahmoud el Materi-UMM / جامعة محمود الماطري,These ads ran without a disclaimer,≤100,1
342526129176907,World Maritime University - headquarters,These ads ran without a disclaimer,≤100,1
103220467783427,jouhaynah,These ads ran without a disclaimer,≤100,1
316496640057,7iber,These ads ran without a disclaimer,≤100,17
670650646396373,ActionAid Vietnam,These ads ran without a disclaimer,≤100,1
102757906053545,ثورة وزعيم,These ads ran without a disclaimer,≤100,4
102498564631055,Asharq News الشرق للأخبار,These ads ran without a disclaimer,≤100,3
451406819033424,مافيا الساحل,These ads ran without a disclaimer,≤100,3
105927668599093,qut_alh,These ads ran without a disclaimer,≤100,3
176585044433,FRANCE 24 English,These ads ran without a disclaimer,≤100,2
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,2
138278482866502,The Wrestling Game,These ads ran without a disclaimer,≤100,1
1438076366477515,التلفزيون العربي,These ads ran without a disclaimer,≤100,2
101021361632800,nadia_salameh_photography,These ads ran without a disclaimer,≤100,1
340577086006224,CRI German,These ads ran without a disclaimer,≤100,2
7258206754,Jeune Afrique,These ads ran without a disclaimer,≤100,15
361768643843136,Maison Esthere Maryline,These ads ran without a disclaimer,≤100,1
59978261217,U.S. Embassy Tunis,These ads ran without a disclaimer,≤100,1
220362138159743,Дэлхийн цаг,These ads ran without a disclaimer,≤100,1
102095034867607,Jeem Noon جيم نون,These ads ran without a disclaimer,≤100,1
102241316165270,Una finestra aperta,These ads ran without a disclaimer,≤100,5
336775406191553,with.nora.t.again,These ads ran without a disclaimer,≤100,1
100632242663395,SoloTech,These ads ran without a disclaimer,≤100,1
2162675877096505,Amanart,These ads ran without a disclaimer,≤100,1
233651049990550,Badr Tag,These ads ran without a disclaimer,≤100,1
100774358119248,Foreign Objekt,These ads ran without a disclaimer,≤100,1
251360678068375,Newblacks,These ads ran without a disclaimer,≤100,11
