Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
141870402543282,AK Parti,Ak Parti,2847916,55
111436922211991,AK Parti İstanbul,AK Parti İstanbul İl Başkanlığı,2414289,183
76599755300,Kemal Kılıçdaroğlu,Kemal Kılıçdaroğlu,1562863,127
877839188967827,Büyük Türkiye,Adem Demirkol,1295967,127
144295649058307,Ekrem İmamoğlu,Ekrem İmamoğlu,1039974,159
158829607558395,Milliyetçi Hareket Partisi (MHP),Milliyetçi Hareket Partisi (MHP),995235,177
176338225842984,Yeşil Sol Parti,Yeşil Sol Parti,688803,62
462963834529864,Levent Uysal,Levent Uysal,480994,91
107621395263001,Bilge Yılmaz,Bilge Yılmaz,384343,39
510344522371733,Oy ve Ötesi,Oy ve Ötesi,271350,72
1160506840785202,Murat Kurum,Murat Kurum,234289,22
497191817041688,Erdoğan Gönüllüleri,Woo Medya ve Organizasyon Ltd Şti,215933,150
373938392217,AK PARTİ ANKARA İL BAŞKANLIĞI,AK PARTİ ANKARA İL BAŞKANLIĞI,209431,11
102095934751904,Deva Partisi,Deva Partisi,177092,26
1607304669378571,İlk Oy Hareketi,İlk Oy Hareketi,174928,34
417251848779475,Mehmet Ersoy,Mehmet Ersoy,151398,97
180404128680446,Dr. Şadi YAZICI,Dr. Şadi YAZICI,139134,41
804210899660885,Ahmet Katar,Ahmet Katar,138858,99
562429187164086,Hilmi Türkmen,Üsküdar Belediyesi,130175,11
1930475813747433,Anket Araştırma Merkezi,Rukiye Şeyma Aydın,126321,138
294889615437,Sinan Oğan,Sinan Oğan,125233,11
100474483029551,Trabzon için Hemen Şimdi,Adil Çözüm,101218,17
115213624871864,Bahadır Bumin Özarslan,Halil Ibrahim Yilmaz,97112,93
338192240782851,Davut Gürkan,Davut Gürkan,95868,6
106257739113036,Yudum Kaşıkçı,Yudum Kaşıkçı,76497,59
101726388406507,Tabuta Sığmayanlar,Tabuta Sığmayanlar,74365,14
255216477892758,CHP Ankara İl Başkanlığı,Anıl Can Arslan,73958,54
118519987873082,Nebi Hatipoğlu,Orangefox Agency,70728,44
1414815935509791,MHP Kayseri Milletvekili Baki Ersoy,Latif Ersoy,62759,27
1998130653848755,Ramazan Kaşlı  MHP Aksaray Milletvekili,Ramazan Kaşlı  MHP Aksaray Milletvekili,62743,84
787833781580301,Kim Kimdir?,Adem Demirkol,61979,60
326363220894548,Nail Çiler,Nail Çiler,61791,36
108107585034488,Bahadır Erdem,Bahadır Erdem,61295,23
851556338241562,Ayşen Kurt,Ayşen Kurt,60010,66
659591417849852,Biz Muhalefetiz,Adem Demirkol,60000,1
500796300357232,Turgay Baştuğ,Milliyetçi Hareket Partisi Ankara İl Başkanlığı,59029,62
528071707564813,Uğurhan Tiryaki,Uğurhan Tiryaki,54463,60
111162852275902,Uluslararası Af Örgütü Türkiye Şubesi,Uluslararası Af Örgütü Türkiye Şubesi,51708,28
114242991638875,Nedenoyvereyim,Neden Oy Vereyim,49912,9
378633122196492,Lutfullah Kayalar,Serhan Kayalar,48688,62
621229804571861,Fethi Yaşar,Fethi Yaşar,46500,21
1807684336017268,Rıdvan Eşin,Gökhan Öztürk,45826,44
105372312520215,Levent Yenilmez - Şanlıurfa Bağımsız Milletvekili Adayı,Levent Yenilmez,45495,45
102911415086731,Ömer Yazıcıoğlu,Ömer Yazıcıoğlu,45080,10
115775001476010,Bilal Saygılı,Muhammet Bilal Saygılı,44880,54
2055232158049015,Dr.Şahin Talus,Dr.Şahin Talus,44750,78
111743906915630,Ekrem Gökay Yüksel,Ekrem Gökay Yüksel,43808,46
136130166537386,AK Parti Bursa İl Başkanlığı,AK Parti Bursa İl Başkanlığı,43498,4
122089247452746,Osman Seçgin,Osman Avci,42118,43
274475286702,Muharrem İNCE,Muharrem İNCE,41227,15
772187612859346,Erkan Haberal,Erkan Haberal,40843,19
113823067080077,DEVA Partisi Sivas İl Teşkilatı,Taha Kutlu Çevik,38810,36
191453580768,Yeni Şafak,Piri Medya Anonim Sirketi,37110,75
102841632670929,Türkiye Gönüllüleri,Türkiye Gönüllüleri,36994,123
101316846258251,İbrahim Şenel,Ibrahim Şenel,35029,58
2349136915368127,Yiğit Karakış,Yiğit Karakış,33254,11
106914705713682,Elvan Işık Gezmiş,Elvan Gezmis,32738,32
105377837597506,Gonya TV,Osman Avci,32182,24
103728271055286,Selçuk Kılıçaslan,Selcuk Kilicaslan,32013,25
286724078913557,Mustafa Varank,Mustafa Varank,31400,7
1652655528320877,Emre Yılmaz,Emre Yılmaz,31348,51
319726958236378,Turan Yaldır,Turan Yaldır,31130,64
209175722605698,Saffet Sancaklı,Saffet Sancaklı,29856,13
104555602151780,Ebrar Nura Umutol,Emrah Bilaloglu,29077,4
109557384233443,Yüksel Taşkın,Yüksel Taşkın,28662,28
101495115896210,Abdullah Özdemir,Abdullah Özdemir,28516,6
674523449330207,Yavuz Aydın,Yavuz Aydin,28304,39
1002521723283648,Ayhan Kınden,Ayhan Kınden,28001,40
110222395380504,Vedat Necmettin Arslanoğlu,Vedat Necmettin Arslanoğlu,27309,8
105051945092974,Memleket Partisi,Mustafa Çağlayan,26970,20
805926876122264,Suat Özçağdaş,Suat Özçağdaş,26667,17
425757864244456,Süleyman Karaman,Ali Umar,26665,17
117838861275362,Fahrettin Tuğrul,Fahrettin Tuğrul,26163,28
362110253924146,Hasan Tahsin Usta,Gaziosmanpaşa Belediyesi,25827,5
273568980163535,Serdar Soydan MHP,Tasarım Medya Reklam,25457,42
206541136053869,Behçet SAATCI,Behçet Saatcı,24530,12
196374208371,ALİ KESKİNKILIÇ,Ali Keskinkılıç,24035,35
172312959454958,Mustafa Sarıgül,Mustafa Sarıgül,24011,4
498108350567415,Nilüfer Deveci,Nilufer Deveci,23698,66
1581936098727585,Bilal Uludağ,Bilal Uludağ,23178,4
1768709703437324,İYİ Parti Adana İl Başkanlığı,İYİ Parti Adana İl Başkanlığı,23153,9
104606505943488,Bilal Bilici,Bilal Bilici,22945,25
723113807768777,Hasan Eryılmaz,Deniz Guner,22717,53
101519926236417,Mustafa Akın,Mustafa Akın,22482,24
1930475813747433,Anket Araştırma Merkezi,Anket Araştırma Merkezi,22379,33
105915341216004,Mesut Nur,Mesut Nur,22110,80
109407151806354,İsmail İnlidere,Ismail Inlidere,21742,54
122362084136699,evrimbalbaloglu,Evrim Balbaloglu,21677,28
625595944453722,Ali Abbas Ertürk,Ali Abbas Erturk,21325,44
119873261054063,Hayriye Aydın,Hayriye Aydın,21193,85
2037050303009041,Abdullah Karapıçak,Abdullah Karapıçak,21034,12
426339260809702,Oğul Aktuna,Oğul Aktuna,21034,7
146234755411446,Mirasımız Derneği,(MİRASIMIZ) Kudüs ve Civarındaki Osmanlı Mirasını Koruma ve Yaşatma Derneği,20744,16
191902777500324,OTAG TV,Levent Açıkgöz,20682,11
217712041637127,AK PARTi Genel Merkez Gençlik Kolları Başkanlığı,AK PARTi Genel Merkez Gençlik Kolları Başkanlığı,20429,1
1444447882504938,Ak Parti Kayseri İl Başkanlığı,Ak Parti Kayseri İl Başkanlığı,20315,26
106187277979172,Dijital Gaste,Veysel Karahan,20250,7
107487660764415,Hasan Ekici,Bekir Karakuş,20023,7
215158578510066,Ümit Özdağ,Mehmet Emin Özbey,19960,14
153092148868180,Ayşe Sibel Yanıkömeroğlu,Ayşe Sibel Yanıkömeroğlu,19567,28
105347052558895,,These ads ran without a disclaimer,19295,2
466041427161963,ERSİN BEYAZ,Ersin Beyaz,19204,33
459314071262613,Zeynettin Aydın,Zeynettin Aydın,19189,126
533617450479963,İdris Naim ŞAHİN,İdris Naim ŞAHİN,19072,9
319026564921676,Vatan Partisi,Vatan Partisi,19037,3
2038469613118937,Mustafa Zavlak,Mustafa Zavlak,19007,43
100431406701471,Internethaber,Internethaber,19000,4
350156169488363,KADEM METE,KADEM METE,18868,42
1507047782923237,MHP Ankara İl Başkanlığı,MHP Ankara İl Başkanlığı,18673,26
105724511499805,Yeniden Refah Partisi,Yeniden Refah Partisi,18472,67
921794431315874,Berna SUKAS,Berna Sukas,18220,20
1407759386141852,Ahmet Akın,Ahmet Akın,18204,17
103965639335616,Var mısın Antalya?,Faruk Islek,18099,4
2300970773481796,Alaattin ÇAKIR,Alaattin Çakır,18062,12
1481865401841739,Müge Yıldız Topak,Muge Yildiz Toprak,17998,25
108489785274410,Mot hai ba bon 1234,These ads ran without a disclaimer,17993,1
118016654594649,Seda KÂYA ÖSEN,Seda Kaya Ösen,17791,19
106721105738428,Emin Selim Akgül,Elif Beyza Tekin,17521,5
268544196532365,Saadet Partisi İstanbul İl Başkanlığı,Saadet Partisi İstanbul İl Başkanlığı,17474,4
393451251137056,Pelin Yılık,Tasarım Medya Reklam,17421,30
