Page ID,Page name,Disclaimer,Amount spent (TWD),Number of ads in Library
148475335184300,Greenpeace 綠色和平 (台灣網站),Greenpeace 綠色和平 (台灣網站),1541848,72
238507146264909,國際特赦組織 台灣分會 Amnesty International Taiwan,國際特赦組織 台灣分會 Amnesty International Taiwan,1107339,515
693907914395620,良杯製所 Oolab,良杯製所 Oolab,609356,28
105556085524776,Twpca-台灣野良犬照護協會,Twpca-台灣野良犬照護協會,382587,15
286487218798,遠見雜誌,遠見雜誌,330883,75
206471793062673,Netflix,These ads ran without a disclaimer,172915,3
118578817881182,筱君 台灣 PLUS,These ads ran without a disclaimer,156549,3
106801464127093,目目非營利 MUVE NPO,目目非營利,147700,46
102176019266829,My Home Page,These ads ran without a disclaimer,135440,3
467933563234921,南門書局-網路圖書名店、也有實體店面，誠信可靠！,玉河 孫,125519,14
177161918975981,基督教芥菜種會,基督教芥菜種會,118376,100
103295187963880,J-ice,These ads ran without a disclaimer,113021,2
241284961029,udn.com 聯合新聞網,udn.com 聯合新聞網,112049,40
113021403762187,法律協會-債務協商 更生 清算 -全台服務,傢宇 吳,106547,2
136185963597716,Cheap,Cheap,101928,16
1649523455281990,遠山呼喚,遠山呼喚國際貧童教育組織,96088,3
211730475524462,大陸委員會,大陸委員會,95457,39
219315794887869,聯合報,聯合報股份有限公司,90798,178
217517810298674,地方政治觀察家,皮爾森數據,88021,669
277223962685223,Nespresso.TWN,Nespresso.TWN,79782,78
109462390640602,企業勞動法務管理顧問-勞動契約、勞資爭議、勞務健檢、教育訓練、法律事務、法律風險控管,芸廷 林,76907,130
201785650801,亞洲大學(Asia University Taiwan),亞洲大學,71173,16
401843085061,台電電力粉絲團,台電,70000,6
101896272489490,調查員皮爾森,皮爾森數據Pearson Data,61533,375
900490063303019,宋懷琳 南投琳好,宋懷琳 南投琳好,54199,13
1537741526464370,桃園市議長邱奕勝,奕勝 邱,51775,47
820612794778213,渣打銀行 Taiwan,渣打國際商業銀行,50000,3
124473380937123,勵馨基金會 The Garden of Hope Foundation,勵馨基金會 The Garden of Hope Foundation,49747,6
100931462920625,Nxhbnd,These ads ran without a disclaimer,49233,3
1212271885604995,社團法人愛的延續公益協會,社團法人愛的延續公益協會,48476,11
106201249110132,民事新聞熱點,These ads ran without a disclaimer,47511,1
327986657268286,高雄市議員李雅靜,廣諺 鄒,47354,17
1855418728011324,鏡週刊,鏡週刊,46629,22
370040056424487,徐耀昌加油讚,徐耀昌加油讚,44000,9
100714476220256,永續金融先行者聯盟,永續金融先行者聯盟,42615,120
158025223269,今周刊,今周刊,41350,36
132794020089924,BACK TO BRITISH Tramy 崔咪,These ads ran without a disclaimer,40443,8
105692292105892,黃士修,Shih-Hsiu Huang,39513,13
171759036215066,創世紀不動產教育訓練中心,Micky  Wu,39482,85
547129002067069,杜文中,文中 杜,39413,70
186593071836,商業周刊（商周.com）,商業周刊（商周.com）,39217,9
115430274859303,田長沛,田長沛,38359,23
108465872157182,亞細亞精準數據,亞細亞精準數據,38106,47
727855827262810,林家興 Alfred Lin,林家興 Alfred Lin,37858,15
1487218698275407,南門書局二店-網路特價書店-也有實體店面，價格親民，誠信可靠的老店。（師友文化）,玉河 孫,37799,5
248954465174600,TOYOTA Taiwan,TOYOTA Taiwan,35232,11
107729492624806,陳美雅,陳美雅,34497,6
569626243213799,生鮮時書,生鮮時書,34414,18
327941870899267,元智大學 i Life,元智大學 i Life,33816,10
113761234998842,温宗諭,博盛侯,33563,10
1847777185521418,放言 Fount Media,放言科技傳媒股份有限公司,31939,166
306276709452272,文化部,文化部,31862,22
104624290080479,張育美,翊斌黃,31828,28
465616346853075,RE-THINK 重新思考,RE-THINK 重新思考,31680,64
102046048924214,Alpha plus - 人才加速器,Alpha plus - 人才加速器,31542,18
235679595900,民視新聞,民視新聞,31366,26
189061482332,張嘉郡,嘉郡張,31024,15
101379699115840,異軍Game Show,These ads ran without a disclaimer,30836,17
152159855481046,工商時報展覽,These ads ran without a disclaimer,30732,5
246517878713911,劉家昌,勇勳沈,30401,3
322447507832934,文茜的世界周報 Sisy's World News,文耀胡,30000,2
231202420952272,新北市議員 廖先翔,先翔 廖,29963,5
102336336194603,筱君 台灣 PLUS,These ads ran without a disclaimer,29448,1
436843193180529,Unipapa,Unipapa,29225,96
104958309091106,曹興誠  八不居士,曹興誠  八不居士,28943,3
191690867518507,江啟臣,江啟臣,28134,7
383174975382808,鍾沛君,鍾沛君,27829,49
1404540186489048,Ru HaHa 嚕哈哈飾品‧小物,These ads ran without a disclaimer,27452,11
108696572024879,民視佮你講（Bîn-sī kah lí kóng）,民視新聞,27310,17
368397373312842,游顥,游顥,26957,6
390569611008641,願景工程基金會 Vision Project,願景工程基金會,26327,61
152479095435700,茶樹莊園 Tea Tree Garden,花仙子 Farcent,26165,5
110985434861942,啟思民本基金會,啟思民本基金會,26109,8
1283248558476115,新北市長榮當舖-汽機車借款,These ads ran without a disclaimer,25844,4
246324992373019,傅崐萁,Evonne Hu,25794,10
343251481955,靖娟兒童安全文教基金會-守護寶貝每一天,靖娟兒童安全文教基金會-守護寶貝每一天,25726,6
101355918337667,地天泰國際顧問有限公司,地天泰國際顧問有限公司,25289,6
101176989480437,九槍 And Miles to Go Before I Sleep,These ads ran without a disclaimer,25085,7
211271956064121,"外交部 Ministry of Foreign Affairs, ROC（Taiwan）",Pei Fang Hsieh,24454,5
122825514432837,黃健豪-北屯漸好,健豪 黃,24453,5
104690535860982,楊永明,永明楊,23808,12
200480966638039,Supremacy 1914,These ads ran without a disclaimer,20989,2
1610174722594689,鍾易仲  高雄市議員,鍾易仲,20979,54
215213505975,FUNDAY英語教育,FUNDAY英語教育,20858,16
107820535341629,憲哥厂產品台灣稱霸,These ads ran without a disclaimer,20639,2
335544036485779,經濟部,經濟部,20012,9
791870507594526,利樂創新界,利樂創新界,19653,20
