Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
102918915827968,КОЛО ЖИТТЯ,an advertiser in Ukraine,10584,68
112269331365616,Українські новини,an advertiser in Ukraine,10049,20
113787063315922,Institute of Cognitive Modeling,an advertiser in Ukraine,5164,19
107261385378270,"БФ ""Відновлення Добробуту""",an advertiser in Ukraine,4064,16
100478358273708,Благодійний фонд Вадима Столара,an advertiser in Ukraine,3028,206
100350858772254,Київська школа державного управління ім. С. Нижного,an advertiser in Ukraine,2439,50
115405411859145,РБК Україна,an advertiser in Ukraine,2074,19
114358906871501,Forbes Ukraine,an advertiser in Ukraine,1689,43
106472271534426,Новини.LIVE,an advertiser in Ukraine,1674,7
381171362507558,Слуга Народу - Заремський Максим - Округ 202,an advertiser in Ukraine,1534,35
100426782637156,Леонід Черновецький,an advertiser in Ukraine,1426,3
172738152755870,Kyiv-Mohyla Business School [kmbs],an advertiser in Ukraine,1239,16
1660869544168884,Детектор медіа,an advertiser in Ukraine,1191,51
100313726395097,Active join,These ads ran without a disclaimer,1177,8
126879227356714,European Union in Ukraine,an advertiser in Ukraine,1114,30
42940254353,Human Rights Watch,These ads ran without a disclaimer,1103,1
109725215092123,RFI Українською,These ads ran without a disclaimer,912,2
117784891629492,Тиждень,an advertiser in Ukraine,845,16
218630044858401,Kyiv Post,an advertiser in Ukraine,799,10
137614642919660,LIGA.net,an advertiser in Ukraine,780,22
113862212005562,ТСН,an advertiser in Ukraine,752,12
128903083873345,The Village Україна,an advertiser in Ukraine,740,20
101817112873727,Ліліана Гораль - Університет нового часу,an advertiser in Ukraine,706,26
103397998440002,Віолета Лабазюк - офіційна сторінка,an advertiser in Ukraine,678,132
474409562693441,Петро Порошенко,an advertiser in Ukraine,636,6
116343988005629,Дніпровська Панорама +,an advertiser in Ukraine,635,61
248740598540688,Ціна держави,an advertiser in Ukraine,539,13
759385594170655,Gwara Media,an advertiser in Ukraine,520,23
102356005888545,Superhumans Center,an advertiser in Ukraine,520,22
110035805045463,All4Ukraine - Support Ukrainе,an advertiser in Ukraine,492,4
293909990728782,Парк Прирічна,an advertiser in Ukraine,481,19
107606814894466,Telegraf UA,an advertiser in Ukraine,417,6
100609870101096,Оболонь,an advertiser in Ukraine,409,11
107034431979369,United24,an advertiser in Ukraine,381,20
362725784097627,"Фонд ""МХП-Громаді""",an advertiser in Ukraine,372,37
112137425081591,Olexandr Kazakov,an advertiser in Ukraine,372,20
108608640887613,Народовладдя,an advertiser in Ukraine,369,14
108265008584299,WAR Sponsors,an advertiser in Ukraine,369,6
1169463393107849,Павло Жебрівський,an advertiser in Ukraine,362,29
756642864502756,Віталій Купрій,an advertiser in Ukraine,356,1
1216786735025795,USAID/ENGAGE,an advertiser in Ukraine,351,25
107272114798175,Зрозуміло,an advertiser in Ukraine,350,1
712578428942960,Заборона,an advertiser in Ukraine,337,33
103859438670823,Сергій Лабазюк - офіційна сторінка,an advertiser in Ukraine,329,67
253424198322426,VoxCheck,an advertiser in Ukraine,325,5
884090741649358,Peter Zalmayev,an advertiser in Ukraine,323,28
600763997245827,БезБрехні,an advertiser in Ukraine,318,10
141242236005228,Фонд Східна Європа,an advertiser in Ukraine,316,5
102668075081968,"Фонд премии ""Генезис""",These ads ran without a disclaimer,300,4
144958328899162,Mind. UA,an advertiser in Ukraine,285,41
125547681460251,ULEAD з Європою / ULEAD with Europe,an advertiser in Ukraine,284,9
971688062945814,Офіс Віцепрем’єрки з питань європейської та євроатлантичної інтеграції,an advertiser in Ukraine,283,3
100505105900087,Спротив,an advertiser in Ukraine,279,16
554235808117359,Новости Украины - From-UA,an advertiser in Ukraine,276,4
107490770896118,Дніпро Оперативний,an advertiser in Ukraine,275,39
101344049380336,Мир Розвиток Стабільність,an advertiser in Ukraine,270,9
282140755569370,Громадський  Хаб,an advertiser in Ukraine,270,13
706611506189107,Валерій Клочок,an advertiser in Ukraine,262,53
107681895466772,Наше Місто Live,an advertiser in Ukraine,262,59
119553049430040,Національна платформа стійкості та згуртованості,an advertiser in Ukraine,260,37
109146014618721,Центр стратегічних комунікацій та інформаційної безпеки,an advertiser in Ukraine,253,8
396500804546386,"ГО ""НОН-СТОП""",an advertiser in Ukraine,230,10
100414962907327,БФ Разом для України,an advertiser in Ukraine,230,5
2012140272354760,ШоТам?,an advertiser in Ukraine,218,13
205838236106547,Думская net,an advertiser in Ukraine,214,7
100735626037889,Razom We Stand,an advertiser in Ukraine,209,5
800876993298916,YouControl,an advertiser in Ukraine,207,7
155438574470276,DW українською,These ads ran without a disclaimer,202,6
2030427870568712,UkraineWorld,an advertiser in Ukraine,200,5
107586120615985,Виктор Куртев,an advertiser in Ukraine,200,2
387317461639305,"Видавничий дім ""Гельветика""",These ads ran without a disclaimer,191,2
347760042574200,Слуга Народу - Горобець Олександр - Округ 95,an advertiser in Ukraine,191,6
145276418816044,Obozrevatel,an advertiser in Ukraine,186,3
109765421852344,Хоробра Україна,an advertiser in Ukraine,185,7
1313046738811000,Західний Інформаційний Фронт,an advertiser in Ukraine,183,3
148182332275963,Суспільне Новини,an advertiser in Ukraine,179,10
1788793681373673,Суспільне Харків,an advertiser in Ukraine,179,10
136905433030552,"ІА ""Центр журналістських розслідувань""",an advertiser in Ukraine,177,15
