Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
7860876103,Joe Biden,BIDEN VICTORY FUND,1183928,1049
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,584446,228
127225910653607,PragerU,PragerU,578151,1267
851220855030432,J.P. Morgan,"JPMORGAN CHASE BANK, NA",541583,83
85452072376,NEWSMAX,"NEWSMAX MEDIA, INC.",489873,179
570092813023833,Matt Walsh,The Daily Wire,454336,193
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,428851,179
107483817554072,WorkMoney,WorkMoney,424322,388
114008535880,Foundation for Individual Rights and Expression,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,419710,181
101772951980698,Texas Destination Resort Alliance,Las Vegas Sands Corp.,341349,915
18982436812,ACLU,American Civil Liberties Union,286081,243
24413227922,Kamala Harris,BIDEN VICTORY FUND,281856,331
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,267024,1030
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,258399,90
6514736316,Walden University,Walden University,256600,9
385473284886474,Hillsdale College,Hillsdale College,253515,169
2353537341582545,Proud Patriots,Proud Patriots,226250,2102
309308412520731,Sandy Hook Promise,Sandy Hook Promise,221641,146
106568024842114,Rideshare Assault Support,Citizen Ad Network LLC,193497,80
92925746942,Judicial Watch,Judicial Watch,186149,184
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",183517,50
10461186460,Ben & Jerry's,"BEN & JERRY'S HOMEMADE, INC.",181289,76
153080620724,Donald J. Trump,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,167281,403
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,166856,133
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,163577,122
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,157496,634
57259033959,AARP,AARP,154566,142
15771560300,Earthjustice,EARTHJUSTICE,153133,422
80562389320,NARAL Pro-Choice America,NARAL PRO-CHOICE AMERICA CORP,151407,82
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,150024,90
10128918116,Gavin Newsom,Campaign for Democracy PAC,148458,60
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",142919,146
376006035816016,Storyworth,These ads ran without a disclaimer,138979,28
116821227998416,Protect Women Ohio,Protect Women Ohio,138214,12
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",136941,1556
130268756992804,Yale Climate Connections,Yale Climate Connections with Facebook Ad Credits,131425,6
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,126821,518
152759126824,Enbridge,Enbridge Inc.,125377,16
109320440856128,Stand Up to Jewish Hate,"Foundation to Combat Anti-Semitism, Inc.",124608,126
140357056032320,NEA Today,National Education Association,123612,85
203197030603239,8 Billion Trees,8 Billion Trees LLC,123329,37
105627742460145,Tobacco Kills NY,TOBACCO-FREE KIDS ACTION FUND,121325,13
40217893542,AIPAC,AIPAC,119465,473
314499212242,Pfizer,Pfizer Inc.,114321,451
108774614054683,American Edge Project,American Edge,109433,100
2053678114723700,President Trump's Patriot Army,I Love My Freedom,105687,74
111515841026178,Counterspark,"Counterspark, Inc.",103856,180
