Page ID,Page name,Disclaimer,Amount spent (VND),Number of ads in Library
114230434965167,MAYSA Store,These ads ran without a disclaimer,259316916,9
102654808090612,Lương Y Phạm Văn Thanh - Việc Tử Tế VTV1,These ads ran without a disclaimer,53084073,62
110647876945334,Đúng nhóm là vào,These ads ran without a disclaimer,35586938,5
185061704983484,Nha Khoa Paris,These ads ran without a disclaimer,28267182,14
111393385189940,Lương Y Phạm Văn Thanh Tiểu Đường,These ads ran without a disclaimer,27870898,13
654396084640049,IMM GROUP,IMM Group,25466274,9
113138335014881,Phương Hạnh,These ads ran without a disclaimer,13414822,11
114539731238756,Nguyễn Mỹ Bách,These ads ran without a disclaimer,11647776,2
109930241788500,Tin nhanh nhất,These ads ran without a disclaimer,10486066,2
108390095364515,Phạm Văn Thanh- Đặc Trị Xương Khớp,These ads ran without a disclaimer,9938641,1
103446481565297,Phạm Văn Thanh - Việc Tử Tế VTV1,These ads ran without a disclaimer,8882159,17
105355282148912,Phạm Văn Thanh - Lương Y Vùng Cao,These ads ran without a disclaimer,8801755,4
104841159254736,Vào nhóm miễn phí-79,These ads ran without a disclaimer,8515530,3
107520482262762,Tiệm sách bình dân,These ads ran without a disclaimer,7443269,1
100377076121097,Chùa Long Hương - TT. Thích Tuệ Hải,These ads ran without a disclaimer,7281481,8
104693959076269,Phan Ngọc Tuyết,These ads ran without a disclaimer,6707915,3
109079315342282,Phong Thủy Thiên Phúc,These ads ran without a disclaimer,5537004,5
101478189323986,Thầy Phạm Văn Thanh Lào Cai,These ads ran without a disclaimer,5517191,30
200480966638039,Supremacy 1914,These ads ran without a disclaimer,5310846,2
422268261221641,Trường Đại học Công nghiệp Việt - Hung,These ads ran without a disclaimer,4962973,2
106882174028679,Nguyễn Huỳnh Như - Mỹ Phẩm Đông Anh Colagen X3,These ads ran without a disclaimer,4783301,2
373953772625074,Aeslatek - Laser Dr Nghị,These ads ran without a disclaimer,4636260,1
108277165511545,Công nghệ Giảm Béo Ultra-Maxburn Hoa Kỳ,These ads ran without a disclaimer,4579110,26
110686385087883,Tăng Thu Nhập Cùng Chuyên Gia,These ads ran without a disclaimer,4433706,2
1831330046916094,Tuyển Dụng Giáo Viên Hà Nội,Tuyển Dụng Giáo Viên Hà Nội,4068669,17
106045978929017,Hỗ Trợ - Đồng Hành Phát Triển Tài Chính,These ads ran without a disclaimer,3273210,2
105662292325473,Xosovip-37,These ads ran without a disclaimer,3196811,3
1127037000729628,Chụp ảnh gia đình & trẻ em Suri studio,These ads ran without a disclaimer,3089847,1
118430702880160,Trường Trung Cấp Y Dược Vạn Hạnh,These ads ran without a disclaimer,3004875,2
101710566044010,Hỗ Trợ Phát Triển Thu Nhập Cá Nhân,These ads ran without a disclaimer,2882621,2
103366336020648,Review 24h,These ads ran without a disclaimer,2831533,3
106591625684268,Alo Chủ Tướng - Gamota,These ads ran without a disclaimer,2636068,9
100975166315691,Viện Điều Trị Da Công Nghệ Cao - BV Thẩm Mỹ Á Âu,These ads ran without a disclaimer,2555085,2
109689598739280,Trở Về Chính Mình,These ads ran without a disclaimer,2388745,2
110166420768078,Khánh Nhi - Thời Trang Đẹp,These ads ran without a disclaimer,2367255,2
115104414914405,Miễn phí tham gia-16,These ads ran without a disclaimer,2234219,3
102671032352864,"Kho Nguyên Liệu,Gia Vị Hàn Quốc Giá Buôn",These ads ran without a disclaimer,2200000,1
125279958350,Give.Asia,These ads ran without a disclaimer,2067044,4
1896717760436363,Hạnh Hải Osaka . ハインハイ大阪,These ads ran without a disclaimer,1958918,1
103216305974903,Thẩm Mỹ Như Ý - Tây Ninh,These ads ran without a disclaimer,1958040,5
102595019349400,Cộng đồng Môi giới VIME Broker,These ads ran without a disclaimer,1895972,1
103743245832245,Lương y Phạm Văn Thanh Xương Khớp Lào Cai,These ads ran without a disclaimer,1878009,1
108530718699692,Thầy Thuốc Phạm Văn Thanh,These ads ran without a disclaimer,1873399,2
102638832614878,Hướng Dẫn Tăng Thu Nhập Cá Nhân,These ads ran without a disclaimer,1746040,2
105310469026814,Nhật Bản Chờ Tôi Nhé,These ads ran without a disclaimer,1657601,1
1720315971401209,Đá mỹ nghệ Huy Nam,These ads ran without a disclaimer,1613093,1
112087205161740,Bà Nhàn Trị Nám - Tàn Nhang - Đồi Mồi Số 1 Việt Nam,These ads ran without a disclaimer,1609081,3
144239423007,VOA Tiếng Việt,These ads ran without a disclaimer,1595196,4
101433644865497,Góc nhìn Pháp lý Xây dựng,These ads ran without a disclaimer,1588324,1
213868225882529,Bệnh viện Đa khoa Quốc tế Nam Sài Gòn,Bệnh viện Đa khoa Quốc tế Nam Sài Gòn,1588304,1
100234539695391,Viện Giảm Béo Công Nghệ Độc Quyền Anh Quốc,These ads ran without a disclaimer,1490157,1
103996885597095,Phạm Văn Thanh Việc Tử Tế -Tấm Lòng Lương Y  Người Việt,These ads ran without a disclaimer,1451045,2
102020819549993,Văn Phòng BẰNG CẤP GIẤY TỜ - Mr: Đoàn,These ads ran without a disclaimer,1407526,1
106105862280467,Xosovip-25,These ads ran without a disclaimer,1367650,3
106864984981716,Tài liệu ôn thi viên chức giáo viên TP. HCM,Tài liệu ôn thi viên chức giáo viên TP. HCM,1263965,13
109874445200469,"Bifina Nhật Bản - chuyên gia tiêu hóa, đại tràng",These ads ran without a disclaimer,1247376,1
107163705484785,Tiểu Đường Bà Sáu - Gọi Ngay 0325.771.129,These ads ran without a disclaimer,1246216,1
102833359215349,Chủ.Tịch Vũ Nga,These ads ran without a disclaimer,1231389,1
101914358044085,Tài Liệu Ôn Thi Viên Chức Giáo Dục,Tài Liệu Ôn Thi Viên Chức Giáo Dục,1195181,11
192195994956428,Tài Liệu Thi Viên Chức Giáo Viên,Tài Liệu Thi Viên Chức Giáo Viên,1156420,3
103929608026099,Khu Đô Thị Dic Victory City Hậu Giang,These ads ran without a disclaimer,1120669,4
101717315251601,Sắt Thép Xây Dựng Danh Thành Nhân Đà Nẵng,These ads ran without a disclaimer,1108261,1
123730220638175,Phòng chờ Vân Vân,These ads ran without a disclaimer,1067079,1
113310101122676,Đặng Tuyết Mai,These ads ran without a disclaimer,1036169,1
103119342771765,Điều Trị Nám Công Nghệ Cao - Quy Nhơn,These ads ran without a disclaimer,1023752,11
118163025303922,Bệnh Viện Răng Hàm Mặt Sài Gòn,These ads ran without a disclaimer,1011308,1
105281025383945,Đồ Si Aut,These ads ran without a disclaimer,986209,1
104730448892671,Khánh Vân Chuyên Phụ Kiện Hàng Bãi,These ads ran without a disclaimer,980344,1
624451357765593,Tổng Kho Hàng Thùng Miền Bắc Tú Linh,These ads ran without a disclaimer,967222,4
432500570154554,Khu Du Lịch Sinh Thái Bò Cạp Vàng,These ads ran without a disclaimer,950100,1
1741991366079209,Doslink Migration & Investment,These ads ran without a disclaimer,948550,4
101128656231061,Nevada - Giảm Béo an toàn,These ads ran without a disclaimer,927531,5
102475889330845,Sách y học Việt Nam,These ads ran without a disclaimer,915703,2
121321312984092,Sự Kiện Truyền Thông Quốc Gia,These ads ran without a disclaimer,877799,1
101988816062279,Miễnphívip-27,These ads ran without a disclaimer,867974,1
108287864810729,Living For House - Nhà Sản Xuất Kệ Tivi & Vách Ngăn Theo Yêu Cầu,These ads ran without a disclaimer,841390,1
112333804853338,Cửa Sổ Vàng - Nguyễn Duy Cương,These ads ran without a disclaimer,806551,1
902785046529464,Tài liệu Thi Viên Chức Giáo Dục Quảng Ngãi,Tài liệu Thi Viên Chức Giáo Dục Quảng Ngãi,806057,3
106475068390652,Thầy Phạm Văn Thanh - Hiệu Thuốc Hoàng Liên Sơn,These ads ran without a disclaimer,793347,2
117289394293387,Chang Kin,These ads ran without a disclaimer,789127,4
155460521146066,RFI Tiếng Việt,These ads ran without a disclaimer,785585,1
105159369188048,Hotelex Shanghai,These ads ran without a disclaimer,781648,1
115045108235126,ĐẦU TƯ 2023,These ads ran without a disclaimer,750680,5
165600847322369,Tài Liệu Thi Viên Chức Giáo Dục Bình Định-Phú Yên,Tài Liệu Thi Viên Chức Giáo Dục Bình Định-Phú Yên,742749,5
742011019500820,IELTS Song Ngữ,These ads ran without a disclaimer,730693,2
107086345489871,Tự Chủ Kinh Tế 2023,These ads ran without a disclaimer,727037,1
108969218002206,Đầu Tư Thông Minh,These ads ran without a disclaimer,715415,3
109105264892510,Shop Giá Rẻ Út Nhỏ,These ads ran without a disclaimer,703763,24
106699025585311,Nga Cole,These ads ran without a disclaimer,682945,1
108228572046403,Nguồn Đầu Tư Mới 4.0,These ads ran without a disclaimer,673610,1
1406400379669708,Đại Học Đại Nam,These ads ran without a disclaimer,659263,1
1507429892822619,BOM Money,BOM Money,625612,1
102052019520870,Cô Phạm Nhung - Bồi dưỡng toán tiểu học,These ads ran without a disclaimer,567531,1
103825932381345,Tự xét nghiệm HIV tại nhà - Trung tâm Kiểm soát bệnh tật tỉnh An Giang,Tự xét nghiệm HIV tại nhà - Trung tâm Kiểm soát bệnh tật tỉnh An Giang,565000,1
106040949092723,Cùng Nhau Phát Triển 247,These ads ran without a disclaimer,563010,1
353386989099561,Bồi dưỡng học sinh giỏi Quốc gia môn Lịch Sử,These ads ran without a disclaimer,563010,1
111535111844172,VaiNovel,These ads ran without a disclaimer,545418,5
104601978607735,Kem Ngon Nhất Thế Giới,These ads ran without a disclaimer,520593,6
227243668057362,TOÁN TƯ DUY Singapore,These ads ran without a disclaimer,513129,2
103386764876101,Ananstoree Shoes,These ads ran without a disclaimer,507645,1
919479674872321,Báo Nghệ An,Báo Nghệ An,500000,1
101358036245588,App Leap,These ads ran without a disclaimer,492634,1
113842578238906,Shophouse DiC Victory Hậu Giang,These ads ran without a disclaimer,471607,1
539189292915191,Trường Tiểu Học - THCS - THPT Nam Việt,These ads ran without a disclaimer,469215,1
106877281352810,Tài Liệu Thi Viên Chức Giáo Dục Đà Nẵng Quảng Nam,Tài Liệu Thi Viên Chức Giáo Dục Đà Nẵng Quảng Nam,457821,2
1127821033978868,Xóm Hóng,These ads ran without a disclaimer,455273,4
105572438160939,Thầy Phạm Văn Thanh - Nhà Thuốc Hoàng Liên Sơn,These ads ran without a disclaimer,449304,2
109766128332770,Black Moon - Trang Sức Kim Cương,These ads ran without a disclaimer,439824,1
100910152992671,Thầy Thanh Chữa Xương Khớp,These ads ran without a disclaimer,419826,1
104786452386970,Kênh Công Nghệ Phát Triển 4.0,These ads ran without a disclaimer,403650,2
827568254283256,Toán Tư Duy Song Ngữ K-Maths,These ads ran without a disclaimer,375040,2
108806494602409,Nevada Chuyên Gia Giảm Béo,These ads ran without a disclaimer,369943,4
102962746880939,Tập Đoàn Giảm Béo Nevada,These ads ran without a disclaimer,362850,9
102659955959393,"Thầy Phú Quý - Đặc Trị U Xơ, U Nang, U Giáp, U Bướu 0377.412.686",These ads ran without a disclaimer,331819,2
100763306140572,Đầu Tư Tài Chính 5.0,These ads ran without a disclaimer,331743,1
109591608710046,Nevada - Thẩm Mỹ Hoàn Hảo,These ads ran without a disclaimer,314039,1
100354958698407,Vui App - Chi lương Linh hoạt,These ads ran without a disclaimer,300000,1
110986068646142,VCB Hỗ Trợ Tài Chính Kinh Doanh,These ads ran without a disclaimer,299988,2
139577716095155,Newcastle University,These ads ran without a disclaimer,295099,2
109748953693590,Gom Sịp,These ads ran without a disclaimer,289229,1
130267600362955,DpiCENTER,These ads ran without a disclaimer,284844,2
105906312496142,Làm Chủ Tài Chính,These ads ran without a disclaimer,281505,1
103022828520347,"EXCEL Bán hàng, Quản lý kho",These ads ran without a disclaimer,280599,2
106054411489329,Bất Động Sản Quảng Bình,These ads ran without a disclaimer,277014,2
100735504908838,THỊ NHUNG,These ads ran without a disclaimer,262582,3
106256925483792,Phòng Khám Da Liễu Thẩm Mỹ Asean,These ads ran without a disclaimer,255979,1
104599638156788,Constipass - Vượt qua táo bón nhanh chóng và dễ dàng,These ads ran without a disclaimer,252157,1
108510352152685,Vẻ đẹp hoàn mỹ - Nevada,These ads ran without a disclaimer,249218,7
