Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
377711155937443,بن داراني باوزير للتجارة,an advertiser in Yemen,150,11
877732785570355,قناة بلقيس الفضائية Belqees tv,These ads ran without a disclaimer,≤100,9
105562682486679,fatemambark,These ads ran without a disclaimer,≤100,2
1603174423255255,المركز الإعلامي لمحور علب.,These ads ran without a disclaimer,≤100,1
349430072209360,علي أحمد العمراني Ali Ahmed Al-imrani,These ads ran without a disclaimer,≤100,7
232835497404453,إعلام المقاومة الشعبية,These ads ran without a disclaimer,≤100,2
142329112477770,البنك الدولي,These ads ran without a disclaimer,≤100,10
113909224980171,Gihad Hamza,These ads ran without a disclaimer,≤100,9
105591402063901,Dr.H.K,These ads ran without a disclaimer,≤100,1
102873785874545,منتدى معدكرب القومي,These ads ran without a disclaimer,≤100,5
109322845279538,مستشفى اليمن السعيد Alyemen Alsaeed Hospital,These ads ran without a disclaimer,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,1
101563864997881,قصر غمدان 𐩤𐩮𐩧 𐩽 𐩶𐩣𐩵𐩱𐩬,These ads ran without a disclaimer,≤100,1
106067909017479,صفحةالحراك الثوري الجنوبي,These ads ran without a disclaimer,≤100,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,4
405379246524515,DHL Express,These ads ran without a disclaimer,≤100,2
101878772446660,مؤسسة أحمد عبد الله الشيباني الخيرية - مدارس الهدى الخيرية النموذجية,These ads ran without a disclaimer,≤100,1
173809122693747,قناة يمن شباب الفضائية Yemen Youth TV channel,These ads ran without a disclaimer,≤100,3
106932281997657,الإدارة العامة لشرطة السير - الجمهورية اليمنية,an advertiser in Yemen,≤100,1
102547066147748,مؤسسة جهاد الثقافية التعبوية,These ads ran without a disclaimer,≤100,2
480164578694258,مدرم ابوسرج,These ads ran without a disclaimer,≤100,1
111990631761352,Abdul-Rahman AL-Wasabi,These ads ran without a disclaimer,≤100,1
366016283435961,حمود سعيد المخلافي - Hamoud Saeed Al-Mekhlafi,These ads ran without a disclaimer,≤100,1
100857675472522,ScreeN+,These ads ran without a disclaimer,≤100,2
441088366621681,يومياتي,These ads ran without a disclaimer,≤100,1
665915493614042,يمن ميديا - YemenMedia,These ads ran without a disclaimer,≤100,1
224597158386607,Rosa Luxemburg Foundation,These ads ran without a disclaimer,≤100,3
333141140132864,China.org.cn,These ads ran without a disclaimer,≤100,1
