Page ID,Page name,Disclaimer,Amount spent (ZAR),Number of ads in Library
109374997915302,Mayor Geordin Hill-Lewis,Mayor Geordin Hill-Lewis,45054,27
187645864452,Vryheidsfront Plus / Freedom Front Plus,Vryheidsfront Plus / Freedom Front Plus,34153,20
136956534616,Times LIVE,TimesLIVE,32979,99
6011868110,Democratic Alliance,Democratic Alliance,25738,16
740116816003959,Western Cape Government,Western Cape Government,24720,42
195909420099,Solidariteit,Solidariteit,23134,8
200480966638039,Supremacy 1914,These ads ran without a disclaimer,23107,2
144985128871748,City of Cape Town,City of Cape Town,18624,22
116657351312927,Pledge To Vote SA,Pledge to Vote,13444,50
1742410059361710,AwakeMzansi,Awake Mzansi,10459,5
181204251979581,NEASA,National Employers' Association of South Africa,10079,15
1479166275635514,Western Cape Provincial Parliament,Western Cape Provincial Parliament,9076,3
149995182390763,Coca-Cola Africa Communications,These ads ran without a disclaimer,9027,2
107169379305548,TLU SA,TLU SA,8989,6
102251394547417,VF Plus - Lesedi Plaaslike Munisipaliteit,Vryheidsfront Plus / Freedom Front Plus,8407,4
2145594122138312,Action Society,Action Society,8341,21
119736861394881,Financial Mail,BusinessLIVE,7984,59
106172744063430,The Daily Friend,The Daily Friend,7489,20
1613030308842801,Democratic Alliance Western Cape,Democratic Alliance,6042,11
478479492268974,Sunday Times ZA,Sunday Times,6040,14
253615198009828,Anglo American,These ads ran without a disclaimer,6029,1
102265308016316,Al Jama-ah,Al Jama-ah,5617,18
111326403969815,DA Nelson Mandela Bay,Democratic Alliance,5498,6
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,5468,22
105557964210312,VF Plus - Ekurhuleni Metropolitaanse Munisipaliteit,Vryheidsfront Plus / Freedom Front Plus,4491,4
178713262328364,DA KZN,Democratic Alliance,3734,10
15087023444,Nike,These ads ran without a disclaimer,3390,2
208689879164310,ANC KwaZulu-Natal,Mfanelo Magwaza,3000,3
446648162438519,Thisisacumen,Acumen Media Management,3000,6
100445789444317,DA EC Legislature,Democratic Alliance,2569,8
217696894929887,FW de Klerk Foundation,FW de Klerk Foundation,2408,29
794336640617861,Cyril Ramaphosa Foundation,Cyril Ramaphosa Foundation,2367,11
112315630440653,Cape Independence Advocacy Group,Cape Independence Advocacy Group,2127,1
325113820874966,OUTA - Organisation Undoing Tax Abuse,Organisation Undoing Tax Abuse (OUTA),2000,1
134187920103120,Dr. J. Reid (Neurologist),Johan Reid,1920,2
123971017684407,HeraldLIVE - Nelson Mandela Bay,HeraldLIVE,1860,17
1442286572460668,Inside Education,Inside Education,1792,5
2215254718532346,Democratic Alliance - Northern Areas,Democratic Alliance,1645,4
102819959381651,COP28 UAE,These ads ran without a disclaimer,1555,1
1018230624896572,Siyakwazi Youth Network,Hamlet Enrico Johannes,1550,4
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,1500,5
108096858922548,The People's Movement,The People's Movement,1461,7
1271402709601865,HEALA,HEALA,1455,6
182843381896565,Democratic Alliance Northern Cape,Democratic Alliance,1431,2
165736836881428,GroundUp,GroundUp News NPC,1400,3
266790296879,Bloomberg,These ads ran without a disclaimer,1267,2
111455384155,Partners in Sexual Health,Hamlet Enrico Johannes,1200,3
141100792595323,Community Chest Durban,Gordon Mc Donald,1162,8
478605875679827,Regus,These ads ran without a disclaimer,1128,10
246425659800809,Central News,Central News,1110,29
102268322635915,The Finance Daily,These ads ran without a disclaimer,1013,1
259053084574400,Wahl SA,These ads ran without a disclaimer,997,1
614441158766955,Vote Dr Sipho P. Malapane And The Independent Campaign 2024,Sipho Pienaar Malapane,979,10
115864538089777,Dear SA - Have Your Say,Dear S Africa,821,4
342643596115773,Safely Home by Western Cape Government,Safely Home by Western Cape Government,767,1
434577883273454,Sihle Zikalala,Sihle Zikalala,686,3
185898428169024,Corruption Watch,These ads ran without a disclaimer,677,1
571775202881997,Democratic Alliance - Mossel Bay Constituency,Democratic Alliance Mossel Bay Constituency,647,2
112933978402440,Zackie2024,ZA2024,625,2
217519028785017,Nature Research Custom Media,These ads ran without a disclaimer,571,3
