Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
290481071013525,Pere López Agràs,Partit Socialdemòcrata d'Andorra,1302,20
184344791588436,Partit Socialdemòcrata d'Andorra,Partit Socialdemòcrata d'Andorra,632,13
430374277000520,Govern d'Andorra,Govern d'Andorra,498,7
184344791588436,Partit Socialdemòcrata d'Andorra,Grup parlamentari socialdemòcrata,109,2
509592602526551,Altaveu,Altaveu,≤100,4
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,93
430374277000520,Govern d'Andorra,These ads ran without a disclaimer,≤100,1
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100,10
290481071013525,Pere López Agràs,Grup Parlamentari Socialdemòcrata,≤100,3
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,5
509592602526551,Altaveu,These ads ran without a disclaimer,≤100,1
155671984456683,US Consulate General Barcelona,These ads ran without a disclaimer,≤100,1
165635540196382,Liberals,These ads ran without a disclaimer,≤100,7
104646198461139,Diari La Ciutat d’Andorra,These ads ran without a disclaimer,≤100,3
290481071013525,Pere López Agràs,These ads ran without a disclaimer,≤100,1
100973229021894,Blockchain School,These ads ran without a disclaimer,≤100,4
178925535502983,Matthew Fowler,These ads ran without a disclaimer,≤100,36
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,5
173452976040049,Lee Yi Shyan,These ads ran without a disclaimer,≤100,38
167327710092323,Mollaei Law,These ads ran without a disclaimer,≤100,1
107483864336789,I am a Casting Worker,These ads ran without a disclaimer,≤100,74
106620807391911,Roche,These ads ran without a disclaimer,≤100,4
1581066202141511,Najimi Ajimu,These ads ran without a disclaimer,≤100,30
581045078625669,Sweettatt Balm,These ads ran without a disclaimer,≤100,5
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,2
102251318064432,Organon,These ads ran without a disclaimer,≤100,4
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,22
106394965482360,Pedro Cardoso,These ads ran without a disclaimer,≤100,1
115643645121323,Deuter,These ads ran without a disclaimer,≤100,1
107173698926440,Rindiendo en casa,These ads ran without a disclaimer,≤100,13
1399806506952151,Morristown Skywarn,These ads ran without a disclaimer,≤100,19
34823056709,MASIA ONE,These ads ran without a disclaimer,≤100,40
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,4
104715858410560,Sphera,These ads ran without a disclaimer,≤100,3
112857077857582,Omo - Weight Loss With Psychology,These ads ran without a disclaimer,≤100,1
2060609360680091,Roy's Refrigeration & Heating & A.C,These ads ran without a disclaimer,≤100,12
105316318681353,fvckxlloc,These ads ran without a disclaimer,≤100,1
470721533028851,Hair Frenzy,These ads ran without a disclaimer,≤100,8
198407193565735,DNV - Business Assurance,These ads ran without a disclaimer,≤100,1
845620825830146,Deel,These ads ran without a disclaimer,≤100,3
142698495824224,Morristown Vineyards,These ads ran without a disclaimer,≤100,10
428037900702440,Mancomunitat Vall d'Albaida,These ads ran without a disclaimer,≤100,1
280833151162,LCI Barcelona,These ads ran without a disclaimer,≤100,1
107040575646313,Renata Marina,These ads ran without a disclaimer,≤100,14
150294649018041,Julia Murça,These ads ran without a disclaimer,≤100,2
106938804271614,193 Viagens,These ads ran without a disclaimer,≤100,1
105527368523220,Anuga Horizon,These ads ran without a disclaimer,≤100,3
104640025009259,LesApicultores,These ads ran without a disclaimer,≤100,1
105211595235322,arboretum.haus,These ads ran without a disclaimer,≤100,2
227642364102648,Luka & Jenalyn,These ads ran without a disclaimer,≤100,20
101667451922344,Kidelan Formación,These ads ran without a disclaimer,≤100,1
340577086006224,CRI German,These ads ran without a disclaimer,≤100,7
461741233923788,CASA DE CAMBIO EUROPA,These ads ran without a disclaimer,≤100,8
279083325560817,Running Out of Time,These ads ran without a disclaimer,≤100,10
106278708591533,Foreign Investment Agency Vietnam - FIA Vietnam,These ads ran without a disclaimer,≤100,4
139666286225597,Euranet Plus - Official,These ads ran without a disclaimer,≤100,7
1501692810145450,Laboratorio Nazionale D'arte Floreale Federfiori,These ads ran without a disclaimer,≤100,10
137410079645823,Instituto Europeo de Psicología Positiva - IEPP,These ads ran without a disclaimer,≤100,1
170608586318343,Hamish McDouall Labour 4 Whanganui,These ads ran without a disclaimer,≤100,3
1446322488925917,PATIYA POLICE STATION ღ๋ღ๋ღ পটিয়া পুলিশ স্টেশন,These ads ran without a disclaimer,≤100,8
145891912753401,mrhost,These ads ran without a disclaimer,≤100,1
110210588494125,GCG International Law firm,These ads ran without a disclaimer,≤100,7
110470091436602,Ici Beyrouth,These ads ran without a disclaimer,≤100,11
1860782777346343,Astons Russia,These ads ran without a disclaimer,≤100,2
485957271511444,حملة- المركز العربي لتطوير الإعلام الاجتماعي,These ads ran without a disclaimer,≤100,3
2265747167028350,Haaretz Labels,These ads ran without a disclaimer,≤100,6
101218049605556,Castell de Lloret,These ads ran without a disclaimer,≤100,1
100490729492964,Sebastian Bello,These ads ran without a disclaimer,≤100,19
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,5
101885221985443,Volkswagen we drive football,These ads ran without a disclaimer,≤100,15
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,2
139235326093086,Herno,These ads ran without a disclaimer,≤100,1
102393821206111,RainKiss,These ads ran without a disclaimer,≤100,4
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,7
104877488982288,SLB,These ads ran without a disclaimer,≤100,5
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,19
1899205393647099,TAP Air Portugal,These ads ran without a disclaimer,≤100,1
111462268896155,Dra. Consuelo Rollán: Psicología y Análisis Transaccional,These ads ran without a disclaimer,≤100,2
1465712277083948,Poly cảm xúc,These ads ran without a disclaimer,≤100,7
852370551453606,GARP,These ads ran without a disclaimer,≤100,3
319549428716940,Maria Luisa Lima,These ads ran without a disclaimer,≤100,1
462478407118689,Marjan Farsad,These ads ran without a disclaimer,≤100,26
102500518635499,ENTR en,These ads ran without a disclaimer,≤100,17
339973326139618,TUI Care Foundation,These ads ran without a disclaimer,≤100,1
1422393921386710,Pure Air Zone,These ads ran without a disclaimer,≤100,2
103035731375669,Kreagate,These ads ran without a disclaimer,≤100,1
166591246714313,Tetra Pak,These ads ran without a disclaimer,≤100,4
369533346501031,United for Intercultural Action,These ads ran without a disclaimer,≤100,1
244192865606024,People in Need,These ads ran without a disclaimer,≤100,2
20031443281,Namecheap.com,These ads ran without a disclaimer,≤100,2
100472405299298,Mimo Defi,These ads ran without a disclaimer,≤100,1
102199795319206,Pablo Marçal Oficial,These ads ran without a disclaimer,≤100,12
1390745591150821,NRC - Norwegian Refugee Council,These ads ran without a disclaimer,≤100,4
101653285444113,SK텔레콤 뉴스룸,These ads ran without a disclaimer,≤100,3
332476724335,Retap,These ads ran without a disclaimer,≤100,1
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,3
2148270595183779,Station Europe,These ads ran without a disclaimer,≤100,1
405379246524515,DHL Express,These ads ran without a disclaimer,≤100,4
201621266663543,Inèdit Educacion,These ads ran without a disclaimer,≤100,2
108784775861503,Digital EU,These ads ran without a disclaimer,≤100,1
463704000312151,Videonewsharing,These ads ran without a disclaimer,≤100,1
101978933230493,DHL,These ads ran without a disclaimer,≤100,3
1238173096287495,Azur Games,These ads ran without a disclaimer,≤100,3
267264199961398,Change the World Model United Nations,These ads ran without a disclaimer,≤100,4
1352874084790500,Fresenius Kabi,These ads ran without a disclaimer,≤100,2
100185974742912,ZF Aftermarket,These ads ran without a disclaimer,≤100,6
