Page ID,Page name,Disclaimer,Amount spent (AED),Number of ads in Library
115654877692105,Aqary Bay,Aqary Bay,24353,5
200480966638039,Supremacy 1914,These ads ran without a disclaimer,17222,3
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,17049,17
267387670017944,City University Ajman,These ads ran without a disclaimer,12214,9
651748541611445,Azizi Developments,These ads ran without a disclaimer,10774,1
402052193189194,Siemens,These ads ran without a disclaimer,8518,8
339630283160450,Al Tayer Motors Land Rover UAE,Al Tayer Motors Land Rover UAE,8149,15
376577805687634,6thStreet,These ads ran without a disclaimer,8045,2
193631434303282,Al Tayer Motors,Al Tayer Motors,7637,17
1534982756793690,Foodvisor,These ads ran without a disclaimer,7402,7
105730345624523,Park avenue Dubai,These ads ran without a disclaimer,6968,10
1126182824227053,Raksc,These ads ran without a disclaimer,5493,5
102819959381651,COP28 UAE,These ads ran without a disclaimer,5155,17
156624417872117,Environment Agency - Abu Dhabi,These ads ran without a disclaimer,4657,4
1184323295034722,Department of Community Development- Abu Dhabi,These ads ran without a disclaimer,4249,1
110199938451933,There's More to Plastic UAE,More To plastic,4198,5
115654877692105,Aqary Bay,These ads ran without a disclaimer,4190,2
1175283209338350,Zayed The Inspirer,Zayed The Inspirer,4149,11
220128938133929,Annual Investment Meeting,These ads ran without a disclaimer,3824,5
777727465958001,مؤسسة الاتحاد الخيرية,مؤسسة الاتحاد الخيرية,3362,6
123698491019029,Lombard Odier Group,These ads ran without a disclaimer,2998,17
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,2979,69
266790296879,Bloomberg,These ads ran without a disclaimer,2945,19
102614571880993,Public Investment Fund,These ads ran without a disclaimer,2483,3
100460919485791,Enrico Nan UAE,Enrico Nan,2373,2
664912510350355,Carter & White,These ads ran without a disclaimer,2214,1
1433390653592136,Emirates Islamic,These ads ran without a disclaimer,2049,11
100225839064006,Dream Dubai Official,These ads ran without a disclaimer,2044,4
109498134881510,Dubai Property - Villas - Townhouse,These ads ran without a disclaimer,1953,3
110834314440892,Saudi Green Initiative,These ads ran without a disclaimer,1499,9
