Page ID,Page name,Disclaimer,Amount spent (XCD),Number of ads in Library
482198868521917,Asot Michael,Asot A. Michael,40132,134
486723854867439,MYUPP,United Progressive Party,21216,205
64075711205,Antigua & Barbuda Labour Party,The Antigua & Barbuda Labour Party (ABLP),18112,142
1451898645041985,Gaston Browne,The Antigua & Barbuda Labour Party (ABLP),12367,102
203239449860143,Harold Lovell,United Progressive Party,11536,68
108197841533582,St.Peter's Constituency-ABLP-,Rawdon Turner,7127,17
434709106604434,Progressive Youth,United Progressive Party,4589,32
107952221023207,Gladys Potter the Right Choice for SJRS,United Progressive Party,2223,22
44846920403,Dean,Athill Dean Jonas,1442,34
108465098593385,Mario Thomas,Democratic National Alliance,805,15
105826391202074,Pearl Quinn-Williams,United Progressive Party,763,7
527384967635800,Richard S. Lewis,Richard Sylvester Theophilus Lewis,702,22
354192254667229,Antigua Barbuda Workers Union,Antigua & Barbuda Workers Union,680,11
698379307000668,Democratic National Alliance - Antigua and Barbuda,Democratic National Alliance,645,15
128330884625097,Johnathan Joseph,United Progressive Party,621,5
251067568809208,St. John's Rural North,Angelica Ayoka O'Donoghue,599,16
109997654165241,Algernon 'Serpent' Watts,United Progressive Party,526,4
620112028325862,Hon Jamale Pringle - Leader of the Opposition,United Progressive Party,516,3
111347180673351,Anthony Smith Jr.,Anthony Smith,515,20
102389305793337,Anthony Stuart,Democratic National Alliance,507,32
109366510875,Chaneil Imhoff,Chaneil Imhoff,455,10
116032046892777,UPP All Saints East and St. Luke's Constituency Branch,United Progressive Party,351,3
68793499001,UNICEF,UNICEF with Facebook Ad Credits,332,289
109407040848704,Sean Bird,United Progressive Party,324,3
100466735989236,Kisean 'Brother Joe' Joseph,Kisean 'Brother Joe' Joseph,316,2
101970394999638,Franz for City South,United Progressive Party,270,2
486723854867439,MYUPP,Damani Ayinde Tabor,270,2
102663679241421,Kelvin 'Shugy' Simon,United Progressive Party,270,2
220849685513413,Antigua Breaking News,Antigua Breaking News,267,4
101751818364773,Sherfield Bowen,United Progressive Party,243,2
111929960258733,The UWI Five Islands Campus,The University of the West Indies Five Islands Campus,242,4
119076797775420,The Hon. Asot A. Michael’s Support & Information Page,These ads ran without a disclaimer,224,3
105881978308563,UPP Rural West Branch,United Progressive Party,216,2
287683225711,UN Environment Programme,UN Environment Programme,173,16
108197841533582,St.Peter's Constituency-ABLP-,These ads ran without a disclaimer,162,2
100468518387019,St Johns City West,United Progressive Party,135,1
110294170854767,Gail Christian,These ads ran without a disclaimer,116,3
200480966638039,Supremacy 1914,These ads ran without a disclaimer,111,3
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,8
109821937389012,Jahmaal A. Frederick,Jahmaal Frederick,≤100,3
100679076003268,"West Indies Academy of Rum, Antigua",These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,101
482198868521917,Asot Michael,These ads ran without a disclaimer,≤100,4
109357042047827,Save Antigua,These ads ran without a disclaimer,≤100,1
111347180673351,Anthony Smith Jr.,These ads ran without a disclaimer,≤100,2
845620825830146,Deel,These ads ran without a disclaimer,≤100,10
133803883438565,Northcoasthardware,These ads ran without a disclaimer,≤100,1
115070071175245,Roland Timothy,Democratic National Alliance,≤100,1
103857448157674,Michael M. Joseph,Michael M. Joseph,≤100,1
97320092545,PAHO-WHO,These ads ran without a disclaimer,≤100,6
109106917581996,St. John's City West ABLP Constituency,These ads ran without a disclaimer,≤100,1
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100,14
760577320663492,ABLP All Saints East & St Luke Constituency,These ads ran without a disclaimer,≤100,2
126208308177680,Office of The Prime Minister Antigua and Barbuda,Office of The Prime Minister Antigua and Barbuda,≤100,1
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
100451933698060,AdVenture Communist,These ads ran without a disclaimer,≤100,1
486723854867439,MYUPP,These ads ran without a disclaimer,≤100,2
167327710092323,Mollaei Law,These ads ran without a disclaimer,≤100,1
103286391424486,Developing Dominica,These ads ran without a disclaimer,≤100,2
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100,72
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,≤100,21
684059075302945,Grenades FC,These ads ran without a disclaimer,≤100,1
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,2
8057376739,The Nature Conservancy,These ads ran without a disclaimer,≤100,1
174669235904729,Sagicor Cave Hill School of Business and Management - The UWI Cave Hill,These ads ran without a disclaimer,≤100,1
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,≤100,73
104015742220554,Mimic,These ads ran without a disclaimer,≤100,5
245094455536925,FOUR PAWS,These ads ran without a disclaimer,≤100,5
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,3
267410650127820,NRD Companies,These ads ran without a disclaimer,≤100,4
253772961315048,Mercury Mosaics,These ads ran without a disclaimer,≤100,5
68793499001,UNICEF,These ads ran without a disclaimer,≤100,4
681614015247190,Caribbean National Weekly,These ads ran without a disclaimer,≤100,25
451256781884275,Klondike Adventures,These ads ran without a disclaimer,≤100,2
107913427215945,Kuanna Soul,These ads ran without a disclaimer,≤100,1
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,2
1850554838294522,Pointe FM 99.1,These ads ran without a disclaimer,≤100,1
101307685963250,Antigua & Barbuda Holistic Coalition,These ads ran without a disclaimer,≤100,1
401548290384858,Tisa Sencur,These ads ran without a disclaimer,≤100,1
103496105344354,Corporate Sustainability Review,These ads ran without a disclaimer,≤100,4
1637307879891739,CARICOM.Energy,These ads ran without a disclaimer,≤100,1
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,49
64588666340,Haaretz.com,These ads ran without a disclaimer,≤100,7
107714748645793,Big Buzz,These ads ran without a disclaimer,≤100,5
1238173096287495,Azur Games,These ads ran without a disclaimer,≤100,4
115591005188475,Global Times,These ads ran without a disclaimer,≤100,4
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,12
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,7
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,46
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100,51
119405895873,Huawei,These ads ran without a disclaimer,≤100,10
106532464278807,Caribbean Tree Planting Project,These ads ran without a disclaimer,≤100,1
