Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
710162246484557,Ապրելու Երկիր Կուսակցություն,Country to live party,2426,93
179916515749362,FIP - Փաստերի ստուգման հարթակ,Union of Informed Citizens NGO,2184,235
386469311494240,Իրազեկ քաղաքացիների միավորում - Union of Informed Citizens,Union of Informed Citizens NGO,1706,21
195018463901371,CivilNet,CivilNet,1688,82
401367013544150,Մանե Թանդիլյան -  Mane Tandilyan,Country to live party,1622,147
117883984992205,ՀՀ արդարադատության նախարարություն/Ministry of Justice of Armenia,ՀՀ արդարադատության նախարարություն/Ministry of Justice of Armenia,1560,24
265536155341417,Right to Life,Right to Life,1472,18
106121915481350,Best credit,These ads ran without a disclaimer,1457,3
485607424854783,Բուն TV,Բուն TV,1272,42
100972032711165,Miami Beach’s golden era in-between,These ads ran without a disclaimer,1213,5
101104126073146,Armen Hakobjanyan / Արմեն Հակոբջանյան,Civil Contract,1131,25
105061322322768,Arman Saribekyan / Արման Սարիբեկյան,Civil Contract,812,18
100733032752443,Արկադի Թամազյան / Arkadi Tamazyan,Country to live party,735,28
105364072240968,Արա Զաքարյան / Ara Zakaryan,Country to live party,706,30
330537565808,Tert.am,Tert.am LLC,631,45
102112125825376,Համախմբում,Համախմբում,523,29
114424498238552,C News,Civic,520,9
102748232779745,Life room,These ads ran without a disclaimer,482,2
635761500262241,MOM & KID EXPO,These ads ran without a disclaimer,476,5
362475287903040,Սերժ Սարգսյանի աջակիցներ / Serzh Sargsyan's supporters,Միքայել Գրիգորյան,459,6
2311673205550677,AntiFake.am,"""Civil Consciousness"" liberal NGO (AntiFake.am)",415,14
112471538443315,Ջիվան Մարգարյան / Jivan Margaryan,Nara Manukyan,404,20
656393581078511,Քաղաքացիական պայմանագիր,Civil Contract,265,9
112005505186199,Beauty overcast,These ads ran without a disclaimer,254,2
336154206570851,Arsen Torosyan,Arsen Torosyan,236,25
102072599470181,Advanced Trading,These ads ran without a disclaimer,231,4
110285651848589,VLV Furniture,These ads ran without a disclaimer,229,4
102882402725627,vernopravd,These ads ran without a disclaimer,225,5
102719569423184,Արտակ Գևորգյան / Artak Gevorgyan,Robert Manukyan,214,13
108837171601077,Վալոդյա Գրիգորյան/Valodya Grigoryan,Country to live party,207,8
278057599639314,It-incubator,These ads ran without a disclaimer,196,1
347826882634208,Gevorg Papoyan / Գևորգ Պապոյան,Civil Contract,180,4
102207985975214,Quentina Carter,These ads ran without a disclaimer,173,2
101407672669785,Инвестиции в сайты легко,These ads ran without a disclaimer,163,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,162,3
100287342020600,Դավիթ Խաժակյան/Davit Khazhakyan,Դավիթ Խաժակյան,157,5
2378788968869965,Vahagn Aleksanyan / Վահագն Ալեքսանյան,Civil Contract,156,4
257834634268733,Ամերիկայի Ձայն,These ads ran without a disclaimer,156,25
1816787101703745,Երևանի քաղաքապետարան / Yerevan Municipality,YEREVAN MUNICIPALITY,146,6
1360470967413412,Davit Manukyan / Դավիթ Մանուկյան,Country to live party,136,9
104290772158251,Anahit Khechoyan / Անահիտ Խեչոյան,Country to live party,135,8
103038869208136,Կարլեն Վերմիշյան / Karlen Vermishyan,Country to live party,133,7
659468637586461,Արդարություն և Հայրենիք Կուսակցություն,These ads ran without a disclaimer,131,10
1730016067249235,OHI-S,These ads ran without a disclaimer,123,2
110364064902102,Atom_mining,These ads ran without a disclaimer,120,1
110140375131947,Վրույր Այվազյան / Vruyr Ayvazyan,Country to live party,118,7
