Page ID,Page name,Disclaimer,Amount spent (AOA),Number of ads in Library
250305668489402,Professor Kenny,These ads ran without a disclaimer,3689807,85
386748608059379,MPLA,PMKT Marketing,3382109,87
102988331717955,Partido Humanista de Angola,Partido Humanista de Angola,2933993,22
104288362419972,apkshop_3,apkshop_3,771605,169
106716308808482,JDA Jovens Angolanos,Marketing WOW Digital,706092,54
101014586118927,Apkshop,Graciete De Carvalho Faustino,476568,51
109550115190963,Grupo 8,Herlander Wilson Caseiro,344348,9
821430017924241,Sungrow,These ads ran without a disclaimer,322096,7
172263106300009,Eventos Arena,Eventos Arena,309202,111
1758881304355694,Sebastião Vinte e Cinco,Sebastião Vinte e Cinco,155618,28
103535548573473,MS Comércio,MS Comércio,111522,5
108003688977456,Wabi Sabi,These ads ran without a disclaimer,108458,1
795079500550035,Diário do Povo Online,These ads ran without a disclaimer,104940,25
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,96632,15
197286593999,VOA Português,These ads ran without a disclaimer,89236,16
111338114536618,CNE,These ads ran without a disclaimer,84963,5
719952321492690,UNFPA Angola,UNFPA Angola,76305,3
102464055062554,Paulo Faria,These ads ran without a disclaimer,76098,6
28312410177,World Food Programme,These ads ran without a disclaimer,75278,32
1053506164766291,Entre Nós,These ads ran without a disclaimer,71453,6
101069801664233,"CF Estrela da Amadora, SAD",These ads ran without a disclaimer,69854,1
338109312883186,China Xinhua News,These ads ran without a disclaimer,68048,116
256341811443198,Iurisbook,José Paulo Maiandi,60000,10
142682279138433,Gaspar Tchanja K.Chingando,Gaspar Tchanja K.Chingando,57035,31
1518216038506999,CRI - Rádio Internacional da China,These ads ran without a disclaimer,55626,11
200480966638039,Supremacy 1914,These ads ran without a disclaimer,55081,3
107801918890922,Masfamu Angola,Masfamu Angola,53670,4
106700257795085,OMA Nacional,OMA Nacional,47983,8
150294649018041,Julia Murça,These ads ran without a disclaimer,46375,1
102343368862412,Movimento Cívico Mudei,These ads ran without a disclaimer,43775,1
157438094324143,The Nature Conservancy in Africa,These ads ran without a disclaimer,42856,21
