Page ID,Page name,Disclaimer,Amount spent (ARS),Number of ads in Library
130929705668,Municipalidad de Córdoba,Municipalidad de Córdoba,626999695,6160
301506776559902,Gobierno de Córdoba,Gobierno de Córdoba,251995057,6653
101481752980291,Derecho al Futuro,Derecho al Futuro,153596578,1222
34839376970,Infobae,These ads ran without a disclaimer,137123737,141
364916637463104,Unión por la Patria,Unión por la Patria,131690979,257
113440031817559,Unión por las Redes,Unión por las Redes,113086750,248
107553832426946,Defendamos la Patria,Defendamos la Patria,77795010,231
20906273675,Greenpeace Argentina,Greenpeace Argentina,75587605,2140
103088924366000,Noticias d,Noticias d,72305611,22272
112495102121367,Gobierno de la Provincia de Buenos Aires,Gobierno de la Provincia de Buenos Aires,68583708,1190
108401558977853,Hacemos por Nuestro País,Hacemos por Nuestro País,61653006,59
119344291259729,El voto que vale,El voto que vale,61219561,280
544640985878621,Argentinos Online,Argentinos Online,57355979,1484
110767322072387,Levantemos Argentina,Levantemos Argentina,55590603,129
174545086044880,Gobierno de Santa Fe,Gobierno de Santa Fe,55036883,2249
109104915512477,Argentina tiene con qué,Argentina tiene con qué,53351597,112
113686738612,Gobierno de la Ciudad de Buenos Aires,Gobierno de la Ciudad de Buenos Aires,53237031,1725
367089004808,Amnistía Internacional Argentina,Amnistía Internacional Argentina,52067581,2712
110568602036048,Córdoba La Número 1,Córdoba La Número 1,48531696,307
63044235866,UN Climate Change,UN Climate Change with Facebook Ad Credits,48398724,34
100686031576569,Primero la gente,Secretaría de Medios y Comunicación Pública,45337644,1116
233792609964941,Municipio de Esteban Echeverría,Municipio de Esteban Echeverría,44757932,447
108679841853325,Contame Más,Contame Más,41989541,1926
57718951374,Jorge Macri,JUNTOS POR EL CAMBIO DISTRITO CAPITAL FEDERAL A. P. - ALIANZA,41695182,108
102086362955693,Hacemos,Hacemos,39474270,92
146199921903415,Entre Ríos Sabe,Entre Ríos Sabe,38030962,83
525334380868858,Martín Lousteau,Juntos por el Cambio - Capital Federal,37674552,403
2339859699626643,Hacemos Unidos por Córdoba,Hacemos Unidos por Córdoba,37374523,151
699758330894365,Actualidad Argentina,Actualidad Argentina,36417222,1616
206515872752040,Info-DINE,Secretaría de Medios y Comunicación Pública,35678130,188
374082229927,Sergio Massa,Unión por la Patria,35652152,68
129799846687423,Levantémonos,Levantemonos,35156966,408
100615406447198,Una Argentina Distinta,Una Argentina Distinta,34916198,18
110116998602195,Boletin No-Oficial,Boletín No Oficial,34595828,1372
103107652819753,Juntos Avancemos,Juntos Avancemos,34320613,261
465558466800210,Maxi Pullaro,Unidos para Cambiar Santa Fe,34303016,390
513899261972162,Frente de Izquierda FIT,Frente de Izquierda,33680194,388
174970176018,Horacio Rodríguez Larreta,Juntos por el Cambio,33206185,3013
107631983989726,Argentina Federal,Argentina Federal,32742778,1577
116053261893854,Axel Kicillof,Unión por la Patria PBA,32691743,83
191138187655299,Municipalidad de Quilmes,Municipalidad de Quilmes,32278780,3324
110276628358382,El Autónomo,El Autónomo,32274761,1401
117876687966510,NotiGlocal,NotiGlocal,31911000,173
102047526333906,no te regales,No te regales,31556224,51
610065179346397,NotiBaires,NotiBaires,31349046,155
110806461830762,El Sol Web,El Sol Web,30841957,1384
641948702550925,Catamarca Gobierno,Gobierno de Catamarca,30457765,1608
708033836658542,Empatia,Empatía,30408057,1099
114046241738745,Derecho al Pasado,Derecho al pasado,30284376,54
111616808684669,Más para Entre Ríos,Más por Entre Ríos,30197136,42
122107628702003246,Unidos Santa Fe,Unidos Santa Fe,29452706,314
111669735076988,Hora Cero,Hora Cero Noticias,29309127,1268
958750317533178,Manuela Castañeira,Nuevo MAS,29173535,1241
131381938371647,Corta La Bocha Noticias,Corta La Bocha,28713725,1329
133343903197971,Argentina Sin Armas,Argentina sin Violencia,28431487,26
675523912809682,Tiempo de Provincia,Tiempo de Provincia,28351781,147
1436040176529904,Noticias de Acá,Noticias de Acá,27293171,114
2251397431784810,InfoArgentina,InfoArgentina,27213448,126
106449905849575,Seguimos Haciendo,Seguimos Haciendo,26815379,491
103107652819753,Juntos Avancemos,Elijo Hacer Santa Fe,26419975,276
1651324754987038,InfoAires,InfoAires,26227704,116
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,25788311,262
628498977777284,El Continental,Periodico El Continental,25108504,1155
106560742263098,Noticias El Portal,Noticias El Portal,24623705,1097
109586108797973,Futuro Argentino,Futuro Argentino,23973804,260
120110414388057,Santa Fe Puede,Santa Fe Puede,23790788,139
104417732484057,El Independiente Noticias,El Independiente,23658668,945
105223739251518,Unión por la paz,These ads ran without a disclaimer,23135300,50
105716442346264,Conurnarnia,Conurnarnia,22995993,976
364916637463104,Unión por la Patria,Frente de Todos Buenos Aires,22825765,223
171330806277312,Diego Santilli,Juntos,22511486,1385
525334380868858,Martín Lousteau,Martín Lousteau,22454879,537
175844725888213,Alejandro Bodart,MST Movimiento Socialista de los Trabajadores,22391762,992
116548468152843,Eco Informativo,Eco Informativo,22159881,780
346625951629,Gobierno del Chubut,Gobierno de chubut,21828925,135
1891224821118131,Argentina Opina,Argentina Opina,21622256,57
378374369659145,Zona Norte Noticias,Zona Norte Noticias,21582193,109
148539931942743,Rodrigo de Loredo,Rodrigo de Loredo,21546170,585
113898744658728,El Progreso Web,El Progreso,21481898,920
108886145647928,Un País Normal,1 País Normal,21108669,66
117067311301875,El Radical Noticias,El Radical Noticias,20973573,518
110079031997390,Con Larreta,Con Larreta,20540235,876
114390001703193,La Actualidad,La Actualidad,20534401,776
171330806277312,Diego Santilli,Juntos por el Cambio,20368811,1783
101023709706410,Soñemos en Grande,Soñemos en Grande,19905284,86
107605252387795,Banco de Noticias,Banco de Noticias,19754723,695
120527421023470,Despierta Chubut,Despierta Chubut,19425864,281
100634213060427,Levantados,Somos Los Levantados,18947361,16
174545086044880,Gobierno de Santa Fe,Brote AD S.A.,18571794,487
563457753861426,Fernando Gray,Asociación Civil Casa de la Comunidad Organizada Esteban Echeverría,18553019,106
112755551923300,Chau Argentina,These ads ran without a disclaimer,18437102,19
386830351387514,InfoSanLuis.com,InfoSanLuis.com,18317656,2284
103594282676235,Piensa Distinto,Piensa Distinto,18316360,42
100615406447198,Una Argentina Distinta,Una Argentina distinta,18302486,55
135948233146402,Municipio de Lomas de Zamora,Municipalidad de Lomas de Zamora,18266487,414
238683972654117,Guille De Rivas,Hacemos Unidos por Río Cuarto,18205128,251
2296112127071539,Feedback encuestas,Feedback Encuestas Online,18141567,16762
102187456039094,Enterate Ya,Enterate Ya!,17816197,723
109438307492455,Argentina Date cuenta,Argentina Date cuenta,17790765,51
138406616275954,Marcelo Orrego,Producción y Trabajo,17588306,1212
107473468922571,Es hora de levantarse,Es Hora de Levantarse,17582847,55
363825283650115,Vicente López,Vicente López,17403769,680
103740369249125,El Provinciano,El Provinciano,17300029,828
702067706814466,Vivamos Zona Sur,Vivamos Zona Sur,17281725,126
112765876750786,Bien Temprano,These ads ran without a disclaimer,17238120,8
110039918575012,Noticias Express,Noticias Express,17214608,749
111600998225620,Noticias Zero,Noticias Zero,17197508,934
113395874909201,Punto Noticias,Punto Noticias Web,16857012,817
136235393808757,Noticias del Oeste,Noticias del Oeste,16845667,71
346625951629,Gobierno del Chubut,Gobierno del Chubut,16741927,196
102534516011045,La Gloria Noticias,La Gloria Noticias,16385295,810
369199359904207,Municipalidad de Tres de Febrero,Municipalidad de Tres de Febrero,16250431,1206
317140548314140,San Fernando Municipio,San Fernando Municipio,16136550,510
796480967084066,Cele Fierro,MST Movimiento Socialista de los Trabajadores,15892611,856
55026729551,Invertironline,Invertironline,15868667,60
1662250880709156,Lanús Municipio,Lanús Municipio,15586700,1082
104455719146837,El Meridiano,El Meridiano Noticias,15294987,669
101594852755793,El Bonaerense,El Bonaerense,15159727,638
145128028677054,La lista negra,La lista negra,14945696,41
248730858601074,Juan Andreotti,Frente Renovador San Fernando,14881459,184
1507832839518229,Gobierno de la Provincia del Neuquén,Gobierno de la Provincia del Neuquén,14798339,299
112090455034177,El Portavoz Oficial,El Portavoz,14757917,715
169481676449081,Adán Bahl,PJ Entre Ríos,14596873,163
101009653012234,Con milei no,These ads ran without a disclaimer,14537576,52
107504001595433,Todos Somos Santa Fe,Todos Hacemos Santa Fe,14523943,442
104733589113258,La Gaceta Nacional,La Gaceta Nacional,14484727,734
452525851510103,Nicolás del Caño,Frente de Izquierda,14435865,871
