Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
9480502970,Greenpeace Australia Pacific,Greenpeace Australia Pacific,5271516,23739
307341981788,Australian Labor Party,Australian Labor Party,3068392,5496
49453745631,Amnesty International Australia,Amnesty International Australia,2566277,7727
299753643444311,AEC,Australian Electoral Commission,2334159,256
102329728050606,Yes23,Yes23,2310770,10222
101589645013040,Thrive by Five,Thrive By Five,2198567,2822
331204223675563,United Australia Party,United Australia Party,2160693,110
112133637214684,Doctors Without Borders / Médecins Sans Frontières (MSF),Médecins Sans Frontières Australia,1804536,5596
14193666340,Australian Conservation Foundation,Australian Conservation Foundation,1595836,4398
10113538711,WWF-Australia,WWF-Australia,1460237,1620
532962446729390,Australian Families,Department of Social Services,1390550,390
110919704153225,2021 Census - Australia,Australian Bureau of Statistics,1294360,120
182564410468,Australia for UNHCR,Australia for UNHCR,1258663,5759
316480331783930,Australian Unions,Australian Unions,1209789,2947
136238709722696,Victorian Labor,Victorian Labor,1080020,3799
104879269215385,childsafety.gov.au,Attorney-General's Department,1058151,29
494820897261439,Bank Australia,Bank Australia,1043064,2839
110627367235865,Australian Government,Australian Government,1040204,329
195538532456,UNICEF Australia,UNICEF Australia,1007356,4100
308746806571901,Advance Australia,Advance Australia,996402,1790
177072498997234,NSW Electoral Commission,NSW Electoral Commission,957820,514
13561467463,Liberal Party of Australia,Liberal Party of Australia,954126,4334
1024680567600959,"Australian Department of Agriculture, Fisheries and Forestry","Australian Government Department of Agriculture, Water and the Environment",910487,24
92824008332,Plan International Australia,Plan International Australia,907360,1798
104389532222332,Solutions,Solutions for Australia,851252,2405
1776727752614025,Glencore,Glencore Australia,826961,140
807722379247301,Clive Palmer,United Australia Party,798446,24
105228161893855,Climate 200,Climate 200,775105,2473
447447719391089,Health Care Providers Association,Health Care Providers Association,719709,263
149648047339,Save the Children Australia,Save the Children Australia,708784,3947
105140971475089,Chuffed.org - Australia,Chuffed.org,708271,1231
113208555377897,Sportsbet.com.au,Sportsbet.com.au,662335,260
103368691011088,AusGov Infrastructure,These ads ran without a disclaimer,653862,109
495731404149305,Koffels Solicitors & Barristers,Koffels Solicitors and Barristers,625362,188
89794331215,Oxfam,Oxfam Australia,604070,6173
108695110952294,Greens MPs,Greens MPs,601469,1701
514475628623089,Our Watch,Our Watch,597972,70
397230473694314,Queensland Labor,Queensland Labor,565471,2186
102292348146435,The Uluru Statement from the Heart,"Indigenous Law Centre, UNSW",546016,229
106903671748629,Australia's making positive energy,"Department of Industry, Science, Energy and Resources",523169,13
231341250224498,Australian Ethical Investment,Australian Ethical Investment,498434,2566
936147539773859,Great Barrier Reef Foundation,Great Barrier Reef Foundation,487939,1109
8422338499,The Wilderness Society,The Wilderness Society,485751,5938
108381455902627,Australian Christian Lobby,Australian Christian Lobby,483185,694
710266392358023,Future Super,These ads ran without a disclaimer,477738,193
13527056454,GetUp!,GetUp!,477096,1360
290700654767295,The Chamber of Minerals and Energy of Western Australia - CMEWA,The Chamber of Minerals and Energy of Western Australia,474246,703
104763418516972,Flash,Streamotion Pty Ltd,456194,391
370556390273261,Shell,Shell,454800,1
403190333059705,For Every Child,Australian Education Union,447764,737
146307378744087,The Victorian Electoral Commission,Victorian Electoral Commission,443750,276
710266392358023,Future Super,Future Super,442213,320
291704124236419,WorkSafe Victoria,WorkSafe Victoria,419858,585
103653191525,Ben & Jerry's,Ben & Jerry's,406170,210
1445863699024135,Business Council of Australia,Business Council of Australia,398811,433
160054227468,World Vision Australia,World Vision Australia,393244,818
352953834815624,Jason Wood MP,Jason Wood MP,379810,2303
10852627380,World Animal Protection Australia,World Animal Protection Australia,369025,1149
162107547181406,LNP - Liberal National Party,Liberal National Party of Queensland,363620,2003
109540078293238,Affordable Medicines Now,The Pharmacy Guild of Australia,358136,1166
341910905847062,Asylum Seeker Resource Centre (ASRC),Asylum Seeker Resource Centre (ASRC),355537,3294
101791315693,Destiny Rescue,Destiny Rescue,346760,1059
107821460907506,Solar Saver,Solar Saver Energy,343911,2721
119931654696956,Victorian Greens,Victorian Greens,336149,1422
103793788825307,Dr Monique Ryan,Monique Ryan,324877,554
59024478936,Monash University,Monash University,317894,220
104180525925926,Fair Australia,Advance Australia,313497,272
139124319523130,Australian Signals Directorate,Australian Cyber Security Centre,309949,44
185917314792939,Liberal Victoria,The Liberal Party of Australia (Victorian Division),309321,635
104774468804988,Smart Voting,Smart Voting,307964,57
345960425540557,The Climate Council,The Climate Council,307185,2523
682268945137255,Chris Minns,Chris Minns MP,299341,279
117241141903,Barnardos Australia,Barnardos Australia,290554,783
575557119153505,"NSW Department of Planning, Housing and Infrastructure","NSW Department of Planning, Industry and Environment",287444,438
292602604891,Josh Frydenberg,Josh Frydenberg,284248,487
272757739102,Engineers Australia,Engineers Australia,282623,802
185917314792939,Liberal Victoria,Liberal Party of Australia (Victorian Division),276174,357
110919704153225,2021 Census - Australia,These ads ran without a disclaimer,274191,30
334563333634959,Australian Government Department of Education,Australian Government Department of Education,271091,24
157812980921536,Environmental Defenders Office,Environmental Defenders Office,265888,2368
275866669090583,South Australian Liberal Party,South Australian Liberals,257396,452
185738798123705,South Australian Labor,South Australian Labor,256028,435
351313714891862,Australian Good Meat,Meat & Livestock Australia,254164,340
137619162220,Liberals WA,Liberals WA,253961,446
18812418320,Marie Claire Australia,These ads ran without a disclaimer,252761,597
175168509213839,Coles,These ads ran without a disclaimer,252594,9
536223530633109,Freedom Property Investors,These ads ran without a disclaimer,251878,47
486290621414640,Australian Government Department of Health and Aged Care,Australian Government Department of Health,251704,84
161854162881,Greenfleet,Greenfleet,250957,2209
49453745631,Amnesty International Australia,These ads ran without a disclaimer,249406,1408
110680668178304,Gong With The Wind,It's Not A Race,248702,385
200819325600,ActionAid Australia,ActionAid Australia,248190,2641
107037525745208,Liberals for Yes,Liberals for Yes,242300,675
134712696593275,Dan Andrews,Daniel Andrews MP,240101,936
119246428679,NSW Labor,NSW Labor,238802,1132
879712192044319,Animal Justice Party NSW,Animal Justice Party NSW,238065,948
327313071308838,Zero Co,Zero Co,236312,704
76212817063,CARE Australia,CARE Australia,234211,843
226846087441593,BHP,BHP,234187,47
125812604095801,Invasive Species Council,Invasive Species Council,232408,4500
2080670615483977,Verve Super,Verve Super,230353,455
504855933190931,Time for Change - Change Aged Care,United Workers Union,229402,883
145347352187764,UN Women Australia,UN Women Australia,224963,1883
