Page ID,Page name,Disclaimer,Amount spent (BBD),Number of ads in Library
287683225711,UN Environment Programme,UN Environment Programme,1273,16
68793499001,UNICEF,UNICEF with Facebook Ad Credits,877,277
246784233190,Barbados Today,Barbados Today,184,4
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,166,103
28312410177,World Food Programme,These ads ran without a disclaimer,158,8
140515453215980,DEPUTY,These ads ran without a disclaimer,156,4
200480966638039,Supremacy 1914,These ads ran without a disclaimer,152,3
260965090632970,Democratic Labour Party,Ronnie Yearwood,108,3
97320092545,PAHO-WHO,These ads ran without a disclaimer,≤100,6
288607211258386,ROLEX,These ads ran without a disclaimer,≤100,2
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100,20
111053088314347,mindfultravelbarbados,These ads ran without a disclaimer,≤100,2
167327710092323,Mollaei Law,These ads ran without a disclaimer,≤100,1
106192543721,Business Barbados,Business Barbados,≤100,4
845620825830146,Deel,These ads ran without a disclaimer,≤100,10
101810071877211,soscarbon,These ads ran without a disclaimer,≤100,3
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,≤100,21
100451933698060,AdVenture Communist,These ads ran without a disclaimer,≤100,1
214773008865018,Commission Encounter,These ads ran without a disclaimer,≤100,1
246784233190,Barbados Today,These ads ran without a disclaimer,≤100,1
103436444936743,thevirtualsundaybookclub,These ads ran without a disclaimer,≤100,2
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,2
267410650127820,NRD Companies,These ads ran without a disclaimer,≤100,3
1090974694258672,Tropical Realism,These ads ran without a disclaimer,≤100,1
105537175568906,sweetdealswholesale,These ads ran without a disclaimer,≤100,2
100493908974237,Barbados Uncensored,These ads ran without a disclaimer,≤100,1
249247795198229,Temporary Gallery,These ads ran without a disclaimer,≤100,1
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,57
112857077857582,Omo - Weight Loss With Psychology,These ads ran without a disclaimer,≤100,11
102966575751754,Barbados Weekly,These ads ran without a disclaimer,≤100,2
103286391424486,Developing Dominica,These ads ran without a disclaimer,≤100,2
1015169338692469,Ron Johnson,These ads ran without a disclaimer,≤100,1
100959346070883,H_gottimetoday,These ads ran without a disclaimer,≤100,1
8057376739,The Nature Conservancy,These ads ran without a disclaimer,≤100,1
681614015247190,Caribbean National Weekly,These ads ran without a disclaimer,≤100,24
245094455536925,FOUR PAWS,These ads ran without a disclaimer,≤100,5
174669235904729,Sagicor Cave Hill School of Business and Management - The UWI Cave Hill,These ads ran without a disclaimer,≤100,1
220121861407546,Kingdom Empowerment New Testament Church of God,These ads ran without a disclaimer,≤100,1
106636228870417,"Angela U Carter, Author",These ads ran without a disclaimer,≤100,1
1238173096287495,Azur Games,These ads ran without a disclaimer,≤100,4
64588666340,Haaretz.com,These ads ran without a disclaimer,≤100,8
274138756817,Architonic,These ads ran without a disclaimer,≤100,2
1126060947467307,Scatter HoldEm Poker,These ads ran without a disclaimer,≤100,2
1565356970361889,Institute of Chartered Accountants of Barbados,These ads ran without a disclaimer,≤100,1
93984918561,Arthur Lok Jack Global School of Business,These ads ran without a disclaimer,≤100,1
105947114116292,Photo-Synthesis Designs,These ads ran without a disclaimer,≤100,2
103173162233460,afrinomica,These ads ran without a disclaimer,≤100,2
933310850194959,Israel Alliance,These ads ran without a disclaimer,≤100,6
168759826521905,St. Philip Parish Ambassadors,These ads ran without a disclaimer,≤100,1
114981761097479,paracordprada,These ads ran without a disclaimer,≤100,1
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,7
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,4
954298964703081,Abbott FreeStyle,These ads ran without a disclaimer,≤100,1
108210467509014,The HEY Campaign,These ads ran without a disclaimer,≤100,7
249069455889789,Garnier Caribbean,These ads ran without a disclaimer,≤100,1
110251704784438,The Ashley Lashley Foundation,These ads ran without a disclaimer,≤100,1
152438098120753,Barbados Chamber of Commerce & Industry (BCCI),These ads ran without a disclaimer,≤100,1
2206658926222286,julienalleyne,These ads ran without a disclaimer,≤100,1
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,2
106192543721,Business Barbados,These ads ran without a disclaimer,≤100,1
104015742220554,Mimic,These ads ran without a disclaimer,≤100,5
253772961315048,Mercury Mosaics,These ads ran without a disclaimer,≤100,4
107714748645793,Big Buzz,These ads ran without a disclaimer,≤100,4
105036179534606,"Gildan, Making Apparel Better",These ads ran without a disclaimer,≤100,11
456013751424561,CESaRE,These ads ran without a disclaimer,≤100,7
107324682021456,MDPSERVICES LLC,These ads ran without a disclaimer,≤100,1
106532464278807,Caribbean Tree Planting Project,These ads ran without a disclaimer,≤100,2
104777807945566,ashh.lash,These ads ran without a disclaimer,≤100,1
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,6
111783969059,Tony Robbins,These ads ran without a disclaimer,≤100,2
910145682709010,Minashpro Immigration,These ads ran without a disclaimer,≤100,1
101453801610760,Share-On Project,These ads ran without a disclaimer,≤100,1
103496105344354,Corporate Sustainability Review,These ads ran without a disclaimer,≤100,4
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,2
68793499001,UNICEF,These ads ran without a disclaimer,≤100,4
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,22
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100,47
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100,1
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100,49
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,47
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,≤100,30
106120175623925,A-thletes.media,These ads ran without a disclaimer,≤100,7
103762709241841,thetrauma.therapist,These ads ran without a disclaimer,≤100,2
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,4
100254824748185,Jensog-UK,These ads ran without a disclaimer,≤100,17
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
315603771494,Milaap,These ads ran without a disclaimer,≤100,12
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,14
134278719946186,Bayer,These ads ran without a disclaimer,≤100,3
1374826826104281,Sensibo,These ads ran without a disclaimer,≤100,4
115591005188475,Global Times,These ads ran without a disclaimer,≤100,4
267264199961398,Change the World Model United Nations,These ads ran without a disclaimer,≤100,5
7783116506,Animals Asia,These ads ran without a disclaimer,≤100,20
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,6
342828533192994,Guyana Business Journal & Magazine,These ads ran without a disclaimer,≤100,2
101535831469644,ITS America Events,These ads ran without a disclaimer,≤100,1
103768381387100,Partnership Initiative for Sustainable Land Management,These ads ran without a disclaimer,≤100,1
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,4
597859916903978,Nomad Africa Magazine,These ads ran without a disclaimer,≤100,1
100696586305964,Fine Art Photography Prints by Rico X.,These ads ran without a disclaimer,≤100,2
153371894688575,World Bank,These ads ran without a disclaimer,≤100,1
317463093373,The Akshaya Patra Foundation,These ads ran without a disclaimer,≤100,1
100172476278127,Easy Study,These ads ran without a disclaimer,≤100,1
103992786357969,The Shift Network,These ads ran without a disclaimer,≤100,4
102093685620627,Best Diplomats,These ads ran without a disclaimer,≤100,1
111361091313,NICABM,These ads ran without a disclaimer,≤100,11
124109327256894,Dra. Ângela Pistão,These ads ran without a disclaimer,≤100,1
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,4
1450917831653932,Adrian Odle,These ads ran without a disclaimer,≤100,1
103286731467883,Psychedelic Spotlight,These ads ran without a disclaimer,≤100,9
113502287096979,I Luv Australia,These ads ran without a disclaimer,≤100,2
83612652535,Sterling Asset Management Ltd.,These ads ran without a disclaimer,≤100,1
29056789480,Project Syndicate,These ads ran without a disclaimer,≤100,4
18017481462,Acton Institute,These ads ran without a disclaimer,≤100,1
103454371495257,Mood Spike,These ads ran without a disclaimer,≤100,9
166258896830103,Porto Montenegro,These ads ran without a disclaimer,≤100,1
139098866100198,Merri-bek City Council,These ads ran without a disclaimer,≤100,4
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,≤100,32
105554772054684,Thunderbros,These ads ran without a disclaimer,≤100,4
119257941437791,Allianz Care,These ads ran without a disclaimer,≤100,1
348921302861345,Flow Business,These ads ran without a disclaimer,≤100,1
