Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
1648096958816379,"Да, България","Да, България",377308,1275
259982662533931,Продължаваме Промяната,Продължаваме промяната,324878,469
178362315106,European Parliament,European Parliament,322761,3026
995342840629890,Демократична България,Демократична България,161947,781
106634937559960,Има Такъв Народ,ПП Има Такъв Народ,125471,712
107898832590939,European Commission,European Commission,100539,534
104456132572201,"Коалиция ""Продължаваме Промяната - Демократична България""","Коалиция ""Продължаваме Промяната - Демократична България""",76175,283
168165046713893,МГЕРБ - София,Коалиция ГЕРБ-СДС,68979,735
1716549201986593,Слави Т. Трифонов,ПП Има Такъв Народ,68188,339
171676746220433,Ивайло Мирчев,Ивайло Мирчев,59172,503
401246707396255,Христо Иванов,Демократична България,57048,124
105701314680364,Pavel Valnev,Pavel Valnev,45067,62
108574734359741,"Партия КОД, Официална страница",КОД,44021,240
1648096958816379,"Да, България",Ивайло Мирчев,39750,122
100486499466229,VOTEx2,Netpeak,37426,70
2169116143357997,Постоянна ромска конференция,Roma Standing Conference,36605,413
336639303182606,ГЕРБ - София,Коалиция ГЕРБ-СДС,36487,342
195938627212812,Грийнпийс България,Greenpeace Bulgaria,31442,504
1367672173297067,Българска Социалистическа Партия,BSP,31409,139
373213199362639,WWF Bulgaria,WWF Bulgaria,27618,179
100112124691395,Демократична България в Столичния общински съвет,Демократична България,22230,196
100741755417730,Антоанета Цонева- кандидат за народен представител,Демократична България,22069,95
102163398778003,Божидар Божанов,"Да, България",21408,103
102725158718624,Елисавета Белобрадова,Демократична България,21349,169
215992928895787,Надежда Йорданова,"Да, България",20292,86
100222812476503,Невидими животни,Невидими животни,19704,213
103233964987474,Ти броиш,"Да, България",18172,98
735335623203253,badu.bg,These ads ran without a disclaimer,18067,6
178362315106,European Parliament,These ads ran without a disclaimer,17926,31
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,17786,18
170315589442,Gospodari,Gospodari,17024,299
427091487494895,Веселин Марешки,Веселин Марешки,16574,133
283061845058938,Европейската комисия в България / European Commission in Bulgaria,Европейската комисия в България / European Commission in Bulgaria,16389,122
106961837822781,Републиканци за България,Републиканци за България,14280,568
117649926303037,Георги Валентинов Георгиев,Георги Георгиев,13993,223
104106688390461,Читанка,Читанка,13710,214
207544111264,Mediapool.bg,Mediapool.bg,13442,815
171676746220433,Ивайло Мирчев,"Да, България",13427,74
147547541961576,Council of the European Union,Council of the European Union,13251,908
110315867526143,Zeitgeist: Bulgaria,Zeitgeist България,13142,248
166641766701870,Демократи за силна България,Democrats For Strong Bulgaria,12872,126
326636544072504,Благовест Кирилов,Blagovest Kirilov,12334,348
103254705299587,Даниел Митов,Коалиция ГЕРБ-СДС,12139,178
398343726922160,Костадин Костадинов,Възраждане,12109,107
116081183123848,Калоян Янков - Kaloyan Yankov,Yankov Kaloyan,11253,65
110213601437820,Анастас Герджиков - Наистина Oбединени,"Инициативен комитет ""Анастас Герджиков за президент""",11021,114
102232487847958,Димитър Найденов,Dimitar Naydenov,11008,215
1832673263678286,Корнелия Нинова,пресцентър,10797,331
1806064659643519,"Да, Пловдив",Демократична България,10633,35
1648096958816379,"Да, България","Коалиция ""Продължаваме Промяната - Демократична България""",10621,44
163350039852,Европейски парламент в България,Европейски парламент в България,10504,151
106319514862650,Д-р Таня Койчева Андреева,Таня Койчева Андреева - Демократична България,10403,49
262524054082832,informo.bg,informo.bg,10336,214
490656127781163,Кеворк Кеворкян,Кеворк Кеворкян,10292,176
2134865239860116,"Да, София","Да, България",10008,55
1650025348648216,Румен Радев,Инициативен комитет,9971,100
106759734825906,Иван Р. Тодоров,Ivan Todorov,9950,91
624504488055570,Тома Биков,Коалиция ГЕРБ-СДС,9734,118
174946829211086,ГЕРБ - Благоевград,Коалиция ГЕРБ-СДС,9533,214
115008292450837,КАЖИ,КАЖИ,9442,61
1832673263678286,Корнелия Нинова,Корнелия Нинова,9099,29
2779309075418363,ГЕРБ - Варна,Коалиция ГЕРБ-СДС,8896,159
118545209545847,Ние Гражданите,www.niegrajdanite.site,8804,42
156554567759807,Нова Варна,Нова Варна,8642,149
813805481997728,Grozdan Karadjov,Grozdan Karadjov,8507,127
155516354469476,Крум Дончев/Krum Donchev,Крум Дончев/Krum Donchev,8490,73
101796794703627,Отровното трио,Отровното трио,8421,107
274783042565155,Уча.се,Уча.се,8289,265
384841611691600,Борислав Гуцанов,Borislav Gutsanov,8141,253
1163987410423594,Приоритети,БЗНС,8131,119
879946662058927,ГЕРБ - Търговище,ПП ГЕРБ,8081,183
1560928537284555,Vladislav Panev,Vladislav Panev,7806,73
110382337770278,Д-р Александър Симидчиев,Александър Симидчиев - Демократична България,7720,113
1541927439263296,Истинската история на българите,Boyadjiyski Alexander,7651,604
100741755417730,Антоанета Цонева- кандидат за народен представител,"Да, България",7566,60
1832673263678286,Корнелия Нинова,BSP,7513,155
763838340427113,Лозан Панов,Лозан Панов,7496,45
106284264679338,Бермудският триъгълник,Zeitgeist България,7441,220
112598698012224,Кажи честно с Ани,Anelia Duleva,7433,37
310140099114222,Красен Кралев,Krasen Kralev,7337,352
295567130571338,НФСБ /Национален фронт за спасение на България/,"Политическа Партия ""Национален Фронт за Спасение на България""",7300,44
141366725876424,European Greens,European Greens,7295,21
565497246807650,ГЕРБ - Бургас,Коалиция ГЕРБ-СДС,7197,146
154328721303,Георги Кадиев (Georgi Kadiev),Georgi Kadiev,7157,45
651747871952382,Кристиян Шкварек,Krystian Szkwarek,7117,227
195547920622446,ГЕРБ - Русе,Коалиция ГЕРБ-СДС,7085,160
247214619360,Зелено движение,Зелено движение,7052,127
100572665201061,Политическа Партия Бригада,Арбен Хавальов,7017,193
1461853244069926,Радан Кънев,Радан Кънев,6973,119
229586070497595,ГЕРБ - Стара Загора,ПП ГЕРБ - Стара Загора,6945,75
1448688418697634,Idealisti.bg,Topnovini.bg,6908,420
113000101156407,Продължаваме Промяната - София,Продължаваме промяната,6903,28
139581756144530,Ангел Джамбазки,ВМРО - БНД,6783,126
59519326031,Капитал,Икономедиа,6762,366
615905158746979,Веселин Калановски,Веселин Калановски -  Демократична България,6622,53
89592818685,Мария Капон,ПП Единна народна партия,6570,154
1679461339043861,Възраждане,Възраждане,6564,53
111131874129445,Победител,Zeitgeist България,6538,143
572486973244463,ГЕРБ - София област,Коалиция ГЕРБ-СДС,6510,139
409484042460989,ГЕРБ - Пловдив област,Коалиция ГЕРБ-СДС,6400,136
111768057292852,Българско лято,Българско лято,6372,150
100502688162733,За Бога и Човека,Димитър Савов,6264,432
1486682081577647,ГЕРБ - Велико Търново,Коалиция ГЕРБ-СДС,6168,146
1525636387721037,Спаси София,ИК Борис Бонев за кмет на София,6167,110
106499671297763,Моят Глас,Моят Глас,6076,70
200036440155616,Велико Търново завинаги,Plamen Manchev,5977,69
102684221921090,Вилдан Байрямова,Демократична България,5936,29
304200936359386,Мая Манолова,Мая Манолова,5913,85
233810563693016,Стефан Тафров,Стефан Тафров,5883,66
110952884141503,Има ли такава партия?,Има ли такава партия?,5780,71
461814507324842,ГЕРБ - Перник,Коалиция ГЕРБ-СДС,5776,137
255481947815005,ГЕРБ - Враца,Коалиция ГЕРБ-СДС,5745,140
1456221634613364,ГЕРБ - Пазарджик,Коалиция ГЕРБ-СДС,5738,144
448500651897944,Дани Каназирева,Стоянова Гергана,5651,180
102232487847958,Димитър Найденов,Димитър Найденов - Демократична България,5603,56
631020226923156,ГЕРБ - Хасково,Коалиция ГЕРБ-СДС,5581,141
