Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
133223738568337,BMC News LIVE,BMC News LIVE,4513,1309
108230165402816,Hasan Ebrahim Hasan,Cinqo Media Publicity & Advertising W.L.L.,2174,10
144046632341902,Votebh,Ahmed Abdulla,1762,19
105045152395451,مريم الصائغ,Mohammed Sayegh,1732,10
108536565393761,علي حسن السكران,علي حسن السكران,1503,7
100978692806517,nooraalkhater1,These ads ran without a disclaimer,1442,1
105250732401999,محمد الأحمد,محمد الأحمد,1042,18
2235803049778037,محمد الرفاعي,جمعية تجمع الوحدة الوطنية,960,26
883439791861401,لائقة السلمان,Hussain Ali Ahmed,806,27
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,736,17
103071042612243,محمد يوسف المعرفي,محمد يوسف المعرفي,627,7
105342145707058,Mp_ammaralbannai,Ammar Albannai,608,11
220128938133929,Annual Investment Meeting,These ads ran without a disclaimer,600,2
100890330060738,جمعية الريادة الشبابية,جمعية الريادة الشبابية,591,5
106127132304127,2022 حملة د.هنادي الجودر الإنتخابية - Dr. Hanadi Aljowder's Campaign 2022,Hanadi Aljowder,542,9
347392592690894,النائب عمار آل عباس,عمار آل عباس,500,6
200480966638039,Supremacy 1914,These ads ran without a disclaimer,413,3
112181701676569,نور الحايكي,Noor Alhayki,394,9
112973481589097,Ahmed Al Jowder,Ahmed Al Jowder,351,18
106725868296068,Clever-Inv,These ads ran without a disclaimer,316,4
102147702695002,Esam Alalawi,Esam Alalawi,275,5
101560512752689,elect.almusawi,Mohamed Almusawi,263,7
108644332049116,أحمد عبدالله البي,المهندس / أحمد عبدالله البي,252,9
105508735699613,السيد جعفر هاشم,السيد جعفر هاشم,243,2
1956082547845263,Sayed Falah Hashem Abdulla,Sayed Falah Hashem Abdulla,233,5
104628855795907,MajedShehab,Majed Shehab,210,3
102614571880993,Public Investment Fund,These ads ran without a disclaimer,193,3
100307485105401,عالية جاسم الهملان,Alyaa Alhamlan,182,13
108424672072604,المحامي خالد الدوسري,Fanaan web & art,138,4
110937931813582,لطيفة المير,لطيفة المير,132,3
111087798472862,المرشح محمد عبدالله حبيب - المحافظة الشمالية 2,محمد اسماعيل,129,7
109947741896808,Samana Haideri,Samana Haideri,123,10
1534982756793690,Foodvisor,These ads ran without a disclaimer,102,6
114377794591682,summer_art_gallery,These ads ran without a disclaimer,≤100,1
114058598174126,Dr Mahdi Alshowaikh,مهدي عبدالعزيز,≤100,8
100951129210780,علي,These ads ran without a disclaimer,≤100,1
2265435786831695,وزارة الثقافة Ministry of Culture,These ads ran without a disclaimer,≤100,1
105816332328803,الدكتور عمار آل محمود,الدكتور عمار المحمود,≤100,4
267387670017944,City University Ajman,These ads ran without a disclaimer,≤100,1
103177565880397,المحامي/ محمد الجودر,محمد الجودر,≤100,3
102784765987382,باسم المالكي,باسم المالكي,≤100,2
103406545313429,Body art Medical Complex,These ads ran without a disclaimer,≤100,1
2062345837342518,Salman Ebrahim Alhooti,Salman Ebrahim Alhooti,≤100,22
105886451243562,BMC Global Live,Fahath Mohammed,≤100,17
100732086167916,Abdulhakeemalbaloushi,Abdulhakeem Albaloushi,≤100,6
102688695986577,Fatema Almodweb,Fatema Almodweb,≤100,3
106860172065383,abuhazza1,These ads ran without a disclaimer,≤100,1
100532112848753,barea.faraj.salem,These ads ran without a disclaimer,≤100,1
102945889772393,صحيفة الاتحاد - aletihad,These ads ran without a disclaimer,≤100,1
113695536716981,Bahrainofdpm,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,61
160729029892,Al Jazeera Channel - قناة الجزيرة,These ads ran without a disclaimer,≤100,1
105594709026955,إبراهيم علي عبدالله,Fanaan web & art,≤100,5
101744029417791,Wafa Abdulaziz,Wafa Abdulaziz,≤100,4
352144688790283,ila Bank Bahrain,These ads ran without a disclaimer,≤100,4
794958520585756,Visit Dubai - سياحة دبي,These ads ran without a disclaimer,≤100,3
550280998481446,Rasha Kelej,These ads ran without a disclaimer,≤100,9
233747740382519,Mohammed Lori,These ads ran without a disclaimer,≤100,3
107424440982021,Eekad - إيكاد,These ads ran without a disclaimer,≤100,1
103592419206716,ali_binnayem_alhayki,These ads ran without a disclaimer,≤100,1
110376245185799,drmahdishowaikh,These ads ran without a disclaimer,≤100,1
109471558630173,pooran_alansari2022,These ads ran without a disclaimer,≤100,1
1240310759458374,جمعية الهملة الخيرية - البحرين,These ads ran without a disclaimer,≤100,1
104119448162492,womansnap_bh,These ads ran without a disclaimer,≤100,1
104356656288007,International Hunting and Equestrian Exhibition - Abu Dhabi,These ads ran without a disclaimer,≤100,3
156279764411149,Times Higher Education,These ads ran without a disclaimer,≤100,17
582894035243561,Enjoy Saudi  عيشها,These ads ran without a disclaimer,≤100,1
109921404065921,مركز ارادة الطفل التخصصي للتأهيل,These ads ran without a disclaimer,≤100,1
100451933698060,AdVenture Communist,These ads ran without a disclaimer,≤100,1
389831551149929,Connetics USA - Nursing,These ads ran without a disclaimer,≤100,1
100886642869705,Gulf Nеws,These ads ran without a disclaimer,≤100,1
110611545119066,khalidalmanaseer_,Khalid Almanaseer,≤100,3
101708445861543,aralawyer.bh,These ads ran without a disclaimer,≤100,1
102076652639240,aymanalyasi,These ads ran without a disclaimer,≤100,1
107543582144965,yousif_aljanahi_,These ads ran without a disclaimer,≤100,3
158417644209993,Gulfood,These ads ran without a disclaimer,≤100,2
104015742220554,Mimic,These ads ran without a disclaimer,≤100,5
108406988725087,حسن فواز الرويعي,Hassan Al Rowaie,≤100,2
104013835852250,Eman Hasan Showaiter,Eman Showaiter,≤100,2
1128646160503428,البحرين,These ads ran without a disclaimer,≤100,1
108313342065374,meshaalbh,These ads ran without a disclaimer,≤100,2
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,68
133223738568337,BMC News LIVE,These ads ran without a disclaimer,≤100,16
1877204172529205,BSTD,These ads ran without a disclaimer,≤100,4
105562682486679,fatemambark,These ads ran without a disclaimer,≤100,6
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,3
100180230174085,Red Hat,These ads ran without a disclaimer,≤100,1
101938939395398,خالد فرحان سويد,خالد فرحان سويد,≤100,2
105524932357837,Attorney Lubna M Alhasan,These ads ran without a disclaimer,≤100,7
103144052604339,bh.muneershehab,These ads ran without a disclaimer,≤100,1
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,2
105324778563581,psych.dlal.autism,These ads ran without a disclaimer,≤100,4
142288373333,HIMSS,These ads ran without a disclaimer,≤100,2
100151072599310,Purr Fetto,These ads ran without a disclaimer,≤100,1
68793499001,UNICEF,These ads ran without a disclaimer,≤100,2
798394146848054,Shabaka.me,These ads ran without a disclaimer,≤100,1
104033275293355,reemalharmoudi,These ads ran without a disclaimer,≤100,1
641539016006215,Tri-World Developers,These ads ran without a disclaimer,≤100,2
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,7
107516202115377,Hussain Bushihri,These ads ran without a disclaimer,≤100,2
105073822442672,lll_hdgdg,These ads ran without a disclaimer,≤100,1
100489991542212,OQ,These ads ran without a disclaimer,≤100,1
108181498203493,Lawyer Zahraa Alwatani,These ads ran without a disclaimer,≤100,2
311045425676624,صحيفة الرؤية,These ads ran without a disclaimer,≤100,2
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,5
112721671334021,ITE  الدراسة في تركيا,These ads ran without a disclaimer,≤100,3
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,≤100,61
114151865321534,Mariana Aquariums & Giveaways - مريانا لاسماك الزينة والهدايا,These ads ran without a disclaimer,≤100,1
127187187348820,Kaspersky,These ads ran without a disclaimer,≤100,4
259983971235868,Alshabaka Events & Tents,These ads ran without a disclaimer,≤100,1
641801189270664,Bahrain Institute for Political Development,These ads ran without a disclaimer,≤100,1
103587405644418,malmatooq,These ads ran without a disclaimer,≤100,1
100891889319263,Mohamed AlAnsari محمد الأنصاري,These ads ran without a disclaimer,≤100,2
101089046104642,mohamedalahmed,These ads ran without a disclaimer,≤100,1
100889322590952,عطر الكلام,These ads ran without a disclaimer,≤100,2
244108199019564,الأسواق العربية - Al Arabiya Business,These ads ran without a disclaimer,≤100,3
167327710092323,Mollaei Law,These ads ran without a disclaimer,≤100,1
103107175871798,alimajeed59,These ads ran without a disclaimer,≤100,1
108020712101114,hadeth_al.mugtama,These ads ran without a disclaimer,≤100,2
109651847558666,Almnii Consulting Management and Training,These ads ran without a disclaimer,≤100,2
102744499300364,farooq_hasan_aldoy,These ads ran without a disclaimer,≤100,1
100434756302424,Roro Avenue,These ads ran without a disclaimer,≤100,2
100534492810355,Pain,These ads ran without a disclaimer,≤100,2
110250768050959,IMPT - The Impact Project,These ads ran without a disclaimer,≤100,1
107102915472198,Abu Abeer Doors Welding Workshop,These ads ran without a disclaimer,≤100,1
144046632341902,Votebh,Walaa Alsheala,≤100,1
100386172814911,BMC Pravasi Live,Fahath Mohammed,≤100,1
108032181861181,Suno News HD,These ads ran without a disclaimer,≤100,1
103305932088,Aramex,These ads ran without a disclaimer,≤100,3
104147999088757,yanaseef,These ads ran without a disclaimer,≤100,2
103642782501866,News Today 6,These ads ran without a disclaimer,≤100,2
451256781884275,Klondike Adventures,These ads ran without a disclaimer,≤100,2
284727891873286,Egyptians Mayor - عمدة المصريين,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,49
104944068207070,دەسرازە/ مكبس كباب وشوايات وسياخ,These ads ran without a disclaimer,≤100,1
175763332956179,971 MEDIA,These ads ran without a disclaimer,≤100,1
101153421821318,abaya_honad,These ads ran without a disclaimer,≤100,2
100561169109024,afraaalnoaimi,These ads ran without a disclaimer,≤100,1
107228128192881,Lujaina Mohsin Darwish,These ads ran without a disclaimer,≤100,2
