Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
998921730243033,Reporter Bénin Monde,Reporter Bénin Monde,2375,951
1074312289342557,Boni YAYI,Boni Yayi,1210,6
1074312289342557,Boni YAYI,These ads ran without a disclaimer,897,4
123060261748631,Gatien S. Adjagboni,Tonakpon Jules Johanes Aho,360,40
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,322,74
585005108654148,Union Progressiste le Renouveau,Union Progressiste le Renouveau,271,6
821430017924241,Sungrow,These ads ran without a disclaimer,210,8
308211949550826,Phoenix browser,These ads ran without a disclaimer,206,10
1074312289342557,Boni YAYI,Boni YAYI,203,2
158714780827513,UNFPA,UNFPA,114,251
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,109,14
1355426087883151,Crypto.com,These ads ran without a disclaimer,≤100,1
278376955664812,Union européenne au Bénin,Union européenne au Bénin,≤100,4
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,77
113616883716936,Ondes sur Seine,These ads ran without a disclaimer,≤100,4
101909379004776,News365,These ads ran without a disclaimer,≤100,1
110122358477613,TRT Afrika Français,These ads ran without a disclaimer,≤100,9
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100,3
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,124
671949669527086,Boni Richard Ouorou,These ads ran without a disclaimer,≤100,11
109526041223995,Bénin Politique - WATHI,These ads ran without a disclaimer,≤100,3
436621137103518,Huawei Northern Africa,These ads ran without a disclaimer,≤100,30
104027915408507,ONU Climat,These ads ran without a disclaimer,≤100,5
193418177403387,Minister Prisca Benita,These ads ran without a disclaimer,≤100,1
1798435720478073,新華香港,These ads ran without a disclaimer,≤100,8
100918339777554,Patriotes de France,These ads ran without a disclaimer,≤100,2
115679324862240,Jonas Gbenameto,Jonas Gbenameto,≤100,1
124252504303223,UNICEF (FR),UNICEF,≤100,58
173254003362613,WE ARE CHINA,These ads ran without a disclaimer,≤100,8
111467010448465,Amos Langanfin,CEFASE,≤100,3
138211995074016,Julia Akpaki Officiel,These ads ran without a disclaimer,≤100,5
167790549913241,Reckya Madougou,These ads ran without a disclaimer,≤100,2
