Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
425106448078044,"Ministry of Law, Singapore",These ads ran without a disclaimer,1363,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,221,3
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,63
107688494708255,Humaniti,These ads ran without a disclaimer,≤100,10
156279764411149,Times Higher Education,These ads ran without a disclaimer,≤100,5
211278712925199,Amnesty International,These ads ran without a disclaimer,≤100,47
50461955643,UNSW,These ads ran without a disclaimer,≤100,6
104015742220554,Mimic,These ads ran without a disclaimer,≤100,5
100912209419505,theroyaldoux.bn,These ads ran without a disclaimer,≤100,6
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,7
101639736081293,Maahad Tahfiz Al-Quran Al Ansar,These ads ran without a disclaimer,≤100,1
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,2
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,62
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
68793499001,UNICEF,These ads ran without a disclaimer,≤100,2
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,7
106700395516360,Merubah Nasib Saya,These ads ran without a disclaimer,≤100,1
104651935715418,ElectrifyASEAN,These ads ran without a disclaimer,≤100,1
107486961571533,Kavi Gupta Gallery,These ads ran without a disclaimer,≤100,2
107867368567846,thecendollava.bn,These ads ran without a disclaimer,≤100,2
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,7
119405895873,Huawei,These ads ran without a disclaimer,≤100,3
107294608879324,habibiecenter,These ads ran without a disclaimer,≤100,1
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,3
167327710092323,Mollaei Law,These ads ran without a disclaimer,≤100,1
110250768050959,IMPT - The Impact Project,These ads ran without a disclaimer,≤100,1
267264199961398,Change the World Model United Nations,These ads ran without a disclaimer,≤100,5
106256777922958,SEA Today News,These ads ran without a disclaimer,≤100,31
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,≤100,31
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,7
103287092377080,Doctors Without Borders/Médecins Sans Frontières,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,3
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,59
101978933230493,DHL,These ads ran without a disclaimer,≤100,1
106404337616752,Formica ASEAN,These ads ran without a disclaimer,≤100,4
109866318001588,Turn it Around Flashcards for Education Futures,These ads ran without a disclaimer,≤100,2
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,33
108240971635234,Bettermanly - Magazine,These ads ran without a disclaimer,≤100,1
113219614987593,Borneo Sustainable Development Goals Summit 2023,These ads ran without a disclaimer,≤100,2
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,2
125756057090894,The best of you kabayan,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,32
103799132581595,Associazione Sion OdV,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,27
793541217464814,Cisco Global Problem Solver Challenge,These ads ran without a disclaimer,≤100,1
1618976391663160,Allez My Way,These ads ran without a disclaimer,≤100,1
172523236104176,Panasonic,These ads ran without a disclaimer,≤100,4
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,56
104592292479241,myanmaraproject,These ads ran without a disclaimer,≤100,2
139098866100198,Merri-bek City Council,These ads ran without a disclaimer,≤100,3
113543730626,The Habibie Center,These ads ran without a disclaimer,≤100,1
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
109466073861092,People for Peat,These ads ran without a disclaimer,≤100,1
174532709290967,FBS Markets Inc.,These ads ran without a disclaimer,≤100,1
107996315091233,月旦港事,These ads ran without a disclaimer,≤100,7
108818838850936,Blessing Magnet,These ads ran without a disclaimer,≤100,1
6651543066,CNN Business,These ads ran without a disclaimer,≤100,8
103659765532260,華夏focus,These ads ran without a disclaimer,≤100,4
109335605140131,Invest SEA,These ads ran without a disclaimer,≤100,6
1374826826104281,Sensibo,These ads ran without a disclaimer,≤100,4
105806708960852,Webfic - Read Romance Story,These ads ran without a disclaimer,≤100,4
102838882271105,NovelReader,These ads ran without a disclaimer,≤100,7
134278719946186,Bayer,These ads ran without a disclaimer,≤100,2
315543515306,Jing Daily,These ads ran without a disclaimer,≤100,2
517231405008910,Global Landscapes Forum,These ads ran without a disclaimer,≤100,14
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100,1
219612384781411,Bloomberg Philanthropies,These ads ran without a disclaimer,≤100,7
653304151485828,Bloomberg Asia,These ads ran without a disclaimer,≤100,3
266790296879,Bloomberg,These ads ran without a disclaimer,≤100,5
102093685620627,Best Diplomats,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,58
103733191524431,Liuxininbeijing,These ads ran without a disclaimer,≤100,2
132579906756944,United Nations ESCAP,These ads ran without a disclaimer,≤100,6
101835646077102,asean.youth.forum,These ads ran without a disclaimer,≤100,3
13185976173,National Aquarium,These ads ran without a disclaimer,≤100,2
166591246714313,Tetra Pak,These ads ran without a disclaimer,≤100,3
109992798294853,Good View Hunting,These ads ran without a disclaimer,≤100,2
108279922103476,IKA Polimarim Makassar,These ads ran without a disclaimer,≤100,2
110323948591350,Cantonese Kids' Health,These ads ran without a disclaimer,≤100,1
324253041382779,Xavier Cormier,These ads ran without a disclaimer,≤100,3
93889432933,CNA,These ads ran without a disclaimer,≤100,1
8002590959,Rainforest Action Network - RAN,These ads ran without a disclaimer,≤100,10
702279983471744,Olympic Council of Asia,These ads ran without a disclaimer,≤100,4
103449517822304,CNPC,These ads ran without a disclaimer,≤100,2
171132542929029,Alfa Laval,These ads ran without a disclaimer,≤100,3
146481695371146,"มูลนิธิเพื่อสุนัขในซอย, ประเทศไทย (Soi Dog - in Thai)",These ads ran without a disclaimer,≤100,1
412409048849179,Behold Israel,These ads ran without a disclaimer,≤100,3
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,6
164432246934163,Chopard,These ads ran without a disclaimer,≤100,2
220832481274508,Premier League,These ads ran without a disclaimer,≤100,2
216926965005999,HKTDC Exhibition Channel 香港貿發局展覽頻道,These ads ran without a disclaimer,≤100,2
1164694603562682,FastTony.es,These ads ran without a disclaimer,≤100,2
29056789480,Project Syndicate,These ads ran without a disclaimer,≤100,2
206197753093706,AmazingTalker,These ads ran without a disclaimer,≤100,2
110544031660373,Enjoy Love Story,These ads ran without a disclaimer,≤100,2
105357582347726,葡萄小說,These ads ran without a disclaimer,≤100,1
315603771494,Milaap,These ads ran without a disclaimer,≤100,11
102465752695532,Orkid Cattleya#Prevent Child Sexual Abuse,These ads ran without a disclaimer,≤100,1
145327659223282,Nature Index,These ads ran without a disclaimer,≤100,1
105848558790469,"Word Office - Reader, Editor & Viewer",These ads ran without a disclaimer,≤100,1
118562497812908,People's Daily Online_BM,These ads ran without a disclaimer,≤100,2
100582105897054,ASEAN Youth Community For Hazardous Waste-AYCHW,These ads ran without a disclaimer,≤100,1
127187187348820,Kaspersky,These ads ran without a disclaimer,≤100,1
111508197374332,ADB Southeast Asia Development Solutions - SEADS,These ads ran without a disclaimer,≤100,12
1296214927106250,Liberal Currents,These ads ran without a disclaimer,≤100,1
64588666340,Haaretz.com,These ads ran without a disclaimer,≤100,1
109391388543268,Mariana Alves,These ads ran without a disclaimer,≤100,7
104593458269168,Your Daily Fun Break,These ads ran without a disclaimer,≤100,5
34440108608,Net Impact,These ads ran without a disclaimer,≤100,3
107802968689373,bdcreativecentre.bn,These ads ran without a disclaimer,≤100,1
110879028591764,CIFOR-ICRAF,These ads ran without a disclaimer,≤100,1
100133042448587,Sneaker Toast Magazine,These ads ran without a disclaimer,≤100,3
75608370019,United States Institute of Peace,These ads ran without a disclaimer,≤100,34
102959828790709,XSMB-Trụ Sở Chính,These ads ran without a disclaimer,≤100,1
19746387261,Humane Society International,These ads ran without a disclaimer,≤100,4
512778775529694,Foreign Policy Community of Indonesia,These ads ran without a disclaimer,≤100,1
101164404768881,CGTN Frontline,These ads ran without a disclaimer,≤100,1
198454000189884,REW.ca,These ads ran without a disclaimer,≤100,2
105396005720390,Sahabat palestin,These ads ran without a disclaimer,≤100,7
371171589575669,China.org.cn,These ads ran without a disclaimer,≤100,7
111361091313,NICABM,These ads ran without a disclaimer,≤100,2
109501631856985,Gencestyle,These ads ran without a disclaimer,≤100,5
39759254594,Earth Journalism Network,These ads ran without a disclaimer,≤100,1
131664893560695,Origins OSU,These ads ran without a disclaimer,≤100,9
100567708015800,Universitas Pertamina,These ads ran without a disclaimer,≤100,7
108645111787252,Discover Guilin,These ads ran without a disclaimer,≤100,1
918318338180165,CHINT GROUP,These ads ran without a disclaimer,≤100,6
598705943508458,ADB Publications,These ads ran without a disclaimer,≤100,2
118592938221174,ZTE Corporation,These ads ran without a disclaimer,≤100,1
312898778847834,TERRAM PACIS,These ads ran without a disclaimer,≤100,4
198398326957053,Shree Krishnayan Desi Gauraksha Avam Golokdham Sewa Samiti,These ads ran without a disclaimer,≤100,3
188872144758,CCTV,These ads ran without a disclaimer,≤100,4
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,26
237650313048963,China Admissions,These ads ran without a disclaimer,≤100,2
367649046908008,Growatt New Energy,These ads ran without a disclaimer,≤100,3
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,17
185139171667,Daymond John,These ads ran without a disclaimer,≤100,2
102915915537661,5irechain,These ads ran without a disclaimer,≤100,3
423670114403144,Trending in China,These ads ran without a disclaimer,≤100,6
108106972000348,URECA,These ads ran without a disclaimer,≤100,1
153371894688575,World Bank,These ads ran without a disclaimer,≤100,1
203857292983532,AviationCV.com,These ads ran without a disclaimer,≤100,8
104119542473088,Kylin Studio,These ads ran without a disclaimer,≤100,1
108148958352704,Travelers Spot,These ads ran without a disclaimer,≤100,1
2552060571686733,Novakid Polska,These ads ran without a disclaimer,≤100,2
