Page ID,Page name,Disclaimer,Amount spent (BOB),Number of ads in Library
130336323685885,Gobernación de Santa Cruz,Gobernación de Santa Cruz,774359,263
222490514559847,Comunicación del Estado Plurinacional de Bolivia,These ads ran without a disclaimer,405347,239
286305325299682,Carlos D. Mesa Gisbert,Conéctica Ltda,365611,122
1404045426527172,Tribunal Supremo Electoral,Yesenia Daniela Sevillano Mariaca,350632,78
286305325299682,Carlos D. Mesa Gisbert,FRI,304374,92
1592036017680005,Angélica Sosa,Santa Cruz Para Todos - SPT,192563,22
128123870725,Samuel Doria Medina,Samuel Doria Medina,178485,112
406156266216789,Rosario Schamisseddine,Rosarioscz,155008,18
1239026999516818,Luis Fernando Camacho,Luis Fernando Camacho,154622,120
298405986852396,Santa Cruz Para Todos - SPT,Santa Cruz Para Todos - SPT,145551,30
373759069434274,Jorge Tuto Quiroga Ramirez,Samuel Alberto Jaldin Vargas,140993,97
110812991225129,Secretaría de Salud y Desarrollo Humano,Servicio Departamental de Salud,129350,11
110095557039118,CANDIDatxs,Grecia Tardío,113585,35
1592996067578523,Adrián Oliva Alcázar,Adrián Oliva Alcázar,109871,365
261828750626422,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,106013,31
964080723662055,Carlos Subirana Responde,Carlos Subirana Responde,105365,350
109201057318552,JCSV,Fernando Omar Rosales Perez,103818,445
964080723662055,Carlos Subirana Responde,Editorial CSS,103254,244
1239026999516818,Luis Fernando Camacho,Luis Fernando Camacho Vaca,102501,33
565846926779739,Mario Cronenbold,Mario Cronenbold,101438,62
162964977170060,Solidar Suiza Bolivia,Doctora Edilicia,96253,1151
1514671142132174,Oscar Montes Gobernador,Mayra Lorena Montes Ponce,95057,125
112455460599883,Lucho x mi país,Jaime Antonio Jadue Aramayo,92663,59
140554836091476,Roly Aguilera Gasser,Demócratas,87429,83
108430600913468,Mauricio Guiteras Arias,Smid Media Center,84466,103
217948432069023,Bolivia Maya,Bolivia Maya,81627,47
406156266216789,Rosario Schamisseddine,Agencia Wiki,72992,35
158797657539,Oscar Ortiz,Oscar Miguel Ortiz Antelo,68705,69
366160423892004,César Dockweiler,César Dockweiler,65690,90
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,64503,261
714613835270354,Enrique Bruno,Enrique Bruno,61314,29
345360076359048,Germain Caballero Vargas,Diego Caballero,60311,234
107900364398966,Seeker Bolivia,Seeker-Bolivia,58571,12
105622841247322,Alianza de Profesionales por Bolivia,Carlos Victor Manuel Ugalde Canedo,55454,87
1909351909392031,Jeanine Añez Chavez,Alianza Juntos,51593,23
266947516830163,Adriana Salvatierra,Sherman Chavez Moron,51365,29
892958317529945,Franklin Flores,Kevin Marcelo Anibarro Guerrero,47462,51
599212970245484,Saul Rosas Rector UAGRM,Carlos Eduardo Rosas Boutier,45115,52
1611227912448446,Gobierno Autónomo Departamental de Tarija,Gobierno Autónomo Departamental de Tarija,44853,118
1909351909392031,Jeanine Añez Chavez,Unidad Nacional,42909,41
597394330405873,Johnny Torres Terzo,Smid Media Center,41367,81
103768961002454,Periódico La Estrella del Oriente,Nathaly Mariel Zambrana Marzluf,39983,86
1514671142132174,Oscar Montes Gobernador,Katitza Patiño Maldonado,39910,67
232415936828624,Gobierno Autónomo Municipal de La Paz,Gobierno Autónomo Municipal de La Paz,38744,18
100790651577316,Defensa Jurídica  PARA TODOS,Unidad Nacional,38701,12
964080723662055,Carlos Subirana Responde,Axl Sebastian Justiniano Zenteno,33340,84
758065350945550,Alan Echart Sossa,Alan,33018,139
106478001400246,Henry Alcalde,Unidad Nacional,32652,15
34839376970,Infobae,These ads ran without a disclaimer,31005,50
434901706707823,Warnes sos vos,Mariel Angela Coronado Flores,30298,73
2112603248988287,Metatron,Ronald Wilson Morales Llerena,29381,5
108862851270208,UNIDOS UAGRM,Sebastian Gutierrez Salazar,29344,109
104257317751894,Santiago Condori Apaza,Sandro Iquise Vincenti,27693,110
606591426028976,Roberto Perrogón,Roberto Perrogón,27377,27
110812991225129,Secretaría de Salud y Desarrollo Humano,These ads ran without a disclaimer,27320,5
580038358771795,Horacio Poppe,Horacio Poppe Inch,26191,255
1074605092564737,Javier Tarqui,Javier Tarqui 2021,25048,49
110555990500784,Ingvar Ellefsen - Diputado,Ingvar Ellefsen,23743,99
105132091396199,Aleiza Alcira Rodríguez Montero.,Aleiza Alcira Rodriguez Montero,23057,255
101014104885737,Juan Carlos Medrano,Daniel Choque Mamani,21290,169
101029268584854,José Carlos Sánchez Verazaín,Boris Christian Lehm Murillo,20441,98
100393048247870,Daniela Cabrera Concejal,Daniela Cabrera Guillén,20396,181
728349337196010,SAFI Mercantil Santa Cruz,These ads ran without a disclaimer,19559,12
103703307823878,Regys Medina,Andres Medina Sotomayor,19123,45
581020842029657,Gobierno Autónomo Municipal de Cochabamba,Quick Experience,19119,110
101029268584854,José Carlos Sánchez Verazaín,Alejandro Gustavo Coca Cespedes,19052,49
