Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
85556797741,Edith Cowan University (ECU),These ads ran without a disclaimer,400,1
8304333127,The Wall Street Journal,These ads ran without a disclaimer,≤100,2
101216219504499,Bhutan Tendrel Party - BTP,These ads ran without a disclaimer,≤100,3
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
100904822517086,Non-Trivial,These ads ran without a disclaimer,≤100,18
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,104
793541217464814,Cisco Global Problem Solver Challenge,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,77
1798435720478073,新華香港,These ads ran without a disclaimer,≤100,8
103376571323293,U-Report South Asia,These ads ran without a disclaimer,≤100,1
68793499001,UNICEF,These ads ran without a disclaimer,≤100,4
146627512070062,International Air Transport Association (IATA),These ads ran without a disclaimer,≤100,3
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,62
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,99
113850851219092,China Chat,These ads ran without a disclaimer,≤100,14
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,92
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,7
132579906756944,United Nations ESCAP,These ads ran without a disclaimer,≤100,13
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,43
111622410196045,State of Youth,These ads ran without a disclaimer,≤100,39
166591246714313,Tetra Pak,These ads ran without a disclaimer,≤100,4
146535102082531,Loden Foundation,These ads ran without a disclaimer,≤100,1
103624959280087,SMART Education Consultancy & Placement Firm,These ads ran without a disclaimer,≤100,1
208685479508187,U-Report,These ads ran without a disclaimer,≤100,11
371171589575669,China.org.cn,These ads ran without a disclaimer,≤100,7
138278482866502,The Wrestling Game,These ads ran without a disclaimer,≤100,1
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,≤100,13
131189377574,MDPI,These ads ran without a disclaimer,≤100,57
284370804968723,"Croatian service, China radio International",These ads ran without a disclaimer,≤100,6
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,13
127187187348820,Kaspersky,These ads ran without a disclaimer,≤100,1
101190992007863,BizInsight with Guan Xin,These ads ran without a disclaimer,≤100,4
102892417916,Voice of Tibet,These ads ran without a disclaimer,≤100,8
380712502382003,Dr Charles Sinkala,These ads ran without a disclaimer,≤100,2
103733191524431,Liuxininbeijing,These ads ran without a disclaimer,≤100,2
161666143844859,Sandvik,These ads ran without a disclaimer,≤100,7
70877580782,IFC - International Finance Corporation,These ads ran without a disclaimer,≤100,8
115591005188475,Global Times,These ads ran without a disclaimer,≤100,13
1656590977890066,IDEO U,These ads ran without a disclaimer,≤100,2
821430017924241,Sungrow,These ads ran without a disclaimer,≤100,13
102093685620627,Best Diplomats,These ads ran without a disclaimer,≤100,1
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,25
447263991993811,UNICEF South Asia,These ads ran without a disclaimer,≤100,39
25794202967,Wayne State University,These ads ran without a disclaimer,≤100,2
237650313048963,China Admissions,These ads ran without a disclaimer,≤100,3
112220134851421,Under the Sisterhood,These ads ran without a disclaimer,≤100,32
1684724295099974,Trending Taiwan潮台灣,These ads ran without a disclaimer,≤100,11
880611255347800,Phoenix TV 鳳凰衛視,These ads ran without a disclaimer,≤100,5
1096538887134446,Reuters Plus,These ads ran without a disclaimer,≤100,20
191347651290,China Daily,These ads ran without a disclaimer,≤100,4
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,9
39759254594,Earth Journalism Network,These ads ran without a disclaimer,≤100,2
101368689303795,New China Research,These ads ran without a disclaimer,≤100,5
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,5
364509747074931,Jangsem Monday,These ads ran without a disclaimer,≤100,5
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,59
423670114403144,Trending in China,These ads ran without a disclaimer,≤100,9
1473321922884514,Chińskie Radio Międzynarodowe,These ads ran without a disclaimer,≤100,37
102877471454350,Kande Gao,These ads ran without a disclaimer,≤100,1
102839468523186,APEX อันดับหนึ่งเลเซอร์ขน,These ads ran without a disclaimer,≤100,2
131664893560695,Origins OSU,These ads ran without a disclaimer,≤100,15
