Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
179167545479394,Салідарнасць,Онлайн-медиа «Салiдарнасць»,1121,355
109041645238920,Makib,These ads ran without a disclaimer,768,4
110931611832911,Techment,These ads ran without a disclaimer,676,1
100860375646443,Amazing animals,These ads ran without a disclaimer,550,2
102882402725627,vernopravd,These ads ran without a disclaimer,516,5
105497721784216,Филин. Оперативная аналитика и публицистика,Филин. Оперативная аналитика и публицистика,448,181
100194272832752,Tips starting business,These ads ran without a disclaimer,443,2
101407672669785,Инвестиции в сайты легко,These ads ran without a disclaimer,437,1
105338674248623,parfilovandrey,These ads ran without a disclaimer,434,5
103352065105394,Рекламное агенство,These ads ran without a disclaimer,400,33
117352898288982,Радыё Свабода,These ads ran without a disclaimer,227,2
102251318064432,Organon,These ads ran without a disclaimer,211,5
109437708108793,Music unites hearts,These ads ran without a disclaimer,204,4
451256781884275,Klondike Adventures,These ads ran without a disclaimer,169,2
104929638832465,Проверенная,These ads ran without a disclaimer,164,1
104885042402992,Gas Pro,These ads ran without a disclaimer,160,4
1860782777346343,Astons Russia,These ads ran without a disclaimer,139,4
107017411044105,Честные люди,These ads ran without a disclaimer,139,10
104550201472678,mari_feng,These ads ran without a disclaimer,117,7
308128352622188,Мафия в Минске «Mafia Vero»,These ads ran without a disclaimer,117,3
102898579144122,Студия косметологии BLISS,These ads ran without a disclaimer,107,1
101739432113876,girls.power.belarus,These ads ran without a disclaimer,106,2
107265615247505,Живе Беларусь,These ads ran without a disclaimer,101,3
105020068516888,Loved jail,These ads ran without a disclaimer,≤100,14
100593655708363,Академия моды и стиля.,These ads ran without a disclaimer,≤100,1
1656462641030843,Mircare,These ads ran without a disclaimer,≤100,3
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,5
112192393947217,Cleanup: Phone Storage Cleaner,These ads ran without a disclaimer,≤100,1
111535028099492,New Reality,These ads ran without a disclaimer,≤100,2
111278367809140,It Школа Overone,These ads ran without a disclaimer,≤100,4
236434667020687,ОДИССЕЯ ЗНАНИЙ,These ads ran without a disclaimer,≤100,4
105955084894288,Samopomoch,These ads ran without a disclaimer,≤100,2
103071289149181,Коррекция поведени детей,These ads ran without a disclaimer,≤100,1
413425049211139,forkids,These ads ran without a disclaimer,≤100,2
100451933698060,AdVenture Communist,These ads ran without a disclaimer,≤100,1
104955045643895,MTBank Belarus,These ads ran without a disclaimer,≤100,2
101991408951917,Клиника Пластической хирургии в Минске,These ads ran without a disclaimer,≤100,1
111140845160140,zelenayalenta,These ads ran without a disclaimer,≤100,5
190992343324,BBC News Russian,These ads ran without a disclaimer,≤100,39
109165398560386,Smart Olympic School,These ads ran without a disclaimer,≤100,1
112065914583118,NectarineMinsk,These ads ran without a disclaimer,≤100,9
105373978999784,Obozrevatell,These ads ran without a disclaimer,≤100,2
103998571218294,Максим Космачев,These ads ran without a disclaimer,≤100,1
432445257544169,Global City Community,These ads ran without a disclaimer,≤100,19
111462174723827,psychology_iec,These ads ran without a disclaimer,≤100,2
100534649435574,Chern,These ads ran without a disclaimer,≤100,2
1984434148466022,Анатомия Фитнеса,Анатомия Фитнеса,≤100,13
1846662435616731,Андрей Дмитриев,These ads ran without a disclaimer,≤100,1
108268188512494,Evernow,These ads ran without a disclaimer,≤100,1
107256558578160,Phonatik.by,These ads ran without a disclaimer,≤100,3
643692628978387,Доктор Сергей Обложко,These ads ran without a disclaimer,≤100,1
105480557817482,КОТОС,КОТОС: местное самоуправление,≤100,2
103884175847975,Станция - Эмиграция,These ads ran without a disclaimer,≤100,3
102072599470181,Advanced Trading,These ads ran without a disclaimer,≤100,7
107161868774840,Новости Европы ру,These ads ran without a disclaimer,≤100,1
101143408794206,Etery.school,These ads ran without a disclaimer,≤100,4
109620108513173,promokods.by,These ads ran without a disclaimer,≤100,1
105425408943562,Tips for Starting Your Own Company,These ads ran without a disclaimer,≤100,2
105960472226315,Свежая сводка новостей,These ads ran without a disclaimer,≤100,1
108130944309977,Формула ЦТ Минск,These ads ran without a disclaimer,≤100,8
100957048247733,Корейская косметика,These ads ran without a disclaimer,≤100,5
1533164476705769,Тренинговый центр “Сталкер”,These ads ran without a disclaimer,≤100,2
103004189145961,Stunning yi3,These ads ran without a disclaimer,≤100,1
100435366164678,Survivors,These ads ran without a disclaimer,≤100,1
110810867357631,Медиазона. Беларусь,These ads ran without a disclaimer,≤100,8
795049217324521,BEM FPK Unair,These ads ran without a disclaimer,≤100,1
101223276064086,Tips business,These ads ran without a disclaimer,≤100,2
101123719428607,Top Bow,These ads ran without a disclaimer,≤100,1
105058475488555,Grusha,These ads ran without a disclaimer,≤100,1
108784775861503,Digital EU,These ads ran without a disclaimer,≤100,1
101376965033041,BSSF/Belarusian Sport Solidarity Foundation,These ads ran without a disclaimer,≤100,3
106682792169490,Аналитика для бизнеса,These ads ran without a disclaimer,≤100,1
108997671604871,MOST Media,These ads ran without a disclaimer,≤100,3
106620807391911,Roche,These ads ran without a disclaimer,≤100,9
264607547232985,REFORM.by,These ads ran without a disclaimer,≤100,2
1584380588505380,Салон красоты Fusion Style,These ads ran without a disclaimer,≤100,5
267494285087181,Доставка обедов,These ads ran without a disclaimer,≤100,2
103829139104915,Essential Tips for an Engaging Business Page,These ads ran without a disclaimer,≤100,2
1281617518611911,Ясно,These ads ran without a disclaimer,≤100,2
131089760247886,RFI на русском,These ads ran without a disclaimer,≤100,16
110642921587181,The Ukrainians,These ads ran without a disclaimer,≤100,1
104980605722177,Gass Price,These ads ran without a disclaimer,≤100,2
278057599639314,It-incubator,These ads ran without a disclaimer,≤100,1
117612978065,Глобальный еврейский онлайн центр,These ads ran without a disclaimer,≤100,3
609966835690123,СНплюс / SNplus,These ads ran without a disclaimer,≤100,8
111914598043726,"Инна Тлиашинова - Академия ""Мастер Разборов""",These ads ran without a disclaimer,≤100,2
100696645972765,Osteopathy_minsk,These ads ran without a disclaimer,≤100,2
107385772140739,Cosmo_nura,These ads ran without a disclaimer,≤100,2
113513678399124,Btc Andersen,These ads ran without a disclaimer,≤100,1
109013498596433,Мотоблоки РБ,These ads ran without a disclaimer,≤100,3
109784628410241,Snezny bars,These ads ran without a disclaimer,≤100,1
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
1803871339879317,Віцебская Вясна,These ads ran without a disclaimer,≤100,3
105120445651348,Салон красоты и косметология,These ads ran without a disclaimer,≤100,1
1543779709167826,Astons,These ads ran without a disclaimer,≤100,8
104951442361572,Бемоль,These ads ran without a disclaimer,≤100,2
100181442890938,ASBIS Belarus,These ads ran without a disclaimer,≤100,1
100956816009646,Digital Digital,These ads ran without a disclaimer,≤100,1
761245640557050,Contour-LAMN Education & Travel Co.,These ads ran without a disclaimer,≤100,3
756218527791437,"Театр-школа ""Образ"" г.Минск",These ads ran without a disclaimer,≤100,7
1777266822526385,Photogornostay,These ads ran without a disclaimer,≤100,2
97198959321,Alivaria,These ads ran without a disclaimer,≤100,1
113679927618915,lor_makarynkibak,These ads ran without a disclaimer,≤100,2
106845632270422,Косметоллогг88,These ads ran without a disclaimer,≤100,2
109527838535563,Благодійний Фонд Антитіла/Antytila Charity Foundation,These ads ran without a disclaimer,≤100,2
118040966273640,Курсы педикюра / маникюра Грановская Наталья,These ads ran without a disclaimer,≤100,3
101372772736618,Name Adv,These ads ran without a disclaimer,≤100,1
104014418434869,belte.by,These ads ran without a disclaimer,≤100,1
106037405590600,Good Habits,These ads ran without a disclaimer,≤100,2
506738979672675,Legion by,These ads ran without a disclaimer,≤100,2
144776752025,Голос Америки,These ads ran without a disclaimer,≤100,42
101213108998448,Учебный центр «Сигма»,These ads ran without a disclaimer,≤100,1
101334039506161,Crisis or development. Business,These ads ran without a disclaimer,≤100,3
207208620016455,Музыкальная школа ArtGrand,These ads ran without a disclaimer,≤100,3
103411635876674,Мария Нумерология,These ads ran without a disclaimer,≤100,3
106712155471698,Двери_Пинск,These ads ran without a disclaimer,≤100,2
110168184828455,Elektronmog,These ads ran without a disclaimer,≤100,5
3218911261666742,START art-studio,These ads ran without a disclaimer,≤100,1
2027048010913654,Esthetic room Студия красоты,These ads ran without a disclaimer,≤100,1
341348820434679,Israel Assist,These ads ran without a disclaimer,≤100,1
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,4
214858585903972,"УО ""ЭКО Менталити""",These ads ran without a disclaimer,≤100,2
113596977758168,Prokopenko Alyona,These ads ran without a disclaimer,≤100,1
109600871933811,Elena Kalen,These ads ran without a disclaimer,≤100,1
100263482439367,Танцевальный конкурс,These ads ran without a disclaimer,≤100,1
392010478035659,Relocation eu - ВНЖ в Европе,These ads ran without a disclaimer,≤100,2
114247604036354,Инфограф,These ads ran without a disclaimer,≤100,2
236050239911704,Кропка,These ads ran without a disclaimer,≤100,4
498431500576025,Квартира 17,These ads ran without a disclaimer,≤100,3
100858751881604,Дизайн-Архитектура-Барельеф,These ads ran without a disclaimer,≤100,1
116916174332327,Ситуация следующая,These ads ran without a disclaimer,≤100,1
1741204462780663,"""LingvoClass"" Лингвистический Центр",These ads ran without a disclaimer,≤100,3
101009628915100,Стоматология Альянс-Дент,These ads ran without a disclaimer,≤100,2
104681682344010,Витебский Государственный Технологический Университет,These ads ran without a disclaimer,≤100,1
373536278864,UNICEF Europe & Central Asia,These ads ran without a disclaimer,≤100,4
110545904890739,arenda_mogi.lev,These ads ran without a disclaimer,≤100,2
669307523469574,EveryJew,These ads ran without a disclaimer,≤100,27
812265488788752,Время Земли,These ads ran without a disclaimer,≤100,1
2101293130136444,NewPsy,These ads ran without a disclaimer,≤100,4
100299842778797,10 vegetarian and vegan dishes at Time Out Market Dubai,These ads ran without a disclaimer,≤100,2
110158861840967,YOLOacademy: практическая психология,These ads ran without a disclaimer,≤100,3
405379246524515,DHL Express,These ads ran without a disclaimer,≤100,4
102157139457754,girlboss_by,These ads ran without a disclaimer,≤100,1
109581101915197,Адвокатский офис Алекса Зернопольского,These ads ran without a disclaimer,≤100,2
1429319224003669,"Аглая Датешидзе - любовь, развитие, творчество",These ads ran without a disclaimer,≤100,1
105228052314347,After Coffee,These ads ran without a disclaimer,≤100,2
2221936888071873,TheSwim,These ads ran without a disclaimer,≤100,5
102918549199178,Дмитрий Герасименя,These ads ran without a disclaimer,≤100,1
110258241441791,Pin-Up.com,These ads ran without a disclaimer,≤100,4
334354296245,KYKY.org,These ads ran without a disclaimer,≤100,1
115352073977900,Центр Новой мебели,These ads ran without a disclaimer,≤100,1
724593294998346,Kronospan Belarus,These ads ran without a disclaimer,≤100,2
107902995404551,rabota.s.tekxtami,These ads ran without a disclaimer,≤100,1
102729518672965,promo21vek,These ads ran without a disclaimer,≤100,1
103012805476388,Школа удаленных профессий Ольги Утешевой,These ads ran without a disclaimer,≤100,2
104717312129507,Остеопат Pankratov школа,These ads ran without a disclaimer,≤100,2
106788068839299,Charitable foundation Help UA,These ads ran without a disclaimer,≤100,1
340577086006224,CRI German,These ads ran without a disclaimer,≤100,7
105981578924992,Магазин базовой женской одежда,These ads ran without a disclaimer,≤100,2
100758882569441,Stok_hop,These ads ran without a disclaimer,≤100,1
139666286225597,Euranet Plus - Official,These ads ran without a disclaimer,≤100,10
108708651946834,Массаж Гомель,These ads ran without a disclaimer,≤100,1
110367919014958,ERGO,These ads ran without a disclaimer,≤100,6
339973326139618,TUI Care Foundation,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,44
100468473048624,Btc Williams,These ads ran without a disclaimer,≤100,1
109741008534773,Vetroter,These ads ran without a disclaimer,≤100,1
100933452689396,Ksenia Hazova,These ads ran without a disclaimer,≤100,1
109621301903649,Салон красоты Lanaestet,These ads ran without a disclaimer,≤100,3
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,29
1242265375869484,Национальный центр художественного творчества детей и молодежи,These ads ran without a disclaimer,≤100,2
100487769515211,wowbablo,These ads ran without a disclaimer,≤100,1
110780520771500,shlapo_anastasia,These ads ran without a disclaimer,≤100,3
244192865606024,People in Need,These ads ran without a disclaimer,≤100,3
100516378464153,Алексей Беликов,These ads ran without a disclaimer,≤100,1
199026224164069,Детская одежда,These ads ran without a disclaimer,≤100,1
103341011759825,Маланка Медиа,These ads ran without a disclaimer,≤100,2
111255657168275,Юрист в Испании,These ads ran without a disclaimer,≤100,2
