Page ID,Page name,Disclaimer,Amount spent (XAF),Number of ads in Library
663561770504877,SoluEtude Congo Brazzaville,These ads ran without a disclaimer,656038,2
101328799286396,BFD Events.com,BFD EVENTS,564631,28
221346451609520,Vadim Osdet Mvouba,Magikcommunication,175138,20
152371708808907,Echo du Vrai Média,Echo du Vrai Média,102068,138
107731321985014,Nicodème Okouere,Yves Abona,75588,19
105071072139387,Ludovic Ngatse officiel,These ads ran without a disclaimer,63065,26
158714780827513,UNFPA,UNFPA,60808,67
107459284364594,Muana Mboka 242 Média,Muana Mboka 242 Média,47871,25
103292891649913,PAKO TV,These ads ran without a disclaimer,46570,1
155174084508744,Banque mondiale,These ads ran without a disclaimer,42857,91
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,36884,3
28312410177,World Food Programme,These ads ran without a disclaimer,31329,121
821430017924241,Sungrow,These ads ran without a disclaimer,28977,7
593836894116468,Ludovic Ngatse,These ads ran without a disclaimer,28781,3
510918502339248,𝐌𝐚𝐫𝐜𝐞𝐥 𝐆𝐔𝐈𝐓𝐎𝐔𝐊𝐎𝐔𝐋𝐎𝐔,These ads ran without a disclaimer,24269,2
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,16788,7
124252504303223,UNICEF (FR),UNICEF,16786,58
110122358477613,TRT Afrika Français,These ads ran without a disclaimer,16548,4
101359732304206,Share_M113_x2,These ads ran without a disclaimer,15328,6
1940641242857402,Fonds Bleu pour le Bassin du Congo,These ads ran without a disclaimer,14238,1
8304333127,The Wall Street Journal,These ads ran without a disclaimer,13277,2
338109312883186,China Xinhua News,These ads ran without a disclaimer,13241,233
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,10995,11
495912483919210,Tunisia - Africa Business Council,These ads ran without a disclaimer,10044,1
177063556241010,Jean Jacques Bouya,These ads ran without a disclaimer,9396,4
31292782350,Deutschland.de,These ads ran without a disclaimer,8670,107
101027182719197,Société Africaine de Recouvrement,These ads ran without a disclaimer,8527,1
100889118029318,Digne Elvis Tsalissan Okombi,These ads ran without a disclaimer,8445,7
577232605746839,Jofran MBOSSA OSSEBI,These ads ran without a disclaimer,7348,1
901888793536425,Destin GAVET officiel,These ads ran without a disclaimer,6736,2
173254003362613,WE ARE CHINA,These ads ran without a disclaimer,6632,5
0,Instagram User 9085976018,These ads ran without a disclaimer,6318,3
2066130243632231,Le Président Afrique,These ads ran without a disclaimer,6124,7
2065056783567420,Hespress Français,These ads ran without a disclaimer,5922,1
102829294989075,DGPME Congo,These ads ran without a disclaimer,5720,8
152371708808907,Echo du Vrai Média,These ads ran without a disclaimer,5671,8
68793499001,UNICEF,UNICEF with Facebook Ad Credits,5511,23
108104834664333,TV 242,These ads ran without a disclaimer,5236,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,5163,3
105186365579238,Fatima BEYINA-MOUSSA,These ads ran without a disclaimer,5132,4
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,4874,13
370593446733873,Ndembomag - le foot,These ads ran without a disclaimer,4619,2
1479525108957416,YALI CONGO Alumni - Brazzaville,These ads ran without a disclaimer,4397,1
1542919985972196,Feria de Cantón,These ads ran without a disclaimer,4385,4
436621137103518,Huawei Northern Africa,These ads ran without a disclaimer,4343,12
198317336853861,Qatar Airways,These ads ran without a disclaimer,4287,2
1798435720478073,新華香港,These ads ran without a disclaimer,4032,8
1095656230444831,Michrist KABA MBOKO,These ads ran without a disclaimer,3966,3
105196405565046,misscongofrance,These ads ran without a disclaimer,3935,1
479285342097950,AeroTime,These ads ran without a disclaimer,3711,10
117621581593054,TV5MONDE Afrique,These ads ran without a disclaimer,3686,6
119077244477112,APAS CONGO,These ads ran without a disclaimer,3674,2
111160730747637,Trivia Stars,These ads ran without a disclaimer,3674,1
2108332522792915,Jonathan OBOU,These ads ran without a disclaimer,3674,2
110165451180265,Hôpital Général de DJIRI,These ads ran without a disclaimer,3464,2
427393437645305,Vumbuka,These ads ran without a disclaimer,3280,1
108771327236868,HCRCE - Haut Conseil Représentatif des Congolais de l’Etranger,These ads ran without a disclaimer,3280,1
103782167631878,𝑩𝒐𝒏𝒉𝒆𝒖𝒓 𝑪é𝒍𝒆𝒔𝒕𝒆 𝑳𝒆𝑮𝒓𝒂𝒏𝒅 𝑷𝑨𝑴𝑩𝑶𝑼,These ads ran without a disclaimer,3280,1
