Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
97220294896,SP Schweiz,SP Schweiz,82621,82
533196430187039,KMU- und Gewerbeverband Kanton Zürich,KMU- und Gewerbeverband Kanton Zürich KGV,68968,109
15733998334,FDP,FDP,68590,353
103915262545181,KMU geprüft,KMU geprüft,66941,348
246373365779398,NEIN zur Verrechnungssteuer-Vorlage,SP Schweiz,62759,94
1524859774444235,Koalition für Konzernverantwortung,Koalition für Konzernverantwortung,62254,39
131066326987,SP Kanton Zürich,SP Kanton Zürich,53172,95
169510248558,Die Mitte - Le Centre,Die Mitte,51392,138
107572275173751,Nein zur unnötigen Massentierhaltungsinitiative,Allianz gegen die Massentierhaltungsinitiative,50183,147
104302952385336,Nein zu Mehrkosten. Nein zum AHV-Abbau.,Schweizerischer Gewerkschaftsbund,50000,135
108204507991414,Zukunft sichern,Allianz für die Reform der Verrechnungssteuer,46815,37
147717218614170,PLR Genève,PLR.Les Libéraux-Radicaux Genève,42166,306
109227711735560,Allianz 2x Ja zur AHV 21,Allianz 2x Ja zur AHV 21,42102,240
18087904183,PLR,PLR,40319,239
510352742440847,Coalition pour des multinationales responsables,Coalition pour des multinationales responsables,38858,43
100636072731844,NEIN zum Steuerschwindel am 25. September,Forum Zürich,35935,30
1896520733707958,Initiative gegen Massentierhaltung,Initiative gegen Massentierhaltung,31809,101
291359247729208,PS Suisse,PS Suisse,28389,40
627220684023668,GRÜNE Zürich,Grüne Kanton Zürich,24833,105
100369729335133,"Peter Grünenfelder, Regierungsratskandidat Zürich",Peter Grünenfelder c/o FDP Kanton Zürich,21861,193
202006389857644,Grünliberale Kanton Zürich,Grünliberale Partei Zürich,21768,147
102662476058956,Hans-Peter Amrein in den Regierungsrat,Hans-Peter Amrein in den Regierungsrat,20986,30
252652524823017,EVP Kanton Zürich,EVP Kanton Zürich,20795,105
194790813901953,Grüne Schweiz,Grüne Schweiz,20576,44
107434497810356,Non à l’initiative inutile sur l’élevage,Alliance contre l’initiative sur l’élevage intensif,20469,109
1027844850652657,Boomerang Ideas,Boomerang Ideas AG,20319,352
100381452863244,Libertés et Justice sociale,Libertés et Justice sociale,19809,373
288659088239530,MCG Officiel,Mouvement Citoyens Genevois,19752,534
100610189289499,Alliance 2x Oui à AVS 21,Alliance 2x Oui à AVS 21,18656,131
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,18611,615
260591187302640,Parti socialiste genevois,Parti socialiste genevois,18415,121
921336971288655,Nagra,Nagra,17512,46
1054282644596776,GE-démocratie,GE-démocratie,16447,15
599025353636034,B Lab Switzerland,B LAB (SWITZERLAND),16419,49
1800219133599728,NON à la suppression de l’impôt anticipé,SP Schweiz,15271,33
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,15158,170
103977239013757,CARA,Association CARA,14857,4
154212901272905,FDP.Die Liberalen Baselland,FDP.Die Liberalen Baselland,14669,239
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,13698,144
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,13613,35
191859734164694,Pro Infirmis,Pro Infirmis,13559,30
170449246402589,Grünliberale Stadt Zürich,Grünliberale Partei Stadt Zürich,13305,47
349450293419,Schweizerische Energie-Stiftung SES,Schweizerische Energie-Stiftung SES,12971,33
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,12513,6
970401509667271,Priska Seiler Graf - Nationalrätin,Priska Seiler Graf in den Regierungsrat,12500,59
100341315500438,Kirchensteuern sei Dank - St.Gallen,Katholischer Kofessionsteil des Kantons St.Gallen,12072,65
737971436234272,StrategieDialog21,StrategieDialog21,11999,31
1526697364280066,Partito Socialista Ticino,Partito Socialista Ticino,11095,39
126256997433456,SP Baselland,SP Baselland,10948,14
108392832120312,Perspektive Zürich,Perspektive Zürich,10280,65
103361322680851,Armin Hartmann,Hartmann2023,10080,32
126289610761942,Grünliberale,Grünliberale,10001,27
108541207972145,Initiative contre l'élevage intensif,Initiative gegen Massentierhaltung,9992,57
110038441861588,JA zur Gerechtigkeitsinitiative,SVP Kt.Zürich,9991,60
100195119489766,Benno Scherrer in den Regierungsrat,Benno Scherrer,9978,10
153100508070854,Junge SVP Schweiz,JSVP Schweiz / JUDC / GUDC,9047,6
179829952053386,Vert'libéraux,Parti vert'libéral Suisse,8701,11
100332749664541,Ja zum Klimaschutz-Gesetz,JA zum Klimaschutz,8599,60
610098352377102,Christian Pfaller,Komitee Christian Pfaller,8465,134
1903129656584980,SP Uster,SP Uster,8356,30
450602808776880,Martin Neukom,Martin Neukom,8253,30
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,8205,119
48980326364,Public Eye,Public Eye,8026,108
245030556232364,Grünliberale Partei Basel-Landschaft,Grünliberale Partei Basel-Landschaft,8012,129
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,7709,56
117027101705789,FDP Stadt Zürich,FDP Stadt Zürich,7506,50
110547838607111,NON IN 179,FER Genève - Fédération des Entreprises Romandes Genève,7500,38
117741198303856,FDP Kanton Zürich,FDP Kanton Zürich,7443,43
