Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
1366892303449939,Partido Republicano,Partido Republicano,389029815,1721
150331635097423,Servicio Electoral de Chile,Servicio Electoral de Chile,208668737,488
881095048648989,José Antonio Kast,José Antonio Kast,168951535,120
231350380299380,Las Últimas Noticias (LUN),Las Últimas Noticias (LUN),157980437,1517
78617029137,Greenpeace Chile,Fundación Greenpeace Pacífico Sur,153170330,965
104189318481439,Minería y Futuro,Minería y Futuro,148160452,1206
10192152668,Renovación Nacional,Renovación Nacional,138513889,1276
1548643738480723,Asistencia Deudores,Asistencia Deudores,136162593,208
52263787734,Unión Demócrata Independiente,Unión Demócrata Independiente,130478173,1569
108922248816222,Secretaría de Participación Ciudadana,Secretaría de Participación Ciudadana,129243397,234
177384889097855,Gabriel Boric,Gabriel Boric Font,125569775,711
103820310982935,Sichel Presidente,Sebastián Sichel Ramirez,109355659,450
881095048648989,José Antonio Kast,José Antonio Kast Rist,109241026,173
114405611929952,Gobierno de Chile,Gobierno de Chile,107821960,527
159639460764792,LATAM Airlines,LATAM Airlines,107172808,41
241687479200177,Claudio Orrego,Claudio Orrego,104979108,501
342240665893084,Rojo Edwards,Rojo Edwards,92674408,1027
103527991214141,Cero DICOM,Cero Dicom,90955383,68
118966711309765,Lo que nadie quiere,Chile en Contra,88809961,265
157644624667815,Joaquín Lavín,Joaquin Lavin Infante,69448218,425
105798328215264,Asistencia Familia,Asistencia Familia,66618332,67
280326368663728,Asociación de Industriales de Iquique,Asociacion de Industriales Iquique,63071803,905
102188475875534,Franja Ciudadana,Franja Ciudadana,62358951,196
100817405336960,Chiara Barchiesi Can. Diputada,Chiara Natalia Barchiesi Chavez,58854537,452
1147280035388437,ARAUCO,ARAUCO,55095793,51
219605241425430,Partido Socialista de Chile,Partido Socialista de Chile,47420803,963
106423590853145,Fundación Ciudadanos en Acción,Fundación Ciudadanos en Acción,46939607,172
153785764804185,Catalina Parot,Catalina Parot Gobernadora,46398161,401
386634201382499,Marco Enriquez-Ominami,Partido Progresista de Chile - PRO,46129554,296
28023147497,Partido Comunista de Chile,Partido Comunista de Chile,45225066,213
669777673091551,Yasna Provoste Campillay,Yasna Provoste Campillay,44708348,341
103229085697056,La Mejor Constitución,Contodo SpA,44071179,100
108508235191644,Aprueba x Chile,ApruebaXChile,43919917,79
228557190541436,BancoEstado,BancoEstado,42311514,558
103898195370022,Mañalich Senador,Jaime Mañalich,41884959,260
742589802465506,Reforma la Reforma,Fundación Ciudadanos en Acción,41234745,202
527441447268308,Copec,COPEC S.A.,41078617,164
105160864730079,Con Todo,Contodo SpA,39910860,178
105783868682878,Asistencia Tesorería,Asistencia Tesoreria,39738323,47
113838817025219,Coperiodistas,Coperiodistas,39383017,617
103820310982935,Sichel Presidente,Sebastian Sichel,38581919,524
2220992967918013,Disney+,These ads ran without a disclaimer,37845790,1
100714821561761,Tenemos que Hablar de Chile,Tenemos que Hablar de Chile,36487960,212
113153381003177,Natalia Piergentili,Natalia Piergentili,35982102,568
285417644878678,Red Antofagasta,Diarios en Red,35750303,652
107311071433169,Renovación Nacional  - Elecciones 2021,Renovación Nacional,33713178,354
102660885525434,Con mi plata NO,Con mi plata No,33319332,355
1502798646437265,Gabriel Silber,Gabriel Silber,33180010,63
131284493409605,La Fuerza de Chile,Es mejor para Chile,32576852,327
305958239880216,Cidere Región de Coquimbo,CIDERE Coquimbo,32387202,506
1059804450772270,Antonio Barchiesi,Antonio Barchiesi,32248422,76
104189318481439,Minería y Futuro,Mineria y Futuro,31791517,1045
139070762323,Eugenio Ortega Frei Senador,Eugenio Frei Ortega,31635699,682
105091012517593,Bruno Baranda,Campaña Bruno Baranda,30854231,196
106037731330237,CentroAvance,Centro Avance,30766520,387
106423590853145,Fundación Ciudadanos en Acción,Fundacion Ciudadanos en accion,30671485,264
580663538777736,Consejo Minero,Feedback Comunicaciones,29669281,245
