Page ID,Page name,Disclaimer,Amount spent (CRC),Number of ads in Library
106620807391911,Roche,These ads ran without a disclaimer,2334010,9
168286823190319,Cámara de Industrias de Costa Rica,Cámara de Industrias de Costa Rica,1396354,19
117702158266385,Antonio Álvarez Desanti,Antonio Alvarez Desanti,1382709,45
643513979193133,Justicia para Beatriz,Neuma,1198209,103
265843867173714,La Revista,La Revista,983124,302
856012741442139,Ipas LAC,Neuma,917031,32
1540070352761579,Leslye Bojorges,Leslye Ruben Bojorges Leon,714708,76
102084562479533,Digital506,Digital506,700607,47
105299712285609,Otra Visión,Otra Visión,661910,22
106830875166362,Criterio CR,Criterio CR,613599,27
102809992561700,Noticias de la Región,Noticias de la Región,546974,9
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,422705,2
399929296730642,Consejo Nacional de Cooperativas,Jonathan Ureña Vargas,363494,25
158545737536838,Municipalidad de Escazú,Municipalidad de Escazú,320696,6
101128242614247,Dr. Rodolfo Brenes Vargas,Rodolfo Brenes Vargas,274172,11
116150003163125,Fundación Pollitos de Hierro - Ayuda a niños con cáncer - Costa Rica,Fundación Pollitos de Hierro,217386,19
164707339336,Grupo Camacho Internacional,Carlos Morales Navarro,212766,1
161538647202796,David Segura - Diputado,David Lorenzo Segura Gamboa,204312,13
107395545426817,Paradigma,Paradigma,200562,5
102643532445938,Ada Acuña - Diputada,Jacqui Solano,167346,27
1445844552209874,Serbicios multiplis Alajuela,These ads ran without a disclaimer,156817,2
706881402837458,OIM Costa Rica,These ads ran without a disclaimer,156178,2
639134539456518,Munkel Ópticas y Centro Medico,Paul Münkel Talavera,153921,7
100508562815254,Juan Diego González Picado,Juan Diego González Picado,151783,5
102851155670931,mUEve,mUEve,148061,7
200480966638039,Supremacy 1914,These ads ran without a disclaimer,144919,3
593701227676852,Pandi Luxury Bedding,These ads ran without a disclaimer,142203,1
28312410177,World Food Programme,These ads ran without a disclaimer,133681,7
226919614410740,Chemas de futbol Tienda Online,These ads ran without a disclaimer,121388,4
117476041631671,AmCham Costa Rica,AmCham Costa Rica,120892,10
450806748585319,María Marta Carballo Diputada,Gabriela De Los Angeles Marin Quijano,114996,7
126642014026408,CS Ahorro y Crédito,These ads ran without a disclaimer,108476,2
100248039454311,Mi Canton Digital,Mi Canton Digital,105568,5
101208005522646,Diputado José Joaquín Hernández R.,Allan Andres Chaves Solis,99740,2
105655721900130,Diputada Johana Obando,Juan Andres Vasquez Quiros,75366,3
1697191247176676,Diego Miranda Méndez,Diego Miranda Méndez,68617,8
133403496838175,"Colegio Salesiano Don Bosco, Zapote",These ads ran without a disclaimer,58999,3
100451933698060,AdVenture Communist,These ads ran without a disclaimer,58937,1
