Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
78420489721,MpD - Movimento para a Democracia,MpD - Movimento para a Democracia,341,18
626981214397561,Luis Carlos Silva,These ads ran without a disclaimer,189,7
1047815738600336,"Vice Primeiro-Ministro e Ministro das Finanças, Olavo Correia","Vice Primeiro-Ministro e Ministro das Finanças, Olavo Correia",157,6
106802445379938,Presidente da Assembleia Nacional - Austelino Correia,Presidente da Assembleia Nacional - Austelino Correia,141,7
1716615188626933,Governo de Cabo Verde,Governo de Cabo Verde,116,16
107517208497489,Ministério das Finanças e Fomento Empresarial,Ministério das Finanças e Fomento Empresarial,≤100,31
190126634445277,Africa Defense Forum ADF Magazine,These ads ran without a disclaimer,≤100,5
169947043036031,Câmara Municipal da Praia,Câmara Municipal da Praia,≤100,6
287645557772952,António Cardoso 2024,António Cardoso 2024,≤100,2
1019721761401300,Euclides Silva,Euclides Jorge Varela Da Silva,≤100,11
1716615188626933,Governo de Cabo Verde,These ads ran without a disclaimer,≤100,1
1147426305297192,"Primeiro-Ministro, José Ulisses Correia e Silva","Primeiro-Ministro, José Ulisses Correia e Silva",≤100,3
111685267636032,Liver Gomes 2024,Liver Gomes 2024,≤100,2
1019721761401300,Euclides Silva,Euclides Silva,≤100,1
8304333127,The Wall Street Journal,These ads ran without a disclaimer,≤100,2
109405581423086,Ministério da Modernização do Estado e da Administração Pública,These ads ran without a disclaimer,≤100,6
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,12
1518216038506999,CRI - Rádio Internacional da China,These ads ran without a disclaimer,≤100,3
434438863316803,RFI Português,These ads ran without a disclaimer,≤100,2
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,235
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,50
101529422826181,Archwey for The Ocean Race,These ads ran without a disclaimer,≤100,8
111323794777366,Ministério da Economia Digital,Ministério da Economia Digital,≤100,6
425889811159529,Pedro Lopes,Pedro Lopes,≤100,2
282024608559605,IPDD - Instituto Politécnico Democracia e Desenvolvimento,IDD - Instituto Democracia e Desenvolvimento,≤100,8
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
105154255523676,Vander Gomes,Vander Gomes Presidente da JpD,≤100,2
114000191555551,Filipe Santos,Filipe Santos,≤100,1
776580705775551,Alberto Mello - Beta,These ads ran without a disclaimer,≤100,1
821430017924241,Sungrow,These ads ran without a disclaimer,≤100,8
1441536586167920,Sandra Horta,These ads ran without a disclaimer,≤100,2
166454596776576,"U.S. Embassy Praia, Cabo Verde",These ads ran without a disclaimer,≤100,3
382087005493477,Oceano Azul Foundation,These ads ran without a disclaimer,≤100,1
670957626410435,"Ministério das Infraestruturas, do Ordenamento do Território e Habitação",These ads ran without a disclaimer,≤100,2
192188049515,Kriol Jazz Festival,These ads ran without a disclaimer,≤100,1
