Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
178362315106,European Parliament,European Parliament,166580,3947
107898832590939,European Commission,European Commission,80841,696
620027974738907,Γραφείο Τύπου και Πληροφοριών - Press and Information Office,PIO Cyprus,64512,232
117799504920552,ΑΚΕΛ - AKEL,ΑΚΕΛ - AKEL,57420,1108
64330641883,Δημοκρατικός Συναγερμός,Δημοκρατικός Συναγερμός,55128,348
256299421194660,Αβέρωφ Νεοφύτου - Averof Neofytou,Αβέρωφ Νεοφύτου,46306,124
698669730577000,Ygeiawatch,Ygeiawatch,38197,3725
197874087030899,Costas Mavrides - Κώστας Μαυρίδης,Costas Mavrides - Κώστας Μαυρίδης,34798,619
104730922313108,Ανδρέας Μαυρογιάννης - Andreas Mavroyiannis,Ανδρέας Μαυρογιάννης - Andreas Mavroyiannis,31683,252
117799504920552,ΑΚΕΛ - AKEL,ΑΚΕΛ,28740,1747
278117815576023,EU Justice and Consumers,Action Global Communications,25589,32
244607425634139,StockWatch Cyprus,Stockwatch,23837,2368
162863994461073,Center for Social Innovation - CSI,Center for Social Innovation - CSI,22275,272
832972046731724,Λευτέρης Χριστοφόρου - Lefteris Christoforou,Λευτέρης Χριστοφόρου - Lefteris Christoforou,21005,340
264344866762830,Λούκας Πολυκάρπου - Loukas Polykarpou,Λούκας Πολυκάρπου - Loukas Polykarpou,18402,176
101194455862998,Νίκος Χριστοδουλίδης - Nikos Christodoulides,Team Christodoulides2023,18291,201
104155561465348,Μάριος Ηλιάδης - Marios Eliades,Marios Eliades,18236,130
112732195470659,European Commission in Cyprus,European Commission in Cyprus,16082,110
1900800053503394,Ulusal Birlik Partisi,Ulusal Birlik Partisi,15926,43
998046016880140,Νικόλας Παπαδόπουλος,Δημοκρατικό Κόμμα,14626,151
489124984493054,ΕΔΕΚ Σοσιαλιστικό Κόμμα,EDEK,13424,319
293704380825571,Δημοκρατικό Κόμμα,Δημοκρατικό Κόμμα,13012,193
106262547828612,Φωτεινή Τσιρίδου - Fotini Tsiridou,Fotini Tsiridou,12853,211
102944721782406,Γραφείο Επιτρόπου Επικοινωνιών,National CSIRT-CY,12436,489
358841031473567,ΧΡΥΣΗΣ ΠΑΝΤΕΛΙΔΗΣ,Χρυσανθος Παντελιδης,11865,330
138070989548204,Νίκος Νικολαΐδης / Nicos Nicolaides,Νίκος Νικολαΐδης / Nicos Nicolaides,11378,180
135157239994922,Toplumcu Demokrasi Partisi,Toplumcu Demokrasi Partisi,10772,48
256299421194660,Αβέρωφ Νεοφύτου - Averof Neofytou,Δημοκρατικός Συναγερμός,10248,59
502944236549149,Ανδρέας Αποστόλου,Ανδρέας Αποστόλου,10207,309
1644214549164677,Halkın Partisi,Halkın Partisi,9951,366
165540967222933,Γιώργος Νικολέττος - George Nikolettos,Γιώργος Νικολέττος - George Nikolettos,9798,412
219061554833957,Yiannis Karousos - Γιάννης Καρούσος,Yiannis Karousos - Γιάννης Καρούσος,9094,134
406404342873724,Κίνημα Οικολόγων - Συνεργασία Πολιτών,Κίνημα Οικολόγων - Συνεργασία Πολιτών,8874,211
