Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
214827221987263,Andrej Babiš,ANO,10503496,1109
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,8653924,5330
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,6800556,3260
178362315106,European Parliament,European Parliament,6432909,3874
107898832590939,European Commission,European Commission,5178108,923
60516116431,Člověk v tísni,Člověk v tísni o.p.s.,4986494,288
111041662264882,Sociální demokracie,ČSSD,4718504,4402
102389958091735,Petr Pavel,Pro bezpečnou budoucnost z.s.,3913988,3953
251656685576,KDU-ČSL,KDU-ČSL,3810562,2099
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,3589961,2248
109323929038,Česká pirátská strana,Česká pirátská strana,3502131,1574
295889117124834,Tipsport,Tipsport,3455450,61
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,3453960,5404
223117541065037,Karel Janeček,Karel Janeček,3424292,471
102389958091735,Petr Pavel,Petr Pavel,3301809,705
104768355190287,Sázíme Česko,PlanetWe Rewild s.r.o.,2904805,481
107459941935424,Tomáš Březina,Tomáš Březina - prezident,2710524,86
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",2625715,367
102845669064210,Danuše Nerudová,Danuše Nerudová,2386639,508
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",2168853,2358
197010357446014,Ondřej Prokop,Ondrej Prokop,1898651,1597
470593056405865,Kde fondy EU pomáhají,Ministerstvo pro místní rozvoj,1702701,557
90002267161,TOP 09,TOP 09,1676979,863
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,1610947,270
120343698070515,Liberální institut,Liberální institut,1503183,215
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,1459954,1126
728495140691300,Milion chvilek pro demokracii,Milion chvilek pro demokracii,1440403,266
1469427909957890,Reportér magazín,Reportér magazín,1432423,930
394570898000897,Kniha Revoluce - Jakub Trpiš,Jakub Trpis,1422070,1829
944792105610443,PRAHA SOBĚ,PRAHA SOBĚ,1387190,409
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,1375623,955
39371299263,Zelení - Strana zelených,Zelení - Strana zelených,1317839,1509
314038193269,211 - Zdravotní pojišťovna ministerstva vnitra ČR,Zdravotní pojišťovna ministerstva vnitra ČR,1300648,105
114474108677288,Martin Kuba,Martin Kuba,1229081,374
106008800769282,KHNP,Isobar,1225180,120
424114981002397,Český rozhlas Plus,Český rozhlas,1193642,1609
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,1181666,1750
356451014434612,Marian Jurečka,KDU-ČSL,1170015,1090
711658465662315,XTV,XTV,1072328,1232
298789466930469,KSČM - Komunistická strana Čech a Moravy,"Futura, a.s.",1067680,264
