Page ID,Page name,Disclaimer,Amount spent (XCD),Number of ads in Library
287683225711,UN Environment Programme,UN Environment Programme,132,16
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,8
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100,25
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,74
97320092545,PAHO-WHO,These ads ran without a disclaimer,≤100,6
845620825830146,Deel,These ads ran without a disclaimer,≤100,7
112857077857582,Omo - Weight Loss With Psychology,These ads ran without a disclaimer,≤100,33
104496584846469,EMAGE DM,These ads ran without a disclaimer,≤100,2
174669235904729,Sagicor Cave Hill School of Business and Management - The UWI Cave Hill,These ads ran without a disclaimer,≤100,1
254579524726879,Dominica Electoral Office,These ads ran without a disclaimer,≤100,1
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,≤100,21
103768381387100,Partnership Initiative for Sustainable Land Management,These ads ran without a disclaimer,≤100,1
82928774489,Panda Security,These ads ran without a disclaimer,≤100,7
8057376739,The Nature Conservancy,These ads ran without a disclaimer,≤100,1
435761629822155,Commonwealth Foundation,These ads ran without a disclaimer,≤100,2
267410650127820,NRD Companies,These ads ran without a disclaimer,≤100,3
105947114116292,Photo-Synthesis Designs,These ads ran without a disclaimer,≤100,2
1637307879891739,CARICOM.Energy,These ads ran without a disclaimer,≤100,1
106532464278807,Caribbean Tree Planting Project,These ads ran without a disclaimer,≤100,2
167327710092323,Mollaei Law,These ads ran without a disclaimer,≤100,1
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,15
104015742220554,Mimic,These ads ran without a disclaimer,≤100,5
103496105344354,Corporate Sustainability Review,These ads ran without a disclaimer,≤100,4
1639540319607560,Premium Home and Residential Care Services,These ads ran without a disclaimer,≤100,1
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,2
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,42
274138756817,Architonic,These ads ran without a disclaimer,≤100,2
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,6
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,22
64588666340,Haaretz.com,These ads ran without a disclaimer,≤100,6
110140177559134,Argos Antilles,These ads ran without a disclaimer,≤100,1
115591005188475,Global Times,These ads ran without a disclaimer,≤100,4
101453801610760,Share-On Project,These ads ran without a disclaimer,≤100,1
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100,11
68793499001,UNICEF,These ads ran without a disclaimer,≤100,4
119405895873,Huawei,These ads ran without a disclaimer,≤100,10
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100,10
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,38
1238173096287495,Azur Games,These ads ran without a disclaimer,≤100,4
7783116506,Animals Asia,These ads ran without a disclaimer,≤100,15
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,≤100,24
104777807945566,ashh.lash,These ads ran without a disclaimer,≤100,1
