Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
293384094915450,جريدة الحراك الإخباري,جريدة الحراك الإخباري,9393,833
100521781491273,منتدى الأوراس للتضامن و التنمية,منتدى الأوراس للتضامن و التنمية,2736,76
338109312883186,China Xinhua News,These ads ran without a disclaimer,2633,237
985246578276059,هشام صفر Hichem Sifer,هشام صفر Hichem Sifer,2080,116
102498564631055,Asharq News الشرق للأخبار,These ads ran without a disclaimer,1867,61
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,1351,7
116066208106047,عالم مثير للاهتمام,These ads ran without a disclaimer,1169,1
101215086977615,التجمع الوطني الديمقراطي-RND,التجمع الوطني الديمقراطي-RND,1096,115
274017972795375,Algerie 24,aljazair24,973,308
821430017924241,Sungrow,These ads ran without a disclaimer,972,8
995765983772115,Dzair Tube,Dzair Tube,955,332
104140320927199,قناة الإنتصار TV,قناة الإنتصار TV,848,583
110122358477613,TRT Afrika Français,These ads ran without a disclaimer,812,5
102992285280678,الصفحة الرسمية للسيد النائب نوري سفيان,الصفحة الرسمية للسيد النائب نوري سفيان,751,95
100391625044770,Exella,These ads ran without a disclaimer,749,24
101827156003201,𝐃𝐚𝐥𝐲 𝐀𝐛𝐝𝐄𝐥𝐍𝐚𝐛𝐲 وزير الشغل,These ads ran without a disclaimer,686,34
106337062006928,Gallery Asharq غاليري الشرق,These ads ran without a disclaimer,671,1
725946641169344,عبد العالي حساني شريف Abdelaali Hassani Cherif,Abdelaali Hassani Cherif,594,83
298861020736,فرانس 24 / FRANCE 24 Arabic,These ads ran without a disclaimer,533,40
103057146116195,التنسيقية الوطنية للإعفاء من الخدمة الوطنية صف 1991 1996,التنسيقية الوطنية للإعفاء من الخدمة الوطنية صف 1991 1996,408,68
691246177723161,CGTN Arabic,These ads ran without a disclaimer,403,5
111881955207831,Algerie patriot,Algerie patriot,385,66
310320275489962,Diasporas africaines en France,These ads ran without a disclaimer,377,7
146822482008281,DW عربية,These ads ran without a disclaimer,370,10
104138944766258,شركة مولاي ابراهيم للأشغال الكبرى,شركة مولاي ابراهيم للأشغال الكبرى,365,11
1452180311739590,Algeria Scoop - الجزائر سكوب,Algeria Scoop - الجزائر سكوب,355,102
109018461922698,Pharmacie Ghodbane,Pharmacie Ghodbane,352,27
210879348765806,Dubai Best Real Estate,These ads ran without a disclaimer,352,1
698038864352935,الصفحة الرسمية للسيد براهمية عبد الرفيق - نائب بالمجلس الشعبي الوطني,الصفحة الرسمية للسيد براهمية عبد الرفيق - نائب بالمجلس الشعبي الوطني,335,42
119405895873,Huawei,These ads ran without a disclaimer,330,18
