Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
115012276965624,Daniel Noboa  Azin,Daniel Noboa Azin,837974,1074
401049006603015,Guillermo Lasso,Guillermo Lasso,600260,3712
1505940076395094,Alvaro Noboa,Alvaro Noboa,588294,141
129803967052432,Consejo Nacional Electoral del Ecuador,Consejo Nacional Electoral del Ecuador,554737,949
101275684769428,Luisa González,Luisa González,400616,491
119491121146647,Jan Topic,Jan Topic,361649,810
384252628801937,Otto Sonnenholzner,Otto Sonnenholzner,243458,367
100160415118003,Andrés Arauz,Andres David Arauz Galarza,215048,1062
100848672800182,Consulta Ciudadana Ec,Consulta Ciudadana Ec,193704,785
116150671445913,NOBOA,ADN ECUADOR,193578,319
119491121146647,Jan Topic,Jan Topic Feraud,193250,567
339660569555689,Presidencia de Ecuador,Presidencia de Ecuador,177287,595
400709789941558,Secretaría General de Comunicación Ecuador,Secretaría General de Comunicación Ecuador,143190,71
1768594013369414,Amigos de Yaku Perez,Jorge Mauricio Hernandez Espinosa,104959,107
414870045193995,Ministerio de Salud Pública,Ministerio de Salud Pública,80109,150
115104083668107,Xavier Hervas,Marcelo Xavier Hervas Mora,70871,161
111838045306517,Empléate,ADN ECUADOR,69745,70
2221570604786246,Primicias,Primicias,59266,3798
119344944592890,Capacítate,ADN ECUADOR,58993,69
150237258650302,Cynthia Viteri,Cynthia Viteri,53421,668
117240634805027,NOBOA POWER,ADN ECUAODOR,43962,39
476397709077724,Johnny Terán Salcedo,Johnny Terán Salcedo,41431,548
103187236013238,Volvamos a ser Patria,Volvamos a ser patria,41237,98
101982775073761,Político EC,Político Ec,40867,503
202378653849689,Darío Macas,Roberto Francisco Armijos Hernandez,39908,371
2069422096530873,Yaku Perez Guartambel,Yaku Perez Guartambel,39287,112
128667927160432,Juan Fernando Velasco,Movimiento Político Construye,39027,128
339660569555689,Presidencia de Ecuador,Paradais S.A,38947,103
111017675004028,Aquiles Alvarez Henriques,Aquiles Alvarez,37545,291
100160415118003,Andrés Arauz,Andrés Arauz,34014,95
1732227687093957,Héctor Vanegas,Hector Vanegas,32185,214
103772555978772,Date Cuenta,Date Cuenta,28973,156
362092773833857,Secretaría Técnica Ecuador Crece Sin Desnutrición Infantil,SECRETARIA TECNICA DE ECUADOR,28583,255
108657847619569,Goberna Ecuador,Goberna Ecuador,28406,1216
102656571669491,Ecuador Ya,Ecuador Ya,27989,359
107503044724363,Central Digital Centro Democrático,Centro Democrático,27220,78
601440219879486,YASunidos,La Incre S.A.,26801,155
100482812774198,Yadira Bayas,Belen Elizabeth Ruiz Caicedo,26536,152
171207200247815,Roberto Cornejo,Julio Roberto Cornejo Balseca,26391,380
102678364942979,Mauricio Salem,Mauricio Salem A.,26118,187
1375812332671028,EUDE Business School Escuela Europea de Dirección y Empresa,These ads ran without a disclaimer,25773,3
262372043911514,Eduardo del Pozo,Eduardo del Pozo,25637,278
102625338253627,Andrés Arauz - Comunidad,Andrés Arauz - Comunidad,25436,400
101179141263621,Andrés Guschmer,Andrés Guschmer,24763,97
81089852182,U.S. Embassy Ecuador,Embassies: U.S. Embassy Ecuador,22692,306
2174951136066727,Amigos De John Vinueza,John Henry Vinueza Salinas,22639,475
548328635260699,Leonardo Berrezueta,Leonardo Berrezueta,22580,157
103818308149915,Wilma Andrade,Wilma Andrade,22013,130
714677181953662,Cristian Zamora - Alcalde de Cuenca 2023,Cristian Zamora,21605,151
394611797229821,Ministerio Agricultura y Ganadería  Ecuador,Ministerio de Agricultura y Ganadería,20791,368
107069728602516,RC5 Sto Dgo,Maria Luisa Veliz Cevallos,20736,109
1459073787658502,Alcaldía de Manta,Municipio de Manta,20461,318
103668725240925,Francesco Tabacchi,Francesco Tabacchi,20300,140
195767707221078,Vamos Guillermo,Vamos Guillermo,19312,56
264785339919,Prefectura del Guayas,Paradais S.A,18623,274
102803428299965,Geovanni Atarihuana,Geovanni Atarihuana,18110,120
108976121977594,Cómo Será La Patria,Como Será la Patria,17991,16
533567936695016,Agustín Intriago Quijano,Agustín Intriago Quijano,17878,61
446408815884661,Leonardo Orlando,Leonardo Orlando Arteaga,17648,135
78687307816,UNICEF Ecuador,UNICEF Ecuador,17433,264
195767707221078,Vamos Guillermo,Daniel Navarrete,16767,100
358358521018882,Fernando Villavicencio,Fernando Villavicencio,16704,188
145977139454245,Pedro Palacios Ullauri,Pedro Palacios Ullauri,16505,347
392753994157584,Johana Núñez,Johana Yadira Nuñez Garcia,16100,97
857378244370245,BanEcuador,BanEcuador,16022,456
127448613791465,Nuevo Ecuador,These ads ran without a disclaimer,15713,56
2525281904166788,LUZ ELENA Coloma,LUZ ELENA Coloma,15294,38
1362854600519691,Autoridad Aeroportuaria GYE,Autoridad Aeroportuaria de Guayaquil,15079,563
2099292320327702,Isidro Romero Carbo,Isidro Perfecto Romero Carbo,15006,120
201061026758110,Dallyana Passailaigue,Dallyana Passailaigue,14642,288
100482812774198,Yadira Bayas,Yadira Bayas,14390,55
102148605840262,Nicolás Lapentti Carrión,Nicolás Lapentti Carrión,14293,202
105084748054409,Carlos Rodríguez,Carlos Alberto Rodriguez Riofrio,14078,64
697016217041901,Esteban Torres Cobo,Esteban Torres Cobo,13981,550
107402114393401,Renovación 61,Alejandro Gabriel Garrido Caballero,13786,299
114101543772738,Alfredo Borrero,Alfredo Borrero,13713,21
231573190197678,CREO,Movimiento Político CREO,13399,59
117729971220011,De A Pie,De A Pie,13265,179
476397709077724,Johnny Terán Salcedo,PARADAIS DDB,13119,98
105249784585621,Steven Ordóñez,Steven Ordóñez,12997,502
347121465384120,Pedro Pablo,Pedro Pablo Duart,12975,51
2061068044150464,Wilson Erazo,Wilson Erazo,12889,81
101011742000623,Siglo Ecuatoriano,Siglo Ecuatoriano,12735,39
1100812273380740,Alex Diaz Guaman,Alex Humberto Diaz Guaman,12430,146
