Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
671308106236480,Eesti Konservatiivne Rahvaerakond,Eesti Konservatiivne Rahvaerakond,176524,214
107898832590939,European Commission,European Commission,77791,788
321163977576,Isamaa erakond,Isamaa erakond,74450,422
178362315106,European Parliament,European Parliament,64879,3802
123310201026539,Sotsiaaldemokraatlik Erakond,Sotsiaaldemokraatlik Erakond,59897,613
377562219398154,Eesti 200,Erakond Eesti 200,50659,561
161252453921396,Keskerakond,Keskerakond,42416,1079
102556191461116,Parempoolsed,Erakond Parempoolsed,33660,276
80124492882,Reformierakond,Reformierakond,31876,412
165505543854570,Edasi.org,Edasi.org,29917,963
143433035688531,Rus.Postimees,AS Postimees Grupp,24976,2797
536519246456733,Jaak Madison,Madison Jaak,23200,112
80124492882,Reformierakond,Eesti Reformierakond,22276,194
161176093911640,Tallinna sotsiaaldemokraadid,Sotsiaaldemokraatlik Erakond,20902,690
233123435884,Eestimaa Looduse Fond,Eestimaa Looduse Fond,20396,311
105855061351311,Isamaalised,Isamaalised MTÜ,19696,66
597669946998762,Reformierakond Tallinnas,Reformierakond,18998,378
597669946998762,Reformierakond Tallinnas,Eesti Reformierakond,18950,213
100228868142929,Võrdõigusvolinik,Võrdsete võimaluste volinik,17569,52
536519246456733,Jaak Madison,Jaak Madison,17525,45
536519246456733,Jaak Madison,Identity and Democracy Group,16594,29
407479074907,RMK,RMK,15673,917
405367699805160,Nähtamatud Loomad,Nähtamatud Loomad,15270,182
971885476227076,Tallinna linn,Tallinna linn,14821,195
646902458783744,Isamaa Tallinn,Isamaa Erakond,13628,80
377562219398154,Eesti 200,ERAKOND EESTI 200,13444,54
651496914998204,Marina Kaljurand,Marina Kaljurand,13222,154
2217643278496367,Riho Terras,Isamaa Erakond,13123,73
468873137208405,Fermi Energia,Fermi Energia,12940,632
1451467634864322,Tartu ja Tartumaa sotsiaaldemokraadid,Tartu sotsiaaldemokraadid,12300,185
115634898452178,Postimees,AS Postimees Grupp,12219,1135
115634898452178,Postimees,Postimees Grupp,11648,791
102161268031662,Levila,Levila,11489,66
115982931763745,Elu24,AS Postimees Grupp,11381,738
149700202809,SEB Eesti,SEB Eesti,11299,81
1084372461606422,Raimond Kaljulaid,Raimond Kaljulaid,10785,131
503635753156660,Urmas Reinsalu,Isamaa,10749,18
108383858252853,Hendrik Johannes Terras,Hendrik Johannes Terras,10532,34
1535510530084119,Раймонд Кальюлайд,Raimond Kaljulaid,10154,119
158493618156,Euroopa Parlament Eestis,Euroopa Parlamendi Büroo Eestis,9635,61
102901941972779,Isamaaline Elva vald,Isamaa Erakond,9525,106
162244807165070,RMK по-русски,RMK,9517,745
627440857674196,Kristina Šmigun-Vähi,Kristina Šmigun-Vähi,9328,28
114004685304193,Raamatupidaja.ee,Raamatupidaja.ee,9125,422
106889421000517,Eesti 200 Tartu,Erakond Eesti 200,9034,162
419827918155173,Jüri Ratas,Isamaa,8994,59
223092011815453,Urmas Paet,Paet Urmas,8492,84
170821139207,Tartu linn,Tartu linn,8457,85
109605679062900,Eestimaa Rohelised,Eestimaa Rohelised,8399,346
625329771243439,Andrei Korobeinik,Eesti Keskerakond,8322,610
126693994065708,Mihhail Kõlvart,Mihhail Kõlvart,8311,79
503635753156660,Urmas Reinsalu,Isamaa erakond,8125,36
1380694195285538,Центристская партия / Tsentristskaja partija,Eesti Keskerakond,7348,349
419827918155173,Jüri Ratas,Eesti Keskerakond,7135,306
108132487505042,Medifum,Erik Rattasepp,7029,7
118285467930860,Vabadused.ee,Vabadused.ee,6822,119
115872361773420,SOS Lasteküla Eestis,SOS Lasteküla Eestis,6779,39
2000420443552574,IKEA,IKEA,6777,18
108255437477996,Maardu Hääl,Nikolai Degtjarenko,6776,194
107782984790166,Lääne-Virumaa Uudised,AS Äripäev,6774,268
1473173919576991,Tööstusuudised.ee,AS Äripäev,6742,275
207815253105660,Reformierakond Harjumaal,Eesti Reformierakond,6720,52
339367456669277,Igor Gräzin,Igor Gräzin,6517,52
123910440019,Renew Europe,Renew Europe Group,6351,9
1109453782417810,Tartu Eest valimisliit,Tanel Tein,6309,110
668283139863407,Kambja Hoiu-laenuühistu,Kambja HLÜ,6164,23
112544832109986,Teeviit,Teeviit,5978,58
191048954816233,Utilitas,Utilitas,5949,175
170696907618,Telia Eesti,Telia Eesti,5878,87
466885806670211,Reformierakond Tartus,Reformierakond,5736,145
291699857688,EPP Group in the European Parliament,EPP Group in the European Parliament,5700,6
2217643278496367,Riho Terras,Riho Terras,5632,237
761617300679193,Новости Таллинна,Tallinna linn,5491,110
204385319601031,Logistikauudised,AS Äripäev,5474,279
117593944980769,Jevgeni Ossinovski,Jevgeni Ossinovski,5445,152
440576492694989,Meditsiiniuudised,AS Äripäev,5367,303
293479953999016,Terviseamet,Terviseamet,5240,29
877169915631595,Ajaleht Pealinn,Tallinna Linnakantselei,5215,341
102764095497528,Hanah Lahe,Eesti Reformierakond,5212,59
1669480636672455,Cleantech Estonia,Cleantech ForEst MTÜ,5065,62
1478522815530132,Sven Sester,Isamaa - Sven Sester,5026,51
131942593914,Euroopa Komisjoni esindus Eestis,Euroopa Komisjoni esindus Eestis,4749,130
100341152442171,Sõnaväega perevägivalla vastu,MTÜ Eluliin,4682,14
2367048563336709,YanaToom.ee,Toom Yana,4617,155
483401811674537,Pärna Kliinik,PÄRNA KLIINIK/NORDESTMEDICAL CENTER,4583,16
122074554119,EU Social,EU Social,4404,38
231298983701361,pollumajandus.ee,Äripäev AS,4362,214
1037193359795251,Jaak Valge,Jaak Valge,4282,78
2347656258843926,Jaak Laineste Eesti 200,Eesti 200,4233,29
172201122878662,Деловые Ведомости / Delovõje Vedomosti,Деловые Ведомости,4128,207
466885806670211,Reformierakond Tartus,Eesti Reformierakond,4126,69
153831901296665,Tehnopol,Tehnopol,4061,51
471684969530551,Eesti Pank,Eesti Pank,4029,143
146947168749935,Riigi Infosüsteemi Amet,Riigi Infosüsteemi Amet,3970,45
2031543620467797,Pärnumaa,Pärnumaa Arenduskeskus,3956,118
114004685304193,Raamatupidaja.ee,Äripäev AS,3947,134
1959753937483931,"Jah vabadusele, ei valedele",SALK,3943,115
102556191461116,Parempoolsed,MTÜ Parempoolsed,3902,52
448720502583320,Tallinna Keskkonna- ja Kommunaalamet,Tallinna Keskkonna- ja Kommunaalamet,3897,29
512805845411415,ITuudised,AS Äripäev,3821,204
1626356987611766,Ehitusuudised,AS Äripäev,3805,216
315035675020026,Prügikastihirm,Nicorex Baltic OÜ,3750,1
223092011815453,Urmas Paet,Renew Europe Group,3732,79
192384015137,Põhjamaade Ministrite Nõukogu esindus Eestis,The Nordic Council of Ministers´ Office in Estonia,3716,96
237466786344157,European Movement,European Movement Interational with Facebook Ad Credits,3650,5
609033342446932,kinnisvarauudised.ee,AS Äripäev,3649,207
102853298269797,Palgauudised.ee,Palgauudised.ee,3636,216
1657697814510749,Propastop,Propastop,3588,14
109504878012353,Ядерная энергетика Эстонии,Fermi Energia,3585,179
399470273720579,Finantsuudised,Finantsuudised.ee,3551,200
225617150834794,Tallinna Kesklinna Valitsus,Tallinna Kesklinna Valitsus,3501,73
198094470059742,Rohkem Sünde,Rohkem Sünde,3453,59
483401811674537,Pärna Kliinik,These ads ran without a disclaimer,3421,10
109201207323769,Päästame Eesti Metsad MTÜ,Päästame Eesti Metsad MTÜ,3384,38
841088739305026,Uued Uudised,Eesti Konservatiivne Rahvaerakond,3363,16
106297677502536,Julianna Jurtšenko,Julianna Jurtšenko,3346,558
434315750061904,Isamaaline Tartu,Isamaa,3316,19
161252453921396,Keskerakond,Eesti Keskerakond,3307,482
58175601405,Äripäev,Äripäev,3305,146
2367048563336709,YanaToom.ee,YanaToom.ee,3235,97
443351665830219,Timber.ee,These ads ran without a disclaimer,3211,8
848451318826273,Tanel Kiik,Tanel Kiik,3175,55
256434472932,Õhtuleht,Õhtuleht,3117,20
286173658457567,Reformierakond Viimsis,Reformierakond,3071,36
217485440760,Rimi Eesti,Rimi Eesti,3070,50
237466786344157,European Movement,European Movement International,3005,29
111087996256665,Keit Pentus-Rosimannus,Reformierakond,2999,3
130856533593837,Lasteabi,Sotsiaalkindlustusamet,2999,17
593272994436767,Lauri Läänemets,Lauri Läänemets,2998,119
197121006967212,Diplomaatia,Diplomaatia magazine,2995,89
159481287409444,Reformierakond Pärnumaal,Reformierakond,2983,75
1503540286558083,ETKA Andras,Eesti Täiskasvanute Koolitajate Assotsiatsioon,2975,17
1532805486974348,"Anti Poolamets, EKRE saadik Riigikogus",Anti Poolamets,2934,145
383403508369488,Социал-демократическая партия,Sotsiaaldemokraatlik Erakond,2895,75
1480519428917106,Priit Sibul,Isamaa Erakond,2893,29
1013788635440761,Eesti Päästeala Töötajate Ametiühing,ROTAL,2846,36
326940990843491,Erki Savisaar,Eesti Keskerakond,2842,128
163327034532726,Tallinna Linnavolikogu,Tallinna Linnavolikogu,2813,136
103764607908619,Sergei Redki Сергей Редкий,Sergei Redki,2786,42
255393710998639,Luukas Kristjan Ilves,Eesti Reformierakond,2783,31
646902458783744,Isamaa Tallinn,Isamaa erakond,2779,11
167212145427,DHL Express Estonia,DHL Express Estonia AS,2770,95
105205335426468,Paul Puustusmaa,Paul Puustusmaa,2714,29
131951373501569,Ametiühingud,Eesti Ametiühingute Keskliit,2678,23
625329771243439,Andrei Korobeinik,Andrei Korobeinik,2664,174
147547541961576,Council of the European Union,Council of the European Union,2652,1112
113166451788104,VIRTUA Legal Advokaadibüroo,VIRTUA Legal Advokaadibüroo OÜ,2625,42
2217643278496367,Riho Terras,Riho Terras,2597,19
161682843916104,Isamaa Harjumaa,Isamaa Harjumaa,2525,19
104643081368364,City of Tallinn,Tallinn City,2521,43
158493618156,Euroopa Parlament Eestis,Euroopa Parlament Eestis,2500,11
1033457073332454,Taavi Rõivas,Eesti Reformierakond,2498,13
110302371945546,Palle Kõlar,Palle Kõlar,2455,52
109201207323769,Päästame Eesti Metsad MTÜ,Liina Steinberg,2435,78
330368320498335,Reformierakond Tartumaal,Eesti Reformierakond,2419,23
110272961389791,Vaade,Vaade MTÜ,2402,114
350491992434154,Представительство Европейской комиссии в Эстонии,Euroopa Komisjoni esindus Eestis,2380,89
28312410177,World Food Programme,These ads ran without a disclaimer,2376,219
102556191461116,Parempoolsed,Isamaa Erakonna liikmeühendus Parempoolsed,2374,137
262611097699728,Kristen Michal Eesti,Eesti Reformierakond,2327,26
503504990111763,Joosep Vimm,Joosep Vimm,2320,64
480209788740942,Reformierakond Võrumaal,Eesti Reformierakond,2319,25
204245693255250,Personaliuudised.ee,Personaliuudised.ee,2300,139
333760103715594,Keila linna Reformierakond,Eesti Reformierakond,2281,72
137318852972928,Haridus- ja Teadusministeerium,Haridus- ja Teadusministeerium,2272,23
440576492694989,Meditsiiniuudised,Äripäev AS,2261,99
274160485776640,Ahti Kallikorm,Isamaa erakond,2256,39
114109754271385,Uued Uudised - Новые Новости,Eesti Konservatiivne Rahvaerakond,2250,4
321163977576,Isamaa erakond,These ads ran without a disclaimer,2163,10
1963314627070348,Better Life Blogs,These ads ran without a disclaimer,2163,5
101407452585205,Eesti Euroopa Liikumine,Eesti Euroopa Liikumine,2155,16
107536521911422,1planet4all,NGO Mondo,2153,15
443351665830219,Timber.ee,Timber.ee,2152,19
220721947944269,Eesti Pagulasabi / Estonian Refugee Council,MTÜ Eesti Pagulasabi,2149,1
100559619297935,Impact Day,Merili Ginter,2140,10
470280006366562,Järvamaa Reformierakond,Eesti Reformierakond,2133,15
1010649029140283,Siret Kotka,Eesti Keskerakond,2112,153
723422231013378,Tõnis Palts,Tõnis Palts,2098,6
123790898200087,Eesti Metsa Abiks,Eesti Metsa Abiks MTÜ,2085,92
138909289513575,Super,Super,2085,45
104416784453155,FoundME,FoundME,2078,126
858852260806886,Reformierakond Ida-Virumaal,Eesti Reformierakond,2058,20
141366725876424,European Greens,European Greens,2057,63
104448868717451,Elar Niglas,Elar Niglas,2028,6
419827918155173,Jüri Ratas,Isamaa Erakond,2007,33
114305422457130,Tõnis Mölder,Eesti Keskerakond,2001,199
