Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
57845333112,Save the Children España,Save the Children España,2387738,3528
78151799929,Amnistía Internacional España,Amnistía Internacional España,2022622,7817
133044800622,Greenpeace España,Greenpeace España,1917455,5234
178362315106,European Parliament,European Parliament,1606942,4029
20108693880,Oxfam Intermón,Oxfam Intermón,998747,4714
322056604527477,Ecoembes,Ecoembes,942705,1589
107898832590939,European Commission,European Commission,929386,555
72249031214,Partido Popular,Partido Popular,902492,12584
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,845257,1976
366619768708,Plan International España,Plan International España,794803,5640
403285996037,Fundación Josep Carreras contra la leucemia,Fundación Josep Carreras contra la leucemia,778829,379
94118672764,ACNUR Comite español,ACNUR Comite español,752606,2800
269212336568846,Podemos,UNIDAS PODEMOS,635953,1792
74078667754,Ciudadanos,Ciudadanos,559497,18494
189318235003,PSOE,PSOE,554261,1973
269212336568846,Podemos,Unidas Podemos,535904,355
169915749735403,CEAR,CEAR,470774,799
57973661707,WWF España,WWF España,382007,2482
256196396278,UNICEF España,UNICEF ESPAÑA,370567,2958
306840072990831,Socios Cruz Roja,Socios Cruz Roja,347628,382
592188124467085,Oatly,Oatly,334256,96
276999106249,Asociación Española Contra el Cáncer,Asociación Española Contra el Cáncer,279332,1647
815597255122198,Osoigo,Osoigo,262866,8842
57973661707,WWF España,WWF España,258998,5450
189917381044866,Ben & Jerry's,Ben & Jerry's,229813,187
251020021637315,Iberdrola,Iberdrola,228404,592
245741112112300,Ayuda En Acción,Ayuda En Acción,219513,2279
106626487721376,Amazon Europe,Amazon Europe,217214,48
150234575797,Esquerra Republicana de Catalunya,Esquerra Republicana de Catalunya,213162,847
116189118344,Fundación Igualdad Animal,Fundación Igualdad Animal,203074,651
110744281664042,Sumar,Sumar,201935,1137
321358425084002,Ofertas Energía,Accom Bpac,198473,3346
161916260510295,Òmnium Cultural,Òmnium Cultural,185126,1418
269212336568846,Podemos,Unidas Podemos Comunidad de Madrid,178098,98
131231529742,Fundación Anesvad,Fundación Anesvad,177401,1466
112538350301638,Ministerio de Igualdad,Ministerio de Igualdad,169195,165
11473659787,Educo,Educo,166995,1591
85475456459,Vodafone España,These ads ran without a disclaimer,153302,8
113760931412,Acción contra el Hambre España,Acción contra el Hambre España,148375,1044
85475456459,Vodafone España,Vodafone España,148027,6
104690619568713,"Yo reciclo vidrio, ¿y tú?",Ecovidrio,133695,643
139153867956,Fundació Pasqual Maragall,Fundació Pasqual Maragall,132373,375
103355385129734,The Climate Pledge,The Climate Pledge,131757,76
131231529742,Fundación Anesvad,Jose Manuel Bran Garcia,126052,557
176592142419661,Holaluz,These ads ran without a disclaimer,123993,112
256196396278,UNICEF España,UNICEF Comité Español,123927,394
216211528733118,TAPP Water,These ads ran without a disclaimer,119373,1166
176592142419661,Holaluz,HolaLuz.com,116673,363
175357075823543,CRIS contra el Cancer,CRIS contra el Cancer,115088,1734
1090745367686140,SotySolar,Sotysolar,113866,1014
213086312044776,Aldeas Infantiles SOS de España,Aldeas Infantiles SOS de España,113724,558
180584750097,Càritas Barcelona,Càritas Barcelona,112294,223
147468905314265,Partido Por un Mundo más Justo · M+J,Partido Por un Mundo más Justo · M+J,111882,445
189318235003,PSOE,These ads ran without a disclaimer,111067,18
436925766384635,Fundació Cipriano García CCOO,Fundació Cipriano García CCOO,110356,529
188280011246288,Junta de Andalucía,Junta de Andalucía,108781,207
95878687102,Fundación Vicente Ferrer,Fundación Vicente Ferrer,108730,1095
111892984250,Fundación World Vision España,Fundación World Vision International,106701,3509
122074554119,EU Social,EU Social,104936,35
131917366935150,Zurich,ZURICH INSURANCE PLC,103613,134
179666655404875,Comisión Europea en España,Comisión Europea en España,101188,164
6258728420,BBVA,BBVA,100537,224
171998672850722,REPSOL,REPSOL,93535,252
463627663844039,Comuns,En Comú Podem,93221,1539
256196396278,UNICEF España,UNICEF España,89643,469
101812872336696,Alivia,Fundación Alivia España,88195,578
174696652583261,Fundación Aladina,Fundación Aladina,85765,1669
105664031745,UNRWA.es,UNRWA España,84083,3907
104786137989644,Culmia,Accom Bpac,83724,1536
146043418739497,Diari ARA,Diari ARA,83080,4429
101964869182329,Ucrania Urgente,GroupM,82000,5
386166375144833,Junts per Catalunya,Junts per Catalunya,81920,242
586540488142205,Ingredientes que Suman,Oxfam Intermón,81558,380
104643967668221,endesa,Endesa,80628,247
213086312044776,Aldeas Infantiles SOS de España,These ads ran without a disclaimer,79692,175
57973661707,WWF España,WWF España con créditos publicitarios de Facebook,79244,36
87930687376,PSC Partit dels  Socialistes de Catalunya,PSC Partit dels  Socialistes de Catalunya,78160,300
100832799465790,Juan Lobato - PSOE Madrid,PSOE Madrid,76042,120
112678828757800,Naturgy,Naturgy,75951,34
699285113542248,Irene Montero,Unidas Podemos,75770,13
26830001203,EAJ-PNV,EAJ-PNV,74026,350
78151799929,Amnistía Internacional España,These ads ran without a disclaimer,73381,123
84218550998,DKV Seguros,DKV Seguros,72937,159
194053080624605,Compromís,Compromís,72624,506
116136108464509,CaixaBank,CaixaBank,72004,883
1574453029513984,Garden Gourmet España,Garden Gourmet España,68036,54
269212336568846,Podemos,Podemos,67222,201
253704267836259,Las europeas,Full Beam Media,66558,86
193607127334060,Corona,These ads ran without a disclaimer,66458,4
551116835028480,YMCA España,YMCA,66017,36
8340223883,Avaaz,Avaaz,65028,78
117887575012127,Leche Pascual,Leche Pascual,63695,196
900103523367621,Iberdrola Clientes,These ads ran without a disclaimer,62908,62
141366725876424,European Greens,European Greens,62905,277
247118052078814,Barcelona en Comú,Barcelona en Comú,61821,1889
123334381011771,Agència de Residus de Catalunya,Generalitat de Catalunya,61357,181
281293385242779,Renault,RENAULT ESPAÑA COMERCIAL S.A.,61312,30
136302299749630,Joan Ribó,Compromís,60942,292
171516302294,Meta,Facebook,58118,4
366619768708,Plan International España,These ads ran without a disclaimer,58082,448
107586119439370,CEPSA Corporate,Cepsa,57699,303
374070875952519,Esquerra Barcelona,Esquerra Barcelona,57570,346
122374334455290,Peugeot,These ads ran without a disclaimer,57090,1
1454030934635120,SolarProfit,Solar Profit Energy Services,56214,3922
164302750336862,Wish,These ads ran without a disclaimer,56213,1
577723459314066,Un país moderno,Unidas Podemos,55047,60
821902454827883,Wave Of Change,Wave of Change,54770,43
70020937349,SEO/BirdLife,SEO/BirdLife,54626,1040
45817335745,Entreculturas,Entreculturas,54573,820
414809308591481,Pablo Iglesias,Unidas Podemos,53270,8
189917381044866,Ben & Jerry's,Unilever España,53111,61
110177082404435,Spanish Revolution,Spanish Revolution,51503,55
127681140618185,Barcelona.cat,Barcelona.cat,51371,116
269212336568846,Podemos,UNIDAS PODEMOS CAMBIAR EUROPA,51250,17
155179244788,Partit Demòcrata Europeu Català,Partit Demòcrata Europeu Català,50416,198
132591756789822,Eroski,Eroski,50144,48
244777995534742,Ayuda a la Iglesia Necesitada - ACN España,Ayuda a la Iglesia Necesitada,49781,1516
98154789637,PSOE Madrid,PSOE Madrid,48738,133
119316301478161,Institute for Research in Biomedicine (IRB Barcelona),IRB Barcelona,48513,119
699285113542248,Irene Montero,Podemos,47619,45
261762710669900,Podemos Comunidad de Madrid,Unidas Podemos Izquierda Unida Madrid en Pie,46816,37
699285113542248,Irene Montero,UNIDAS PODEMOS,46046,41
1549407258706617,"Fundación ""la Caixa""","""la Caixa""",44985,67
115481008480109,LG Global,Good Rebels,44834,83
87930687376,PSC Partit dels  Socialistes de Catalunya,Partit dels Socialistes de Catalunya,44213,242
553983948100016,Músicos por la Salud,Fundación Social District (Músicos por la Salud),44204,508
205610086124991,Emakunde,Emakunde-Instituto Vasco de la Mujer,43979,672
1549407258706617,"Fundación ""la Caixa""","Fundación ""la Caixa""",43358,51
161916260510295,Òmnium Cultural,These ads ran without a disclaimer,43332,484
128341470548824,BNG - Bloque Nacionalista Galego,Bloque Nacionalista Galego,43250,931
230970583628309,Socialistas Españoles en el Parlamento Europeo,Grupo de la Alianza Progresista de Socialistas y Demócratas en el Parlamento Europeo,42941,20
438805149591701,Aldi Supermercados,ALDI Central de Compras,41955,33
72181181684,PACMA - Partido Animalista,PACMA - Partido Animalista,41788,142
522336804500176,Ciudadanos Andalucía,Ciudadanos,41534,308
147547541961576,Council of the European Union,Council of the European Union,41181,1298
136770809780337,Associació Catalana de Municipis | ACM,Associació Catalana de Municipis,40477,257
569862406489444,Isabel Díaz Ayuso,Partido Popular,40391,597
100160149099313,Justice Initiative,Justice Initiative,39720,19
209596949081406,Fundación ANAR,Fundación ANAR,39642,497
159665490863316,Cepsa,"COMPAÑÍA ESPAÑOLA DE PETRÓLEOS, S.A. (CEPSA)",39372,141
186925684816583,Asociación Amicos,Asociación Amicos,38367,85
1838777613037287,"Berdintasun, Justizia eta Gizarte Politiketako Saila",Eusko Jaurlaritza - Gobierno Vasco,38360,153
269212336568846,Podemos,PODEMOS,38039,372
439957149400799,PSC Barcelona,Partit dels Socialistes de Catalunya,37390,104
467127060059387,VOX España,Vox,37231,152
148269501881188,Plataforma per la Llengua,Plataforma per la Llengua,37108,262
1421243471458150,Insolac Renovables,Marta Jimenez Gonzalez,36651,65
189318235003,PSOE,Partido Socialista Obrero Español,36333,34
45817335745,Entreculturas,These ads ran without a disclaimer,36094,397
121018564626651,Metrovalencia,Ferrocarrils de la Generalitat Valenciana,35878,39
573508279661673,Dani Pérez,PSOE Málaga,35795,63
107410638071,PSdeG,PSdeG,35766,204
230970583628309,Socialistas Españoles en el Parlamento Europeo,Maria De Las Maercedes Juan Fernandez,35402,9
187170858138979,PSOE Extremadura,PSOE Extremadura,34305,377
414809308591481,Pablo Iglesias,Unidas Podemos Comunidad de Madrid,34257,11
713474208684131,Podemos Euskadi,Podemos Euskadi,34171,309
1649624865292144,Hope. En pie por el planeta,HOPE,33844,35
183202371808498,EH Bildu,EH Bildu,33390,443
161616883888862,Parlamento Europeo - Oficina en España,Parlamento Europeo - Oficina en España,33021,369
392666127586890,OpenMind,BBVA,32972,325
365670118984,Partido Popular de Castilla y León,Partido Popular,32924,111
228545230545402,Manos Unidas,Manos Unidas,32728,233
1035516339843936,Relevo Contigo,Relevo Contigo,32286,1970
110913500516986,PP vasco +Cs,PP vasco + Cs,32144,398
239707429833080,EDP España,These ads ran without a disclaimer,32081,416
216290708406257,Alianza por la Solidaridad,Alianza por la Solidaridad,31976,250
47896270298,Iberostar,Iberostar Hotels & Resorts,31667,18
1583228775319006,Sarenet,Sarenet,31549,251
447794575427713,ElNacional.cat,ElNacional.cat,31541,159
2027572763988835,Más Madrid,Coalición electoral MÁS MADRID-VERDES EQUO,31440,156
1499578240271320,Coalicion Canaria,Coalicion Canaria,30759,146
310081965717560,PSOE de Castilla-La Mancha,PSOE de Castilla-La Mancha,30735,391
170970449608409,PSOE Aragón,PSOE Aragón,30532,8169
106331680386,PP de la Comunidad de Madrid,Partido Popular,29726,463
117096297953174,Trias per Barcelona,Trias per Barcelona,29523,38
187991754570725,LaLiga,LaLiga,29523,68
116952045157,Cruz Roja Española,Ad Pepper Media Spain,29485,167
100170683375588,Diputación de Cádiz,Diputación de Cádiz,29438,167
1469275819951977,PP de Andalucía,Partido Popular de Andalucía,29279,62
80678672726,Partido Popular Comunitat Valenciana,Partido Popular Comunitat Valenciana,29054,199
175357075823543,CRIS contra el Cancer,These ads ran without a disclaimer,29019,123
141223889286081,Hyundai España,Hyundai España,28910,38
2027572763988835,Más Madrid,COALICION ELECTORAL MAS MADRID,28739,509
295410637661767,Alma Joyas,Totem Joyas,28710,569
615784622202938,ARA en castellano,EDICIO DE PREMSA PERIODICA ARA SL,28548,4805
107882214412718,Agencia Española de Seguridad Alimentaria y Nutrición- AESAN,Agencia Española de Seguridad Alimentaria y Nutrición (AESAN),28512,61
105901480793722,TotalEnergies,Total España SAU,28445,26
139153867956,Fundació Pasqual Maragall,Fundación Pasqual Maragall,28115,115
111404200571582,Endesa Luz y Gas,Accom Bpac,27901,723
105753244682515,Ayuntamiento de Alcorcón.,Ayuntamiento de Alcorcón,27798,385
212703905495493,HOGAR SÍ,Fundación Rais,27661,64
130499210351166,Fundació Bofill,Fundació Bofill,27562,374
