Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
332170236842216,Vattenfall,Vattenfall Oy,1368213,473
119054448115588,WWF Suomi,WWF Suomi,682921,3389
360860753953531,Fortum,Fortum Suomi,558415,3738
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,377999,1721
585888148224935,Oatly,Oatly,308753,111
271311152007,Plan International Suomi,Plan International Suomi,256647,2582
178362315106,European Parliament,European Parliament,236236,3909
201285237101,Kokoomus,Kokoomus,233319,4750
9227859351,Greenpeace Suomi,Greenpeace Suomi,232584,2892
108945982480217,Sosialidemokraatit SDP,Sosialidemokraatit SDP,231738,971
134934386349,Amnesty International - Suomen osasto,Amnesty International - Suomen osasto,216420,1256
60390955171,Vasemmistoliitto,Vasemmistoliitto,180333,359
145401631365,SSAB,Dingle Oy,176521,76
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,173276,739
7692825311,Suomen World Vision,Suomen World Vision,163262,614
545309265626080,Kela - Fpa,Kela - Fpa,159339,1192
61123966277,VR matkalla,VR matkalla,158350,294
229433767936563,Lääkärit Ilman Rajoja,Lääkärit Ilman Rajoja,143245,200
74247674998,SAK - Suomen Ammattiliittojen Keskusjärjestö,SAK - Suomen Ammattiliittojen Keskusjärjestö,139283,413
106014039188792,Pekka Haavisto presidentiksi 2024,Mahdollisuuksien Suomi 2030 ry,139177,696
107898832590939,European Commission,European Commission,135574,677
55312855747,Keskusta,Suomen Keskusta r.p.,112494,309
134934386349,Amnesty International - Suomen osasto,Amnesty International Suomen osasto,105324,392
309459326150013,Teollisuusliitto,Teollisuusliitto,104802,981
123692197698005,UN Women Suomi,Suomen UN Women,103464,598
102130019858609,Terveyden ja hyvinvoinnin laitos THL,Terveyden ja hyvinvoinnin laitos (THL),100917,359
33722070600,Vihreät - De Gröna,Vihreät - De Gröna,98670,567
242770249092810,HOK-Elanto,S-ryhmä,94091,33
1631165890489545,Gasum,Gasum Oy,80437,299
989337777778179,Metsä Group,Metsä Group,80087,101
249421507648,Uudenmaan Kokoomus,Uudenmaan Kokoomus,77773,804
78648671844,Julkisten ja hyvinvointialojen liitto JHL,Julkisten ja hyvinvointialojen liitto JHL,74678,109
33722070600,Vihreät - De Gröna,Vihreä liitto rp.,70755,347
169477316356,Solidaarisuus,Solidaarisuus,66351,1146
493464655570,Valio,Valio,65597,26
867106493431709,Nollalinja,Nollalinja,64351,198
157614802920,Kristillisdemokraatit,Kristillisdemokraatit,56962,543
129286757147002,Tehy ry,Tehy ry,56018,649
181106108341,Perussuomalaiset,Perussuomalaiset,54850,151
111005869699,Kirkon Ulkomaanapu,Kirkon Ulkomaanapu,53623,1366
54313274188,Naisten Pankki,Naisten Pankki,53399,2641
1083597725003936,Neste,Neste,53341,30
110067592370964,Alexander Stubb,Alex 24 ry,51946,303
433087293448371,Tiedekulma,Tiedekulma,50479,388
191883307265,Svenska folkpartiet i Finland - RKP,Svenska folkpartiet i Finland - RKP,49248,469
283762588316103,Pohjois-Karjalan Osuuskauppa,Pohjois-Karjalan Osuuskauppa,48235,191
587353418318027,Parempi tulevaisuus,Plan International Suomi,45016,1133
117471131378557,Olli Rehn 2024,Tasavallan Parhaaksi ry,43013,57
396992750241,Insinööriliitto IL ry,Insinööriliitto IL ry,42600,43
242197705820950,SEY Suomen eläinsuojelu,SEY Suomen eläinsuojelu,41680,600
55312855747,Keskusta,Suomen Keskusta,40497,213
171116582964239,MIELI Suomen Mielenterveys ry,MIELI Suomen Mielenterveys ry,40057,216
200739723082,University of Helsinki,University of Helsinki,40028,542
2206691386258439,Plusluotto,These ads ran without a disclaimer,39309,1
291699857688,EPP Group in the European Parliament,EPP Group in the European Parliament,38418,131
153558701328768,Helsingin Vasemmisto,Helsingin Vasemmistoliitto ry,38324,246
117830778937801,Sosiaali- ja terveysministeriö,Sosiaali- ja terveysministeriö,36822,41
187533664613953,Ammattiliitto Pro,Ammattiliitto Pro,36443,223
