Page ID,Page name,Disclaimer,Amount spent (FJD),Number of ads in Library
1743956595869001,Sitiveni 480 Rabuka,The Peoples Alliance,14452,38
200791327158338,Bill Gavoka,Viliame Rogoibulu Gavoka,13581,184
273628599840359,Dr. Mere Samisoni,Mere Tuisalalosamisoni,11699,215
101911352706122,Manoa 454 Kamikamica,Manoa Kamikamica,9001,26
373802769341908,Fijian Elections Office,Fijian Elections Office,5125,24
609245665885381,The University of the South Pacific Students' Association,The University of the South Pacific Students Association,4470,17
678542618881925,FijiFirst,FijiFirst Party,2886,16
108993025227860,Bhavick Kapadia - Candidate 191 - NFP,Bhavick Kapadia,2384,17
128371938956830,Social Democratic Liberal Party,SODELPA,1815,114
287683225711,UN Environment Programme,UN Environment Programme,1597,16
100933916035770,Mohammed R. Khan,These ads ran without a disclaimer,1335,12
273628599840359,Dr. Mere Samisoni,These ads ran without a disclaimer,1323,19
28312410177,World Food Programme,These ads ran without a disclaimer,970,121
102874232203527,New Page,These ads ran without a disclaimer,709,72
933310850194959,Israel Alliance,These ads ran without a disclaimer,630,12
100933916035770,Mohammed R. Khan,Mohammed Rieaz Khan,477,5
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,472,133
68793499001,UNICEF,UNICEF with Facebook Ad Credits,421,23
2020211584945890,Aiyaz Sayed-Khaiyum,Aiyaz Sayed-Khaiyum,417,3
593003617793078,Max Marketing & Publishing PTE Ltd,Max Marketing & Publishing ltd,363,4
100137592682964,erictu222,These ads ran without a disclaimer,334,1
101115795699266,Rinesh Sharma,Rinesh Sharma,310,7
101872965810949,EPOP En,These ads ran without a disclaimer,278,2
105390382395414,Faiyaz Koya - Vote 216,Mohammed Reyhan Shaheed,232,14
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,223,21
211278712925199,Amnesty International,These ads ran without a disclaimer,223,94
146395549311589,Lynda 405 Tabuya,Lynda Tabuya,202,2
121350964566751,DHL Motorsports,These ads ran without a disclaimer,198,24
108186171807572,New Page,These ads ran without a disclaimer,195,12
216311481960,Bill Gates,These ads ran without a disclaimer,193,14
454024834936241,Young SODELPA,SODELPA,172,14
100756586026420,Akuila Yabaki - Jnr,Akuila Yabaki - Jnr,169,3
345421755527109,Ever Accountable,These ads ran without a disclaimer,169,1
113451204686577,Vote 479 Filipe Tuisawau,Vote 479 Filipe Tuisawau,169,7
166591246714313,Tetra Pak,These ads ran without a disclaimer,165,5
678542618881925,FijiFirst,These ads ran without a disclaimer,158,3
111879700694408,Jone Usamate,These ads ran without a disclaimer,149,6
200480966638039,Supremacy 1914,These ads ran without a disclaimer,147,3
614000791983893,Support disability worldwide,These ads ran without a disclaimer,138,4
106905656797560,Nia Tero,These ads ran without a disclaimer,123,5
194824897244836,Zayed Sustainability Prize,These ads ran without a disclaimer,117,2
609245665885381,The University of the South Pacific Students' Association,These ads ran without a disclaimer,111,3
256180025092,femLINKpacific,These ads ran without a disclaimer,111,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,108,4
111474633636880,Fiji Independent Commission Against Corruption - FICAC,Fiji Independent Commission Against Corruption (FICAC),≤100,4
1936453156394497,IFC East Asia Pacific,These ads ran without a disclaimer,≤100,3
107301423985765,News Fiji,These ads ran without a disclaimer,≤100,2
102133529207171,Sakiasi Ditoka,Sakiasi Ditoka,≤100,1
102558404661783,Fiji Hindi,These ads ran without a disclaimer,≤100,1
101978933230493,DHL,These ads ran without a disclaimer,≤100,3
19740928752,World Animal Protection,These ads ran without a disclaimer,≤100,8
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,10
461484337565161,Pacific Island Food Revolution,These ads ran without a disclaimer,≤100,4
100874186277500,Strengthening Pacific Intra-Regional & International Trade,Strengthening Pacific Intra-Regional & International Trade,≤100,2
