Page ID,Page name,Disclaimer,Amount spent (GBP),Number of ads in Library
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,47
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,106
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100,13
248986568895243,Speechify,These ads ran without a disclaimer,≤100,9
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,45
804997446264798,Chic Me,These ads ran without a disclaimer,≤100,1
503951883021764,ShareTheMeal,These ads ran without a disclaimer,≤100,19
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,≤100,14
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,108
565108056966122,Curiosity Stream,These ads ran without a disclaimer,≤100,27
1917715138510680,Follow Your Legend,These ads ran without a disclaimer,≤100,43
319749898114045,Jackpot Party Casino Community,These ads ran without a disclaimer,≤100,3
343459706117402,Word Collect,These ads ran without a disclaimer,≤100,2
1899243206850125,FitCoach by Welltech,These ads ran without a disclaimer,≤100,8
1238173096287495,Azur Games,These ads ran without a disclaimer,≤100,10
1730630540553065,Curio,These ads ran without a disclaimer,≤100,4
604742389649107,Seekers Notes,These ads ran without a disclaimer,≤100,1
112857077857582,Omo - Weight Loss With Psychology,These ads ran without a disclaimer,≤100,30
1065631633538453,Physicians Across Continents,These ads ran without a disclaimer,≤100,8
161704781305446,The Spark Company,These ads ran without a disclaimer,≤100,14
6013004059,The Economist,These ads ran without a disclaimer,≤100,25
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100,23
933310850194959,Israel Alliance,These ads ran without a disclaimer,≤100,24
158714780827513,UNFPA,UNFPA,≤100,77
154163327962392,World Health Organization (WHO),These ads ran without a disclaimer,≤100,3
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,23
112847137855997,OTD,These ads ran without a disclaimer,≤100,2
113615355316959,WIRED UK,These ads ran without a disclaimer,≤100,35
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,13
105812628046929,VirtualRunners Global,These ads ran without a disclaimer,≤100,17
13001924893,Fondation Prince Albert II de Monaco,These ads ran without a disclaimer,≤100,2
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,4
106217518528394,Bilibili Comics home,These ads ran without a disclaimer,≤100,5
1329741273707017,Creative Fabrica,These ads ran without a disclaimer,≤100,1
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,12
189234534569546,Cape Clasp,These ads ran without a disclaimer,≤100,8
100776202191315,Infinite Force,These ads ran without a disclaimer,≤100,2
109244204824687,Captive Creator,These ads ran without a disclaimer,≤100,12
