Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
211278712925199,Amnesty International,These ads ran without a disclaimer,≤100,64
287683225711,UN Environment Programme,UN Environment Programme,≤100,16
108186171807572,New Page,These ads ran without a disclaimer,≤100,12
107458845623550,MSI,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,70
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,≤100,21
110801873957389,Australia Pacific Security College,These ads ran without a disclaimer,≤100,7
166591246714313,Tetra Pak,These ads ran without a disclaimer,≤100,5
102874232203527,New Page,These ads ran without a disclaimer,≤100,10
103733302465216,New Page,These ads ran without a disclaimer,≤100,2
115591005188475,Global Times,These ads ran without a disclaimer,≤100,4
102328765911090,INFO OPM TPNPB-OPM News,These ads ran without a disclaimer,≤100,2
119405895873,Huawei,These ads ran without a disclaimer,≤100,7
101978933230493,DHL,These ads ran without a disclaimer,≤100,3
33308238802,Asian Institute of Management,These ads ran without a disclaimer,≤100,3
104015742220554,Mimic,These ads ran without a disclaimer,≤100,5
105808001847701,Populist Online,These ads ran without a disclaimer,≤100,19
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,12
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,28
167327710092323,Mollaei Law,These ads ran without a disclaimer,≤100,1
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,6
19740928752,World Animal Protection,These ads ran without a disclaimer,≤100,7
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,8
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,3
102235145864172,What's On,These ads ran without a disclaimer,≤100,2
110949418465229,ICT & Internet,These ads ran without a disclaimer,≤100,1
197708646922970,IMF Finance & Development Magazine,These ads ran without a disclaimer,≤100,1
141576709631498,Pacific Island Times,These ads ran without a disclaimer,≤100,1
127037124035476,Cyberport 數碼港,These ads ran without a disclaimer,≤100,2
106905656797560,Nia Tero,These ads ran without a disclaimer,≤100,1
412409048849179,Behold Israel,These ads ran without a disclaimer,≤100,3
267264199961398,Change the World Model United Nations,These ads ran without a disclaimer,≤100,5
100851005361914,Populiist Online,These ads ran without a disclaimer,≤100,16
933310850194959,Israel Alliance,These ads ran without a disclaimer,≤100,5
29056789480,Project Syndicate,These ads ran without a disclaimer,≤100,4
113850851219092,China Chat,These ads ran without a disclaimer,≤100,2
68793499001,UNICEF,These ads ran without a disclaimer,≤100,4
845620825830146,Deel,These ads ran without a disclaimer,≤100,1
109391388543268,Mariana Alves,These ads ran without a disclaimer,≤100,16
105232749009654,The Journal,These ads ran without a disclaimer,≤100,1
103733191524431,Liuxininbeijing,These ads ran without a disclaimer,≤100,2
102093685620627,Best Diplomats,These ads ran without a disclaimer,≤100,1
102211979093712,EdHeroes,These ads ran without a disclaimer,≤100,4
