Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
39435457457,Greenpeace France,Greenpeace France,1630676,6235
178362315106,European Parliament,European Parliament,1377116,3095
107898832590939,European Commission,European Commission,930870,516
110264154014366,Les Gargouilles,Les Gargouilles,735441,631
101221238456688,Plan transition énergie,plan transition energie,727562,717
122037308191612,Make.org,Make.org,712085,2367
314443337102,GRDF,GRDF,711396,473
106626487721376,Amazon Europe,Amazon Europe,671537,47
1981871332106127,Programme pour la Transition Energétique,Transition Energie,645783,3525
173159234432,UNICEF France,UNICEF France,612911,1233
112547358788607,CCFD-Terre Solidaire,CCFD-Terre Solidaire,527991,4874
335868279790722,CIWF France,CIWF France,520277,809
14053295787,Oxfam France,Oxfam France,491945,6482
840901192703231,Groupe Identité et Démocratie - France,Groupe Identité et Démocratie - France,442958,1424
9025047571,Amnesty International France,Amnesty International France,435408,4625
392341217527576,Gouvernement,Gouvernement,412978,505
480418118654568,E.Leclerc,E.Leclerc,393492,160
179106818789009,Meta,Facebook,354816,3
176105152520900,Carrefour,Carrefour,350441,747
109686207314440,Helios,Helios,330751,2589
265420476920,Médecins du Monde France,Médecins du Monde France,329002,7821
426832457756357,Mes Soutiens,ORIXA MEDIA,316970,6394
81753537108,TotalEnergies,TotalEnergies,292176,363
312006269003808,ilek,ilek,275623,595
491891557553645,ifaw,ifaw,264769,1655
106554597767346,UNHCR France,UNHCR France,264381,3766
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,259567,118
154912951193067,Médecins Sans Frontières / MSF,Médecins Sans Frontières,255899,4441
116070051527,Mediapart,Mediapart,243383,13366
1456586344652734,MAIF,MAIF,234912,1026
5987042235,Ben & Jerry's,Ben & Jerry's,232693,310
100812558525125,Bon Plan Habitat,Transition Energie,228076,67
139331629464336,EDF,EDF,226761,136
1854457991285846,Eco Energie,Transition Energies,226453,1875
112169710179612,L'innovation Responsable,Tom Gilbert Marc Raynaud,223424,1988
256197435586,Handicap International - Humanity & Inclusion,Handicap International,216230,988
103355385129734,The Climate Pledge,The Climate Pledge,208429,20
110490484906150,La France aux urnes,La République En Marche !,202446,176
164302750336862,Wish,These ads ran without a disclaimer,196320,1
100255681599847,Veolia France,Veolia,184243,1465
108961334029224,Ekō en français,SumOfUs,182030,170
114676815236667,AIDES,AIDES,174089,1142
155317537884626,Ordre de Malte France,Ordre de Malte France,168773,562
152835304742765,Les Petits Frères des Pauvres,Les Petits Frères des Pauvres,167256,378
123875660969932,ENGIE,ENGIE,165874,1874
113579678698073,La SPA - Société Protectrice des Animaux,La SPA - Société Protectrice des Animaux,159122,284
315718434933,Crédit Agricole,Crédit Agricole S.A.,158684,120
417997281579542,OnSexprime.fr,Santé Publique France,154582,69
381564575243650,Région Auvergne-Rhône-Alpes,Région Auvergne-Rhône-Alpes,151725,55
116455261255,Action contre la Faim (France),Action contre la Faim (France),150784,5409
155492235848,30 Millions d'Amis,30 Millions d'Amis (Officiel),149661,1
285190805468917,Meilleur Placement,Philippe Jaen Aime,147963,54
5755303613,La Chaîne de l'Espoir,La Chaîne de l'Espoir,147705,1321
1465382927092690,Fondation de la Mer,Fondation de la Mer with Facebook ad credits,147703,11
100707905881,Plan International France,Plan International France,147200,3542
1329380840472696,Panneaux solaire,Conseil Solaire,141483,754
312127148896464,BRITA France,These ads ran without a disclaimer,138551,409
384955301529344,Institut du Cerveau - Paris Brain Institute,Institut du Cerveau - Paris Brain Institute,135645,297
252417390706,APF France handicap,APF France handicap,133874,1547
108824017345866,Meta,Facebook Inc.,133625,30
528000693909356,Rôle Energies,Rôle Energies,133087,105
129740893750695,Sexosafe.fr,Santé Publique France,132475,78
110758313680158,Aides énergétiques pour votre maison,Primes énergie,129146,625
108777720681389,HappyVore,Les nouveaux fermiers,126130,172
271026783614,Fondation ARC pour la recherche sur le cancer,Fondation ARC pour la recherche sur le cancer,125589,1725
103508471736919,QUATRE PATTES,Quatre Pattes,125263,850
190767987677923,Institut Curie,Institut Curie,122342,250
153342192259,Clarins,Clarins,117438,25
466932616850613,Mon avis citoyen,Mon avis citoyen,116992,8517
163061217080336,Enedis,Enedis,116279,94
1682924348618893,Ekwateur,ekWateur,116052,1865
105433001916166,Brut.Adnetwork,BRUT SAS,114866,211
165039663531531,Minecraft,These ads ran without a disclaimer,114646,69
583755248443877,L'École Française,These ads ran without a disclaimer,114316,26
108943410672988,SPRiNG,WeSpring,112777,78
495762937483621,Les Lignes Bougent,Les Lignes Bougent,111496,637
819996268096190,Identity & Democracy Party,Identity & Democracy Party,110480,317
884445694984443,La Région Occitanie / Pyrénées-Méditerranée,La Région Occitanie / Pyrénées-Méditerranée,106981,134
194205247377292,Société de Saint Vincent de Paul - National,Société de Saint Vincent de Paul - National,106651,335
328227120690505,Ministère du Travail,Ministère du Travail,104533,41
1815507421886752,Les primes énergie FR,Eco home,104441,1016
101686454955935,Mes Soutiens - Médecins du Monde,Médecins du Monde France,104300,1303
278641698813937,Fondation Raoul Follereau,Fondation Raoul Follereau,104027,3392
122037308191612,Make.org,Fondation Agir Contre l'Exclusion,99827,18
102822621847101,L'éco Prime,These ads ran without a disclaimer,99524,163
1022379694635099,Primes Energie France,Energie FRANCE,98928,549
707656492726028,Le Crédit Malin,These ads ran without a disclaimer,98119,18
110718474069190,Opera News France,These ads ran without a disclaimer,95499,118
1684441541609223,Pour l'Éco,Pour l'Éco,94433,2440
213536435417677,Fondation de France,Fondation de France,93992,884
