Page ID,Page name,Disclaimer,Amount spent (XCD),Number of ads in Library
104843098590908,GULP,These ads ran without a disclaimer,627,6
68793499001,UNICEF,UNICEF with Facebook Ad Credits,497,290
178636202166843,"National Democratic Congress of Grenada, Carriacou and Petite Martinique",National Democratic Congress,351,3
109211515409715,Cog-Pkg Media,These ads ran without a disclaimer,289,1
287683225711,UN Environment Programme,UN Environment Programme,266,16
155731741262009,"NNP Grenada, Carriacou & Petite Martinique",These ads ran without a disclaimer,197,12
178636202166843,"National Democratic Congress of Grenada, Carriacou and Petite Martinique",These ads ran without a disclaimer,131,6
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,8
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,92
100320779154858,"Winston ""Winty"" Frederick",These ads ran without a disclaimer,≤100,5
155731741262009,"NNP Grenada, Carriacou & Petite Martinique","NNP Grenada, Carriacou & Petite Martinique",≤100,1
105944980787044,I am Grenada,These ads ran without a disclaimer,≤100,11
845620825830146,Deel,These ads ran without a disclaimer,≤100,8
178495988866138,Grenada Uncut,These ads ran without a disclaimer,≤100,1
174669235904729,Sagicor Cave Hill School of Business and Management - The UWI Cave Hill,These ads ran without a disclaimer,≤100,1
167327710092323,Mollaei Law,These ads ran without a disclaimer,≤100,1
97320092545,PAHO-WHO,These ads ran without a disclaimer,≤100,4
513682292344174,NNP St. David Constituency,These ads ran without a disclaimer,≤100,2
115278390166743,The Bubb Report,These ads ran without a disclaimer,≤100,4
112857077857582,Omo - Weight Loss With Psychology,These ads ran without a disclaimer,≤100,32
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,≤100,21
114459606954174,Classroom,These ads ran without a disclaimer,≤100,3
103286391424486,Developing Dominica,These ads ran without a disclaimer,≤100,2
8057376739,The Nature Conservancy,These ads ran without a disclaimer,≤100,1
1642130326106006,Kalooki Grenada,These ads ran without a disclaimer,≤100,1
82928774489,Panda Security,These ads ran without a disclaimer,≤100,8
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,6
103496105344354,Corporate Sustainability Review,These ads ran without a disclaimer,≤100,4
249233845133747,Glenelg Spring Water Inc.,These ads ran without a disclaimer,≤100,1
468637259838004,Sen. The Hon. Gloria Thomas,These ads ran without a disclaimer,≤100,1
101810071877211,soscarbon,These ads ran without a disclaimer,≤100,2
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,≤100,43
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,2
253772961315048,Mercury Mosaics,These ads ran without a disclaimer,≤100,6
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
245094455536925,FOUR PAWS,These ads ran without a disclaimer,≤100,6
110762908340370,Hours Before Election 2022 GND,These ads ran without a disclaimer,≤100,1
102466925607868,Special Victims Unit of RGPF,These ads ran without a disclaimer,≤100,1
115591005188475,Global Times,These ads ran without a disclaimer,≤100,4
104015742220554,Mimic,These ads ran without a disclaimer,≤100,5
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,15
1238173096287495,Azur Games,These ads ran without a disclaimer,≤100,4
267410650127820,NRD Companies,These ads ran without a disclaimer,≤100,5
105806708960852,Webfic - Read Romance Story,These ads ran without a disclaimer,≤100,3
1637307879891739,CARICOM.Energy,These ads ran without a disclaimer,≤100,1
119405895873,Huawei,These ads ran without a disclaimer,≤100,10
166258896830103,Porto Montenegro,These ads ran without a disclaimer,≤100,1
401539833549358,Claudette Joseph,These ads ran without a disclaimer,≤100,1
841729462639524,The Grenadian Voice,These ads ran without a disclaimer,≤100,1
106532464278807,Caribbean Tree Planting Project,These ads ran without a disclaimer,≤100,2
170042611753,American University of Antigua,These ads ran without a disclaimer,≤100,1
232479886816529,Cambridge Institute for Sustainability Leadership,These ads ran without a disclaimer,≤100,1
107324682021456,MDPSERVICES LLC,These ads ran without a disclaimer,≤100,1
68793499001,UNICEF,These ads ran without a disclaimer,≤100,4
274138756817,Architonic,These ads ran without a disclaimer,≤100,2
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100,55
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,4
101453801610760,Share-On Project,These ads ran without a disclaimer,≤100,1
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,46
267264199961398,Change the World Model United Nations,These ads ran without a disclaimer,≤100,5
111462268896155,Dra. Consuelo Rollán: Psicología y Análisis Transaccional,These ads ran without a disclaimer,≤100,2
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100,52
64588666340,Haaretz.com,These ads ran without a disclaimer,≤100,7
161275057251357,UNICEF Eastern Caribbean,These ads ran without a disclaimer,≤100,1
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,≤100,66
456013751424561,CESaRE,These ads ran without a disclaimer,≤100,7
102093685620627,Best Diplomats,These ads ran without a disclaimer,≤100,1
6651543066,CNN Business,These ads ran without a disclaimer,≤100,11
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,3
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,45
412409048849179,Behold Israel,These ads ran without a disclaimer,≤100,3
285530825204,Klitschko,These ads ran without a disclaimer,≤100,63
111361091313,NICABM,These ads ran without a disclaimer,≤100,12
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,7
100696586305964,Fine Art Photography Prints by Rico X.,These ads ran without a disclaimer,≤100,2
1126060947467307,Scatter HoldEm Poker,These ads ran without a disclaimer,≤100,2
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,5
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,6
134278719946186,Bayer,These ads ran without a disclaimer,≤100,4
103119027899256,Caribbean Climate-Smart Accelerator,These ads ran without a disclaimer,≤100,2
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,25
2087588714793621,Michael Ajetomobi,These ads ran without a disclaimer,≤100,1
366107457198874,Rise of Kingdoms,These ads ran without a disclaimer,≤100,2
681614015247190,Caribbean National Weekly,These ads ran without a disclaimer,≤100,18
113502287096979,I Luv Australia,These ads ran without a disclaimer,≤100,2
94005676787,Hitachi Vantara,These ads ran without a disclaimer,≤100,1
103762709241841,thetrauma.therapist,These ads ran without a disclaimer,≤100,2
139098866100198,Merri-bek City Council,These ads ran without a disclaimer,≤100,2
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,7
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100,1
105554772054684,Thunderbros,These ads ran without a disclaimer,≤100,4
100254824748185,Jensog-UK,These ads ran without a disclaimer,≤100,15
315603771494,Milaap,These ads ran without a disclaimer,≤100,8
7783116506,Animals Asia,These ads ran without a disclaimer,≤100,16
114298743556792,3AM-Revelation 14:6-12,These ads ran without a disclaimer,≤100,1
317463093373,The Akshaya Patra Foundation,These ads ran without a disclaimer,≤100,1
105741532048451,Fluffy Worldwide,These ads ran without a disclaimer,≤100,12
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,14
100162738241949,Xu Zeyu,These ads ran without a disclaimer,≤100,2
141271779363886,Christian Harfouche,These ads ran without a disclaimer,≤100,3
19740928752,World Animal Protection,These ads ran without a disclaimer,≤100,1
103286731467883,Psychedelic Spotlight,These ads ran without a disclaimer,≤100,8
103733191524431,Liuxininbeijing,These ads ran without a disclaimer,≤100,5
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
597859916903978,Nomad Africa Magazine,These ads ran without a disclaimer,≤100,1
10423517786,Harvard Business Review,These ads ran without a disclaimer,≤100,1
1802248836771260,Weird Little Tales,These ads ran without a disclaimer,≤100,4
108210467509014,The HEY Campaign,These ads ran without a disclaimer,≤100,1
168784053795347,Fondo Monetario Internacional,These ads ran without a disclaimer,≤100,1
709430982419756,Thermo King Latinoamérica,These ads ran without a disclaimer,≤100,1
434351157296796,Rainbow Caribbean,These ads ran without a disclaimer,≤100,2
102897375582862,Caminovela,These ads ran without a disclaimer,≤100,3
312898778847834,TERRAM PACIS,These ads ran without a disclaimer,≤100,7
146481695371146,"มูลนิธิเพื่อสุนัขในซอย, ประเทศไทย (Soi Dog - in Thai)",These ads ran without a disclaimer,≤100,3
702918479750558,Conferencia Interamericana de Seguridad Social,These ads ran without a disclaimer,≤100,1
100044596562197,Pastor Tinu George,These ads ran without a disclaimer,≤100,1
106883638833589,El Cambio Posible,These ads ran without a disclaimer,≤100,1
1572311739654817,Bulls Of Crown Kennel,These ads ran without a disclaimer,≤100,1
