Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
225385184188101,ქართული ოცნება / Georgian Dream,ქართული ოცნება / Georgian Dream,175583,1923
194165114388891,ევროპული საქართველო • European Georgia,ევროპული საქართველო,169998,1676
1448192422082251,Nika Melia / ნიკა მელია,United National Movement,155607,414
373058439451905,Irakli Garibashvili,Irakli Garibashvili,142590,634
406949709352265,Giorgi Vashadze / გიორგი ვაშაძე,Giorgi Vashadze / გიორგი ვაშაძე,133474,1790
108823260485815,ლელო საქართველოსთვის • Lelo For Georgia,ლელო საქართველოსთვის • Lelo For Georgia,102923,1153
114735666574826,Formula • ფორმულა,TV Formula,102478,910
137784719692774,საქართველოს მთავრობა,საქართველოს მთავრობა,99558,1894
225385184188101,ქართული ოცნება / Georgian Dream,Georgian Dream,93719,1072
353943391364252,TV Imedi,TV Imedi,82739,5078
225385184188101,ქართული ოცნება / Georgian Dream,Georgian Dream,79051,517
2167628580128133,ირაკლი კობახიძე / Irakli Kobakhidze,Georgian Dream,66909,486
373058439451905,Irakli Garibashvili,საქართველოს მთავრობა,66069,578
197243066983672,ერთიანი ნაციონალური მოძრაობა • United National Movement,ერთიანი ნაციონალური მოძრაობა | United National Movement,65292,151
177657096172822,სირცხვილია • Shame Movement,სირცხვილია • Shame Movement,57162,494
651534988375338,POSTV - ანალიტიკა,POSTV LLC,55690,2394
406949709352265,Giorgi Vashadze / გიორგი ვაშაძე,Giorgi vashadze / გიორგი ვაშაძე,55285,163
113991509974808,მამუკა ხაზარაძე Mamuka Khazaradze,მამუკა ხაზარაძე Mamuka Khazaradze,54382,663
113991509974808,მამუკა ხაზარაძე Mamuka Khazaradze,ლელო საქართველოსთვის • Lelo For Georgia,51395,507
1037692123012971,კახა ოქრიაშვილი / Kakha Okriashvili,კახა ოქრიაშვილი / Kakha Okriashvili,47645,380
1709314685984193,სტრატეგია აღმაშენებელი • Strategy Aghmashenebeli,სტრატეგია აღმაშენებელი • Strategy Aghmashenebeli,40242,177
1031485756902883,გირჩი • Girchi,გირჩი • Girchi,39657,1389
180568365331697,შერიგებისა და სამოქალაქო თანასწორობის საკითხებში სახელმწიფო მინისტრის აპარატი,SMR Georgia,39542,688
1159313984168136,europop,Popsport,38630,1862
107212234052832,მედიაკრიტიკა / Mediacritic,მედიაკრიტიკა / Mediacritic,32581,524
260603653970023,Mikheil Saakashvili,Mikheil Saakashvili,32545,150
179300065451916,საქართველოს იუსტიციის სამინისტრო,საქართველოს იუსტიციის სამინისტრო,29635,703
105232394364997,გახარია,გახარია,29385,536
124485667654878,Kakha Kaladze კახა კალაძე,Kakha Kaladze კახა კალაძე,28980,304
285690758154568,გარემოს დაცვისა და სოფლის მეურნეობის სამინისტრო,გარემოს დაცვისა და სოფლის მეურნეობის სამინისტრო,28111,887
133052760057128,Tabula - ტაბულა,Tabula - ტაბულა,27786,5860
1573747949592975,არჩილ თალაკვაძე I Archil Talakvadze,Georgian Dream - Democratic Georgia,27698,485
116262377494,Nino Burjanadze - ნინო ბურჯანაძე,Nino Burjanadze - ნინო ბურჯანაძე,25700,92
114247550124982,Badri Japaridze • ბადრი ჯაფარიძე,ლელო საქართველოსთვის • Lelo For Georgia,24764,389
373058439451905,Irakli Garibashvili,Georgian Dream,23646,98
198164676867952,"საქართველოს განათლების, მეცნიერებისა და ახალგაზრდობის სამინისტრო",საქართველოს განათლებისა და მეცნიერების სამინისტრო,21834,828
1577443435885416,მამუკა მდინარაძე / Mamuka Mdinaradze,Georgian Dream,21711,147
1578471278894473,POSTV - ახალი ამბები,POSTV LLC,21332,2916
373058439451905,Irakli Garibashvili,თავდაცვის სამინისტროს სტრატკომი,20258,71
583667251688444,Leonid Chernovetskyi,Leonid Chernovetskyi,19933,105
107079819324769,საქართველოს თავდაცვის სამინისტრო / Ministry of Defence of Georgia,საქართველოს თავდაცვის სამინისტრო / Ministry of Defence of Georgia,18162,416
955217611349089,რეფორმერი • Reformer,რეფორმერი • Reformer,17985,273
189209497797203,雲南力總養生堂,ევროპული საქართველო,17468,126
651534988375338,POSTV - ანალიტიკა,POSTV,16836,880
116263589076940,Vato Shakarishvili,ვატო შაქარიშვილი/Vato Shakarishvili,14736,596
273220522757364,Eastern European Centre for Multiparty Democracy - EECMD,Eastern European Centre for Multiparty Democracy - EECMD,14275,68
112823588550464,ქართული ოცნების მხარდამჭერები,რა კეთდება,13622,148
2316552778578622,შეცვალე საქართველო • Change Georgia,"მპგ ""შეცვალე საქართველო""",13545,75
219492891400652,თბილისის მერია / Tbilisi City Hall,თბილისის მერია / Tbilisi City Hall,13497,180
123455194176050,Georgia First NEWS,geo-first.com,13365,1643
114191964091743,საქართველოს კულტურისა და სპორტის სამინისტრო,"საქართველოს კულტურის, სპორტისა და ახალგაზრდობის სამინისტრო",13102,238
106696602753341,ეკონომიკისა და მდგრადი განვითარების სამინისტრო,MINISTRY OF ECONOMY AND SUSTAINABLE DEVELOPMENT OF GEORGIA,12904,115
749989348701035,ეს ქვეყანა შენია • This country is yours,Civil Society Institute,12586,330
1886767171598724,ფლანგვის დეტექტორი,ფლანგვის დეტექტორი,12285,827
480323335835739,მაუწყებელი • Mautskebeli,მაუწყებელი • Mautskebeli,12258,1437
111231051731397,ღვინის დღეები • Wine Days,ღვინის დღეები • Wine Days,12254,94
220225047997169,"დევნილთა, შრომის, ჯანმრთელობისა და სოციალური დაცვის სამინისტრო","დევნილთა, შრომის, ჯანმრთელობისა და სოციალური დაცვის სამინისტრო",12246,311
1448192422082251,Nika Melia / ნიკა მელია,ერთიანი ნაციონალური მოძრაობა | United National Movement,12022,116
1448192422082251,Nika Melia / ნიკა მელია,Kirtadze Ketevani,11891,107
101183782205426,სინამდვილეში,Georgian Dream,11865,230
471759786227198,Factcheck.ge,Factcheck.ge,11826,621
179119122157809,Newshub.ge - ნიუსჰაბი,Newshub.ge,11524,899
2167628580128133,ირაკლი კობახიძე / Irakli Kobakhidze,ქართული ოცნება / Georgian Dream,11398,95
285100957669,საქართველოს ცენტრალური საარჩევნო კომისია / CEC of Georgia,საქართველოს ცენტრალური საარჩევნო კომისია / CEC of Georgia,11137,100
152428851481475,პირველი არხი,პირველი არხი,11070,133
106876831752797,Information Integrity Coalition • კოალიცია ინფორმაციის სანდოობისთვის,Zinc Network,10353,143
103965262533554,არ აგარევინებთ,არ აგარევინებთ,10352,607
105099031313542,Ana Bibilashvili • ანა ბიბილაშვილი,Ana Bibilashvili • ანა ბიბილაშვილი,10344,116
106696602753341,ეკონომიკისა და მდგრადი განვითარების სამინისტრო,ეკონომიკისა და მდგრადი განვითარების სამინისტრო,10268,165
137897903067209,ზურაბ ჭიაბერაშვილი / Zurab Tchiaberashvili,ევროპული საქართველო,10255,79
100904612181810,საქართველოსთვის / For Georgia,საქართველოსთვის / For Georgia,10153,513
1267328373285096,ელენე ხოშტარია Elene Khoshtaria,ელენე ხოშტარია Elene Khoshtaria,9944,64
28821170162,Giga Bokeria,European Georgia,9860,183
114715203653478,გიგი უგულავა / Gigi Ugulava,ევროპული საქართველო,9748,63
197243066983672,ერთიანი ნაციონალური მოძრაობა • United National Movement,ერთიანი ნაციონალური მოძრაობა • United National Movement,9539,449
108652531483661,ქართული ოცნება ჩემი არჩევანია,ქართული ოცნება ჩემი არჩევანია,9495,356
104544911468291,შალვა პაპუაშვილი • Shalva Papuashvili,Georgian Dream,9060,153
101088646310790,არა რუსულ კანონს,არა რუსულ კანონს,9044,143
162884567108986,კომუნიკაციების კომისია | Communications Commission,კომუნიკაციების კომისია | Communications Commission,9003,100
536906143912475,RealPolitika • რეალპოლიტიკა,Gmc • მმართველობის მონიტორინგის ცენტრი,8666,395
107065540663565,მთავარი არხი • Mtavari Arkhi,მთავარი არხი • Mtavari Arkhi,8576,82
326815664127831,Irakli Garibashvili 4 Georgia,Irakli Garibashvili 4 Georgia,8216,173
1267468489937737,"აი, ფაქტი • ifact.ge","აი, ფაქტი • ifact.ge",7939,280
621059661576199,ავთანდილ თალაკვაძე / Avtandil Talakvadze,Georgian Dream,7920,334
144606052272674,დაცული ტერიტორიების სააგენტო / Agency of Protected Areas (Georgia),დაცული ტერიტორიების სააგენტო,7895,172
1436499703296575,მითების დეტექტორი,მითების დეტექტორი,7859,196
