Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
693839184132423,Mahama2020,Mahama2020,65120,127
7893934835,Nana Addo Dankwa Akufo-Addo,New Patriotic Party (NPP: Development in Freedom),53798,118
472991836045311,John Dramani Mahama,John Dramani Mahama,52899,128
278029242253904,Twitter,These ads ran without a disclaimer,38303,1
191347710997880,New Patriotic Party (NPP: Development in Freedom),New Patriotic Party (NPP: Development in Freedom),19238,92
160054620829091,European Union in Ghana,These ads ran without a disclaimer,16558,11
582040878482949,Jubilee House,Jubilee House,8097,80
191347710997880,New Patriotic Party (NPP: Development in Freedom),Kow Essuman,7880,18
120962595366086,Prestige Shopping,These ads ran without a disclaimer,7621,5
102179325363565,Samuel A. Jinapor,Samuel Abdulai Jinapor,5816,301
123320978228182,George Opare Addo,Derek Nii Armah Tagoe,5144,26
7893934835,Nana Addo Dankwa Akufo-Addo,Kow Essuman,5020,9
343780273395073,"Hon. George Mireku Duker - MP, Tarkwa-Nsuaem.","Gomashie, Wisdom",4175,175
316700695149864,Rebecca Akufo-Addo,New Patriotic Party (NPP: Development in Freedom),3906,14
1885114401706195,Dr. Matthew Opoku Prempeh,Dr. Matthew Opoku Prempeh,3863,161
272113619520972,NCCE Gh,NCCE Gh,3439,93
100998292278237,Jobs in Canada,These ads ran without a disclaimer,3409,59
110674420604041,Dr. Kwabena Duffuor,Kwabena Duffuor,3379,90
626778377758006,Soteria Publications & Educational Consults,Nyame Amoah Kwaning,2978,7
101392725056998,Madam Vice President,Madam Vice President,2855,25
123649264354629,Davis Ansah Opoku MP,Opoku Davis Ansah,2148,22
944644078980153,"Securities and Exchange Commission, Ghana","Securities and Exchange Commission, Ghana",1960,38
357251385085313,Alliance to End Plastic Waste,These ads ran without a disclaimer,1821,74
104584234455863,Opera News Lite,These ads ran without a disclaimer,1761,39
248986568895243,Speechify,These ads ran without a disclaimer,1728,20
1362032633838117,NDC Youth wing,Derek Nii Armah Tagoe,1702,10
154163327962392,World Health Organization (WHO),These ads ran without a disclaimer,1557,15
111439974031723,"Good Woman, Vote",Akosua Asaa Manu,1527,12
215908418883255,GHANA International Trade and Finance Conference - GITFiC 2022,Ghana International Trade and Finance Conference (GITFIC),1502,18
472991836045311,John Dramani Mahama,Stanislav Xoese Kwasi Dogbe,1465,5
216311481960,Bill Gates,These ads ran without a disclaimer,1414,60
68793499001,UNICEF,UNICEF with Facebook Ad Credits,1330,23
277406505978578,E On 3 Group,EON3 Group,1322,15
158714780827513,UNFPA,UNFPA,1236,246
102618778592624,Come Unto Christ In West Accra,Come Unto Christ In West Accra,1225,3
2119732698342937,Vodafone Group,These ads ran without a disclaimer,1221,11
519608978084713,Ghana Education Trust Fund,Ghana Education Trust Fund (GETFund),1173,20
378062795887614,Youth Empowerment Consortium - YEC,YEC Group Initiatiaves,1147,15
338109312883186,China Xinhua News,These ads ran without a disclaimer,1095,40
957138484425960,Seth Kwame Acheampong,Agyenim Boateng,1079,110
830015703781124,Arden University,These ads ran without a disclaimer,1063,43
584311918440395,World Health Organization African Region,These ads ran without a disclaimer,1060,12
231001560258995,Ebi Bright,Ebi Bright,1037,14
106524325036276,Canada Job Opportunity,These ads ran without a disclaimer,997,36
1635384600014641,Ivor Kobina Greenstreet,ivorgreenstreet.org,994,40
100187268355709,KYSFM-English,Victor Malik Iddrisu,979,46
