Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
110418105027524,Khaite SALL,Khaité Sall,1279,42
274141766381712,Conseil National de la Transition GN,Conseil National de la Transition GN,846,36
274141766381712,Conseil National de la Transition GN,Sékou Diomandé,608,52
111495014889427,SoluEtude Guinée,These ads ran without a disclaimer,331,1
110122358477613,TRT Afrika Français,These ads ran without a disclaimer,231,2
310748626276060,RFI Fulfulde,These ads ran without a disclaimer,137,2
103989135541669,Hadja Maïmouna Yombouno,Hadja Maïmouna Yombouno,119,8
104505892418653,Le Premier Ministre de la République de Guinée,Primature de la République de Guinée,≤100,2
101460842681784,TRT Afrika,These ads ran without a disclaimer,≤100,3
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,7
934385139965920,Mory KABA,These ads ran without a disclaimer,≤100,7
635063186615721,Guinee360.com,Guinee360.com,≤100,88
2065056783567420,Hespress Français,These ads ran without a disclaimer,≤100,1
1136786203149819,Maliens Tout Court,These ads ran without a disclaimer,≤100,1
102463405312035,Bonpc,These ads ran without a disclaimer,≤100,1
110418105027524,Khaite SALL,These ads ran without a disclaimer,≤100,4
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
102761215750275,MLD Architecture et Prestation,These ads ran without a disclaimer,≤100,1
1098015103654853,Fondation Diaka Camara,These ads ran without a disclaimer,≤100,2
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,27
117621581593054,TV5MONDE Afrique,These ads ran without a disclaimer,≤100,1
100103209575147,Caisse Nationale de Sécurité Sociale - Guinée,These ads ran without a disclaimer,≤100,1
106762597631474,Dr Diaka SIDIBE,These ads ran without a disclaimer,≤100,7
1500622100171461,Bolivar FM 99.4 MAMOU,These ads ran without a disclaimer,≤100,1
793541217464814,Cisco Global Problem Solver Challenge,These ads ran without a disclaimer,≤100,1
115039637292383,Lerevelateur224,These ads ran without a disclaimer,≤100,3
100223512530852,Saïdou Bantanko Diallo,These ads ran without a disclaimer,≤100,2
106380488721705,Conseillère Nationale Aissatou Diallo,These ads ran without a disclaimer,≤100,2
109207264805198,Fondation Aboubacar Camara pour la Science,These ads ran without a disclaimer,≤100,1
107822595533318,M. Moussa Cissé,These ads ran without a disclaimer,≤100,1
101255126100904,Nigef,These ads ran without a disclaimer,≤100,1
110021624972934,K-Mobile-Authentique,These ads ran without a disclaimer,≤100,3
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,2
485947941433645,Novo Nordisk Haemophilia Foundation,These ads ran without a disclaimer,≤100,1
171340033810014,Mamadou Oury Diallo Officiel,These ads ran without a disclaimer,≤100,2
111937263494905,Parti de l'Unité et de la Liberté P.U.L,These ads ran without a disclaimer,≤100,1
109980084934101,Houmany Camara,These ads ran without a disclaimer,≤100,2
960060394097991,SCOUT De Guinée Officiel,These ads ran without a disclaimer,≤100,3
881675718576355,VIP Diffusion Presse,These ads ran without a disclaimer,≤100,3
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,8
321207378328910,President Clinton Bellerye,These ads ran without a disclaimer,≤100,4
111441068358044,"Bernard Gomou, Premier ministre de la transition officiel",These ads ran without a disclaimer,≤100,2
1129445490476594,La Tribune Afrique,These ads ran without a disclaimer,≤100,1
103252357850485,Honorable ansoumane ouzby fofana,These ads ran without a disclaimer,≤100,1
191453580768,Yeni Şafak,These ads ran without a disclaimer,≤100,1
104666722294868,Djina le sapeur international,These ads ran without a disclaimer,≤100,1
101971348804053,ONG Icônes,These ads ran without a disclaimer,≤100,1
101599312173822,Mariama Simo Sylla Officiel,These ads ran without a disclaimer,≤100,1
108844391713780,Dr Ousmane KABA,These ads ran without a disclaimer,≤100,1
115591005188475,Global Times,These ads ran without a disclaimer,≤100,7
230834147675510,LabXchange,These ads ran without a disclaimer,≤100,1
102378709341708,Boubacar Diallo,These ads ran without a disclaimer,≤100,6
101007252574584,Sorel Keita,These ads ran without a disclaimer,≤100,1
105475961282341,42 Wolfsburg,These ads ran without a disclaimer,≤100,1
1566727190238565,"Ministère de la Promotion fém, de l’Enfance et des Personnes vulnérables",These ads ran without a disclaimer,≤100,5
110002191535781,Aicha Nanette Conté,These ads ran without a disclaimer,≤100,1
102185785930779,Shopping in Turkey,These ads ran without a disclaimer,≤100,2
1850085781883124,Mamadou Thug,These ads ran without a disclaimer,≤100,2
442421493244960,Ophélie Style,These ads ran without a disclaimer,≤100,1
103569128480791,FRESAN,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,40
102093685620627,Best Diplomats,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,35
371171589575669,China.org.cn,These ads ran without a disclaimer,≤100,7
963499617010800,Ministère du Travail et de la Fonction publique Guinée,These ads ran without a disclaimer,≤100,1
2309448245771586,Global Center on Adaptation,These ads ran without a disclaimer,≤100,1
107700665175923,Sommet de la Francophonie de Djerba 2022,These ads ran without a disclaimer,≤100,1
2034171906840470,Aisaka Training Center,These ads ran without a disclaimer,≤100,2
100975822777112,CODEC-Guinée,These ads ran without a disclaimer,≤100,1
100920836078381,MOTI_Vape,These ads ran without a disclaimer,≤100,1
107410862226340,Make Africa Great Again,These ads ran without a disclaimer,≤100,1
102299085212812,Saliou Doumbouya,These ads ran without a disclaimer,≤100,1
127187187348820,Kaspersky,These ads ran without a disclaimer,≤100,1
149881408980682,Cassapreto 224,These ads ran without a disclaimer,≤100,1
110123501807347,Babikir Adam Ali,These ads ran without a disclaimer,≤100,3
1806469706286783,Haaly Pular Espagne,These ads ran without a disclaimer,≤100,3
126529410723954,AFD - Agence Française de Développement,These ads ran without a disclaimer,≤100,1
1057106817686105,RFI Mandenkan,These ads ran without a disclaimer,≤100,1
103344705064480,Diaoune Multi-Services,These ads ran without a disclaimer,≤100,1
167327710092323,Mollaei Law,These ads ran without a disclaimer,≤100,1
