Page ID,Page name,Disclaimer,Amount spent (GTQ),Number of ads in Library
167924689961661,Unidad Nacional de la Esperanza,Unidad Nacional de la Esperanza,943319,374
331961940541181,Partido Victoria,Partido Político Victoria,471356,90
414127029025760,CABAL,CABAL,267954,59
196258110831945,Partido Valor,Partido Valor,196755,296
167924689961661,Unidad Nacional de la Esperanza,Leonel Aníbal Quiñónez Aguilar,159036,65
102762215788405,VOS.gt,VOS.gt,123055,145
1911003529195315,Roberto Arzú,Roberto Arzú García-Granados,106587,96
161800283848513,CREO,CREO,85084,39
187073013532,Partido VIVA,Partido Político Visión con Valores,70087,54
142373979127061,Partido Unionista,Partido Unionista,62070,173
100169482992019,Sebastián Arzú,Sebastián Arzú,61941,39
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,47459,255
1630952833827354,Armando Castillo,Armando  Damian Castillo Alvarado,46977,31
436246383083297,TODOS,TODOS,44285,13
187073013532,Partido VIVA,Partido Político VIsión con Valores VIVA.,42591,41
174740409237665,TSE Guatemala,These ads ran without a disclaimer,36568,20
109189810962889,Comunidad Elefante,Shorik Yann Mejia Blanco,34335,47
110226594945647,Partido BIEN,Partido BIEN,26326,81
110582257361172,Partido Azul,Partido Azul,25177,128
104839218452879,Partido Victoria Mixco,Partido Político Victoria,24995,8
106908785419555,Goberna Guatemala,Goberna,23677,109
1882597935332956,Partido VAMOS,Partido VAMOS,22750,22
115463025737962,Salvador Paiz,Salvador Paiz,16387,29
754661271544464,El Sol de Mixco,El Sol de Mixco,15490,78
101405406148203,Valor Suchitepequez,Byron Estuardo Villatorio Liu,15263,33
856012741442139,Ipas LAC,NEUMA,13767,25
115400548040796,Guate Al Día,Guate al Dia,13712,31
268285610002238,FCN Nación,FCN Nación,11618,8
100378716197991,Encuestados.com,Fernando Vasquez Velasquez,11463,13
103825294800306,Diario Guatemala,Sonny Rafael Gonzalez Paniagua,10745,23
107889118499330,Contraste Latam,Contraste Latam,10732,5
104917155362067,Roberto Arzu García-Granados,Roberto Arzú García-Granados,10481,13
281554395331686,República,"Republica GT, S.A.",9848,83
643513979193133,Justicia para Beatriz,Neuma,7751,79
104363285138486,Nosotros Guatemala,Partido Político Nosotros,7468,12
105847462372794,Estuviéramos Mejor,Estuvieramos Mejor,6667,35
142556265766634,Guatemala Visible,Guatemala Visible,6444,15
111135201593853,Comdefensa Comité Defensa de Víctimas de Accidentes de Tránsito Norte GT,Comdefensa Comité Defensa de Víctimas de Accidentes de Tránsito Norte GT,5991,33
112746484513924,Mirador Electoral de Guatemala,Jenner Abel Fuentes Velasquez,5968,35
116255971414800,Política Migración,Epifania Garcia,5838,4
231102923932085,La Luna del Mundo de los Libros a domicilio Guatemala,These ads ran without a disclaimer,5790,5
666637947094300,Diario La Nación,Elmer Alberto Fuentes Ibarra,5701,105
101372268406640,Unión Republicana,Unión Republicana,5375,14
123928580986363,Ministerio de Trabajo y Previsión Social,Ministerio de Trabajo y Previsión Social,4988,14
191866540866722,Elecciones Infantiles,Fundación Elecciones Infantiles de Centroamérica,4965,10
666637947094300,Diario La Nación,Sonny Rafael Gonzalez Paniagua,4692,33
100228912981471,PAN - Partido de Avanzada Nacional,PAN - Partido de Avanzada Nacional,4450,20
1710300235853890,Noticiero El Vigilante,Noticiero El Vigilante,4229,11
101783548637407,Antigua News,Antigua News,4200,2
1552532851481889,Buckner Guatemala,Buckner Guatemala,4175,58
119057720784594,El Búho,El Búho,4053,36
103100369170392,UNE Sacatepéquez -oficial-,UNE Sacatepéquez -oficial-,4050,3
100787018649683,Más Media,Más Media,4000,2
101725222007513,Mixco No Es Un Chiste,Mixco No Es Un Chiste,4000,2
101232075850965,La Teja News,La Teja News,3900,2
103639884893606,PIN,PARTIDO DE INTEGRACIÓN NACIONAL PIN,3850,10
106594985322216,Julio Portillo,These ads ran without a disclaimer,3665,5
198024350759004,Rudy Guzmán,Rudy Guzmán,3621,12
96594798704,Movimiento Cívico Nacional - MCN,Movimiento Cívico Nacional,3597,3
1545555582174942,TResearch,These ads ran without a disclaimer,3596,12
114227945284581,De Frente Por Guate,Sonny Rafael Gonzalez Paniagua,3418,16
191866540866722,Elecciones Infantiles,These ads ran without a disclaimer,3417,10
109448125780375,Melanie Müllers,Melanie Müllers,3400,16
105946259158286,Arias Consultores Guatemala,Arias Consultores,3299,142
101692028646792,El Chisme Guate,Paola Barillas,3294,5
110342054463001,Mientras tanto en Guate,Mientras tanto en Guate,3000,1
303127683559449,Victor Duarte,Victor Duarte Alcalde,2943,10
102593521889133,San Marcos al Minuto,Paola Barillas,2921,4
112746484513924,Mirador Electoral de Guatemala,smart link,2833,8
103924088521059,Esto es Guatemala,Emilio Cruz,2599,2
