Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
101158798961328,Suzi Barbosa,Suzi Barbosa,1554,28
103918762418233,WANEP GB,These ads ran without a disclaimer,≤100,3
821430017924241,Sungrow,These ads ran without a disclaimer,≤100,8
190126634445277,Africa Defense Forum ADF Magazine,These ads ran without a disclaimer,≤100,5
114346190744125,Braima Camará,These ads ran without a disclaimer,≤100,1
1518216038506999,CRI - Rádio Internacional da China,These ads ran without a disclaimer,≤100,3
8304333127,The Wall Street Journal,These ads ran without a disclaimer,≤100,2
434438863316803,RFI Português,These ads ran without a disclaimer,≤100,2
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,51
306805905853213,Our Story from GAZA,These ads ran without a disclaimer,≤100,1
145220802480809,Denisia Reis Embalo,These ads ran without a disclaimer,≤100,1
1057106817686105,RFI Mandenkan,These ads ran without a disclaimer,≤100,4
1798435720478073,新華香港,These ads ran without a disclaimer,≤100,8
104068205461363,Movimento social democrático M.S.D,These ads ran without a disclaimer,≤100,4
1166287850184975,Juventude da Renovação Social,These ads ran without a disclaimer,≤100,1
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,61
100849563431369,Orange,These ads ran without a disclaimer,≤100,1
2904975949728291,Catarina Taborda Gomes,These ads ran without a disclaimer,≤100,1
1600262000010146,Mory Conde,These ads ran without a disclaimer,≤100,1
197286593999,VOA Português,These ads ran without a disclaimer,≤100,12
127187187348820,Kaspersky,These ads ran without a disclaimer,≤100,1
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,18
106908734269054,Tribunal de Contas,These ads ran without a disclaimer,≤100,1
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,11
118724814882454,CPLP - Comunidade dos Países de Língua Portuguesa,These ads ran without a disclaimer,≤100,3
195379320664027,Voz de Bissau,These ads ran without a disclaimer,≤100,2
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,35
113850851219092,China Chat,These ads ran without a disclaimer,≤100,14
115591005188475,Global Times,These ads ran without a disclaimer,≤100,15
793541217464814,Cisco Global Problem Solver Challenge,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,80
245783122707027,Mars Solar Power System Manufacturer,These ads ran without a disclaimer,≤100,2
485947941433645,Novo Nordisk Haemophilia Foundation,These ads ran without a disclaimer,≤100,1
267410650127820,NRD Companies,These ads ran without a disclaimer,≤100,3
100718982631860,Orlando Dias - Candidato a Presidente do MpD,These ads ran without a disclaimer,≤100,1
371171589575669,China.org.cn,These ads ran without a disclaimer,≤100,7
116066208106047,عالم مثير للاهتمام,These ads ran without a disclaimer,≤100,1
102917937865570,fatima_bayqi,These ads ran without a disclaimer,≤100,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
108003688977456,Wabi Sabi,These ads ran without a disclaimer,≤100,1
146962192013495,MSH  Missão Saúde para a Humanidade,These ads ran without a disclaimer,≤100,1
166234117285509,Institut de la Francophonie pour l’éducation et la formation,These ads ran without a disclaimer,≤100,1
117621581593054,TV5MONDE Afrique,These ads ran without a disclaimer,≤100,4
893704437379805,Power Africa,These ads ran without a disclaimer,≤100,1
103035368477515,Mariam KEITA,These ads ran without a disclaimer,≤100,8
121458534227079,rogerboissy_officiel,These ads ran without a disclaimer,≤100,1
102877471454350,Kande Gao,These ads ran without a disclaimer,≤100,2
102164338173839,Fadoul Zakaria Fadoul,These ads ran without a disclaimer,≤100,1
1826241344357594,MultiChoice Group,These ads ran without a disclaimer,≤100,3
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,86
423670114403144,Trending in China,These ads ran without a disclaimer,≤100,9
795079500550035,Diário do Povo Online,These ads ran without a disclaimer,≤100,3
108512875350,The Atlas Society,These ads ran without a disclaimer,≤100,1
101247342019697,Diamante Guigui,These ads ran without a disclaimer,≤100,1
230834147675510,LabXchange,These ads ran without a disclaimer,≤100,1
1473321922884514,Chińskie Radio Międzynarodowe,These ads ran without a disclaimer,≤100,34
1750798861675565,Versos e Vinhos,These ads ran without a disclaimer,≤100,2
100929648464258,Global Alliance of Territorial Communities,These ads ran without a disclaimer,≤100,1
500895353689021,Africa's Business Heroes,These ads ran without a disclaimer,≤100,12
100602915032991,Pedro Tadeu,These ads ran without a disclaimer,≤100,3
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,56
224597158386607,Rosa Luxemburg Foundation,These ads ran without a disclaimer,≤100,24
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,≤100,12
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,2
204740833658478,Exness Life,These ads ran without a disclaimer,≤100,5
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100,3
105363750882345,Young Activists Summit,These ads ran without a disclaimer,≤100,12
103061592394639,Flor Liz,These ads ran without a disclaimer,≤100,1
102093685620627,Best Diplomats,These ads ran without a disclaimer,≤100,1
1592184267758930,Round-Table,These ads ran without a disclaimer,≤100,4
