Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,1092,16
68793499001,UNICEF,UNICEF with Facebook Ad Credits,1089,311
154163327962392,World Health Organization (WHO),These ads ran without a disclaimer,537,15
1112231108805309,President Irfaan Ali,Office of the President,476,7
565234626908619,Ministry of Agriculture - Guyana,Ministry of Agriculture - Guyana,468,12
28312410177,World Food Programme,These ads ran without a disclaimer,455,148
130149983715176,Ministry of Education - Guyana,Ministry of Education - Guyana,415,30
1605906563024554,Credible Sources,Sherod Avery Duncan,391,50
79355523842,University of the People,These ads ran without a disclaimer,335,4
100998292278237,Jobs in Canada,These ads ran without a disclaimer,329,59
287065821965080,Alex Armogan,These ads ran without a disclaimer,273,3
520055338020280,Tractors PK,These ads ran without a disclaimer,260,1
804997446264798,Chic Me,These ads ran without a disclaimer,252,1
700747296703613,New York Times Events,These ads ran without a disclaimer,183,1
248986568895243,Speechify,These ads ran without a disclaimer,142,23
1245931182164216,Muslim World League,These ads ran without a disclaimer,141,1
103335725360168,Jobs Vacancies in Canada,These ads ran without a disclaimer,138,25
158714780827513,UNFPA,UNFPA,118,209
101432722705734,RK's Guyana Security Services,RK's Guyana Security Services,117,5
113502851121835,Dr. Richard Van West-Charles for PNCR leader,Royston Romeo Lester,111,5
174669235904729,Sagicor Cave Hill School of Business and Management - The UWI Cave Hill,These ads ran without a disclaimer,111,1
97320092545,PAHO-WHO,These ads ran without a disclaimer,101,8
106524325036276,Canada Job Opportunity,These ads ran without a disclaimer,≤100,36
865157226909370,Mohabir Anil Nandlall SC MP,DPI,≤100,2
101516212181501,AIO Browser,These ads ran without a disclaimer,≤100,7
787298964734609,Guyana Daily News,These ads ran without a disclaimer,≤100,5
112030681144381,Canada Jobs For Foreign Workers,These ads ran without a disclaimer,≤100,28
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,24
231720020225801,BSH Home Appliances,These ads ran without a disclaimer,≤100,4
155608484462320,Healthy Caribbean Coalition,These ads ran without a disclaimer,≤100,2
740957125918482,New Life Church of Lithonia,These ads ran without a disclaimer,≤100,4
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,63
167327710092323,Mollaei Law,These ads ran without a disclaimer,≤100,37
564349167273374,Eddy L. Layne,Media Management,≤100,4
47127137583,Inter-American Development Bank,These ads ran without a disclaimer,≤100,8
295534797500471,Propeterra,These ads ran without a disclaimer,≤100,5
503951883021764,ShareTheMeal,These ads ran without a disclaimer,≤100,41
106302901139081,Sheriff Medical Centre Inc.,These ads ran without a disclaimer,≤100,1
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,27
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,≤100,14
68793499001,UNICEF,These ads ran without a disclaimer,≤100,42
249148422120393,"Ministry of Culture, Youth and Sport - Guyana",These ads ran without a disclaimer,≤100,2
830015703781124,Arden University,These ads ran without a disclaimer,≤100,32
626281981336155,Bishop Juan Edghill,Juan Anthony Edghill,≤100,10
565108056966122,Curiosity Stream,These ads ran without a disclaimer,≤100,33
122200595026963,Ninja Visual Arts,Jamal Raguel Gittens,≤100,2
342828533192994,Guyana Business Journal & Magazine,These ads ran without a disclaimer,≤100,3
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
102794965319126,Canada Jobs,These ads ran without a disclaimer,≤100,23
158402677555776,European External Action Service - EEAS,These ads ran without a disclaimer,≤100,4
109662051516465,Speaking Out: Exposing Corruption and Incompetence,These ads ran without a disclaimer,≤100,1
108461481118917,Electoral Reform Group,Desmond Thomas,≤100,1
268250939978498,Pegasus Hotel Guyana,These ads ran without a disclaimer,≤100,2
107293227830375,May truth with us,These ads ran without a disclaimer,≤100,3
333431117005561,Vibez Music Promotions,These ads ran without a disclaimer,≤100,2
770005409689728,Guyana Office for Investment,These ads ran without a disclaimer,≤100,9
180326885504687,Faith Assembly,These ads ran without a disclaimer,≤100,1
784242448396981,Georgetown Mayor and City Council,These ads ran without a disclaimer,≤100,3
108513688105167,Canada Jobs Available,These ads ran without a disclaimer,≤100,15
239503953056785,RAMPS Logistics,These ads ran without a disclaimer,≤100,5
117367415009624,RealtyHive,These ads ran without a disclaimer,≤100,1
112114338474903,Sheriff General Hospital,These ads ran without a disclaimer,≤100,2
272395789457104,Commonwealth Writers,These ads ran without a disclaimer,≤100,1
319749898114045,Jackpot Party Casino Community,These ads ran without a disclaimer,≤100,3
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,≤100,21
107207931828456,Next Thing Technologies,These ads ran without a disclaimer,≤100,6
339655986607308,People's Progressive Party East Coast Demerara,These ads ran without a disclaimer,≤100,1
18818694859,Anisa,These ads ran without a disclaimer,≤100,1
2345234128860188,BLISS Resto Lounge,These ads ran without a disclaimer,≤100,2
6013004059,The Economist,These ads ran without a disclaimer,≤100,49
161707728106607,BayWa r.e. Global,These ads ran without a disclaimer,≤100,2
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,13
684723085063634,El Dorado Offshore,These ads ran without a disclaimer,≤100,2
1355426087883151,Crypto.com,These ads ran without a disclaimer,≤100,1
103768381387100,Partnership Initiative for Sustainable Land Management,These ads ran without a disclaimer,≤100,1
100475754678943,C T Williams Technologies Inc. Main Office,These ads ran without a disclaimer,≤100,1
110238550571271,C T Williams Technologies Inc. Giftland,These ads ran without a disclaimer,≤100,1
933310850194959,Israel Alliance,These ads ran without a disclaimer,≤100,56
267264199961398,Change the World Model United Nations,These ads ran without a disclaimer,≤100,6
1155055734521358,Guyana Cricket Board,These ads ran without a disclaimer,≤100,1
1319240724756497,New Era Business Enterprise,These ads ran without a disclaimer,≤100,1
344540445566083,Ministry of Natural Resources - Guyana,Ministry of Natural Resources - Guyana,≤100,1
68793499001,UNICEF,UNICEF,≤100,78
857287714288855,The Church of Jesus Christ of Latter-day Saints - Caribbean,These ads ran without a disclaimer,≤100,2
115573996757772,VICE World News,These ads ran without a disclaimer,≤100,1
113615355316959,WIRED UK,These ads ran without a disclaimer,≤100,52
398561720230906,Greentech Festival,These ads ran without a disclaimer,≤100,2
106217518528394,Bilibili Comics home,These ads ran without a disclaimer,≤100,6
198323777480307,Joseph Harmon,These ads ran without a disclaimer,≤100,1
179833778739127,QS Quacquarelli Symonds,These ads ran without a disclaimer,≤100,4
1065631633538453,Physicians Across Continents,These ads ran without a disclaimer,≤100,26
1730630540553065,Curio,These ads ran without a disclaimer,≤100,5
241589262962248,ExxonMobil Guyana,These ads ran without a disclaimer,≤100,1
150697481638754,educations.com,These ads ran without a disclaimer,≤100,3
576601005756257,Caribbean Governance Training Institute - CGTI,These ads ran without a disclaimer,≤100,1
117592091643709,Tree of Life Ministries｜Evangelism in Israel,These ads ran without a disclaimer,≤100,10
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,208
935155729926015,GD Today,These ads ran without a disclaimer,≤100,2
119405895873,Huawei,These ads ran without a disclaimer,≤100,20
109655753899272,Superior Security and Management Services,Nicholas Brathwaite,≤100,1
975859242488864,End Violence Against Children,These ads ran without a disclaimer,≤100,4
100126129326486,MSD for Mothers,These ads ran without a disclaimer,≤100,2
140441793233304,Cooking Madness - A Chef's Game Community,These ads ran without a disclaimer,≤100,1
91563641103,Keron Bruce,Kenny Keron Bruce,≤100,1
541037595922979,World Climate Foundation,These ads ran without a disclaimer,≤100,3
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100,88
2103370333309053,Island Innovation,These ads ran without a disclaimer,≤100,1
719853864726295,Mindvalley,These ads ran without a disclaimer,≤100,49
826460474101920,I Love by BillMari,These ads ran without a disclaimer,≤100,1
106065484513801,Merge Friends,These ads ran without a disclaimer,≤100,4
770005409689728,Guyana Office for Investment,Department of Public Information,≤100,1
556498298141666,The Jay and Sylvia Sobhraj Foundation,These ads ran without a disclaimer,≤100,7
18523396549,The Church of Jesus Christ of Latter-day Saints,These ads ran without a disclaimer,≤100,1
103468501590488,The Correctness,These ads ran without a disclaimer,≤100,1
1223040224395261,Cabinet BALON,These ads ran without a disclaimer,≤100,5
6431878727,The Economist Intelligence Unit,These ads ran without a disclaimer,≤100,23
1899243206850125,FitCoach by Welltech,These ads ran without a disclaimer,≤100,8
1695889637360770,Hempire,These ads ran without a disclaimer,≤100,22
353495921471920,Guyana National Youth Council,These ads ran without a disclaimer,≤100,2
