Page ID,Page name,Disclaimer,Amount spent (HNL),Number of ads in Library
268438269939620,Nasry Tito Asfura,Partido Nacional de Honduras,2306505,167
1392592317738074,Jorge Cálix,Jorge Cálix,1538118,1008
124300620957187,Juan Orlando Hernández,Juan Orlando Hernández,1015079,256
158867210812129,Partido Nacional de Honduras,Partido Nacional de Honduras,985662,51
299920016701445,Xiomara Castro De Zelaya,Partido Libertad y Refundación (LIBRE),677017,47
703368406666619,Vox Populi HN,Vox Populi HN,655246,154
124300620957187,Juan Orlando Hernández,Presidencia de la República de Honduras,626299,117
283473761746124,David Chávez,Partido Nacional de Honduras,605172,110
221798457888029,World Vision Honduras,ASOCIACION VISION MUNDIAL HONDURAS,510276,199
980311812004557,Armando Calidonio,Armando Calidonio,504301,145
850142798711511,Ebal Díaz,Ebal Jair Diaz Lupian,384169,1106
633761396813612,Erasmo J. Portillo,Erasmo José Portillo Pinto,358969,56
114601521910,Jorge Aldana,Jorge  Aldana,281875,148
486382251906084,Honduras El País,Diario El  Pais.hn,236814,1922
349524351841734,Cárlenton Dávila,Jose Carlenton Davila Mondragon,213716,47
113279288457664,Quintin AMIGO,Quintin AMIGO,187627,131
421574011322217,Alcaldía del Distrito Central,Alcaldía del Distrito Central,166501,105
180779708635647,Juan Diego Zelaya,Juan Diego Zelaya,159493,236
670215973147907,Osman Aguilar,Osman Danilo Aguilar Ponce,155318,62
431679393649161,Escuela de Enfermería CAE,Escuela de Enfermería CAE,154811,126
104846908122173,Alia Kafati Diputada,Alia Niño Kafaty,152765,247
103731561814112,Partido Salvador de Honduras,Partido Salvador de Honduras,152741,55
1536298963332674,Eduardo Martell,Eduardo Martell,149831,106
299920016701445,Xiomara Castro De Zelaya,These ads ran without a disclaimer,139526,12
112724021787834,Por Nuestros Hijos,Con Mis Hijos No Te Metas HN,136172,136
459107311130639,Dr. Luther Harry,Dr. Luther Harry,130640,173
112772801190681,Newsflixx,These ads ran without a disclaimer,123780,12
349524351841734,Cárlenton Dávila,Cárlenton Dávila,120076,27
496839213786593,"Secretaría Nacional de Ciencia, Tecnología e Innovación","Secretaría Nacional de Ciencia, Tecnología e Innovación",118669,338
151154174943498,UNICEF Honduras,These ads ran without a disclaimer,104369,2
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,103056,256
1073562932669661,Romeo Vásquez Velásquez,Jesús Alberto Vásquez Zelaya,95146,39
486411318128334,Estamos Listos Honduras,Presidencia de la República de Honduras,94087,60
481781965172466,Aquafinca St Peter Fish,Aquafinca St Peter Fish,69145,15
148653345178694,Casa Presidencial de Honduras,Secretaría de Coordinación General del Gobierno de Honduras,69057,10
121707964354727,MiNota HN,MiNota HN,63461,109
249600751823745,Toñito Alcalde SPS,Luis Irwin Leiva Berrios,59817,27
288499014527710,Rasel Tome,Rasel Antonio Tome Flores,57608,44
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),56352,113
491553204198958,Revistazo.com,Revistazo.com,55896,125
275244985920774,Antonio Rivera,Antonio Rivera,50562,13
112241373658441,Fernando Gradiz,Fernando Jose Gradiz Benitez,50217,30
140032892460,Embajada de Estados Unidos en Tegucigalpa,These ads ran without a disclaimer,49520,3
338449830056765,Gustavo Romero / Candidato a Diputado por Cortés,Gustavo Adolfo Romero Romero,48831,54
110319032996453,Luis Ortega,Luis Ortega Sanchez,45904,101
213460505776904,Marvin Vásquez Diputado FM Casilla 72,Marvin Reniery Vásquez Teruel,45659,264
107278870906936,GeoMapps Honduras,Geomapps,43811,31
104599735671754,Goberna Honduras,Goberna Honduras,42221,111
1604501296475641,Godofredo Fajardo / Amemos A Nuestra Capital,Godofredo Fajardo Ramirez,41782,48
187581588077191,Juan Barahona,Andres Alfredo Castro Turcios,41250,64
567630230341046,Arturo Alonzo,Felix Arturo Alonzo Matute,40666,57
102923742103397,Cárlenton Dávila,Jose Carlenton Davila Mondragon,39788,33
110168511474333,Distrito News,Distrito News,39058,62
2180582345316242,Secretaría de Desarrollo Social,Secretaria de Estado en el Despacho de Desarrollo Social,37890,19
107565870853089,Samuel Garcia,Carlos Armando Garcia Rosales,36826,45
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia,36100,46
342580622273021,ElBunker504,ElBunker504,36008,21
100616299413033,Soy Chano Rivera,Soy Chano Rivera,35658,20
856012741442139,Ipas LAC,Astrid Leticia Aguilar Pinell,35628,26
483441215141189,ASJ Honduras,Asociación para una Sociedad más Justa,34731,37
109956938157318,Hechos Amanecer,Hechos Amanecer,34458,55
107048651784681,Radio Post,Radio Post,34309,41
138816232821931,PNUD en Honduras,PNUD (Programa de las Naciones Unidas  para el Desarrollo),34107,26
368991889627793,Carlos Urbizo Solis,Urbizo Presidente,33959,32
1754727451480916,Maribel Espinoza,Adela Zelaya Zavala,33767,41
112333800693678,Hugo Noé Pino,Daniel Andres Casula Salinas,33245,14
227061690777961,Televicentro HN,Compañía Televisora S.A.,33194,17
317590938686910,Oscar Cruz Diputado Suplente,Oscar  Bryan Cruz Almendarez,32496,61
114601521910,Jorge Aldana,Jorge Aldana,32401,18
100613059041228,"Gustavo Flores, Alcalde SPS, Casilla #1",Acción Transformadora,32351,147
1619479898324505,Partido Liberal de Honduras,Partido Liberal de Honduras,32345,48
106295494634992,Adeliano Amaya,Hillary Nicole Wong Espinal,32051,19
146555345521043,Cohep-Oficial,Cohep-Oficial,31389,14
1591865517769660,Fundación Kafie,Fundación Kafie,30531,14
214773008865018,Commission Encounter,These ads ran without a disclaimer,29286,1
112529930493702,Democracia en Acción Hn,Voto Informado Honduras,28416,72
106091181352547,Wilmer Rosa,Sergio Murillo,28313,104
643513979193133,Justicia para Beatriz,Neuma,28182,84
973656702704928,ParadigmaEncuestadora,ParadigmaEncuestadora,28103,18
1314458455242369,German Altamirano,Nixon Rufino Castro Cano,27574,18
112226484592571,Diario Post,Diario Post,26635,59
114459775060114,José  Flores,José  Flores,25716,4
703368406666619,Vox Populi HN,Vox Populi HN,25290,4
699137286926774,TuEncarguito.Net,Turcios Calix Herson Bladimir,25079,8
102290165456407,Honduras - Vacúnate a Tiempo,These ads ran without a disclaimer,24127,4
1270501863014285,Dr. Walter Perdomo,Walter Perdomo,22380,48
107157760890864,Congreso Primero,Congreso Primero,21592,4
749945128395059,AHIBA,Asociación Hondureña de Instituciones Bancarias,21040,8
1619479898324505,Partido Liberal de Honduras,Partido Liberal Honduras,20634,6
