Page ID,Page name,Disclaimer,Amount spent (HTG),Number of ads in Library
94005676787,Hitachi Vantara,These ads ran without a disclaimer,287369,1
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,76245,8
410809436013820,Gedony Fontil,These ads ran without a disclaimer,20601,17
155174084508744,Banque mondiale,These ads ran without a disclaimer,19571,31
28312410177,World Food Programme,These ads ran without a disclaimer,17354,8
2087588714793621,Michael Ajetomobi,These ads ran without a disclaimer,10534,2
100563075839228,Konbit Ranpli Tèt Bati Moun,These ads ran without a disclaimer,9924,4
103119027899256,Caribbean Climate-Smart Accelerator,These ads ran without a disclaimer,9466,2
115591005188475,Global Times,These ads ran without a disclaimer,7966,4
102930548085579,Buzz Incc,These ads ran without a disclaimer,7633,1
164344500263690,Beijing Review,These ads ran without a disclaimer,6842,1
1769843716586707,Caribbean Policy Development Centre - CPDC,These ads ran without a disclaimer,6659,6
2026436710919375,Coach Benbens,These ads ran without a disclaimer,6107,2
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,5770,105
119405895873,Huawei,These ads ran without a disclaimer,5206,10
103496105344354,Corporate Sustainability Review,These ads ran without a disclaimer,5144,2
904494356258286,Eric Jean Baptiste,These ads ran without a disclaimer,4601,25
255963405063733,HackSureste,These ads ran without a disclaimer,4572,1
107700928729846,HAÏTI PEYIM,These ads ran without a disclaimer,3816,1
157744694272310,We Like You All,These ads ran without a disclaimer,3664,1
800218473460377,Etzer Emile,These ads ran without a disclaimer,3664,1
1006107742777391,"R3volve Haiti, a Rapino Foundation Evolution",These ads ran without a disclaimer,3442,2
113977225921856,Expertise Developpement,These ads ran without a disclaimer,3359,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,3350,3
681614015247190,Caribbean National Weekly,These ads ran without a disclaimer,3250,26
1052968061385037,Josué Pierre-Louis,These ads ran without a disclaimer,3053,1
173619539833135,Reflexions Politiques Haitiennes,These ads ran without a disclaimer,2588,2
18983389920,Open Society Foundations,These ads ran without a disclaimer,2443,4
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,2423,57
167327710092323,Mollaei Law,These ads ran without a disclaimer,2401,1
168784053795347,Fondo Monetario Internacional,These ads ran without a disclaimer,2290,1
434351157296796,Rainbow Caribbean,These ads ran without a disclaimer,2201,4
338109312883186,China Xinhua News,These ads ran without a disclaimer,2186,26
146969275374981,Calabash TV,These ads ran without a disclaimer,2137,1
350575075978874,Tooky 509,These ads ran without a disclaimer,2137,1
1867998816641919,Lesly Louis Condé,These ads ran without a disclaimer,2137,3
259025094248205,Soroptimist International of Europe,These ads ran without a disclaimer,2109,2
744157752428507,United Haiti,These ads ran without a disclaimer,1985,1
1554857208060535,Presse Créole - PC,These ads ran without a disclaimer,1958,1
293822978025039,Bleeve Zoe-Unit,These ads ran without a disclaimer,1832,3
131180680396417,Global Press Journal,These ads ran without a disclaimer,1832,5
102617283498,Haiti Buzz Lakay,These ads ran without a disclaimer,1753,2
158714780827513,UNFPA,These ads ran without a disclaimer,1705,8
1883225851950815,Maga  store,These ads ran without a disclaimer,1679,5
1694446627479899,GBLF - Leaders Summit,These ads ran without a disclaimer,1679,1
102093685620627,Best Diplomats,These ads ran without a disclaimer,1630,1
152914224736727,Banco Mundial,These ads ran without a disclaimer,1565,135
112880083626983,Mon Pékin Express avec Shanhui,These ads ran without a disclaimer,1527,1
431580174408778,ZoomHaitiNews,These ads ran without a disclaimer,1527,1
111744096895796,Collège National des Démocrates,These ads ran without a disclaimer,1526,3
100675985252237,Karib'info_Officiel,These ads ran without a disclaimer,1517,1
101088665752557,L'enlèvement de l'Église sy ny famantarana,These ads ran without a disclaimer,1517,1
111160730747637,Trivia Stars,These ads ran without a disclaimer,1374,2
106300349078917,Thomas Zaugg,These ads ran without a disclaimer,1352,1
702918479750558,Conferencia Interamericana de Seguridad Social,These ads ran without a disclaimer,1285,1
19740928752,World Animal Protection,These ads ran without a disclaimer,1227,3
104915512391687,familymob_entertainment,These ads ran without a disclaimer,1146,2
1633471043591896,Almighty Word Ministries,These ads ran without a disclaimer,1119,1
272339052817415,enpaK,These ads ran without a disclaimer,1069,3
106120175623925,A-thletes.media,These ads ran without a disclaimer,1047,7
110731051196021,Aurore D Lexima,These ads ran without a disclaimer,1029,2
106827194681183,Africa Equity Media,These ads ran without a disclaimer,1026,15
108343434425137,On TV,These ads ran without a disclaimer,1012,1
103049355826825,Caribbean Figures,These ads ran without a disclaimer,989,7
108249441572536,Anmwe Anime,These ads ran without a disclaimer,927,1
170042611753,American University of Antigua,These ads ran without a disclaimer,916,1
1661050460880845,Lakayinfo,These ads ran without a disclaimer,916,1
8057376739,The Nature Conservancy,These ads ran without a disclaimer,891,1
102014645867869,lipalot.ht,These ads ran without a disclaimer,870,1
709430982419756,Thermo King Latinoamérica,These ads ran without a disclaimer,855,3
103607555996001,j_deniro,These ads ran without a disclaimer,795,3
1415517742031908,"Frédéric Boisrond, Sociologue",These ads ran without a disclaimer,789,2
110106161678362,Canadahebdo,These ads ran without a disclaimer,789,1
113451413791295,Skills Print Academy,These ads ran without a disclaimer,774,1
166258896830103,Porto Montenegro,These ads ran without a disclaimer,763,1
101023909605973,IIMoadi,These ads ran without a disclaimer,763,2
100760298338742,Medyapa'w,These ads ran without a disclaimer,763,2
283276125388016,Secrétariat Technique de la Commission Mixte Haïtiano-Dominicaine,These ads ran without a disclaimer,763,1
1822413458079743,Our Life's Moments,These ads ran without a disclaimer,763,1
104591118689285,Holson POU HAITI,These ads ran without a disclaimer,763,1
100219259331874,Clé d'Or Institut,These ads ran without a disclaimer,763,1
110557861402865,Bricourt Community Health Center,These ads ran without a disclaimer,763,1
100162738241949,Xu Zeyu,These ads ran without a disclaimer,763,2
113850851219092,China Chat,These ads ran without a disclaimer,763,3
111622410196045,State of Youth,These ads ran without a disclaimer,675,19
121350964566751,DHL Motorsports,These ads ran without a disclaimer,674,7
68793499001,UNICEF,These ads ran without a disclaimer,666,4
110979294923104,Secretos de la Música,These ads ran without a disclaimer,661,2
134278719946186,Bayer,These ads ran without a disclaimer,655,4
108584201404731,La Civiltà Cattolica - Edición en español,These ads ran without a disclaimer,641,2
112220134851421,Under the Sisterhood,These ads ran without a disclaimer,640,22
267410650127820,NRD Companies,These ads ran without a disclaimer,634,6
276176309918231,Musicology By Eric,These ads ran without a disclaimer,611,2
106223694548553,Coalition4Justice,These ads ran without a disclaimer,611,1
113536178038648,treiktreik,These ads ran without a disclaimer,611,1
105645202272681,Migración Hoy,These ads ran without a disclaimer,611,1
111742025168200,WS,These ads ran without a disclaimer,611,1
128408183883210,The Salvation Army - Caribbean Territory,These ads ran without a disclaimer,600,1
285530825204,Klitschko,These ads ran without a disclaimer,585,72
219612384781411,Bloomberg Philanthropies,These ads ran without a disclaimer,583,11
111468510733524,Rhodia's Critics,These ads ran without a disclaimer,559,1
115812288156168,Edem kite Ayiti sove lavim tanpri.,These ads ran without a disclaimer,547,1
165525366896608,Soka Gakkai,These ads ran without a disclaimer,519,16
169687486427698,Jentezen Franklin,These ads ran without a disclaimer,504,1
74078019638,Better Work,These ads ran without a disclaimer,496,2
104015742220554,Mimic,These ads ran without a disclaimer,489,5
94199711897,Hábitat para la Humanidad,These ads ran without a disclaimer,484,4
115786097787676,Fondation CIDEV,These ads ran without a disclaimer,473,2
198182270223092,Dr. Michelle Corral,These ads ran without a disclaimer,461,1
111123331917423,Chalè Zen Ayiti,These ads ran without a disclaimer,458,1
113003476380,IPYS,These ads ran without a disclaimer,458,2
100459909373328,Konbit Pou Bon Jan Demokrasi Haiti,These ads ran without a disclaimer,458,1
443464592695498,Owl Pro Drones,These ads ran without a disclaimer,458,1
268944007308959,Global Conference Alliance Inc.,These ads ran without a disclaimer,451,4
29056789480,Project Syndicate,These ads ran without a disclaimer,450,4
107700665175923,Sommet de la Francophonie de Djerba 2022,These ads ran without a disclaimer,432,1
110216804500078,Tele Nouvel,These ads ran without a disclaimer,427,1
438651852841000,COLEAD.link,These ads ran without a disclaimer,386,1
1921731394706379,HAITI 24,These ads ran without a disclaimer,371,2
241664783089008,Xin,These ads ran without a disclaimer,371,15
216311481960,Bill Gates,These ads ran without a disclaimer,346,10
100151016279664,CHW 2023 Symposium Liberia,These ads ran without a disclaimer,337,1
1126060947467307,Scatter HoldEm Poker,These ads ran without a disclaimer,337,2
348531276233537,Koala Mag,These ads ran without a disclaimer,336,11
100959346070883,H_gottimetoday,These ads ran without a disclaimer,333,1
897091320427120,LSE International Inequalities Institute,These ads ran without a disclaimer,307,3
1579920062256328,Custom Content from WSJ,These ads ran without a disclaimer,305,2
1172464279508751,Chef Claudy M. Pierre,These ads ran without a disclaimer,305,1
153687711327670,Clean Cooking Alliance,These ads ran without a disclaimer,305,4
100752016131980,grandph3thauto,These ads ran without a disclaimer,305,1
115813204713135,leilani_taneusmiller,These ads ran without a disclaimer,305,1
193394557345243,Devex,These ads ran without a disclaimer,305,3
2206658926222286,julienalleyne,These ads ran without a disclaimer,305,1
101744869189356,AyitiJèn,These ads ran without a disclaimer,305,1
104446759133504,Citoyenneté immigration Canadienne,These ads ran without a disclaimer,305,1
106860411920147,Graphimax,These ads ran without a disclaimer,305,1
372730414520,IDB Lab,These ads ran without a disclaimer,305,1
106858571311489,Polyglot Salva,These ads ran without a disclaimer,305,1
120547992894380,nmrigaud,These ads ran without a disclaimer,305,1
125540182400469,The Daily Resource,These ads ran without a disclaimer,305,4
108210467509014,The HEY Campaign,These ads ran without a disclaimer,304,7
423164364479359,Avocats sans frontières Canada,These ads ran without a disclaimer,292,1
133945616646913,RioOnWatch.org,These ads ran without a disclaimer,290,6
100245192872452,Global Democracy and Justice,These ads ran without a disclaimer,276,1
685161778223108,Sarah Lee - Entertainer,These ads ran without a disclaimer,249,1
109227277629813,Grassroots4LaVie,These ads ran without a disclaimer,249,1
101535831469644,ITS America Events,These ads ran without a disclaimer,247,1
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,238,7
104777807945566,ashh.lash,These ads ran without a disclaimer,228,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,227,25
106434525466186,Voyage et transports Canada,These ads ran without a disclaimer,225,1
545338128876880,Élysée Daniel Coach Vocale,These ads ran without a disclaimer,225,2
70877580782,IFC - International Finance Corporation,These ads ran without a disclaimer,212,4
10606591490,TIME,These ads ran without a disclaimer,209,4
108634033822838,Oltanie Charles,These ads ran without a disclaimer,208,1
110779955011030,Visa en ligne,These ads ran without a disclaimer,202,3
109484729082711,Climate Tracker,These ads ran without a disclaimer,195,1
2172306279659345,El Pueblista.,These ads ran without a disclaimer,194,2
198722273488352,The World's 50 Best Restaurants,These ads ran without a disclaimer,192,1
102415047928145,Shanghai Electric,These ads ran without a disclaimer,191,9
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,189,2
102860875465067,New Marco Polo,These ads ran without a disclaimer,188,2
102082139313736,Spyn Inc,These ads ran without a disclaimer,186,1
528173084354257,Le Scientifique,These ads ran without a disclaimer,186,2
148625584773,Black Bobby,These ads ran without a disclaimer,183,2
111875398397934,Frattus 0811,These ads ran without a disclaimer,183,1
64588666340,Haaretz.com,These ads ran without a disclaimer,179,8
274138756817,Architonic,These ads ran without a disclaimer,175,2
430258463820053,International School of Ministry with Pastor Chris,These ads ran without a disclaimer,174,1
1238173096287495,Azur Games,These ads ran without a disclaimer,173,4
131189377574,MDPI,These ads ran without a disclaimer,172,40
1623035814584075,Eppendorf do Brasil,These ads ran without a disclaimer,172,1
363388004312003,STAEDTLERinst,These ads ran without a disclaimer,169,2
130369030334301,KidsRights,These ads ran without a disclaimer,169,9
791943710959735,EPOP,These ads ran without a disclaimer,169,2
171522852874952,Juventus,These ads ran without a disclaimer,169,1
112221226917224,RPS,These ads ran without a disclaimer,169,1
391387864969982,Prisoners Defenders,These ads ran without a disclaimer,169,3
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,163,48
139098866100198,Merri-bek City Council,These ads ran without a disclaimer,160,2
6756153498,Mike Bloomberg,These ads ran without a disclaimer,154,2
109835071800438,vaguedenature,These ads ran without a disclaimer,153,1
113044771430107,Immigration Canada,These ads ran without a disclaimer,153,1
1182047925274773,Family Mob Entertainment,These ads ran without a disclaimer,153,1
412409048849179,Behold Israel,These ads ran without a disclaimer,153,3
1590877284560136,Patti Harris,These ads ran without a disclaimer,153,6
141289332596921,PECB,These ads ran without a disclaimer,153,2
124252504303223,UNICEF (FR),These ads ran without a disclaimer,153,2
239982637475,Independent Evaluation Group (IEG),These ads ran without a disclaimer,153,1
105848558790469,"Word Office - Reader, Editor & Viewer",These ads ran without a disclaimer,153,1
100798171980153,Paragon Institute of Innovation,These ads ran without a disclaimer,153,1
104027149180040,Richardson Jacinthe,These ads ran without a disclaimer,153,1
354397697217,IEEE Xplore,These ads ran without a disclaimer,153,3
1358076774340220,ProudToBe01,These ads ran without a disclaimer,153,1
151609045347,Made-in-China.com,These ads ran without a disclaimer,153,3
104942321495828,Tian Wei at work,These ads ran without a disclaimer,153,3
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,153,3
1796821177279442,Smith Darius,These ads ran without a disclaimer,153,2
105639788802169,Active Witness,These ads ran without a disclaimer,153,2
106532464278807,Caribbean Tree Planting Project,These ads ran without a disclaimer,153,2
211219822244084,Centro Virtual de Aprendizaje,These ads ran without a disclaimer,153,1
237650313048963,China Admissions,These ads ran without a disclaimer,153,2
33575580843,Microsoft Research,These ads ran without a disclaimer,153,1
281010408760078,Marketplace Excellence,These ads ran without a disclaimer,153,1
101359732304206,Share_M113_x2,These ads ran without a disclaimer,153,2
1374826826104281,Sensibo,These ads ran without a disclaimer,153,4
101054365776547,Charming Changzhou,These ads ran without a disclaimer,153,4
371227786709544,Refund Express LLC,These ads ran without a disclaimer,153,3
109897761283795,djkrazytouch,These ads ran without a disclaimer,153,1
178041726995063,blacwater_lee,These ads ran without a disclaimer,153,2
103230278606215,360 SMART LINGO,These ads ran without a disclaimer,153,1
108666817334103,Force Démocratique Haïtien Intégré-FDHI,These ads ran without a disclaimer,153,1
100877498600309,California Youth Leadership Summit,These ads ran without a disclaimer,153,3
105169285546485,Representation of Ukraine in Latin America and the Caribbean,These ads ran without a disclaimer,153,3
176104589110851,IEEE,These ads ran without a disclaimer,153,2
112043928397264,Honourable Arlington Musgrove,These ads ran without a disclaimer,153,1
101858846062827,Movement for Unity and Democracy,These ads ran without a disclaimer,153,1
96222644025,Sacramento Kings,These ads ran without a disclaimer,153,1
168541176493834,Island TV,These ads ran without a disclaimer,153,1
100833181404420,Hands United Against Poverty Inc.,These ads ran without a disclaimer,153,1
1727581227480675,Empower Through Play,These ads ran without a disclaimer,153,2
106042965492442,Visa de travail,These ads ran without a disclaimer,153,1
100268118833988,luckoshow,These ads ran without a disclaimer,148,1
101453801610760,Share-On Project,These ads ran without a disclaimer,148,1
253772961315048,Mercury Mosaics,These ads ran without a disclaimer,147,6
108168278262981,Energy Connects,These ads ran without a disclaimer,142,2
100126212204265,Homebond Properties,These ads ran without a disclaimer,142,1
129366111456,Jamaica Information Service,These ads ran without a disclaimer,140,1
451256781884275,Klondike Adventures,These ads ran without a disclaimer,137,2
185139171667,Daymond John,These ads ran without a disclaimer,136,4
933310850194959,Israel Alliance,These ads ran without a disclaimer,134,6
107530932671391,FHI 360,These ads ran without a disclaimer,133,1
100172476278127,Easy Study,These ads ran without a disclaimer,132,1
100649836304143,Moreno Media/Promo,These ads ran without a disclaimer,129,2
112372973710121,Attenti,These ads ran without a disclaimer,126,1
1752512328368110,BBD Haitian vibe,These ads ran without a disclaimer,121,2
106423254910166,Le Docteur Aicha Yatabary,These ads ran without a disclaimer,116,8
1497502300316673,Jeff Mosil - Negocios De Elite,These ads ran without a disclaimer,114,2
312250336311238,Global Cause,These ads ran without a disclaimer,113,4
152000511496023,UBC Sauder School of Business,These ads ran without a disclaimer,113,2
112903984551289,bejinedsl_official,These ads ran without a disclaimer,113,2
100617599250020,XuQinduo,These ads ran without a disclaimer,111,2
270082823183144,Canton Fair,These ads ran without a disclaimer,111,4
821430017924241,Sungrow,These ads ran without a disclaimer,110,4
1782466398436750,Media Institute of the Caribbean - MIC,These ads ran without a disclaimer,110,3
128985777176957,Church Life Journal,These ads ran without a disclaimer,108,3
10423517786,Harvard Business Review,These ads ran without a disclaimer,107,1
103018419782973,ITU,These ads ran without a disclaimer,106,1
103733191524431,Liuxininbeijing,These ads ran without a disclaimer,102,6
107967534815674,Vahid immigration Canadian,These ads ran without a disclaimer,≤100,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,4
329527283769265,Razor-N-Tape,These ads ran without a disclaimer,≤100,2
105554772054684,Thunderbros,These ads ran without a disclaimer,≤100,4
164432246934163,Chopard,These ads ran without a disclaimer,≤100,2
581164555713970,Bermuda Islamic Cultural Center,These ads ran without a disclaimer,≤100,1
110917371847867,Marisol Ortiz,These ads ran without a disclaimer,≤100,2
105480455297597,Johnson & Johnson Medical Devices Brasil,These ads ran without a disclaimer,≤100,1
138702552827157,Business Traveller UK,These ads ran without a disclaimer,≤100,6
120460525135389,Educational Partners International,These ads ran without a disclaimer,≤100,1
184494515713,On The Run With P,These ads ran without a disclaimer,≤100,1
111783969059,Tony Robbins,These ads ran without a disclaimer,≤100,2
102088069159266,Elizabeth Marshall Digital,These ads ran without a disclaimer,≤100,1
1010847105623136,NowThis Earth,These ads ran without a disclaimer,≤100,3
101016751419178,ministerzay,These ads ran without a disclaimer,≤100,1
223495844457800,China Plus Culture,These ads ran without a disclaimer,≤100,8
34440108608,Net Impact,These ads ran without a disclaimer,≤100,22
279083325560817,Running Out of Time,These ads ran without a disclaimer,≤100,9
111254080238119,ZenLyfe,These ads ran without a disclaimer,≤100,1
101998658413144,Black Streak Anime,These ads ran without a disclaimer,≤100,12
188890111132385,Oxford Academic (Oxford University Press),These ads ran without a disclaimer,≤100,2
105244831337004,Tomàs Aquino Mundial.,These ads ran without a disclaimer,≤100,1
104929039128172,Hoshi Kem Trẻ Hóa Làn Da - Xóa Nám Tàn Nhang,These ads ran without a disclaimer,≤100,6
100254824748185,Jensog-UK,These ads ran without a disclaimer,≤100,18
108476771801217,Paul Ella,These ads ran without a disclaimer,≤100,1
105363750882345,Young Activists Summit,These ads ran without a disclaimer,≤100,15
102320574635268,Yon ti goute pou'n pale biznis,These ads ran without a disclaimer,≤100,1
56777943052,One Young World,These ads ran without a disclaimer,≤100,3
1881543645439590,Tech It Out with Yang Zhao,These ads ran without a disclaimer,≤100,7
772854679419443,Karl Roussel,These ads ran without a disclaimer,≤100,1
101259045957665,Rose Peeples,These ads ran without a disclaimer,≤100,1
114741947777478,Azazel Podcast,These ads ran without a disclaimer,≤100,1
107560862243376,Naomie African Queen,These ads ran without a disclaimer,≤100,1
954162551399498,Vitaly Malkin,These ads ran without a disclaimer,≤100,2
139792549833378,Help For Ours Asbl,These ads ran without a disclaimer,≤100,1
104445971773668,TAIHEN Việc Làm,These ads ran without a disclaimer,≤100,4
1482884495306077,NaturallyJess Photography,These ads ran without a disclaimer,≤100,1
115009537479523,Ada Gonzalez,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,4
2552060571686733,Novakid Polska,These ads ran without a disclaimer,≤100,2
103013301743771,Global Environmental and Climate Conservation Initiative,These ads ran without a disclaimer,≤100,1
852370551453606,GARP,These ads ran without a disclaimer,≤100,2
2610140028997323,Uniathena,These ads ran without a disclaimer,≤100,3
114507271987242,IVECA International Virtual Schooling,These ads ran without a disclaimer,≤100,2
797137927138387,Diaspo Inter-Action,These ads ran without a disclaimer,≤100,1
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100,1
104750507958716,Cineus Serge Mathely,These ads ran without a disclaimer,≤100,1
113502287096979,I Luv Australia,These ads ran without a disclaimer,≤100,2
152956984574,International Human Rights Art Festival,These ads ran without a disclaimer,≤100,2
289397611132,Working Ranch Magazine,These ads ran without a disclaimer,≤100,1
315603771494,Milaap,These ads ran without a disclaimer,≤100,27
246623842439048,Migrants & Refugees Section,These ads ran without a disclaimer,≤100,1
134430013293100,Cátedra Ingmar Bergman,These ads ran without a disclaimer,≤100,1
108645111787252,Discover Guilin,These ads ran without a disclaimer,≤100,3
7783116506,Animals Asia,These ads ran without a disclaimer,≤100,23
151409322217001,Berlin School of Business & Innovation - BSBI,These ads ran without a disclaimer,≤100,2
1515909005308067,"Discover Nanjing, China",These ads ran without a disclaimer,≤100,9
1587313088233587,Ideagen,These ads ran without a disclaimer,≤100,1
222957571664804,StudentHub,These ads ran without a disclaimer,≤100,2
153887384672062,Doctors Without Borders / Médecins Sans Frontières,These ads ran without a disclaimer,≤100,1
312898778847834,TERRAM PACIS,These ads ran without a disclaimer,≤100,7
