Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
291934661006674,HSE Ireland,HSE Ireland,471861,880
116635611711738,merrionstreet.ie,merrionstreet.ie,264440,138
107898832590939,European Commission,European Commission,174529,475
1410175299237713,AIB,AIB,162778,189
323833692991,ActionAid Ireland,ActionAid Ireland,162606,2669
148726998530273,Sinn Féin Ireland,Sinn Féin,158441,3264
18135444535,Trocaire,Trocaire,157897,1020
6891149895,Concern Worldwide,Concern Worldwide,154938,1416
178362315106,European Parliament,European Parliament,154744,2971
264172043210,Fine Gael,Fine Gael,137675,531
222629035132,Fianna Fáil,Fianna Fáil,133047,1512
6891149895,Concern Worldwide,Concern Worldwide,117328,314
201612129410,Oxfam,Oxfam,115665,324
260630414430823,Department of Social Protection,Department of Social Protection,104726,52
158961023733,Amnesty International-Ireland,Amnesty International-Ireland,95004,1590
580832208630212,Referendum Commission,Referendum Commission,93470,30
395121633857254,SEAI,SEAI,76756,134
947669891968179,Uisce Éireann Irish Water,Irish Water Uisce Éireann,76010,146
174058850034538,"Department of the Environment, Climate and Communications","Department of the Environment, Climate and Communications",72709,47
1832237970132786,Healthy Ireland,Healthy Ireland,69445,143
120409074730549,An Post,An Post,55433,77
224615650378,Pro Life Campaign Ireland,Pro Life Campaign Ireland,51634,219
455196627967510,Gas Networks Ireland,Gas Networks Ireland,50267,107
116458968941226,Bord na Móna,Bord Na Móna,49848,11
212716455604784,EirGrid,EirGrid,48632,72
208480693834,Irish Farmers Journal,Irish Farmers Journal,41093,207
164027949687,Labour Party,Labour Party,38720,275
253456724751421,Bank of Ireland,Bank of Ireland,38532,36
121065838444,Women's Aid,Women's Aid,36968,360
201612129410,Oxfam,Oxfam Ireland,36597,141
192929340724203,GOAL,GOAL,35716,226
149890191689087,Bord Gáis Energy,Bord Gáis Energy,34805,57
602036773631600,Irish Emergency Alliance,Irish Emergency Alliance,33210,54
328781076730,Focus Ireland,Focus Ireland,33089,253
615775065467919,PV Generation,These ads ran without a disclaimer,28607,152
102827675830016,Birth Information & Tracing,Adoption Authority of Ireland,28605,8
811773748881458,The Business Post,The Business Post,28474,233
88243924389,Depaul Ireland. Ending Homelessness.,Depaul Ireland,27593,667
470977316331509,NRG PANEL,These ads ran without a disclaimer,25771,256
112303228782980,Dogs Trust Ireland,These ads ran without a disclaimer,24595,18
28312410177,World Food Programme,These ads ran without a disclaimer,23131,235
439786533246186,Irish Human Rights & Equality Commission,"All Human, All Equal",23096,68
103880909673865,SVP - Society of St. Vincent de Paul Ireland,SVP - Society of St. Vincent de Paul Ireland,22219,83
16352623251,Self Help Africa,Self Help Africa,21430,355
131595511841,CCPC,CCPC,21295,42
118151521564978,SSE Airtricity,SSE Airtricity,21164,47
109487449881,Repak,Repak Limited,21000,24
157979074251209,Irish Universities Association,Irish Universities Association,20299,32
201612129410,Oxfam,These ads ran without a disclaimer,20228,253
606728556470393,paddycosgrave,Patrick Cosgrave,20097,29
178974912140818,Leo Varadkar T.D.,Fine Gael,19677,41
116151744907,IIEA,IIEA,19544,122
344422890306,SpunOut.ie,SpunOut.ie,19144,225
175755288280,Allianz Ireland,Allianz Ireland,18881,19
141366725876424,European Greens,European Greens,17940,32
106117859442264,Chilly's,These ads ran without a disclaimer,17221,17
162814401227663,Josiah Burke,Burke Josiah Emmanuelle,16928,98
210059959032336,Dominic Hannigan,Dominic Hannigan,16838,186
158325247540273,Life Institute,Life Institute,16791,132
109586204571373,SciComm Collective Ireland,Department of Health,16624,20
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,16081,155
81357518349,UNICEF Ireland,These ads ran without a disclaimer,15687,42
108339693065,Green Party Ireland,Green Party Ireland,15169,715
278029242253904,Twitter,These ads ran without a disclaimer,15027,2
260630414430823,Department of Social Protection,These ads ran without a disclaimer,14418,4
247809738564793,Belong To,BeLonG To Youth Services,13916,173
1400922673570477,BRITA Ireland,These ads ran without a disclaimer,13535,10
43110923010,Meta,Facebook Ireland,13069,4
110584250806592,Department of Justice Ireland,Department of Justice,12712,28
883806764992893,Maria Walsh,Fine Gael,12668,31
1498774436890207,Getting Ireland Brexit Ready,merrionstreet.ie,12500,16
156701534946054,My Waste Ireland,My Waste Ireland,12442,27
566474837157812,"Roinn Sláinte, Department of Health",Department of Health,12379,11
182354901841834,Luke 'Ming' Flanagan MEP,Luke 'Ming' Flanagan MEP,12000,7
186888067870,Threshold Ireland,Threshold Ireland,11706,79
580216935345125,Matt Carthy,Carthy Matt,11531,114
1619368304944013,Ulster Bank,Ulster Bank,11339,31
189960274370069,Coillte,These ads ran without a disclaimer,11323,3
305608429284,EU Environment,Egan William,11129,64
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,11087,114
192929340724203,GOAL,These ads ran without a disclaimer,10948,20
356935764395976,Aer Lingus,Aer Lingus,10942,4
132971523382075,OPW - Office of Public Works,OPW - Office of Public Works,10940,30
574029596021905,People Before Profit,People Before Profit,10390,184
174520041078,University College Dublin,University College Dublin,10128,124
719890584766018,Paul Murphy TD,Paul Murphy TD,10090,684
774617965974573,HSE mychild.ie,HSE mychild.ie,9990,33
128897183855668,Ged Nash TD,Senator Ged Nash,9957,104
280965412440,National Youth Council of Ireland,National Youth Council of Ireland,9818,197
353888041363866,Irish Tax Rebates,These ads ran without a disclaimer,9718,11
159788160765346,Calor Ireland,These ads ran without a disclaimer,9635,39
121138729710,Immigrant Council of Ireland,Immigrant Council of Ireland,9631,163
291699857688,EPP Group in the European Parliament,EPP Group in the European Parliament,9046,97
105770570790815,Meat and Dairy Facts,Meat and Dairy Facts,9042,13
367182798860,Organico Bantry,Organico Bantry,9027,145
406454202814957,Lynn Boylan,Sinn Féin,9020,139
511408785621387,Andy Harrington - Jet Set Speaker,These ads ran without a disclaimer,8633,18
142564695770293,VSO Ireland,VSO Ireland,8497,171
2002340613394109,Mark Durkan,Fine Gael,8264,29
156398467784136,Ruth Coppinger,Solidarity - The Left Alternative,8239,93
639093993089047,Next-Gen Power Ireland,These ads ran without a disclaimer,8221,18
148024081881549,The Phoenix Magazine,The Phoenix Magazine,7884,122
908532162532297,Mick Barry TD,Solidarity - The Left Alternative,7836,128
115885998520125,Women for Election,Women for Election,7778,30
182348645122723,TENI - Transgender Equality Network Ireland,TENI - Transgender Equality Network Ireland,7689,93
580763859048353,Gript,Gript,7589,181
615775065467919,PV Generation,Joseph Garvin,7326,170
1012851375393300,Social Democrats,Social Democrats,7324,172
104454981310294,"Department of Children, Equality, Disability, Integration and Youth",These ads ran without a disclaimer,7162,2
137357969666256,GCN,GCN,7146,685
105958862827971,Debra Ireland - The Butterfly Skin Charity,Debra Ireland,7122,217
2242183922693730,Saoirse McHugh for Mayo,Green Party Ireland,6998,42
362977374551705,James O'Connor TD,O Connor James Finbarr,6875,105
449282445418073,Irish Foreign Ministry,Department of Foreign Affairs and Trade,6854,4
147547541961576,Council of the European Union,Council of the European Union,6826,890
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,6789,164
1629444570695976,Minister Frank Feighan,Frank Feighan,6724,140
840685226025419,Jackie Cahill TD,Jackie Cahill TD,6633,205
104622121026372,Earth Breeze,These ads ran without a disclaimer,6613,10
541250599362726,Protect Life,Family & Life,6510,131
516116248507364,Deirdre Clune MEP,Deirdre Clune MEP,6509,46
40411146661,Irish Heart Foundation,Irish Heart Foundation,6434,19
227964058053,Aviva,Aviva,6405,33
109379603774944,The Pension Experts,Gareth Byrne,6354,104
104095162187567,Sea-Fisheries Protection Authority,Sea-Fisheries Protection Authority,6188,9
25762350423,Ivana Bacik,Labour Party,6121,55
108271484060709,Project Zero Carbon,Project Zero Carbon,6097,74
1486666311655495,Chris MacManus MEP,Chris Macmanus,6061,392
161049013962996,Jerry Mulvihill,Jerry Mulvihill,6044,33
185032148201312,Seán Sherlock TD,Seán Sherlock,6026,394
340786422717552,Sean Kelly MEP,Sean Kelly MEP,5858,123
1608686222731082,Michael Lowry T.D.,Michael Lowry,5778,108
34812247970,Malcolm Byrne,Malcolm Byrne Page,5606,45
343705405759491,Energia,Energia,5592,8
174058850034538,"Department of the Environment, Climate and Communications",These ads ran without a disclaimer,5551,15
1772885396319952,ESB Careers,ESB Careers,5472,27
2001188669995923,Alan Kerrigan,Alan Thomas Kerrigan,5420,166
1931709023726259,STAND,STAND.ie,5396,26
337495229149,All Ireland Rally for Life,Life Institute,5317,46
1055105841226515,Senator Alice-Mary Higgins,Alice Mary Higgins,5270,72
247890776103489,James Geoghegan,Fine Gael,5250,35
503951883021764,ShareTheMeal,These ads ran without a disclaimer,5203,51
165050580250025,Development Perspectives,Development Perspectives,5181,62
142568445802216,Acquired Brain Injury Ireland,Acquired Brain Injury Ireland,5172,237
680383782013115,Emer Higgins T.D.,Fine Gael,5152,13
112519427263066,Cork County Council Environment Department,Cork County Council Environmental Awareness Office,5059,66
116635611711738,merrionstreet.ie,"Department of Enterprise, Trade and Employment",5016,12
263238917631520,Holly Cairns TD,Cairns Holly Leah,4911,105
55561789395,Cormac Devlin TD,Cormac Devlin,4902,102
108510759173291,EDF,EDF Renewables Ireland,4839,35
290164627800136,Cllr. Ollie Crowe,Ollie Crowe,4826,48
1606428376342650,Senator Paul Gavan SF,Gavan Paul,4770,163
116509125035939,Christian Aid Ireland,Christian Aid Ireland,4660,99
1536535833238375,Richard Boyd Barrett TD,Richard Boyd Barrett TD,4549,94
2191197471159741,PandaPower.ie,Lisa Gillivan,4536,8
2259750964278363,"Department of Housing, Local Government and Heritage","Department of Housing, Local Government & Heritage",4465,78
118151521564978,SSE Airtricity,These ads ran without a disclaimer,4437,17
19746387261,Humane Society International,These ads ran without a disclaimer,4428,207
1671337413144589,Shane Ross,Shane Ross,4425,130
122938653695,Wind Energy Ireland,Wind Energy Ireland,4424,53
131456653566112,Skillnet Ireland,Skillnet Ireland,4391,48
105374762485355,We Consent,DRCC,4327,32
92638258613,Simon Communities of Ireland,Simon Communities of Ireland,4292,36
1772885396319952,ESB Careers,These ads ran without a disclaimer,4283,17
84284465067,Easyread - helping children to read and spell made easy with visual phonics,These ads ran without a disclaimer,4183,7
442937496280869,Which Mortgage,Which Mortgage,4034,50
332922256870133,Activ8 Energies,These ads ran without a disclaimer,4004,7
420422991638510,NOW,These ads ran without a disclaimer,3999,2
512028555814283,Senator Pat Casey,Casey Patrick,3992,110
112303228782980,Dogs Trust Ireland,Dogs Trust Ireland,3956,15
78701493153,European Movement Ireland,Lisa Nic An Bhreithimh,3944,31
25762350423,Ivana Bacik,Senator Ivana Bacik,3929,31
121353207937397,Irish Wheelchair Association,Irish Wheelchair Association,3907,11
286177884865240,Jack Chambers,Jack Chambers,3901,77
377716962315255,Spotify,These ads ran without a disclaimer,3899,1
6891149895,Concern Worldwide,These ads ran without a disclaimer,3873,30
