Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
104888898503002,هاوپەیمانی کوردستان تحالف کوردستان,Click Iraq,99649,135
399110903587431,دژه تیرۆری کوردستان Kurdistan CT,ASO,56542,3712
1960687214155123,بەیار عومەر عەبدوڵا Bayar Omar Abdullah,Bayar Omar Abdullah,32323,81
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,31532,162
156620111353069,المفوضية العليا المستقلة للانتخابات,المفوضية العليا المستقلة للانتخابات,25391,77
110035949016294,Masrour Barzani,ASO,23229,559
1248390571961488,Eme Yeketin,Click Iraq,21672,27
381497365537157,R.C.D مركز الرافدين للحوار,R.C.D مركز الرافدين للحوار,19433,235
413266606135699,سعد الاوسي,علي نوري,17621,15
108073001676806,مقراب الشرق,مقراب الشرق,17471,99
102221762283932,مقراب الشرق کوردی,مقراب الشرق,17455,88
103800424740910,BAZ باز,BAZMedia,17448,3942
108448645342531,BAZ PLUS,BAZ PLUS,15794,2343
2003953506544982,ائتلاف النصر,Ahmed Abdulkareem Shihab Alwandi,12143,143
413266606135699,سعد الاوسي,سعد الاوسي,11858,18
1066183836729650,محمد توفيق علاوي,Mohammed Allawi,11586,97
100484665608093,حزب تقدم / الأعظمية,Moustafa Tayseer Alsari,11440,145
199619564219576,مركز الرافدين للحوار R.C.D - العلاقات العامة,R.C.D مركز الرافدين للحوار,10939,158
104507525043217,Nama,NamaDigital,10847,993
103177768694083,منصة الرصد الإلكترونية,منصة الرصد,10607,68
179158259303,U.S. Embassy Baghdad,U.S. Embassy Iraq,9932,165
109579071414413,حركة حقوق,These ads ran without a disclaimer,9094,80
102182635886032,Ammar AL Hamadani,Ammar Al Hamadani,8714,35
101111972052760,اقتصاد بلدي,These ads ran without a disclaimer,8168,3
108208211346225,ڕێچکە - Rechka,peelagency,8149,1499
101225028723669,AsAn  ئاسان,PeelAgency,8121,1528
110534435683482,Kurdistan Democratic Party,KDPinfo,8022,782
101964988731653,محسن المندلاوي,محسن المندلاوي,8010,261
106053335295019,AYM - ايم,AYM,7594,1063
1007330429412535,المستشفى البريطاني للعقم واطفال الانابيب والجراحات التخصصية,These ads ran without a disclaimer,7257,256
194778987219047,BasNews,Diyar Azeez Mustafa,7241,1114
110855024479814,حسن قاسم الخفاجي,احمد غازي سالم,7196,198
213576145436546,قناة الفرات - Alforat TV,ضياء صالح,7167,65
563523023665939,KurdistanPress,kurdistanpress.net,7127,1821
118147190026744,دەنگێ بەھدینان Dengê Behdinan,dengebehdinan.net,7122,3613
381497365537157,R.C.D مركز الرافدين للحوار,مركز الرافدين للحوار R.C.D,6784,151
112206986837937,داركا مازى - كوردى,Darka Mazi,6552,1033
135202556677269,Rabun Maroof رابون مەعروف,Rabun Maroof,6329,86
739062636840035,محافظة بغداد - حركة حقوق,يونس محمد علي,5842,135
101537365554352,KURD POST,Ahmed Majeed Awla,5804,2657
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,UNICEF,5799,92
467222586811080,شێخەی مەمەند ئاغای ھەمەوەند,شێخەی مەمەند ئاغای ھەمەوەند,5440,98
104005041772849,DAW- داو,Peelagency,5326,1045
104507525043217,Nama,Salam Mina,5254,582
120860796437597,Mustafa Ghalib Mukheef مصطفى غالب مخيف,Mustafa Ghalib Mukheef,5168,52
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,5065,7
132126192341800,أنا البرلمان,Rewaq Center for Public Policy,4981,24
152858888093521,NRT,NRT TV channel,4791,64
374731675998101,Sumer News سومر نيوز,Nadia Riyadh,4629,11
267078350122003,الدكتور ماجد شنكالي,الياس الحسين,4507,470
556915681040436,عبدالله حاجي محمود : Abdullah Haji Mahmood,Abdullah Mahmood Mohammed,4439,135
68793499001,UNICEF,UNICEF with Facebook Ad Credits,4437,371
302342846473745,Kurdistan TV,kurdistantv,4414,599
638540889641531,Xwakurk  - خواكورك,Abdulla Omar Kareem,4389,2130
467222586811080,شێخەی مەمەند ئاغای ھەمەوەند,Nakam Rahim Mohammed,4388,55
230222927168056,بليغ مثقال أبو كلل,علي الياسري,4331,159
110911420383353,نعيم الشويلي,وسام الساعدي,4295,15
115033719858579,مشتەکۆڵە,mshtakolla,4282,555
