Page ID,Page name,Disclaimer,Amount spent (JMD),Number of ads in Library
287683225711,UN Environment Programme,UN Environment Programme,273612,16
200480966638039,Supremacy 1914,These ads ran without a disclaimer,60752,3
167327710092323,Mollaei Law,These ads ran without a disclaimer,45584,1
68793499001,UNICEF,UNICEF with Facebook Ad Credits,42095,13
28312410177,World Food Programme,These ads ran without a disclaimer,36200,8
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,27475,104
907882369274696,Youths For Excellence,Jenine Ashley Shepherd,24241,3
97320092545,PAHO-WHO,These ads ran without a disclaimer,23131,6
288607211258386,ROLEX,These ads ran without a disclaimer,17341,2
111367981869928,Alric Campbell,Alric Campbell,15878,3
129366111456,Jamaica Information Service,These ads ran without a disclaimer,11239,13
107521691879493,Maritime Authority of Jamaica,These ads ran without a disclaimer,9394,2
119151544773109,State of Emergency,These ads ran without a disclaimer,8797,3
183757271681416,The Governor-General's Programme for Excellence - GGPE,The Governor-General's Programme for Excellence,8636,3
804165119745401,NIDS Facts,These ads ran without a disclaimer,6061,2
625834550916173,Law office of Mark A. Douglas PA,These ads ran without a disclaimer,5113,1
103098674730576,Our Today,These ads ran without a disclaimer,3954,17
1398135896924056,Ourfootprintja,These ads ran without a disclaimer,3730,4
1669491896648605,Hon. Pearnel Charles Jr,These ads ran without a disclaimer,3635,1
164840838910,Jamaicansmusic.com,These ads ran without a disclaimer,3610,1
267410650127820,NRD Companies,These ads ran without a disclaimer,3512,6
447831545247260,Audi Latinoamérica,These ads ran without a disclaimer,3249,4
511424752555128,The Jamaica National Group,These ads ran without a disclaimer,2727,1
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,2478,21
451256781884275,Klondike Adventures,These ads ran without a disclaimer,2345,2
105509288987649,Solubrious,These ads ran without a disclaimer,2273,1
112857077857582,Omo - Weight Loss With Psychology,These ads ran without a disclaimer,2173,11
106532464278807,Caribbean Tree Planting Project,These ads ran without a disclaimer,1948,2
170912539645748,Mark Batson,These ads ran without a disclaimer,1851,3
681614015247190,Caribbean National Weekly,These ads ran without a disclaimer,1809,25
107913427215945,Kuanna Soul,These ads ran without a disclaimer,1780,1
8057376739,The Nature Conservancy,These ads ran without a disclaimer,1757,1
253772961315048,Mercury Mosaics,These ads ran without a disclaimer,1738,6
34906136673,Denmark.dk,These ads ran without a disclaimer,1728,2
277182496269367,Transformation Implementation Unit,These ads ran without a disclaimer,1618,3
101160028475360,jenieve_richards_,These ads ran without a disclaimer,1565,2
370569530111138,Shaun Michael,These ads ran without a disclaimer,1525,1
102585368215180,Budding Farmers Jamaica,These ads ran without a disclaimer,1515,1
593521827465239,Curls Vitamins,These ads ran without a disclaimer,1413,3
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,1406,2
1238173096287495,Azur Games,These ads ran without a disclaimer,1341,4
435761629822155,Commonwealth Foundation,These ads ran without a disclaimer,1235,3
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,1221,59
106258207939845,africaneducation,These ads ran without a disclaimer,1171,6
107337514470029,jay.thapoet,These ads ran without a disclaimer,1061,1
104015742220554,Mimic,These ads ran without a disclaimer,1027,5
106620807391911,Roche,These ads ran without a disclaimer,953,3
95746458800,The Jamaica Observer,These ads ran without a disclaimer,951,3
196768877011920,Ministry of Education & Youth,These ads ran without a disclaimer,909,1
102058729490584,aldadon_marley,These ads ran without a disclaimer,909,2
1688343074778537,Dada I,These ads ran without a disclaimer,879,1
158714780827513,UNFPA,These ads ran without a disclaimer,820,72
106261440832615,Shoni XL,These ads ran without a disclaimer,817,1
100959346070883,H_gottimetoday,These ads ran without a disclaimer,812,1
1090974694258672,Tropical Realism,These ads ran without a disclaimer,770,1
100487719429473,876._.madness,These ads ran without a disclaimer,758,1
112265687733849,School of Muta,These ads ran without a disclaimer,758,2
101261482894476,marriesol_blake,These ads ran without a disclaimer,758,1
101629736088241,attaa_ja,These ads ran without a disclaimer,742,1
110746237434697,TreyWay,These ads ran without a disclaimer,735,3
519791848535996,Barita Investments Ltd.,These ads ran without a disclaimer,673,1
112259915140691,quantum_reiki_healing,These ads ran without a disclaimer,671,1
933310850194959,Israel Alliance,These ads ran without a disclaimer,636,6
111773777154251,miss_nikkishe,These ads ran without a disclaimer,606,1
153331435385371,Kerry-Ann,These ads ran without a disclaimer,606,1
114688808091223,iamforeverkj,These ads ran without a disclaimer,606,1
101620579425521,Our Today,These ads ran without a disclaimer,598,4
591212757733084,CherriYah,These ads ran without a disclaimer,597,1
102385692569586,"Youth Help Foundation, Inc",These ads ran without a disclaimer,586,1
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,562,4
111783969059,Tony Robbins,These ads ran without a disclaimer,561,2
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,543,31
64588666340,Haaretz.com,These ads ran without a disclaimer,527,8
68793499001,UNICEF,These ads ran without a disclaimer,511,4
103496105344354,Corporate Sustainability Review,These ads ran without a disclaimer,488,4
353170848144356,Love March Movement,These ads ran without a disclaimer,455,2
907882369274696,Youths For Excellence,These ads ran without a disclaimer,455,1
102639836094012,kheprll,These ads ran without a disclaimer,455,1
252368321961,HEART NSTA Trust,These ads ran without a disclaimer,455,1
1878284105560223,DM - Dynamix Music,These ads ran without a disclaimer,455,1
110349584011805,only_lici_,These ads ran without a disclaimer,455,1
122968032433727,thepatrickhuey,These ads ran without a disclaimer,447,2
108083032140324,Melanin Particles,These ads ran without a disclaimer,423,1
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,405,1
111367981869928,Alric Campbell,These ads ran without a disclaimer,400,2
107714748645793,Big Buzz,These ads ran without a disclaimer,395,5
111160730747637,Trivia Stars,These ads ran without a disclaimer,380,2
174669235904729,Sagicor Cave Hill School of Business and Management - The UWI Cave Hill,These ads ran without a disclaimer,372,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,370,95
102093685620627,Best Diplomats,These ads ran without a disclaimer,359,1
1556481434584901,Paul Xavier,These ads ran without a disclaimer,344,1
115526744809646,cordellahyl,These ads ran without a disclaimer,303,1
675189022501242,Red Stripe Corporate,These ads ran without a disclaimer,303,2
366107457198874,Rise of Kingdoms,These ads ran without a disclaimer,303,2
235155133222845,Jamaica Social Investment Fund (JSIF),These ads ran without a disclaimer,303,1
119405895873,Huawei,These ads ran without a disclaimer,303,10
101501048486290,duhaneypark_councillorcad,These ads ran without a disclaimer,303,1
100254824748185,Jensog-UK,These ads ran without a disclaimer,300,18
104777807945566,ashh.lash,These ads ran without a disclaimer,296,1
106120175623925,A-thletes.media,These ads ran without a disclaimer,289,7
1769843716586707,Caribbean Policy Development Centre - CPDC,These ads ran without a disclaimer,276,4
134278719946186,Bayer,These ads ran without a disclaimer,273,4
110463704610731,Cute Kiwi,These ads ran without a disclaimer,264,2
113502287096979,I Luv Australia,These ads ran without a disclaimer,257,2
274138756817,Architonic,These ads ran without a disclaimer,248,2
112356138180839,Domestic Violence Awareness,These ads ran without a disclaimer,236,2
489179047956298,Allwork.Space,These ads ran without a disclaimer,232,10
338109312883186,China Xinhua News,These ads ran without a disclaimer,232,47
1557523097863169,Caribbean Vulnerable Communities Coalition,These ads ran without a disclaimer,226,1
2087588714793621,Michael Ajetomobi,These ads ran without a disclaimer,224,2
278226958949773,DJ CYN,These ads ran without a disclaimer,215,3
103607555996001,j_deniro,These ads ran without a disclaimer,214,3
456013751424561,CESaRE,These ads ran without a disclaimer,201,7
479285342097950,AeroTime,These ads ran without a disclaimer,194,6
103768381387100,Partnership Initiative for Sustainable Land Management,These ads ran without a disclaimer,192,1
1126060947467307,Scatter HoldEm Poker,These ads ran without a disclaimer,186,2
100172476278127,Easy Study,These ads ran without a disclaimer,179,1
82928774489,Panda Security,These ads ran without a disclaimer,177,13
102458904985532,Storyroom,These ads ran without a disclaimer,170,1
391387864969982,Prisoners Defenders,These ads ran without a disclaimer,167,3
121350964566751,DHL Motorsports,These ads ran without a disclaimer,167,7
115890592096050,C&W Business,These ads ran without a disclaimer,164,1
19740928752,World Animal Protection,These ads ran without a disclaimer,161,3
100752016131980,grandph3thauto,These ads ran without a disclaimer,153,1
7272781185,IMVU,These ads ran without a disclaimer,152,1
109514650629878,pete_nice27,These ads ran without a disclaimer,152,1
153371894688575,World Bank,These ads ran without a disclaimer,152,1
101385892396109,ovrest,These ads ran without a disclaimer,152,1
108815620526859,Alessandro Januzaj Brown️,These ads ran without a disclaimer,152,1
208685479508187,U-Report Global,These ads ran without a disclaimer,152,6
111080941816572,thescovery_jubilee,These ads ran without a disclaimer,152,1
111704331751583,babytashmusic,These ads ran without a disclaimer,152,1
1226705167494708,Jomo & Charmaine,These ads ran without a disclaimer,152,1
400215103762069,All Entertainment Media Group,These ads ran without a disclaimer,152,1
140598792709944,yardhype,These ads ran without a disclaimer,152,1
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,152,2
110241391677089,Cooyah 96 HR,These ads ran without a disclaimer,152,1
105806708960852,Webfic - Read Romance Story,These ads ran without a disclaimer,147,4
114855035381209,Whatz Up New York,These ads ran without a disclaimer,142,1
103762709241841,thetrauma.therapist,These ads ran without a disclaimer,142,1
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,129,7
2206658926222286,julienalleyne,These ads ran without a disclaimer,121,1
105741532048451,Fluffy Worldwide,These ads ran without a disclaimer,121,59
250305668489402,Professor Kenny,These ads ran without a disclaimer,117,6
107131467846977,Truf Bros. TV,These ads ran without a disclaimer,117,1
845620825830146,Deel,These ads ran without a disclaimer,115,5
100798171980153,Paragon Institute of Innovation,These ads ran without a disclaimer,115,1
131189377574,MDPI,These ads ran without a disclaimer,114,37
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,114,14
105831231768957,Be Rich with Style,These ads ran without a disclaimer,112,1
102838882271105,NovelReader,These ads ran without a disclaimer,111,6
166928143326767,Columbans Britain,These ads ran without a disclaimer,109,1
103119027899256,Caribbean Climate-Smart Accelerator,These ads ran without a disclaimer,106,2
348531276233537,Koala Mag,These ads ran without a disclaimer,105,10
115591005188475,Global Times,These ads ran without a disclaimer,102,3
1374826826104281,Sensibo,These ads ran without a disclaimer,≤100,4
107776475292233,jamaicaunited_,These ads ran without a disclaimer,≤100,1
220572998374,Kathy McClary,These ads ran without a disclaimer,≤100,2
108210467509014,The HEY Campaign,These ads ran without a disclaimer,≤100,7
910145682709010,Minashpro Immigration,These ads ran without a disclaimer,≤100,1
315543515306,Jing Daily,These ads ran without a disclaimer,≤100,2
475778355919914,BB - Best Bios,These ads ran without a disclaimer,≤100,2
100696586305964,Fine Art Photography Prints by Rico X.,These ads ran without a disclaimer,≤100,2
317463093373,The Akshaya Patra Foundation,These ads ran without a disclaimer,≤100,1
597859916903978,Nomad Africa Magazine,These ads ran without a disclaimer,≤100,1
7783116506,Animals Asia,These ads ran without a disclaimer,≤100,17
315603771494,Milaap,These ads ran without a disclaimer,≤100,7
134354102144114,876tingzent,These ads ran without a disclaimer,≤100,1
1744911689126391,12up,These ads ran without a disclaimer,≤100,5
1768832216739100,CEMarin,These ads ran without a disclaimer,≤100,2
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,6
106642368396141,Kiho Loan Services,These ads ran without a disclaimer,≤100,1
274394006605216,History A2Z Magazine,These ads ran without a disclaimer,≤100,6
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,8
166258896830103,Porto Montenegro,These ads ran without a disclaimer,≤100,1
1694446627479899,GBLF - Leaders Summit,These ads ran without a disclaimer,≤100,1
141271779363886,Christian Harfouche,These ads ran without a disclaimer,≤100,3
102328179178449,Andrew Trey,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,67
1802248836771260,Weird Little Tales,These ads ran without a disclaimer,≤100,4
191367330892004,UBC Engineering,These ads ran without a disclaimer,≤100,3
18017481462,Acton Institute,These ads ran without a disclaimer,≤100,1
107338032104588,journeying_with_jai,These ads ran without a disclaimer,≤100,1
139098866100198,Merri-bek City Council,These ads ran without a disclaimer,≤100,2
100199989426473,Become A Good Ancestor,These ads ran without a disclaimer,≤100,2
2552060571686733,Novakid Polska,These ads ran without a disclaimer,≤100,2
34440108608,Net Impact,These ads ran without a disclaimer,≤100,11
413224988797093,Beekeeper,These ads ran without a disclaimer,≤100,1
103049355826825,Caribbean Figures,These ads ran without a disclaimer,≤100,7
113154904968139,last_legendd,These ads ran without a disclaimer,≤100,1
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100,2
713062536142125,Footprints of Urban,These ads ran without a disclaimer,≤100,2
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
105363750882345,Young Activists Summit,These ads ran without a disclaimer,≤100,10
1185998071440397,Screenshot,These ads ran without a disclaimer,≤100,1
412409048849179,Behold Israel,These ads ran without a disclaimer,≤100,3
619332128128653,Next Stop Comedy,These ads ran without a disclaimer,≤100,1
101358036245588,App Leap,These ads ran without a disclaimer,≤100,1
101768545811689,spicenation876,These ads ran without a disclaimer,≤100,1
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,3
112386271512945,uniquesunshyne,These ads ran without a disclaimer,≤100,1
105728562826950,Atlantic International University,These ads ran without a disclaimer,≤100,1
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100,4
148625584773,Black Bobby,These ads ran without a disclaimer,≤100,2
105936207857939,soleil.space,These ads ran without a disclaimer,≤100,2
75608370019,United States Institute of Peace,These ads ran without a disclaimer,≤100,34
110906265860,The Andrew Schulz,These ads ran without a disclaimer,≤100,6
124109327256894,Dra. Ângela Pistão,These ads ran without a disclaimer,≤100,2
101485486059705,Fusion Shearing Crusher,These ads ran without a disclaimer,≤100,1
103719628685489,Territories Talk,These ads ran without a disclaimer,≤100,2
102441338860194,Anatomy of Night,These ads ran without a disclaimer,≤100,1
170042611753,American University of Antigua,These ads ran without a disclaimer,≤100,1
102202384790269,DiFluid,These ads ran without a disclaimer,≤100,1
203857292983532,AviationCV.com,These ads ran without a disclaimer,≤100,5
111194788317815,Trinityville Division PNP - Kimberley Thompson: Councillor Candidate,These ads ran without a disclaimer,≤100,1
101236935303293,Trivia.com - Trivia,These ads ran without a disclaimer,≤100,4
107173698926440,Rindiendo en casa,These ads ran without a disclaimer,≤100,6
324253041382779,Xavier Cormier,These ads ran without a disclaimer,≤100,3
104593458269168,Your Daily Fun Break,These ads ran without a disclaimer,≤100,8
630924141178792,Sneaker Toast,These ads ran without a disclaimer,≤100,9
114298743556792,3AM-Revelation 14:6-12,These ads ran without a disclaimer,≤100,1
94005676787,Hitachi Vantara,These ads ran without a disclaimer,≤100,1
106614631788380,Kitco Mining,These ads ran without a disclaimer,≤100,3
109945565296604,Black Kids' Health,These ads ran without a disclaimer,≤100,1
105448452269780,Lifestylecog,These ads ran without a disclaimer,≤100,4
164432246934163,Chopard,These ads ran without a disclaimer,≤100,2
706061016415258,Organic & Natural Expo Dubai,These ads ran without a disclaimer,≤100,2
174806462881204,Medical News,These ads ran without a disclaimer,≤100,3
101810071877211,soscarbon,These ads ran without a disclaimer,≤100,1
112220134851421,Under the Sisterhood,These ads ran without a disclaimer,≤100,17
118981582262,Sid Roth's It's Supernatural,These ads ran without a disclaimer,≤100,1
110858857896765,Travel Stories For You,These ads ran without a disclaimer,≤100,1
102964102556890,Bettermanly - Magazine page 2,These ads ran without a disclaimer,≤100,2
103190279412794,Geeky Cap,These ads ran without a disclaimer,≤100,3
70088406269,Narconon,These ads ran without a disclaimer,≤100,2
447178272144612,Udit Goenka,These ads ran without a disclaimer,≤100,4
105648402241230,Join the dots,These ads ran without a disclaimer,≤100,3
103491428622606,Awesome Gifts A2,These ads ran without a disclaimer,≤100,1
709430982419756,Thermo King Latinoamérica,These ads ran without a disclaimer,≤100,1
434351157296796,Rainbow Caribbean,These ads ran without a disclaimer,≤100,4
112902533807251,Ministério Elohim Adonai - Apóstolo Cláudio Silva,These ads ran without a disclaimer,≤100,3
584462848713978,Oliveira Labs,These ads ran without a disclaimer,≤100,2
999188666785524,阿里巴巴集團,These ads ran without a disclaimer,≤100,2
150294649018041,Julia Murça,These ads ran without a disclaimer,≤100,1
100476306146501,danerobaby,These ads ran without a disclaimer,≤100,1
674374605962850,Future of Life Institute,These ads ran without a disclaimer,≤100,2
187000618322282,This Is Why I'm Single,These ads ran without a disclaimer,≤100,8
1787885808135649,The Human Aspect,These ads ran without a disclaimer,≤100,2
102273645308882,Danny Trader,These ads ran without a disclaimer,≤100,2
1164694603562682,FastTony.es,These ads ran without a disclaimer,≤100,2
102199795319206,Pablo Marçal Oficial,These ads ran without a disclaimer,≤100,4
116846126900845,Family Clothing,These ads ran without a disclaimer,≤100,1
103733191524431,Liuxininbeijing,These ads ran without a disclaimer,≤100,5
222717911120348,Venus Remedies Limited,These ads ran without a disclaimer,≤100,2
1803279899993382,"Ni Una Palmadita, Fernanda Restrepo",These ads ran without a disclaimer,≤100,1
113165891150449,iam.erryck,These ads ran without a disclaimer,≤100,1
105480455297597,Johnson & Johnson Medical Devices Brasil,These ads ran without a disclaimer,≤100,1
100910104737405,"Zhejiang Zenbo Intelligent Machinery Co.,Ltd.",These ads ran without a disclaimer,≤100,1
100044596562197,Pastor Tinu George,These ads ran without a disclaimer,≤100,1
107982141982514,Reimagine.meha,These ads ran without a disclaimer,≤100,1
1820034408214697,envoPAP,These ads ran without a disclaimer,≤100,1
280879368774303,EntendendoiPhone,These ads ran without a disclaimer,≤100,1
103968065823281,Stevosa's Corner,These ads ran without a disclaimer,≤100,1
106883638833589,El Cambio Posible,These ads ran without a disclaimer,≤100,2
589408861751444,UNEP International Environmental Technology Centre,These ads ran without a disclaimer,≤100,2
204862942932993,Nikkei Asia,These ads ran without a disclaimer,≤100,1
111226201784446,Global Jobs Alert,These ads ran without a disclaimer,≤100,1
1572311739654817,Bulls Of Crown Kennel,These ads ran without a disclaimer,≤100,1
233826257775,Computerworld.hu,These ads ran without a disclaimer,≤100,1
1286486861452393,Asia World Model United Nations,These ads ran without a disclaimer,≤100,1
110522835200642,Rock Legends,These ads ran without a disclaimer,≤100,1
198398326957053,Shree Krishnayan Desi Gauraksha Avam Golokdham Sewa Samiti,These ads ran without a disclaimer,≤100,2
107444342282249,Dog Rescue Foundation,These ads ran without a disclaimer,≤100,1
100912541413695,Más Impulso,These ads ran without a disclaimer,≤100,2
187461997935711,Unilever Careers,These ads ran without a disclaimer,≤100,1
1039675682714205,스브스뉴스,These ads ran without a disclaimer,≤100,5
105898939096628,Domani Media,These ads ran without a disclaimer,≤100,1
315659968914693,FICEM,These ads ran without a disclaimer,≤100,1
20800882791,Break,These ads ran without a disclaimer,≤100,1
105953807950158,Tiệm Nail Z,These ads ran without a disclaimer,≤100,1
1418847414842462,Asia Youth International MUN,These ads ran without a disclaimer,≤100,2
110980888642151,Twibbon April,These ads ran without a disclaimer,≤100,4
104445971773668,TAIHEN Việc Làm,These ads ran without a disclaimer,≤100,1
624755630902326,Lifevisiontv,These ads ran without a disclaimer,≤100,1
795719297296041,Ined - Instituto Nacional de Educación Digital,These ads ran without a disclaimer,≤100,1
103937342547263,Texas003,These ads ran without a disclaimer,≤100,1
94199711897,Hábitat para la Humanidad,These ads ran without a disclaimer,≤100,2
189377451591953,Aspen Luxury Suite,These ads ran without a disclaimer,≤100,1
478297078923452,Big Easy Believer,These ads ran without a disclaimer,≤100,2
56777943052,One Young World,These ads ran without a disclaimer,≤100,2
213000859039052,SANY Group,These ads ran without a disclaimer,≤100,1
1570967143115767,Faith In His Blood . Org,These ads ran without a disclaimer,≤100,1
108607351041275,FAB Group,These ads ran without a disclaimer,≤100,2
102783605860386,Taniya,These ads ran without a disclaimer,≤100,1
113865921640264,Awe17,These ads ran without a disclaimer,≤100,1
2200139000274127,Top Speeder 2022,These ads ran without a disclaimer,≤100,2
106712808491049,Travelpedia,These ads ran without a disclaimer,≤100,2
105244831337004,Tomàs Aquino Mundial.,These ads ran without a disclaimer,≤100,1
100382632439605,Chill Bill,These ads ran without a disclaimer,≤100,1
107209068619151,Știrile Pe Care Nu Le Vezi La TV,These ads ran without a disclaimer,≤100,1
