Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
109854728594212,برنامج تحديث القطاع العام,برنامج تحديث القطاع العام,7719,20
103323581486845,النائب سليمان موسى ابو يحيى,Sleman Abuyahia,7112,99
664477853670759,المكتب الاعلامي للنائب معتز ابورمان,Moutaz Abu Rumman,4057,63
102931605845722,تيار وطني يهدف لتأسيس حزب باسم العمل,حزب العمل,3010,38
109219087226819,مكتب النائب محمد يحيى المحارمة الاعلامي,مكتب النائب محمد يحيى المحارمة الاعلامي,2942,48
102764605858696,DIGNITY Jordan,DIGNITY Jordan,2926,57
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,2622,7
100541919430450,كُتلة إنجاز - غرفتي صناعة عمان والأردن,كُتلة إنجاز - غرفتي صناعة عمان والأردن,1678,18
918614474927297,وزارة الشباب الأردنية,وزارة الشباب الأردنية,1660,56
521303771314889,وزارة الصناعة و التجارة و التموين الاردنية Mit.gov.jo,Muhanad Alomyan,1321,110
1658084644470639,كتلة التاجر - انتخابات غرفة تجارة عمان 2022,كتلة التاجر - انتخابات غرفة تجارة عمان 2022,1148,20
104020602516245,"كتلة الاتحاد"" محافظة معان""",أحمد عبدالله صلاح,1103,58
413390475437832,راصد الأردن _ RASED Jordan,راصد الأردن _ RASED Jordan,1038,48
107141858896307,Rewell Society,Rewell Society,864,5
114420456950948,تطبيق الزبدة,These ads ran without a disclaimer,733,11
103619102450525,كتلة الصناعي - انتخابات غرفة صناعة عمّان والأردن,كتلة الصناعي - انتخابات غرفة صناعة عمّان والأردن,698,20
107972938754493,كتلة الاصلاح والتغيير - غرفة صناعة اربد,أنس حلاوه,688,14
200480966638039,Supremacy 1914,These ads ran without a disclaimer,636,3
264223760870251,كتلة المستقبل,Mohammad Hasan,628,36
101332817919673,Maher Ahmad Odeh,Capital GTC,520,8
106396530710598,برلمان شعب,These ads ran without a disclaimer,511,2
104343205670775,حزب إرادة Eradah Party,حزب إرادة - تحت التأسيس,497,9
110834314440892,Saudi Green Initiative,These ads ran without a disclaimer,417,6
102228422695753,"كتلة الوفاق "" معان """,Mohammad Akram Kreishan,364,29
905208189574429,We Rise Center for Sustainable development- مركز نحن ننهض للتنمية المستدامة,We Rise Center for Sustainable development- مركز نحن ننهض للتنمية المستدامة,266,15
111934298458280,مجموعة القبة الإعلامية,مجموعة القبة الإعلامية,240,3
101624672498880,حزب الشراكة والإنقاذ  Partnership and Salvation Party,حزب الشراكة والإنقاذ  Partnership and Salvation Party,225,23
346994598688133,Paradise Bakeries مخابز برادايس,Paradise Bakeries مخابز برادايس,200,1
112159161676274,Hammam Habanakeh,Hammam Habanakeh,200,2
109620088400878,المستشار سليم خليف,المستشار سليم خليف,200,5
151389968314907,Generations For Peace,These ads ran without a disclaimer,183,1
1929306147386446,الحزب الديمقراطي الاجتماعي الأردني,الحزب الديمقراطي الأجتماعي الأردني,182,9
102931605845722,تيار وطني يهدف لتأسيس حزب باسم العمل,These ads ran without a disclaimer,171,7
102614571880993,Public Investment Fund,These ads ran without a disclaimer,170,1
124480500567897,حزب نماء تحت التأسيس,Namaaparty,149,3
102162359848060,Al Salt City - مدينة السلط,Al Salt City - مدينة السلط,140,5
160729029892,Al Jazeera Channel - قناة الجزيرة,These ads ran without a disclaimer,135,1
116404196414307,Sky dolphin Jo,These ads ran without a disclaimer,118,1
478377408852073,صحيفة صدى الشعب الاردنية,صحيفة صدى الشعب الاردنية,115,5
104408135050196,Infinity Property,These ads ran without a disclaimer,≤100,1
1929306147386446,الحزب الديمقراطي الاجتماعي الأردني,الحزب الديمقراطي الاجتماعي الأردني,≤100,2
108278098740446,Ahmad Alloush-أحمدعلوش,These ads ran without a disclaimer,≤100,4
267387670017944,City University Ajman,These ads ran without a disclaimer,≤100,1
188842724507690,مفوضية اللاجئين,These ads ran without a disclaimer,≤100,3
114234114894674,Minassat - منصات,minassat digital media,≤100,8
109577148318593,عضو مجلس أمانة عمان لمنطقة بدر - أحمد زايد النوباني,Suliman Shawawreh,≤100,4
100357702907658,صندوق المعونة الوطنية,These ads ran without a disclaimer,≤100,1
218834391531386,Ihqaq -  إحقاق,Islam Abdul-karim,≤100,9
905208189574429,We Rise Center for Sustainable development- مركز نحن ننهض للتنمية المستدامة,Amer Abudalo,≤100,3
664477853670759,المكتب الاعلامي للنائب معتز ابورمان,These ads ran without a disclaimer,≤100,6
615042485330856,Al-WAZEER Charcoal فحم الوزير,These ads ran without a disclaimer,≤100,1
109180980824579,Miss Daleen  Beauty Salon,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,74
432445257544169,Global City Community,These ads ran without a disclaimer,≤100,18
101667816022487,الصفحة الرسمية موسى ياسين عواد Mousa yasin awwad,These ads ran without a disclaimer,≤100,1
103977015793836,"سقي الغيث لحفر الآبار _alghaith """,These ads ran without a disclaimer,≤100,6
135584423173580,Center for Defending Freedom of Journalists (CDFJ),These ads ran without a disclaimer,≤100,1
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,17
107647802098705,House of Etiquette - رامه العساف للاستشارات,Rama Assaf Alassaf,≤100,1
143259735733427,AbuSheikha Exchange,These ads ran without a disclaimer,≤100,1
107424440982021,Eekad - إيكاد,These ads ran without a disclaimer,≤100,10
550259938411085,المروجون الدوليون للتسويق وتنظيم المعارض IPCo,These ads ran without a disclaimer,≤100,3
911803375544522,JEDCO,JEDCO,≤100,1
108221813937423,Syriatvnews - أخبار تلفزيون سوريا,These ads ran without a disclaimer,≤100,2
100228192530865,حزب الوحدة الشعبية الديمقراطي الأردني,حزب الوحدة الشعبية الديمقراطي الأردني,≤100,2
100510509567943,مطعم ومشاوي سرايا العز,These ads ran without a disclaimer,≤100,2
137718882920644,Orange,These ads ran without a disclaimer,≤100,1
255673195174445,حقوقي Hokuke,These ads ran without a disclaimer,≤100,2
136966373130896,جمعية سيدات الطفيلة الخيرية,جمعية سيدات الطفيلة الخيرية,≤100,11
113673143747869,مطبقنيات مؤيد وجوري,These ads ran without a disclaimer,≤100,2
201122637435943,Search for Common Ground Jordan,Search for Common Ground Jordan,≤100,2
102062252685161,Turkey Campus,These ads ran without a disclaimer,≤100,2
868424133211691,Irfaa Sawtak - ارفع صوتك,These ads ran without a disclaimer,≤100,1
102168785650,Leaders of Tomorrow,These ads ran without a disclaimer,≤100,3
103323581486845,النائب سليمان موسى ابو يحيى,These ads ran without a disclaimer,≤100,3
101979608294755,Kiki,These ads ran without a disclaimer,≤100,1
142288373333,HIMSS,These ads ran without a disclaimer,≤100,1
447389362298537,نحن نشارك لتنمية المجتمع المدني  We Participate 4 Civil society development,نحن نشارك لتنمية المجتمع المدني  We Participate 4 Civil society development,≤100,5
272160366210946,USAID Jordan,These ads ran without a disclaimer,≤100,5
660754640652718,حلويات القاضي المركزي,These ads ran without a disclaimer,≤100,1
978420498967432,العربي 2,These ads ran without a disclaimer,≤100,10
117712314600132,مشروع الزمالة البرلمانية,King Abdullah II Fund for Development,≤100,1
100249429734582,موسسة محمد بن راشد للأعمال الخيرية والإنسانية     خدمة النقد التتطوعي,These ads ran without a disclaimer,≤100,2
