Page ID,Page name,Disclaimer,Amount spent (JPY),Number of ads in Library
108136530968730,おねがい社長！,These ads ran without a disclaimer,165282795,1466
727520374117971,株式会社LegalOn Technologies,These ads ran without a disclaimer,120250230,919
475681929154100,国連UNHCR協会,国連UNHCR協会,71151645,264
1904070096535109,スマート選挙,株式会社センキョ,27972267,778
518403981967782,上島嘉郎のライズ・アップ・ジャパン,Mayumi Akiba,21637289,6264
197770137236410,日本維新の会,尾田 一郎,20474204,26
119493115403639,立憲民主党,立憲民主党,19900000,51
412311622217494,Sansan,These ads ran without a disclaimer,18950502,15
100119711504678,O2 capsule.com,These ads ran without a disclaimer,17097799,52
197770137236410,日本維新の会,日本維新の会,15134324,652
239558679475625,株式会社トマス技術研究所,Kenji Fukutomi,13798317,191
101793092394959,東京都民生児童委員連合会（都民連）,東京都民生児童委員連合会,12789526,47
518403981967782,上島嘉郎のライズ・アップ・ジャパン,Rieko Mazda,12585560,967
109669301599582,ビーハック（日中サービス支援型障がい者グループホームfc募集）,These ads ran without a disclaimer,12367320,316
208661552479830,日本財団,Shigeru Fujita,10785829,61
450923665041182,めちゃコミック（めちゃコミ）,These ads ran without a disclaimer,10648345,99
103583418239806,スーシャルディスタンスキャンペーン JT,These ads ran without a disclaimer,10116753,6
100872164893189,Good介護求人,These ads ran without a disclaimer,9731522,95
536262416434799,NewsPicks（ニューズピックス）,These ads ran without a disclaimer,9536001,25
766675180118176,最新ビジネスイベントを配信中『ビズスタ』,ビズスタ,9112034,66
110844080689052,学校総選挙プロジェクト,CCCマーケティング,9000047,138
684161888345926,西日本新聞me,西日本新聞me,8689808,306
1558938114358024,Sansan,These ads ran without a disclaimer,8071080,13
148562291987208,ザ・ホワイトデンタルクリニック,These ads ran without a disclaimer,7956897,218
2146220368726701,国民民主党,国民民主党,7432930,362
109704267505760,極道市長—世界制覇を目指せ,These ads ran without a disclaimer,7045644,48
863465943712204,"株式会社ボルテックス（Vortex Co., Ltd）",These ads ran without a disclaimer,6559178,12
117914038333112,自由民主党 大阪府支部連合会,自民党大阪府連,6261577,84
583326125407058,公明党,公明党,6201425,46
267613530017351,日本ユニセフ協会/UNICEF東京事務所,Japan Committee for UNICEF with Facebook ad credits,6164296,26
356503101659274,マンガUP,These ads ran without a disclaimer,5727354,4
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,5127794,91
232969857177096,助太刀,These ads ran without a disclaimer,4876633,2
882976348548828,内閣府 地方創生推進事務局（国家戦略特区）,株式会社curioswitch,4693961,40
121826275151894,NBA2K Mobile,These ads ran without a disclaimer,4612567,7
324385538005068,週刊文春,週刊文春,4354896,92
111981114603283,れいわ新選組,れいわ新選組,4099736,50
178955688832053,株式会社iCARE,These ads ran without a disclaimer,3716911,10
651455718373362,ハイクラスに特化した転職支援『転機』,These ads ran without a disclaimer,3684425,90
204862942932993,Nikkei Asia,These ads ran without a disclaimer,3676257,942
105541258556045,STEP,These ads ran without a disclaimer,3648707,11
100197518974681,IMK Books【一般社団法人 国際予防医学協会】,These ads ran without a disclaimer,3487475,170
184635865061269,いつも．- itsumo,These ads ran without a disclaimer,3438454,21
102468941548369,宮城県民共済,宮城県民共済,3371789,16
425742864543901,GMOあおぞらネット銀行,These ads ran without a disclaimer,3305794,11
2110431762582056,WINTICKET（ウィンチケット）,These ads ran without a disclaimer,3244716,67
105168267599058,パナリット,These ads ran without a disclaimer,3208570,13
112523977041775,参政党,参政党,3203576,203
745139222217087,TRILL - トリル,These ads ran without a disclaimer,3190424,7
766675180118176,最新ビジネスイベントを配信中『ビズスタ』,These ads ran without a disclaimer,3107609,27
215138065124,Louis Vuitton,These ads ran without a disclaimer,3097449,3
1300659153293497,佐藤　啓 （さとうけい）　－　参議院議員/奈良県選挙区,佐藤啓事務所,2999572,8
110956371711998,たった3ヶ月でキャッシュフローが劇的改善,These ads ran without a disclaimer,2967340,34
415996795182053,ひまわり証券,These ads ran without a disclaimer,2832113,21
108437581751884,Nurse navi,These ads ran without a disclaimer,2688642,239
684161888345926,西日本新聞me,帆足吉美,2596496,199
115366836686423,Regrow My Planet,These ads ran without a disclaimer,2566085,1369
447999132423783,千葉県選挙管理委員会,千葉県選挙管理委員会,2547511,12
633030123480159,グッドライフアワード,Atsushi Miura,2534380,51
101580979109769,簡単diet,These ads ran without a disclaimer,2534171,69
104593659639410,ダイレクト出版,These ads ran without a disclaimer,2526432,30
244927545870960,自治体通信,自治体通信,2509691,47
110720811766403,下町ドリーム-心に染みる人情物語,These ads ran without a disclaimer,2491972,148
112969540551953,独立行政法人　石油天然ガス・金属鉱物資源機構　地熱事業本部,Fumie Nakazawa,2449677,11
103639225561463,社長の経営パートナー、右腕～ヒト・モノ・カネ＋情報～,Tetsuo Kitsu,2316290,239
