Page ID,Page name,Disclaimer,Amount spent (KES),Number of ads in Library
590244531002882,Hon. Adan Keynan Wehliye,Yusuf Hashi Duale,885963,4
362328664703,Start Talking Kenya,Well Made Strategy,502915,211
223287104715778,Oxfam,Oxfam,384140,40
595599823934088,John Mugwe,John Gathigi Mugwe,359629,40
600979883334883,Hon. Zaheer Jhanda,Hon. Zaheer Jhanda Mp Nyaribari Chache,310119,44
101050035158210,Fredrick Oyugi  Dor Mp Ugunja,These ads ran without a disclaimer,302091,35
279973932055640,Abdulswamad Shariff Nassir,Social Hub,286312,64
2119732698342937,Vodafone Group,These ads ran without a disclaimer,282044,15
154163327962392,World Health Organization (WHO),These ads ran without a disclaimer,280766,14
102417705566639,Digital MOFA,These ads ran without a disclaimer,266013,1
123182861072147,Hon Musalia W Mudavadi,Michael Lulu Mudavadi,257900,18
68793499001,UNICEF,UNICEF with Facebook Ad Credits,216367,23
102804468402882,Nia Creation,These ads ran without a disclaimer,190045,12
357251385085313,Alliance to End Plastic Waste,These ads ran without a disclaimer,185006,71
1506723769658512,Susan Kihika,Susan Kihika,184536,799
600979883334883,Hon. Zaheer Jhanda,Hon. Zaheer Jhanda,174969,23
428598070560290,Dr. Machel Waikenda,Machel Thogo Karanja Waikenda,169754,56
173516606349429,Hon Wavinya Ndeti,Wavinya Ndeti,164197,42
301058486666221,Raila Odinga,Azimio Presidential Secretariat,160442,70
123182861072147,Hon Musalia W Mudavadi,Hon Musalia W Mudavadi,156585,22
928844373809896,UDA National FORUM,These ads ran without a disclaimer,154654,51
827021447354082,Edgar Chagwa Lungu,These ads ran without a disclaimer,141407,1
584311918440395,World Health Organization African Region,These ads ran without a disclaimer,140685,12
406392539776337,Hon. David Kiplagat,Kiplagat David,139114,68
216311481960,Bill Gates,These ads ran without a disclaimer,139053,94
501230480027976,Hon. Muchangi Karemba,Kevin Murangiri Obed,138955,60
102324481269298,Hon. Zamzam Mohammed,Hon. Zamzam Mohammed,138465,486
287842647957979,EU International Partnerships,These ads ran without a disclaimer,138365,19
107725671976672,Willis Evans Otieno,Willis Evans Otieno K'Ochieng,129028,35
271965666532069,Fight Inequality Alliance,Yvonne Carol Wanjiku Ndirangu,128242,5
1366578423371874,Kenya Cane,These ads ran without a disclaimer,123312,1
600979883334883,Hon. Zaheer Jhanda,These ads ran without a disclaimer,120061,18
