Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
282467288840507,Республика,Партия Республика,10589,168
102284468269311,"Кандидаты партии ""Замандаш""",Руслан Мамбетов,8223,578
100217491552096,Реформа,"Политическая партия ""Реформа""",5912,188
281275858909534,Политическая партия Ишеним,"Политическая партия ""Ишеним""",4827,176
100348255430561,Эмгек саясий партиясы,Эмгек саясий партиясы,4326,179
1432576380315055,Ата Мекен,Ата Мекен,4138,217
770554546303973,Альянс партиясы,Партия Бир Бол,4013,149
102556895910290,АКЧА,Akcha,3776,90
282467288840507,Республика,Республика,3725,95
106379504490152,ЫЙМАН НУРУ,"политическая партия ""Ыйман Нуру""",3661,94
373627819499726,«Кыргызстан» партиясы,Партия Кыргызстан,3487,77
1705634366362647,Жалбырак ТВ - Сентябрь,Жалбырак ТВ - Сентябрь,3469,74
156373344431823,MEGA - Выбирая лучшее,MegaCom (ЗАО «Альфа Телеком»),3175,18
100124045198882,Ким Ин Сен,Ата Мекен,3132,41
105205081290221,Мекеним Кыргызстан партиясы,Mekenim Kyrgyzstan,3013,199
172800432762053,Vesti.kg,Vesti.kg,2873,1536
281275858909534,Политическая партия Ишеним,Партия Ишеним,2684,229
1132545906784720,Бабур Тольбаев / Babur Tolbaev,Babur Tolbaev,2678,45
108102561491341,Столица,"Демократическая партия ""Столица""",2667,71
110981394562622,Жылдыздуу саясат,Jyldyzsayasat,2455,235
1705634366362647,Жалбырак ТВ - Сентябрь,Ата Мекен,2407,42
107876058176442,Тентек Кыз,Tazakoom,2312,232
109586511177385,Ак Бата,Ак Бата,2066,84
100132021957163,Аймен Касенов,Аймен Касенов,2027,52
100877675135894,Сообщество Юристов «Тандем»,Кайрат Абдыкеримов,1911,75
916326731894921,Эльвира Сурабалдиева,Nurjanat Medetbekova,1859,35
100156162326904,Келечек - Будущее,"Политическая партия ""Келечек-Будущее""",1831,98
101782265111109,Курсан Асанов,Фонд кандидата в Президенты Кыргызской Республики Асанова Курсана Сатаровича,1802,68
1653333144952048,Janar Akaev,Ата Мекен,1795,74
356922435414196,Политическая партия “Свобода Выбора”,Павел Аносов,1795,15
101162505363467,«Ынтымак» саясий партиясы,«Ынтымак» саясий партиясы,1765,167
2027616934149505,Ыйман Нуру- жаштар канаты,Yiman_nuru_youth,1765,75
118537470052410,В рамках закона,Fatima Yakupbaeva,1682,192
101548148821304,Две точки зрения,politportret,1641,181
117793213397571,Темирлан Султанбеков,Темирлан Султанбеков,1558,11
110731397051914,Общественный Рейтинг - Кыргызстан,Aibek Chekoshev,1532,220
291079287585525,Politmer.kg,Nargiza Nanakeeva,1532,398
103315452130082,Эл Үмүтү - Надежда Народа,Партия Эл Үмүтү - Надежда Народа,1528,59
114364493732248,kalmamatov.news,Фонт Политической партии Азаттык,1509,44
294946077273979,НДПК,Народно-Демократическая партия Кыргызстана,1457,188
101744934965890,Наталья Владимировна Никитенко,Ата Мекен,1432,82
104747914875898,За Дүйшенбека Зилалиева,Дуйшенбек Зилалиев,1401,127
282000015612076,Эл билсин,Мирлан Мамытов,1383,43
112540897735953,Салам Кыргызстан,salamkr.com,1368,72
